ID,WEIGHT,PRSKY20,SENKY20,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVMCGRATH,FAVMCONL,FAVPRES20,FAVSENKY20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,POLICEEVENTS20,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VETVOTER,VOTEMETHOD,WHNCLINC,WHTEVANG
145118.0,0.21018477097,Donald Trump,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,4.0,Yes,Omit,Omit,Not very confident or not at all confident,Not very confident,Election day,,,,,,,,,,,,,,For your candidate,3.0,Donald Trump,Donald Trump,,,,,,,,No,No,Omit,Omit,No,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,,Isolated events,77.0,,,,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,South,Male,White men,Suburbs,Suburbs,Kentucky,White suburban men,Election day exit poll,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,Yes,Election day,,All others
144385.0,0.21828457892,Donald Trump,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,6.0,,Very well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Election day,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,2.0,,,,,,,,,,,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,88.0,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,South,Male,White men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Strongly approve,Version 3,,Election day,,
132699.0,0.22816675591,Donald Trump,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 2,4.0,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Favorable,Favorable,Both of them,Both,Favorable,About the same,,1.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Omit,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Conservative,,44.0,Moderate/Liberal Republicans,Conservative Independents,Cares about people like me,White,White,State questionnaire,White,White,White,,,South,Female,White women,Suburbs,Suburbs,Kentucky,White suburban women,Election day exit poll,Yes,Both of them do,Yes,In the last few days,In the last month,In the last week,,,Version 1,,Election day,Yes,
132783.0,0.22816675591,Donald Trump,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 2,4.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Favorable,Only Trump,Only McConnell,Favorable,Better today,,1.0,,,,,,,,,The economy,No,,,,,,,,,,,,,,44.0,,,Cares about people like me,White,White,State questionnaire,White,White,White,,,South,Female,White women,Suburbs,Suburbs,Kentucky,White suburban women,Election day exit poll,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,Version 1,,Election day,,
131637.0,0.25273856414,Donald Trump,,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,All others,All others,Complete,,Call 2,5.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Unfavorable,Unfavorable,Only Trump,Neither,Favorable,Worse today,,1.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care policy,No,,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,All others,,,105.0,,,Is a strong leader,Other,American Indian,State questionnaire,Other,Non-white,American Indian,,,South,Male,All other races,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,Yes,Both of them do,Yes,In September,Before that,Before that,,,Version 1,,Election day,No,
123759.0,0.31757631072,Donald Trump,,,,,,,,,,,Complete,,Call 1,1.0,,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,Against his opponent,5.0,Omit,Donald Trump,,,,,,,,,,Good,Excellent or good,No,,Independent/Something else,Black non-Democrat,Black Independent,,Independent,All others,Moderate,Isolated events,84.0,Moderate/Liberal Republicans,Moderate Independents,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,,,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,No,Election day,,All others
124045.0,0.42242763237,Donald Trump,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 1,2.0,Yes,Omit,Omit,Not very confident or not at all confident,Not very confident,Election day,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,For your candidate,5.0,Donald Trump,Donald Trump,,,,,,,,No,,Excellent,Excellent or good,No,Men with children,,,,,,,,Omit,27.0,,,,White,White,State questionnaire,White,White,White,The most important problem,The most important problem or one of many important problems,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,No,Election day,,All others
145497.0,0.42242763237,Donald Trump,,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,2.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Unfavorable,Favorable,Only Trump,Only McConnell,Favorable,Better today,,5.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",The economy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Conservative,,27.0,Moderate/Liberal Republicans,Conservative Independents,Is a strong leader,White,White,State questionnaire,White,White,White,,,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,No,Neither of them do,No,Before that,Before that,Before that,,,Version 1,,Election day,No,
122149.0,0.43712808579,Donald Trump,,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,6.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,For your candidate,2.0,Donald Trump,Donald Trump,,,,,,,,,,Good,Excellent or good,No,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,88.0,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,White,White,,,South,Male,White men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,,,,,,,,,Version 2,,Election day,,
134935.0,0.46937161876,Donald Trump,,,,,,,,,,,Complete,,Call 1,5.0,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",,,,,,Omit,Favorable,Unfavorable,Omit,Only McGrath,Omit,Omit,,1.0,,,,,,,,,Racial inequality,No,,,,,,,,,,,,,,80.0,,,Is a strong leader,Black,Black,State questionnaire,Black,Non-white,Black,,,South,Male,Black men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,In the last few days,In the last month,In the last week,,,Version 1,,Election day,,
136278.0,0.46937161876,Donald Trump,,,,,,,,,,,Complete,,Call 1,5.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",,,,,,Unfavorable,Favorable,Favorable,Only Trump,Both,Favorable,Worse today,,1.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",The coronavirus pandemic,No,,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,80.0,Liberal Democrats,Liberal Democrats,Is a strong leader,Black,Black,State questionnaire,Black,Non-white,Black,,,South,Male,Black men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,In the last few days,In the last month,In the last week,,,Version 1,,Election day,,
132327.0,0.81610668325,Donald Trump,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,1.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Unfavorable,Favorable,Only Trump,Only McConnell,Favorable,Omit,,5.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Crime and safety,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,84.0,Independent/Something else,Conservative Republicans,Cares about people like me,White,White,State questionnaire,White,White,White,,,South,Male,White men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,In the last few days,In the last month,In the last week,,,Version 1,,Election day,No,
60801.0,2.75339603934,Donald Trump,,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,2.0,No,Somewhat well,Very well or somewhat well,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,Omit,5.0,Donald Trump,Donald Trump,,,,,,,,No,No,Not so good,Not so good or poor,No,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,Omit,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,South,Female,White women,Rural,Small Cities/Rural,Kentucky,Other,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,No,By mail,,White Born-again/Evangelical Christians
132014.0,0.14507259295,Other,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,Call 2,5.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Unfavorable,Unfavorable,Neither of them,Neither,Unfavorable,About the same,,1.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,,,101.0,,,Is a strong leader,White,White,State questionnaire,White,White,White,,,South,Male,White men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Neither of them do,No,Before that,Before that,Before that,,,Version 1,,Election day,No,
121675.0,0.219853644,Joe Biden,Did not vote,30-44,30-59,30-34,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 1,3.0,,Omit,Omit,Not very confident or not at all confident,Not very confident,Election day,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,4.0,,,,,,,,,,No,,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,54.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,Omit,Omit,South,Male,Black men,"Cities over 500,000","Cities over 50,000",Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 3,,Election day,,
134183.0,0.3457398765,Joe Biden,Did not vote,30-44,30-59,35-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 2,6.0,,Very badly,Somewhat badly or very badly,Very confident or somewhat confident,Somewhat confident,Election day,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,2.0,,,,,,,,,,No,,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Conservative,,24.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,Suburbs,Suburbs,Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 3,,Election day,,
60984.0,0.62928088961,Joe Biden,Did not vote,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,6.0,Yes,Somewhat badly,Somewhat badly or very badly,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,Against his opponent,2.0,Joe Biden,Joe Biden,,,,,,,,No,No,Not so good,Not so good or poor,No,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,Isolated events,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Kentucky,Other,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,No,Early in-person,,White Born-again/Evangelical Christians
121421.0,0.25273856414,Donald Trump,Did not vote,30-44,30-59,30-34,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,No,Call 1,5.0,No,Somewhat well,Very well or somewhat well,Not very confident or not at all confident,Not very confident,Election day,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,Against his opponent,1.0,Donald Trump,Donald Trump,,,,,,,,Yes,No,Excellent,Excellent or good,Yes,Women without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,All others,Conservative,Isolated events,105.0,Moderate/Liberal Republicans,Conservative Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,Female,Latino women,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,No,Election day,,All others
143768.0,0.25273856414,Donald Trump,Did not vote,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,5.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Unfavorable,Only Trump,Neither,Favorable,Better today,,1.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Crime and safety,No,,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Moderate,,105.0,Moderate/Liberal Republicans,Moderate Independents,Is a strong leader,White,White,State questionnaire,White,White,White,,,South,Female,White women,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,In the last week,In the last month,In the last week,,,Version 1,,Election day,No,
143831.0,0.25273856414,Donald Trump,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,5.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Unfavorable,Only Trump,Neither,Favorable,Worse today,,1.0,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,105.0,Independent/Something else,Conservative Republicans,Is a strong leader,White,White,State questionnaire,White,White,White,,,South,Female,White women,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,Version 1,,Election day,Yes,
143735.0,0.3952399542,Donald Trump,Did not vote,30-44,30-59,35-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 3,5.0,,,,,,Election day,"Rebuilding the economy now, even if it hurts efforts to contain the coronavirus","An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Unfavorable,Favorable,Only Trump,Only McConnell,Favorable,Better today,,1.0,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",The economy,No,,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,,105.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,Black,Black,State questionnaire,Black,Non-white,Black,,,South,Male,Black men,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,In the last few days,In the last month,In the last week,,,Version 1,,Election day,No,
124453.0,0.81610668325,Donald Trump,Did not vote,65+,60+,75 or older,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 1,1.0,,,,,,Election day,"Containing the coronavirus now, even if it hurts the economy",Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Unfavorable,Only Trump,Neither,Favorable,About the same,,5.0,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",The economy,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,,,84.0,,,Is a strong leader,White,White,State questionnaire,White,White,White,,,South,Female,White women,Rural,Small Cities/Rural,Kentucky,Other,Election day exit poll,No,Only Donald Trump does,Yes,Before that,Before that,Before that,,,Version 1,,Election day,Yes,
