id,backside,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,forcands,geocode,gopconv1,govtangr,govtan_1,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mdrprs16,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,version,votenovc,votenovk,votenovt,wallst16,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
580101,Complete,Yes,Call 1,5,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,111,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him,Help the U.S. economy,.624371647834778,No,White Born-again/Evangelical Christians,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
580110,Complete,No,Call 1,7,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,4,Who the delegates think would be the best nominee,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,69,Can win in November,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,Probably vote for him,Not vote for him,Not vote for him,Help the U.S. economy,1.82571542263031,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
580120,Complete,Yes,Call 1,5,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,111,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Probably vote for him,Probably vote for him,Help the U.S. economy,.624371647834778,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
580123,Complete,Yes,Call 1,5,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,3,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,106,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him,Help the U.S. economy,.786399483680725,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580184,Complete,Yes,Call 1,7,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,For your candidate,2,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Immigration,Ted Cruz,Independent/Something else,All Other,Something else,Independent Men,Conservative,Conservative,Very conservative,24,Shares my values,Other,Other,State questionnaire,Other,Non-white,East,Male,All other races,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Probably vote for him,Hurt the U.S. economy,1.70673215389252,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,All others
580200,Not complete, ,Call 1,7, , , , ,For your candidate,2, , , , , , , , , , , ,Ted Cruz, , , , , , , ,24, ,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him, ,1.56015682220459, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
580218,Complete,No,Call 1,7,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,2,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,24,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,1.56015682220459,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
580223,Complete,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Definitely vote for him,Not vote for him,Hurt the U.S. economy,.361655592918396,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580234,Complete,No,Call 1,7,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,2,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,24,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Probably vote for him,Help the U.S. economy,1.70673215389252,No,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
580241,Complete,No,Call 1,5,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,111,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Omit,.570750176906586,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580250,Complete,No,Call 1,5,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Ted Cruz,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,111,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him,Omit,.570750176906586,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580252,Complete,No,Call 1,7,College graduate,College graduate,More than High school graduate,Non white college degree,Against his opponents,2,Who the delegates think would be the best nominee,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,24,Can win in November,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,East,Male,Latino men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him,Hurt the U.S. economy,1.70673215389252,No,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Latino 30-44
580264,Complete,Yes,Call 1,5,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,111,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Probably vote for him,Help the U.S. economy,.570750176906586,No,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
580268,Complete,No,Call 1,8,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,3,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,86,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,.472392082214355,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
580300,Complete,No,Call 1,8,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,3,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Ted Cruz,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,86,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Probably vote for him,Probably vote for him,Not vote for him,Omit,.431822717189789,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
580312,Complete,No,Call 1,8,College graduate,College graduate,More than High school graduate,Non white college degree,For your candidate,3,Who the delegates think would be the best nominee,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,86,Shares my values,Other,Asian,State questionnaire,Asian,Non-white,East,Female,All other races,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Hurt the U.S. economy,.431822717189789,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,All others
580318,Complete,Yes,Call 1,8,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Against his opponents,4,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,49,Can win in November,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,1.66915810108185,Yes,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
580319,Complete, ,Call 1,7,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,For your candidate,4,Who the delegates think would be the best nominee,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,Ted Cruz,Independent/Something else,All Other,Something else,Independent Men,Moderate/Liberal,Moderate,Moderate,70,Shares my values,Other,Other,State questionnaire,Other,Non-white,East,Male,All other races,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Definitely vote for him,Help the U.S. economy,1.79880356788635,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,All others
580325,Complete,No,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,1,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,10,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Probably vote for him,Help the U.S. economy,.361655592918396,No,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
580334,Complete,Yes,Call 1,8,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,3,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,86,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Not vote for him,Help the U.S. economy,.472392082214355,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580342,Complete,No,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,For your candidate,1,With the most votes in the primaries,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,10,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs, Maryland,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Help the U.S. economy,.361655592918396,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580353,Complete,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,1,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Immigration,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Hurt the U.S. economy,.395632803440094,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580354,Complete,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,1,With the most votes in the primaries,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Immigration,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Definitely vote for him,Definitely vote for him,Hurt the U.S. economy,.395632803440094,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
580377,Complete,No,Call 1,7,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,4,Who the delegates think would be the best nominee,Angry,"Dissatisfied, but not angry or Angry",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Immigration,Ted Cruz,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,70,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Definitely vote for him,Hurt the U.S. economy,1.79880356788635,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
580381,Complete,Yes,Call 1,7,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,For your candidate,4,With the most votes in the primaries,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Government spending,Ted Cruz,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,70,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,East,Male,Latino men,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Not vote for him,Help the U.S. economy,1.79880356788635,No,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,Latino 45-59
580428,Complete,No,Call 1,8, , , , ,For your candidate,3,Who the delegates think would be the best nominee,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Omit,Ted Cruz,Independent/Something else,All Other,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,75,Shares my values,Other,Other,State questionnaire,Other,Non-white,East,Female,All other races,Suburbs,Suburbs, Maryland,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,Definitely vote for him,Probably vote for him,Probably vote for him,Hurt the U.S. economy,.559836208820343,No,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,All others
