id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,betrayed,brnagain,call,cdnum,cicrep16,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,kasichho,morprs16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trumphon,trumpvot,version,votenovc,votenovk,votenovt,weight,whnclinc,whtevang
506593,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29, , ,Complete,Yes, ,Call 3,6,Ted Cruz, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Terrorism, ,Ben Carson, ,Be from outside the political establishment,18-44,18-64,Independent/Something else,Black Independent,Something else, ,Moderate/Liberal,Moderate,Moderate,19,Yes,Can win in November,Black,Black,State questionnaire,Black,Non-white, ,Midwest, , ,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Not vote for him,Not vote for him,Not vote for him,.931204080581665, , 
506699,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,All others,All others, , ,Complete,Yes, ,Call 3,2,John Kasich, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ben Carson, ,Have experience in politics,18-44,18-64,Independent/Something else,All Other,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,114,No,Can win in November,Other,Asian,State questionnaire,Asian,Non-white, ,Midwest,Male,All other races,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Not vote for him,.392856687307358, , 
492426,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,No, ,Call 1,6,Ted Cruz, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4, ,Ted Cruz,Would not have voted, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,40,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Not vote for him,Not vote for him,1.78861677646637, , 
492505,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44, , ,Complete,No, ,Call 1,6,Ted Cruz, ,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, ,Ted Cruz,Would not have voted, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,40,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Not vote for him,1.78861677646637, , 
492705,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,No, ,Call 1,8,Marco Rubio, ,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,92,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,1.31495833396912, , 
492712,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete,No, ,Call 1,7,Ted Cruz, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz, ,Have experience in politics,18-44,18-64,Democrat,White Democrat,Democrat,Democratic Women,Conservative,Conservative,Somewhat conservative,155,No,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,.93154913187027, , 
492753,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,Yes, ,Call 1,7,Ted Cruz, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Immigration, ,Ted Cruz, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,.867796957492828, , 
492765,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Not complete,No, ,Call 1,7, , ,Very worried,Worried, , , , ,5, ,Ted Cruz,Would not have voted, , , , , , , , , , , , ,Ted Cruz, ,Have experience in politics,45+,18-64, , , , , , , ,155, , ,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2, , , ,.93154913187027, , 
492766,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Not complete,No, ,Call 1,7, , ,Very worried,Worried, , , , ,5, ,Ted Cruz,Would not have voted, , , , , , , , , , , , ,Ted Cruz, ,Have experience in politics,45+,18-64, , , , , , , ,155, , ,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2, , , ,.93154913187027, , 
492807,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29, , ,Complete,No, ,Call 1,7,Ted Cruz, ,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,77,No,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Not vote for him,1.62965261936188, , 
492827,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete,No, ,Call 1,7,Ted Cruz, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, ,Ted Cruz,John Kasich, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,77,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Probably vote for him,1.02430653572083, , 
492849,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others, , ,Complete,Yes, ,Call 1,7,Ted Cruz, ,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Independent/Something else,All Other,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,77,Yes,Shares my values,Other,Other,State questionnaire,Other,Non-white, ,Midwest,Female,All other races,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,1.02430653572083, , 
492850,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete,No, ,Call 1,8,Ted Cruz, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, ,Ted Cruz,Omit, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,92,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Probably vote for him,Probably vote for him,Probably vote for him,1.25475072860718, , 
492871,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,Yes, ,Call 1,7,Ted Cruz, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Omit, ,Ted Cruz, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,77,Yes,Omit,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Not vote for him,Probably vote for him,.95420640707016, , 
492892,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others, , ,Complete,Yes, ,Call 1,7,Ted Cruz, ,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Independent/Something else,All Other,Independent,Independent Women,Conservative,Conservative,Very conservative,77,Yes,Shares my values,Other,American Indian,State questionnaire,Other,Non-white, ,Midwest,Female,All other races,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,1.02430653572083, , 
492893,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others, , ,Complete,Yes, ,Call 1,7,Ted Cruz, ,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Independent/Something else,All Other,Independent,Independent Women,Conservative,Conservative,Very conservative,77,Yes,Shares my values,Other,American Indian,State questionnaire,Other,Non-white, ,Midwest,Female,All other races,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,1.02430653572083, , 
492936,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,No, ,Call 1,8,Ted Cruz, ,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2, ,Ted Cruz,John Kasich, , , , , , , , , , ,Terrorism, ,Ted Cruz, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,67,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Not vote for him,.957545220851898, , 
493011,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64, , ,Complete,No, ,Call 1,8,John Kasich, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,92,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Rural,Small Cities/Rural,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,1.25475072860718, , 
493259,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29, , ,Complete,No, ,Call 1,6,Ted Cruz, ,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, ,Ted Cruz,Would not have voted, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz, ,Have experience in politics,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,19,No,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Probably vote for him,Not vote for him,Not vote for him,1.38396084308624, , 
493285,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,Yes, ,Call 1,6,Ted Cruz, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,19,Yes,Can win in November,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Probably vote for him,.869878709316254, , 
493451,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,Yes, ,Call 1,6,Ted Cruz, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3, ,Ted Cruz,John Kasich, , , , , , , , , , ,Economy/Jobs, ,Ted Cruz, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,19,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Not vote for him,.933783829212189, , 
493486,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete,No, ,Call 1,6,Ted Cruz, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Omit,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,19,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,.891028940677643, , 
493601,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44, , ,Complete,No, ,Call 1,7,Ted Cruz, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, ,Ted Cruz,Donald Trump, , , , , , , , , , ,Terrorism, ,Ted Cruz, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,65,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Not vote for him,Probably vote for him,.859053492546082, , 
493619,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,Yes, ,Call 1,6,Ted Cruz, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, ,Ted Cruz,John Kasich, , , , , , , , , , ,Terrorism, ,Ted Cruz, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,19,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Female,White women,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Not vote for him,.933783829212189, , 
493634,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,Yes, ,Call 1,7,Ted Cruz, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,65,Yes,Shares my values,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Probably vote for him,.800262689590454, , 
493653,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29, , ,Complete,Yes, ,Call 1,6,Ted Cruz, ,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,3, ,Ted Cruz,Would not have voted, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,19,No,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white, ,Midwest,Female,Latino women,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Not vote for him,1.48563265800476, , 
493671,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete,No, ,Call 1,2,John Kasich, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,113,Yes,Can win in November,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,1.06078398227692, , 
493748,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete,Yes, ,Call 1,2,Ted Cruz, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1, ,Ted Cruz,John Kasich, , , , , , , , , , ,Government spending, ,Ted Cruz, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,113,Yes,Can bring needed change,White,White,State questionnaire,White,White, ,Midwest,Male,White men,Suburbs,Suburbs,Missouri,Election day exit poll, , , , , , ,Not Donald Trump,Version 2,Probably vote for him,Probably vote for him,Probably vote for him,1.08657574653625, , 
