id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,alrprs16,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang
409873,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Ben Carson,Complete,No,Yes,Call 2,2,Ted Cruz,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , , , , , , , , , ,Ted Cruz,Economy/Jobs, ,Be from outside the political establishment,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,13,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,Alabama,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2,No,3.26112151145935, ,White Born-again/Evangelical Christians
410235,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Ben Carson,Complete, ,Yes,Call 2,2, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,67,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Dissatisfied,Dissatisfied,Donald Trump,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,.774430513381958,Yes,White Born-again/Evangelical Christians
410751,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Ben Carson,Complete,Yes,Yes,Call 2,6,Donald Trump,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , , , , , , , , , ,Donald Trump,Government spending, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,26,Can win in November,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2,No,1.05753648281097, ,White Born-again/Evangelical Christians
410817,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Ben Carson,Complete, , ,Call 2,6, , , ,College graduate,College graduate,More than High school graduate,White college degree,2,Omit,Omit,Offered a chance to apply for legal status, , , , , , , , ,Economy/Jobs,Omit, ,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,75,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Omit,Female,White women, , ,Suburbs,Suburbs,Alabama,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,.758498430252075,No,All others
411054,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Ben Carson,Complete,Yes,No,Call 2,6,Omit,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , , , , , , , , , ,Omit,Economy/Jobs, ,Omit,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Moderate/Liberal,Moderate,Moderate,77,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Not at all,Not much or not at all,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Omit,Version 2,Yes,1.6638411283493, ,All others
412197,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Ben Carson,Complete, ,Yes,Call 2,6, , , ,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,75,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,Alabama,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,.585425615310669,No,White Born-again/Evangelical Christians
412452,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Ben Carson,Complete, , ,Call 2,5, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Omit,Omit,Deported to the country they came from, , , , , , , , ,Omit,Omit, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women, , , ,49,Omit,White,White,State questionnaire,White,White,South,Omit,Omit,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.710357010364532,No,All others
417125,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ben Carson,Complete,Omit,Yes,Call 3,5,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1, , , , , , , , , , ,Donald Trump,Immigration, ,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,46,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2,No,.617727756500244, ,White Born-again/Evangelical Christians
417268,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ben Carson,Complete, ,Yes,Call 3,2, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Oppose, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,67,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Marco Rubio,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,.597722351551056,No,White Born-again/Evangelical Christians
417371,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Ben Carson,Complete,No,Yes,Call 3,3,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , , , , , , , , ,Ted Cruz,Economy/Jobs, ,Be from outside the political establishment,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative,7,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs,Alabama,Election day exit poll, , , , ,Not Donald Trump,Omit,Version 2,No,.987113535404205, ,White Born-again/Evangelical Christians
417512,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ben Carson,Complete, ,Yes,Call 3,3, , , ,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,9,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Marco Rubio,Female,White women, , ,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,1.08076524734497,No,White Born-again/Evangelical Christians
417532,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ben Carson,Complete, ,Yes,Call 3,1, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,59,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.00175046920776,No,White Born-again/Evangelical Christians
417533,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Ben Carson,Complete, ,Yes,Call 3,1, , , ,College graduate,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,58,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.664791107177734,No,White Born-again/Evangelical Christians
417606,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ben Carson,Complete, ,No,Call 3,1, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Liberal,Liberal,58,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump, ,Version 1, ,.664791107177734,No,All others
417619,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ben Carson,Complete,Yes,Yes,Call 3,6,Ted Cruz,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3, , , , , , , , , , ,Ted Cruz,Government spending, ,Omit,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,26,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2,No,1.05753648281097, ,White Born-again/Evangelical Christians
417639,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Ben Carson,Complete,Yes,Yes,Call 3,1,Ted Cruz,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4, , , , , , , , , , ,Ted Cruz,Terrorism, ,Be from outside the political establishment,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,58,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2,No,.861327230930328, ,White Born-again/Evangelical Christians
402999,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes,Call 1,3, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Immigration,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,9,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 10,000-50,000",Small Cities/Rural,Alabama,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,1.13784110546112,No,White Born-again/Evangelical Christians
403077,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete,Yes,Yes,Call 1,5,Ted Cruz,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1, , , , , , , , , , ,Ted Cruz,Economy/Jobs, ,Omit,45+,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative,49,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2,No,1.42151045799255, ,White Born-again/Evangelical Christians
404603,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Ted Cruz,Complete,Yes,No,Call 1,6,Ted Cruz,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , , , , , , , , ,Ted Cruz,Terrorism, ,Have experience in politics,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative,74,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs,Alabama,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2,No,1.33510684967041, ,All others
404617,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,No,Call 1,4, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,16,Can win in November,White,White,State questionnaire,White,White,South,Satisfied,Omit,Omit,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,Alabama,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,1.96210908889771,No,All others
404719,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete,Yes,Yes,Call 1,1,Ted Cruz,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, , , , , , , , , , ,Ted Cruz,Government spending, ,Have experience in politics,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,58,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2,No,.659707963466644, ,White Born-again/Evangelical Christians
404872,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Ted Cruz,Complete, ,Yes,Call 1,1, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Government spending,Support, ,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,Alabama,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,.579088687896729,No,White Born-again/Evangelical Christians
404967,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Ted Cruz,Complete, ,Yes,Call 1,6, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative,5,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,Alabama,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.02953398227692,No,White Born-again/Evangelical Christians
405137,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Ted Cruz,Complete, ,Yes,Call 1,6, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative,26,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Alabama,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,.86316591501236,No,White Born-again/Evangelical Christians
