id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,break12p,breakfac,breakimp,brnagain,call,cdnum,describs,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,govtangr,govtan_1,gunowner,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,issvqual,life,married,muslimba,nhrprs16,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,regnhrep,satcruz,satrubio,sattrump,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,telepoll,terrworr,terworr2,timenh16,timeprif,timeprim,timepriw,trumpvot,version,weight,whnclinc,whtevang
110773, , , , , , , , , , ,Complete,Yes, , , ,No,Call 1,2,I strongly favor my candidate,John Kasich,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Holding steady financially, , ,Yes, , , , , , , , ,John Kasich, , , , , ,John Kasich, , , ,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,90,Omit, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll,Somewhat worried,Very or somewhat worried, , , , ,Not Donald Trump,Version 3,1.2730655670166, ,All others
110774,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,The most important factor,A factor,Important,No,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , , , ,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Economy/Jobs,My candidate's positions on the issues, ,Yes,Oppose,Chris Christie, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,73,Yes,Can win in November,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.51744019985199,No,All others
110781,30-44,30-59,30-39,18-44,1,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , , , ,Yes,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4, ,Angry,"Dissatisfied, but not angry or Angry", , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs, ,Better than life today, , ,Donald Trump,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,90, ,Can bring needed change,White,White,State questionnaire,White,White,East,Registered as Republican,Satisfied,Dissatisfied,Satisfied,Female,White women, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 2,1.34546720981598,No,White Born-again/Evangelical Christians
110782,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , , , ,No,Call 1,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,2, ,Angry,"Dissatisfied, but not angry or Angry", , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism, ,Worse than life today, , ,Ted Cruz,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,73, ,Can bring needed change,White,White,State questionnaire,White,White,East,Registered as Republican,Satisfied,Satisfied,Satisfied,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 2,.733647167682648,No,All others
110787,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,2, , , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , , , ,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,My candidate's leadership/personal qualities, ,Yes,Support,Donald Trump, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,90,Yes,Shares my values,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Married men,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.09372711181641,No,All others
110788,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No, , , ,Yes,Call 1,2,I strongly favor my candidate,Omit,Not at all worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Holding steady financially, , ,Yes, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Omit, , , , , ,Ben Carson, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,73,Yes, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll,Not at all worried,Not too or not at all worried, , , , ,Not Donald Trump,Version 3,.492368787527084,No,White Born-again/Evangelical Christians
110790,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,One of several important factors,A factor,Important,No,Call 1,2, , , , ,College graduate,College graduate,More than High school graduate,White college degree,2, , , , ,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Immigration,My candidate's positions on the issues, ,No,Oppose,John Kasich, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,44,Yes,Can win in November,White,White,State questionnaire,White,White,East, , , , ,Female,White women,Non married women,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.41803693771362,No,All others
110792,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , , , ,Yes,Call 1,1, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, ,Angry,"Dissatisfied, but not angry or Angry", , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Immigration, ,Worse than life today, , ,Donald Trump,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,7, ,Tells it like it is,White,White,State questionnaire,White,White,East,Registered as Republican,Dissatisfied,Dissatisfied,Satisfied,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,In the last month,Earlier than that,In the last month,Earlier than that,Donald Trump,Version 2,1.23198342323303,No,White Born-again/Evangelical Christians
110793,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , , ,No,Call 1,2, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs, ,Better than life today, , ,John Kasich,Have experience in politics,45+,65+,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Moderate,Moderate,90, ,Shares my values,White,White,State questionnaire,White,White,East,Registered as Republican,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 2,1.13195645809174,No,All others
110794,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete, ,A minor factor,A factor,Not important, ,Call 1,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,Marco Rubio, ,45+,18-64, , , , , , , ,73,Yes, ,White,White,State questionnaire,White,White,East, , , , ,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.70877593755722, , 
110798,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,One of several important factors,A factor,Important,No,Call 1,2, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , , , ,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Immigration,My candidate's leadership/personal qualities, ,Yes,Support,Donald Trump, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,44,Yes,Can win in November,White,White,State questionnaire,White,White,East, , , , ,Female,White women,Married women,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.11511397361755,No,All others
110800,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , , , ,No,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism, ,Better than life today, , ,Chris Christie,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,73, ,Can bring needed change,White,White,State questionnaire,White,White,East,Registered as Republican,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 2,.784840226173401,No,All others
110802,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , , , ,No,Call 1,2, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic", , , , , , , , , , ,Terrorism, ,Worse than life today, , ,John Kasich,Have experience in politics,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,90, ,Can bring needed change,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 2,1.13195645809174, ,All others
110804,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,A minor factor,A factor,Not important,No,Call 1,2, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , , , ,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,My candidate's leadership/personal qualities, ,Yes,Support,Marco Rubio, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,44,Yes,Tells it like it is,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Married men,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,.946138918399811,No,All others
110805,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No, , , ,No,Call 1,1,I strongly favor my candidate,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2,Falling behind financially, , ,No, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Donald Trump, , , , , ,Donald Trump, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,7,Yes, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Female,White women, ,Suburbs,Suburbs,New Hampshire,Election day exit poll,Somewhat worried,Very or somewhat worried, , , , ,Donald Trump,Version 3,1.31455874443054,No,All others
110807,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , , ,No,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending, ,Worse than life today, , ,John Kasich,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,73, ,Can win in November,White,White,State questionnaire,White,White,East,Registered as Republican,Dissatisfied,Satisfied,Dissatisfied,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 2,.829485833644867,No,All others
110811,45-65,60+,60-64,45+,2,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes, , , ,Yes,Call 1,2,I strongly favor my candidate,Ted Cruz,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4,Holding steady financially, , ,Yes, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Ted Cruz, , , , , ,Ted Cruz, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,90,Yes, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll,Very worried,Very or somewhat worried, , , , ,Not Donald Trump,Version 3,.973726987838745,No,White Born-again/Evangelical Christians
110813,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,The most important factor,A factor,Important,No,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , , , ,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,My candidate's positions on the issues, ,Yes,Oppose,Chris Christie, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,44,Yes,Can bring needed change,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Married men,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,.769742131233215,No,All others
110815,30-44,30-59,40-44,18-44,1,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No, , , ,No,Call 1,2,I like my candidate but with reservations,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2,Getting ahead financially, , ,Yes, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Jeb Bush, , , , , ,Donald Trump, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,73,Yes, ,White,White,State questionnaire,White,White,East,Registered as Republican, , , ,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll,Very worried,Very or somewhat worried, , , , ,Donald Trump,Version 3,.765526175498962,No,All others
110816,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, , , ,No,Call 1,1,I strongly favor my candidate,Chris Christie,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2,Omit, , ,Yes, , , , , , , , ,Chris Christie, , , , , ,Chris Christie, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,7,Yes, ,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent, , , ,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll,Not too worried,Not too or not at all worried, , , , ,Not Donald Trump,Version 3,.801158130168915,No,All others
110819,65+,60+,65 or over,45+,2,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , , ,No,Call 1,2, , , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, ,Omit,Omit, , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Immigration, ,Better than life today, , ,Donald Trump,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,90, ,Can bring needed change,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,Dissatisfied,Dissatisfied,Satisfied,Male,White men, ,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,In the last few days,Last few days,In the last month,This week,Donald Trump,Version 2,1.12810516357422,Yes,All others
110821,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,One of several important factors,A factor,Important,Yes,Call 1,2, , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , , , ,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,My candidate's leadership/personal qualities, ,Yes,Support,Donald Trump, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,44,Yes,Can win in November,White,White,State questionnaire,White,White,East, , , , ,Male,White men,Married men,Suburbs,Suburbs,New Hampshire,Election day exit poll, , ,Just today,Last few days,In the last month,This week,Donald Trump,Version 1,1.0413064956665,No,White Born-again/Evangelical Christians
110823,45-65,30-59,50-59,45+,2,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,One of several important factors,A factor,Important,Yes,Call 1,2, , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , , , ,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,My candidate's positions on the issues, ,Yes,Support,Ben Carson, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,73,Yes,Shares my values,White,White,State questionnaire,White,White,East, , , , ,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Election day exit poll, , ,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.478014796972275,No,White Born-again/Evangelical Christians
