id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,tnrprs16,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang
397433,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes, ,4, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Omit,Omit,Satisfied,Omit,Female,White women, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,2.47499179840088,No,White Born-again/Evangelical Christians
397434,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes, ,2, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Omit,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,1.14729964733124,No,White Born-again/Evangelical Christians
397435,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes, ,6, , , ,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Men,Moderate/Liberal,Moderate,Moderate, ,Tells it like it is,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Marco Rubio,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Sometime last week,Earlier than that,In the last month,This week,Ben Carson,Not Donald Trump, ,Version 1, ,1.14729964733124,No,White Born-again/Evangelical Christians
397436,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,5, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ben Carson,Not Donald Trump, ,Version 1, ,.489744395017624,No,White Born-again/Evangelical Christians
397437,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,9, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities over 500,000","Cities over 50,000",Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.803509116172791,No,White Born-again/Evangelical Christians
397438,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No, ,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Omit, , , , , , , , ,Economy/Jobs,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Something else,Independent Men,Moderate/Liberal,Moderate,Moderate, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.84447407722473,No,All others
397439,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,6, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.20526361465454,No,White Born-again/Evangelical Christians
397440,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,4, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate, ,Can win in November,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.84447407722473,No,White Born-again/Evangelical Christians
397441,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,3, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Government spending,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Dissatisfied,Dissatisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.803509116172791,No,White Born-again/Evangelical Christians
397442,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,8, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.706967771053314,No,White Born-again/Evangelical Christians
397443,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,2, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, , , , , , , , ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.706967771053314,No,White Born-again/Evangelical Christians
397444,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Can win in November,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.57469010353088,No,White Born-again/Evangelical Christians
397445,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,1, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Omit,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 10,000-50,000",Small Cities/Rural,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,3.68894815444946,No,White Born-again/Evangelical Christians
397446,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,9, , , ,College graduate,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Immigration,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.787345051765442,No,White Born-again/Evangelical Christians
397447,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,8, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.84447407722473,No,White Born-again/Evangelical Christians
397448,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,8, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.57469010353088,Yes,White Born-again/Evangelical Christians
397449,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No, ,3, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.803509116172791,No,All others
397450,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,7, , , ,College graduate,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities over 500,000","Cities over 50,000",Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.60701823234558,No,White Born-again/Evangelical Christians
397451,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes, ,1, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,7.37789630889893,No,White Born-again/Evangelical Christians
397452,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,7, , , ,College graduate,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,.787345051765442,No,White Born-again/Evangelical Christians
397453,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,8, , , ,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,1.57469010353088,Yes,White Born-again/Evangelical Christians
397454,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities over 500,000","Cities over 50,000",Tennessee,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Ted Cruz,Not Donald Trump, ,Version 1, ,5.64702129364014,No,White Born-again/Evangelical Christians
