id,backside,betrayed,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,hrctrump,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,novtrump,party,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumpvot,trumpwin,trumpw_1,version,weight,whnclinc,whtevang,wvrprs16,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
627834,Complete,Yes,Yes,Call 1,1,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Not too likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,61,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.03301954269409,No,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
627864,Complete,Omit,Yes,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,3,Omit,Omit,Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Omit,Republican,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Very conservative,15,Omit,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Scared,Concerned or scared,Version 1,1.36188054084778,Yes,White Born-again/Evangelical Christians,Ted Cruz,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
627870,Complete,Yes,Yes,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Omit,Very likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,15,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Excited,Excited or optimistic,Version 1,1.36188054084778,Yes,White Born-again/Evangelical Christians,Ted Cruz,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
627873,Complete,Yes,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Not too likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,16,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.842068374156952,No,All others,Ted Cruz,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
627891,Complete,No,Yes,Call 1,2,High school or less,No college degree,High school graduate or less,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Very likely,Republican,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Very conservative,42,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.17935299873352,Yes,White Born-again/Evangelical Christians,Ted Cruz,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
628069,Complete,Yes,No,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Somewhat likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,92,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Just today,Last few days,In the last month,This week,Takes away U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,.556347370147705,No,All others,Ted Cruz,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
628078,Complete,Yes,Yes,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Not at all likely,Independent/Something else,Something else,Independent Women,Is divided now but will unite by November,Conservative,Conservative,Very conservative,82,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.580846309661865,Yes,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628096,Complete,No, ,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Very likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,22,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.08681845664978,No,All others,Ted Cruz,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
628098,Complete,No,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Not at all likely,Independent/Something else,Something else,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,22,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.15939688682556,Yes,All others,Ted Cruz,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
628100,Complete,Yes,Yes,Call 1,2,High school or less,No college degree,High school graduate or less,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Somewhat likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,22,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This week,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.08681845664978,Yes,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628134,Complete,Yes,Yes,Call 1,2,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Very likely,Republican,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Very conservative,92,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.521519899368286,No,White Born-again/Evangelical Christians,Ted Cruz,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628706,Complete,Yes,Yes,Call 2,1,Postgraduate study,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Not at all likely,Independent/Something else,Independent,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,78,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.781981825828552,No,White Born-again/Evangelical Christians,Ted Cruz,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
628710,Complete,Yes,Yes,Call 2,1,Postgraduate study,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Somewhat likely,Independent/Something else,Independent,Independent Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,78,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.733029663562775,No,White Born-again/Evangelical Christians,Ted Cruz,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
628763,Complete,Yes,Yes,Call 2,2,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Somewhat likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,1,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.520286440849304,No,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628805,Complete,Yes,No,Call 2,2,College graduate,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Very likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,42,Tells it like it is,White,White,State questionnaire,White,White,East,Male,White men,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.17935299873352,No,All others,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628813,Complete,Yes,No,Call 2,1,High school or less,No college degree,High school graduate or less,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Not too likely,Independent/Something else,Independent,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,61,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.03301954269409,Yes,All others,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628918,Complete,Yes,Yes,Call 2,3,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Not at all likely,Independent/Something else,Something else,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,6,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,3.5127112865448,No,White Born-again/Evangelical Christians,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628989,Complete,No,Yes,Call 2,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Not too likely,Republican,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Very conservative,22,Can bring needed change,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.08681845664978,Yes,White Born-again/Evangelical Christians,Ted Cruz,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628993,Complete,Yes,Yes,Call 2,3,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Not too likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,71,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.653318226337433,No,White Born-again/Evangelical Christians,Ted Cruz,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
628994,Complete,Yes,Yes,Call 2,3,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Not too likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,71,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.653318226337433,No,White Born-again/Evangelical Christians,Ted Cruz,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
629314,Complete,No,No,Call 3,3,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Not too likely,Republican,Republican,Republican Women,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,15,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Omit,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.36188054084778,No,All others,Ted Cruz,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
629316,Complete,Yes,No,Call 3,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Not at all likely,Republican,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Somewhat conservative,15,Can win in November,White,White,State questionnaire,White,White,East,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Scared,Concerned or scared,Version 1,1.45282781124115,No,All others,Ted Cruz,65+,60+,65 or over,45+,50+,60+,65+,White 60+
629369,Complete,No,No,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Somewhat likely,Republican,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,51,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.9721645116806,No,All others,Ted Cruz,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
629372,Complete,Yes,Yes,Call 3,2,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Somewhat likely,Republican,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,2,Shares my values,White,White,State questionnaire,White,White,East,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.22863841056824,No,White Born-again/Evangelical Christians,Ted Cruz,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
629399,Complete,Yes,Yes,Call 3,1,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Not at all likely,Independent/Something else,Something else,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,78,Shares my values,White,White,State questionnaire,White,White,East,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.781981825828552,No,White Born-again/Evangelical Christians,Ted Cruz,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
