ID,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CLINBUSINESS,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONDEM16,ECONDEMCLIN,ECONDEMSANDERS,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GOVTANGR16,GOVTANGR16B,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,MARRIED,MSDPRS16,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDBUSINESS,SANDERSLIB,SANDHONEST,SANDREALISTIC,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
442179.0,A few times a month,Occasionally,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Income inequality,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,14.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,About right,,Realistic,Female,Black women,Married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,0.55649733543396,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,38672.0
442175.0,A few times a month,Occasionally,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Hillary Clinton,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,112.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,Too liberal,,Not realistic,Female,White women,Non married women,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,2.38272500038147,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,39339.0
442174.0,Once a week,Weekly,Complete,Call 1,1.0,,,Realistic,Too liberal,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Terrorism,No,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,15.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Not liberal enough,,Not realistic,Female,Black women,Non married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.591225981712341,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,38654.0
443744.0,A few times a month,Occasionally,Complete,Call 2,4.0,,,Realistic,About right,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,28.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,About right,,Realistic,Male,Black men,Married men,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.702928960323334,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,39501.0
442171.0,,,Complete,Call 1,2.0,Too anti-business,Yes,,,,,,Favors the wealthy,Not too worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Health care,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,36.0,,Can win in November,Black,Black,State questionnaire,Black,Non-white,,,,,South,Too anti-business,,Yes,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Version 1,1.14340698719025,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,39212.0
442169.0,A few times a month,Occasionally,Complete,Call 1,2.0,,,Realistic,Too liberal,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Income inequality,,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,23.0,Yes,Omit,Black,Black,State questionnaire,Black,Non-white,Omit,Omit,Omit,Omit,South,,Omit,,Realistic,Male,Black men,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,Omit,Version 2,1.37382757663727,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,38901.0
442168.0,,,Complete,Call 1,1.0,Too pro-business,Yes,,,,,,Favors the wealthy,Somewhat worried,Worried,,,,,3.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Income inequality,,Bernie Sanders,Change to more liberal policies,Be from outside the political establishment,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Very liberal,Liberal,Liberal,3.0,,Honest and trustworthy,White,White,State questionnaire,White,White,,,,,South,About right,,Yes,,Male,White men,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Version 1,0.430794805288315,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,38865.0
445146.0,Once a week,Weekly,Complete,Call 3,2.0,,,Realistic,Not liberal enough,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,Non white college degree,2.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Terrorism,No,Hillary Clinton,,,Republican,Black non-Democrat,All Republicans,Republican,All others,Somewhat liberal,Liberal,Liberal,62.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Too liberal,,Not realistic,Female,Black women,Non married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,0.417502224445343,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,39046.0
442162.0,Once a week,Weekly,Complete,Call 1,1.0,,,Realistic,About right,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Economy/Jobs,Yes,Hillary Clinton,,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Somewhat liberal,Liberal,Liberal,14.0,Yes,Can win in November,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Sanders or Neither of them,Only Sanders,Only Sanders or Both of them,South,,Too liberal,,Not realistic,Female,Black women,Married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.55649733543396,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,38672.0
442161.0,,,Complete,Call 1,2.0,Too pro-business,No,,,,,,Favors the wealthy,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,Angry,"Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Terrorism,,Bernie Sanders,Generally continue Barack Obama's policies,Have experience in politics,Independent/Something else,Black non-Democrat,Black Independent,Something else,All others,Moderate,Moderate or conservative,Moderate,32.0,,Can win in November,Black,Black,State questionnaire,Black,Non-white,,,,,South,About right,,No,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Version 1,0.984601736068726,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,39212.0
442160.0,More than once a week,Weekly,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Terrorism,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,15.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Not liberal enough,,Not realistic,Male,Black men,Married men,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.621600210666656,No,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,38654.0
444090.0,,,Complete,Call 2,2.0,Omit,Yes,,,,,,Is fair to most Americans,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,Omit,Omit,,,,,,,,Health care,,Hillary Clinton,Generally continue Barack Obama's policies,Be from outside the political establishment,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,62.0,,Omit,Black,Black,State questionnaire,Black,Non-white,,,,,South,About right,,Yes,,Female,Black women,,Suburbs,Suburbs, Mississippi,Election day exit poll,Just today,Last few days,In the last month,This month,,Version 1,0.417502224445343,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,39046.0
442157.0,More than once a week,Weekly,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Yes,Hillary Clinton,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,15.0,Yes,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Too liberal,,Not realistic,Female,White women,Married women,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Takes away U.S. jobs,Version 2,1.54270708560944,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59,38654.0
442156.0,,,Complete,Call 1,1.0,About right,Yes,,,,,,Favors the wealthy,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Economy/Jobs,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,112.0,,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,South,Too pro-business,,Yes,,Female,Black women,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,Sometime last week,Earlier than that,In the last month,This month,,Version 1,0.913153886795044,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,39339.0
442154.0,A few times a month,Occasionally,Complete,Call 1,2.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Economy/Jobs,No,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,75.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,Not liberal enough,,Not realistic,Female,Black women,Non married women,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,Has no effect on U.S. jobs,Version 2,0.716198086738586,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,38606.0
445599.0,Once a week,Weekly,Complete,Call 3,2.0,,,Realistic,About right,Both of them,Only Clinton or both of them,Only Sanders or both of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Economy/Jobs,No,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,32.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,,Not liberal enough,,Omit,Female,Black women,Non married women,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,1.74461781978607,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,39212.0
442150.0,,,Complete,Call 1,2.0,About right,Yes,,,,,,Favors the wealthy,Not at all worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,36.0,,Has the right experience,Black,Black,State questionnaire,Black,Non-white,,,,,South,Too anti-business,,Yes,,Female,Black women,,"Cities 50,000-500,000","Cities over 50,000", Mississippi,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Version 1,1.09911394119263,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,39212.0
442149.0,More than once a week,Weekly,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,14.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Not liberal enough,,Not realistic,Male,Black men,Married men,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.578923523426056,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,38672.0
442147.0,More than once a week,Weekly,Complete,Call 1,1.0,,,Realistic,About right,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,3.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Terrorism,Yes,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,15.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,,Not liberal enough,,Not realistic,Male,Black men,Married men,Suburbs,Suburbs, Mississippi,Election day exit poll,,,,,Creates more U.S. jobs,Version 2,0.615051686763763,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,38654.0
442144.0,More than once a week,Weekly,Complete,Call 1,2.0,,,Omit,Omit,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,,,,,3.0,,,,,,,,,,Health care,,Hillary Clinton,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,23.0,Omit,Omit,Black,Black,State questionnaire,Black,Non-white,Omit,Omit,Omit,Omit,South,,Omit,,Omit,Female,Black women,,Rural,Small Cities/Rural, Mississippi,Election day exit poll,,,,,Omit,Version 2,1.33466911315918,,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,38901.0
