id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,describs,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,gop20162,gop201_1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,mirprs16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,satcruz,satrubio,sattrump,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,weight,whnclinc,whtevang
441077,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,6,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Marco Rubio,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Omit,Omit,Omit,Omit, ,No,Not Donald Trump, ,Version 1,.947002172470093,Yes,All others
441078,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,3,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Marco Rubio,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,.947002172470093,No,White Born-again/Evangelical Christians
441079,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,6,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, , , , , , , ,Omit,Marco Rubio,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,1.89400434494019, ,White Born-again/Evangelical Christians
441080,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,12,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, , , , , , , ,Government spending,Donald Trump,Oppose, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Can win in November,White,White,State questionnaire,White,White,Midwest,Omit,Dissatisfied,Dissatisfied,Dissatisfied,Female,White women, , ,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Donald Trump, ,Version 1,.85307639837265,No,All others
441081,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,1,Omit, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Omit,Satisfied,Satisfied,Satisfied,Male,White men, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Donald Trump, ,Version 1,1.70473086833954,Yes,White Born-again/Evangelical Christians
441082, , , , , , , , , , ,Complete, ,Yes, ,12,No, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Other,Oppose, , , ,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Omit,Dissatisfied,Satisfied,Omit,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,.490921676158905,Yes,White Born-again/Evangelical Christians
441083,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,12,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,1.74418807029724,No,White Born-again/Evangelical Christians
441084,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,4,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,5, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Government spending,Ben Carson,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Satisfied,Satisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,Omit,Not Donald Trump, ,Version 1,2.04629278182983,Yes,White Born-again/Evangelical Christians
441085,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,6,Omit, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,John Kasich,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women, , , , ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Omit,Dissatisfied,Omit,Omit,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,Omit,Not Donald Trump, ,Version 1,2.05476641654968,No,White Born-again/Evangelical Christians
441086,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,1,Yes, , , ,College graduate,College graduate,More than High school graduate,White college degree,5, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , ,Government spending,Marco Rubio,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Omit,White,White,State questionnaire,White,White,Midwest,Yes,Omit,Dissatisfied,Omit,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1,.947002172470093,No,All others
441087,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Complete, ,No, ,11,No, , , ,College graduate,College graduate,More than High school graduate,Non white college degree,1, , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Immigration,Marco Rubio,Oppose, ,18-44,18-64,Independent/Something else,All Other,Something else,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,Other,Other,State questionnaire,Other,Non-white,Midwest,Yes,Satisfied,Satisfied,Satisfied,Female,All other races, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1,2.18707489967346,No,All others
441088,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No, ,2,No, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Donald Trump,Support, ,18-44,18-64,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Liberal,Liberal, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,3.48837614059448,Yes,All others
441089,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,4,No, , , ,High school or less,No college degree,High school graduate or less,White no college degree,5, , ,Omit,Omit,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Donald Trump,Oppose, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Male,White men, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,1.70473086833954,No,White Born-again/Evangelical Christians
441090,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,12,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Ted Cruz,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Dissatisfied,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1,5.35198450088501,Yes,All others
441091,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,12,Yes, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Ted Cruz,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Satisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1,2.89825797080994,No,White Born-again/Evangelical Christians
441092,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,3,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,4, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , ,Immigration,Donald Trump,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000", Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.85307639837265,No,All others
441093,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,6,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Donald Trump,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,1.84786438941956,Yes,White Born-again/Evangelical Christians
441094,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,8,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , ,Government spending,Ted Cruz,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Satisfied,Dissatisfied,Satisfied,Female,White women, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Not Donald Trump, ,Version 1,5.79651594161987, ,White Born-again/Evangelical Christians
441095,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,10,Yes, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Marco Rubio,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Dissatisfied,Satisfied,Dissatisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1,1.89400434494019,No,All others
441096,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,10,No, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , ,Terrorism,Donald Trump,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,.85307639837265,No,White Born-again/Evangelical Christians
441097,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,1,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,5, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , ,Economy/Jobs,Donald Trump,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Can win in November,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Male,White men, , ,Rural,Small Cities/Rural, Michigan,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Donald Trump, ,Version 1,3.48546886444092,No,White Born-again/Evangelical Christians
441098,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,6,Yes, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4, , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Donald Trump,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Omit,Satisfied,Dissatisfied,Satisfied,Male,White men, , ,Suburbs,Suburbs, Michigan,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Donald Trump, ,Version 1,.923162221908569,Yes,White Born-again/Evangelical Christians
441099,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,2,No, , , ,College graduate,College graduate,More than High school graduate,White college degree,5, , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Donald Trump,Omit, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest,No,Dissatisfied,Dissatisfied,Satisfied,Female,White women, , ,Suburbs,Suburbs, Michigan,Telephone survey,Sometime last week,Earlier than that,In the last month,This week, ,No,Donald Trump, ,Version 1,1.7061527967453,No,All others
