id,attend,attend2,backside,betrayed,brnagain,call,cdnum,cruzwin,cruzwin2,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,forcands,geocode,gopconv1,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,inrprs16,issrep16,kasichwi,kasich_1,outsider,party,partybyr,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,repfair,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,trumpwin,trumpw_1,unfairre,version,votenovc,votenovk,votenovt,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
599422, , ,Not complete, ,Yes,Call 2,6, , ,Very worried,Worried, , , , ,For your candidate,2, , , , , , , , , , , ,Ted Cruz, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,37, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.798730552196503, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
599481,Omit,Omit,Complete, ,Yes,Call 2,5,Optimistic,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,For your candidate,2, , , , , , , , , , , ,Ted Cruz,Economy/Jobs,Optimistic,Excited or optimistic,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Divided the Republican Party,Conservative,Conservative,Very conservative,25,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump,Omit,Omit,Donald Trump,Version 2, , , ,.742426753044128, ,White Born-again/Evangelical Christians, , , , , , , , 
599529, , ,Not complete, ,Yes,Call 2,2, , ,Very worried,Worried, , , , ,Against his opponents,2, , , , , , , , , , , ,Ted Cruz, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,108, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.801158308982849, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599581, , ,Not complete, , ,Call 2,5, , ,Very worried,Worried, , , , ,Against his opponents,2, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,25, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.742426753044128, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599582, , ,Not complete, , ,Call 2,5, , ,Very worried,Worried, , , , ,Against his opponents,2, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,25, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.742426753044128, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599913, , ,Not complete, ,Yes,Call 2,5, , ,Very worried,Worried, , , , ,For your candidate,4, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Energized the Republican Party, , , ,58, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Omit,Version 2, , , ,1.16689693927765, ,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
600631,Omit,Omit,Complete, , ,Call 3,3,Excited,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate, ,For your candidate,2, , , , , , , , , , , ,Ted Cruz,Government spending,Optimistic,Excited or optimistic,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,1,Shares my values, , ,State questionnaire, , ,Midwest, ,Male, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Scared,Concerned or scared,Donald Trump,Version 2, , , ,1.68664622306824, , ,30-44,30-59,40-44,17-44,17-49,30-44,40-49, 
600636, , ,Not complete, ,Yes,Call 3,2, , ,Very worried,Worried, , , , ,For your candidate,2, , , , , , , , , , , ,Ted Cruz, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,108, , , ,State questionnaire, , ,Midwest, ,Female, ,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,John Kasich,Version 2, , , ,.764019131660461, ,All others,45-65,60+,60-64,45+,50+,60+,50-64, 
600939, , ,Not complete, ,No,Call 3,6, , ,Very worried,Worried, , , , ,For your candidate,2, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,37, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.826838910579681, ,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
601063, , ,Not complete, , ,Call 3,8, , ,Very worried,Worried, , , , ,Against his opponents,5, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Omit, , , ,112, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Ted Cruz,Version 2, , , ,1.0848126411438, ,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
601177,Omit,Omit,Complete, , ,Call 3,9,Optimistic,Excited or optimistic,Not at all worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate, ,For your candidate,5, , , , , , , , , , , ,Ted Cruz,Economy/Jobs,Optimistic,Excited or optimistic,Have experience in politics,Republican, ,Republican,Republican Women,Energized the Republican Party,Conservative,Conservative,Somewhat conservative,82,Can bring needed change, , ,State questionnaire, , ,Midwest, ,Female, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Concerned,Concerned or scared,Donald Trump,Version 2, , , ,.698522806167603, , ,65+,60+,65 or over,45+,50+,60+,65+, 
601264,Omit,Omit,Complete, ,Yes,Call 3,5,Optimistic,Excited or optimistic,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,Against his opponents,4, , , , , , , , , , , ,Ted Cruz,Government spending,Concerned,Concerned or scared,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Men,Divided the Republican Party,Conservative,Conservative,Very conservative,58,Omit,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Optimistic,Excited or optimistic,Omit,Version 2, , , ,1.16689693927765, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
601284,Omit,Omit,Complete, ,Yes,Call 3,9,Optimistic,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,5, , , , , , , , , , , ,Ted Cruz,Economy/Jobs,Optimistic,Excited or optimistic,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Women,Divided the Republican Party,Moderate/Liberal,Moderate,Moderate,82,Can win in November,White,White,State questionnaire,White,White,Midwest, ,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump,Scared,Concerned or scared,Donald Trump,Version 2, , , ,.732478201389313, ,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
601290,Omit,Omit,Complete, ,No,Call 3,6,Concerned,Concerned or scared,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,5, , , , , , , , , , , ,Ted Cruz,Government spending,Scared,Concerned or scared,Be from outside the political establishment,Independent/Something else,White Independent,Something else,Independent Men,Omit,Moderate/Liberal,Moderate,Moderate,8,Can win in November,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Election day exit poll, , , , ,Not Donald Trump,Scared,Concerned or scared,Donald Trump,Version 2, , , ,1.23040688037872, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
601301, , ,Not complete, ,Yes,Call 3,9, , ,Very worried,Worried, , , , ,Against his opponents,5, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,20, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.616520285606384, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
601404,Omit,Omit,Complete, , ,Call 3,2,Omit,Omit,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,Against his opponents,1, , , , , , , , , , , ,Ted Cruz,Omit,Optimistic,Excited or optimistic,Omit,Independent/Something else,White Independent,Something else,Independent Women,Divided the Republican Party,Moderate/Liberal,Moderate,Moderate,91,Omit,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump,Scared,Concerned or scared,Donald Trump,Version 2, , , ,.491033047437668, ,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
601416, , ,Not complete, , ,Call 3,1, , ,Very worried,Worried, , , , ,For your candidate,1, , , , , , , , , , , ,Ted Cruz, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,55, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.639786660671234, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
598253, , ,Not complete, ,No,Call 1,7, , ,Somewhat worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,John Kasich, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,75, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Donald Trump,Version 2, , , ,.743663668632507, ,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
600203, , ,Not complete, ,No,Call 3,7, , ,Not too worried,Not worried, , , , ,Against his opponents,3, , , , , , , , , , , ,John Kasich, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,61, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Omit,Version 2, , , ,.833494365215302, ,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
600410, , ,Not complete, ,Yes,Call 3,7, , ,Somewhat worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,John Kasich, , , ,Have experience in politics, , , , ,Divided the Republican Party, , , ,72, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Not Donald Trump, , ,Ted Cruz,Version 2, , , ,.419277042150497, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
598213, , ,Not complete, ,Yes,Call 1,7, , ,Very worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,72, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,John Kasich,Version 2, , , ,.457153111696243, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
598301,Omit,Omit,Complete, , ,Call 1,5,Scared,Concerned or scared,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,2, , , , , , , , , , , ,Donald Trump,Economy/Jobs,Scared,Concerned or scared,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Energized the Republican Party,Moderate/Liberal,Moderate,Moderate,25,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Donald Trump,Excited,Excited or optimistic,Ted Cruz,Version 2, , , ,.99625951051712, ,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
598580, , ,Not complete, ,No,Call 1,9, , ,Very worried,Worried, , , , ,For your candidate,5, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,82, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.906159937381744, ,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
598673,Omit,Omit,Complete, , ,Call 1,8,Optimistic,Excited or optimistic,Omit,Omit, , , , ,Omit,5, , , , , , , , , , , ,Donald Trump,Terrorism,Optimistic,Excited or optimistic,Omit, , , , ,Omit, , , ,104,Shares my values,Other,Asian,State questionnaire,Asian,Non-white,Midwest, ,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump,Omit,Omit,Donald Trump,Version 2, , , ,1.13868629932404, ,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,All others
598897, , ,Not complete, ,Yes,Call 1,8, , ,Very worried,Worried, , , , ,For your candidate,5, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,112, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,1.29641580581665, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
598966, , ,Not complete, ,Yes,Call 1,1, , ,Very worried,Worried, , , , ,Against his opponents,1, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,51, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.714809060096741, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
598986, , ,Not complete, ,No,Call 1,1, , ,Very worried,Worried, , , , ,For your candidate,1, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,88, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,1.62583696842194, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599104,Omit,Omit,Complete, ,Yes,Call 1,9,Concerned,Concerned or scared,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,For your candidate,5, , , , , , , , , , , ,Donald Trump,Terrorism,Concerned,Concerned or scared,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Divided the Republican Party,Conservative,Conservative,Somewhat conservative,20,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump,Excited,Excited or optimistic,Ted Cruz,Version 2, , , ,.736778497695923, ,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
599187, , ,Not complete, ,No,Call 1,9, , ,Very worried,Worried, , , , ,Against his opponents,5, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,20, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.736778497695923, ,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
599308, , ,Not complete, ,Yes,Call 1,9, , ,Very worried,Worried, , , , ,For your candidate,5, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,83, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.895151436328888, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
599310,Omit,Omit,Complete, , ,Call 1,8,Optimistic,Excited or optimistic,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,For your candidate,5, , , , , , , , , , , ,Donald Trump,Economy/Jobs,Optimistic,Excited or optimistic,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Men,Divided the Republican Party,Conservative,Conservative,Somewhat conservative,103,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump,Scared,Concerned or scared,Donald Trump,Version 2, , , ,1.19974291324615, ,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
599465, , ,Not complete, ,No,Call 2,3, , ,Somewhat worried,Worried, , , , ,For your candidate,2, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Divided the Republican Party, , , ,3, , , ,State questionnaire, , ,Midwest, ,Male, ,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Omit,Version 2, , , ,.868243396282196, ,All others,45-65,60+,60-64,45+,50+,60+,50-64, 
599494, , ,Not complete, ,Yes,Call 2,3, , ,Somewhat worried,Worried, , , , ,For your candidate,2, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,16, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,1.73424983024597, ,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
599597, , ,Not complete, ,Yes,Call 2,7, , ,Very worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Omit, , , ,72, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.457153111696243, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599711, , ,Not complete, ,Yes,Call 2,2, , ,Somewhat worried,Worried, , , , ,For your candidate,1, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,92, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.421593934297562, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599773, , ,Not complete, ,No,Call 2,7, , ,Very worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,75, ,White,White,State questionnaire,White,White,Midwest, ,Female,White women,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,Ted Cruz,Version 2, , , ,.756651520729065, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599800, , ,Not complete, , ,Call 2,7, , ,Omit,Omit, , , , ,For your candidate,3, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,75, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,Omit,Version 2, , , ,.783279061317444, ,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
599802, , ,Not complete, ,Yes,Call 2,7, , ,Very worried,Worried, , , , ,For your candidate,3, , , , , , , , , , , ,Donald Trump, , , ,Be from outside the political establishment, , , , ,Energized the Republican Party, , , ,75, ,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll, , , , ,Donald Trump, , ,John Kasich,Version 2, , , ,.783279061317444, ,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
