ID,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CLINHONEST,CLINREALISTIC,CLINTONWIN,CLINTONWIN2,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INDPRS16,INSPIRES16D,ISSDEM16,LATINO,MARRIED,OBAMAPLCY,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYUNITYDEM,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,READYWOMAN,READYWOMAN2,REGION,SANDERSWIN,SANDERSWIN2,SANDHONEST,SANDREALISTIC,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNFAIRCLINTON,UNFAIRSANDERS,UNIONHH12,VERSION,VOTENOVCLINTON,VOTENOVSANDERS,WALLST16,WEIGHT,WHNCLINC,WINNOMDEM16,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
600157.0,Complete,,Call 3,7.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Hillary Clinton,,Terrorism,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Moderate,Moderate or conservative,Moderate,61.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,White women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,0.844788312911987,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46202.0
600439.0,Complete,,Call 3,5.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Energized the Democratic Party,White Independent,Somewhat liberal,Liberal,Liberal,29.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,Yes,No,,Version 2,,,Hurt the U.S. economy,1.15721416473389,,Hillary Clinton,65+,60+,65 or over,45+,50+,60+,65+,White 60+,46040.0
600431.0,Complete,,Call 3,9.0,,Realistic,Optimistic,Excited or optimistic,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Very liberal,Liberal,Liberal,42.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.33595132827759,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46184.0
601429.0,Complete,,Call 3,1.0,,Realistic,Excited,Excited or optimistic,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,Somewhat liberal,Liberal,Liberal,48.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Black,Probably ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Male,Black men,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,1.01480042934418,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,46402.0
601414.0,Complete,,Call 3,1.0,,Omit,Optimistic,Excited or optimistic,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,,,,,,Hillary Clinton,,Health care,No,,,Democrat,Non-black Democrat,All Other,Democrat,Energized the Democratic Party,Non-White Democrats,Moderate,Moderate or conservative,Moderate,48.0,Can win in November,Other,Other,State questionnaire,Other,Non-white,Other,Probably ready,Definitely ready or probably ready,Midwest,Excited,Excited or optimistic,,Omit,Female,All other races,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.25131452083588,,Hillary Clinton,65+,60+,65 or over,45+,50+,60+,65+,All others,46402.0
598469.0,Complete,,Call 1,9.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Moderate,Moderate or conservative,Moderate,82.0,Can win in November,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,1.62424051761627,,Hillary Clinton,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,47404.0
600382.0,Complete,,Call 3,7.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Hillary Clinton,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,75.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Female,White women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,0.923319399356842,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46260.0
598445.0,Complete,,Call 1,2.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,,,,,,,,Hillary Clinton,,Terrorism,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Energized the Democratic Party,White Independent,Somewhat liberal,Liberal,Liberal,80.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Scared,Concerned or scared,,Not realistic,Female,White women,,Rural,Small Cities/Rural,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.54582846164703,,Hillary Clinton,65+,60+,65 or over,45+,50+,60+,65+,White 60+,46914.0
600374.0,Complete,,Call 3,7.0,,Realistic,Optimistic,Excited or optimistic,Not at all worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,,,,,,Hillary Clinton,,Income inequality,,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,,,,72.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Male,Black men,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,0.764625728130341,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,46217.0
600892.0,Complete,,Call 3,9.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,20.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.14791226387024,,Hillary Clinton,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,47122.0
600367.0,Complete,,Call 3,7.0,,Realistic,Excited,Excited or optimistic,Not at all worried,Not worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,Moderate,Moderate or conservative,Moderate,72.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,Black women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,0.672415733337402,,Hillary Clinton,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,46217.0
598434.0,Complete,,Call 1,9.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Moderate,Moderate or conservative,Moderate,42.0,Can win in November,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Male,White men,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,1.51915347576141,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,46184.0
598426.0,Complete,,Call 1,9.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,82.0,Has the right experience,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.42836534976959,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,47404.0
598423.0,Complete,,Call 1,2.0,,Realistic,Excited,Excited or optimistic,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Very liberal,Liberal,Liberal,91.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,0.792244851589203,,Hillary Clinton,45-65,60+,60-64,45+,50+,60+,50-64,White 60+,46530.0
598416.0,Complete,,Call 1,2.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Moderate,Moderate or conservative,Moderate,80.0,Cares about people like me,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Female,White women,,Rural,Small Cities/Rural,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.19322979450226,,Hillary Clinton,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,46914.0
598413.0,Complete,,Call 1,2.0,,Realistic,Optimistic,Excited or optimistic,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,,,,,,Hillary Clinton,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Very liberal,Liberal,Liberal,91.0,Has the right experience,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,0.611536264419556,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,46530.0
598409.0,Complete,,Call 1,5.0,,Realistic,Optimistic,Excited or optimistic,Not too worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,,,,,,,,Hillary Clinton,,Terrorism,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,58.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,1.36190569400787,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,46011.0
600337.0,Not complete,,Call 3,7.0,,Realistic,,,,,,,,,3.0,,,,,,,,Hillary Clinton,,,No,,,,,,,Energized the Democratic Party,,,,,75.0,,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,,,,Not realistic,Female,White women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,,,,Version 2,,,Omit,1.19615972042084,,Hillary Clinton,65+,60+,65 or over,45+,50+,60+,65+,White 60+,46260.0
598392.0,Complete,,Call 1,2.0,,Realistic,Excited,Excited or optimistic,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,2.0,,,,,,,,Hillary Clinton,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,80.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Scared,Concerned or scared,,Not realistic,Female,White women,,Rural,Small Cities/Rural,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,1.19322979450226,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46914.0
600322.0,Complete,,Call 3,2.0,,Realistic,Excited,Excited or optimistic,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,2.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,108.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Female,White women,,Rural,Small Cities/Rural,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,2.18866896629334,,Hillary Clinton,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59,46992.0
598387.0,Complete,,Call 1,2.0,,Realistic,Excited,Excited or optimistic,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Divided the Democratic Party,White Independent,Somewhat liberal,Liberal,Liberal,91.0,Can win in November,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,0.611536264419556,,Hillary Clinton,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,46530.0
598377.0,Complete,,Call 1,5.0,,Realistic,Optimistic,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,,,,,,,,Hillary Clinton,,Health care,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Omit,White Democrat,Somewhat liberal,Liberal,Liberal,58.0,Can win in November,White,White,State questionnaire,White,White,White,Probably ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Realistic,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Hurt the U.S. economy,1.55157649517059,,Hillary Clinton,45-65,60+,60-64,45+,50+,60+,50-64,White 60+,46011.0
600307.0,Complete,,Call 3,7.0,,Realistic,Excited,Excited or optimistic,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,,,,,,Hillary Clinton,,Income inequality,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Very liberal,Liberal,Liberal,75.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,"Cities over 500,000","Cities over 50,000",Indiana,Election day exit poll,,,,,,No,Yes,,Version 2,,,Hurt the U.S. economy,1.19615972042084,,Hillary Clinton,65+,60+,65 or over,45+,50+,60+,65+,White 60+,46260.0
598375.0,Complete,,Call 1,2.0,,Realistic,Excited,Excited or optimistic,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,Energized the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,91.0,Has the right experience,White,White,State questionnaire,White,White,White,Definitely ready,Definitely ready or probably ready,Midwest,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,0.611536264419556,,Hillary Clinton,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,46530.0
598367.0,Complete,,Call 1,2.0,,Realistic,Excited,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1.0,,,,,,,,Hillary Clinton,,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Energized the Democratic Party,Non-White Democrats,Somewhat liberal,Liberal,Liberal,91.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Definitely ready,Definitely ready or probably ready,Midwest,Concerned,Concerned or scared,,Not realistic,Female,Black women,,Suburbs,Suburbs,Indiana,Election day exit poll,,,,,,No,No,,Version 2,,,Help the U.S. economy,0.565018355846405,,Hillary Clinton,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,46530.0
