id,backside,betrayed,brnagain,call,cdnum,cicrep16,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,govtangr,govtan_1,ilrprs16,ilrsen16,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,kasichho,muslimba,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,votenovc,votenovk,votenovt,weight,whnclinc,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
506575,Complete, ,No,Call 3,12, ,No, , ,Postgraduate study,College graduate,More than High school graduate,White college degree,5,Holding steady financially,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Ben Carson,Mark Kirk,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,No,Oppose, ,Democrat,White Democrat,Democrat,Democratic Women,Moderate/Liberal,Liberal,Liberal,72,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll,Be satisfied with that choice,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1, , , ,.304564833641052,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
502110,Complete,Yes, ,Call 2,13,Ted Cruz, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , ,Ben Carson,James Marter, , , , , , , , ,Government spending, , ,Have experience in politics,Independent/Something else,White Independent,Something else,Independent Men,Moderate/Liberal,Moderate,Moderate,6,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,Probably vote for him,Probably vote for him,Not vote for him,.410252332687378, ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
501569,Complete,No, ,Call 2,13,Marco Rubio, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,5, , , ,Ben Carson,James Marter, , , , , , , , ,Government spending, , ,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,8,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,John Kasich,Version 2,Probably vote for him,Not vote for him,Not vote for him,.448775231838226, ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
501343,Not complete,Yes, ,Call 2,9,Ted Cruz, ,Very worried,Worried, , , , ,2, , , ,Ben Carson,James Marter, , , , , , , , , , , ,Be from outside the political establishment, , , , , , , ,138, ,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , , , ,Not Donald Trump, ,Version 2, , , ,.830462038516998, ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
506312,Complete,Yes, ,Call 3,6,Donald Trump, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, , , ,Ben Carson,Mark Kirk, , , , , , , , ,Government spending, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,9,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Not vote for him,Probably vote for him,Definitely vote for him,1.02977776527405, ,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29
506283,Complete, ,Yes,Call 3,6, ,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,3,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson,James Marter,Offered a chance to apply for legal status, , , , , , , ,Economy/Jobs,Yes,Support, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,9,Omit,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,1.05919206142426,No,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
501485,Complete, ,Yes,Call 2,16, ,No, , ,High school or less,No college degree,High school graduate or less,Non white no college degree,4,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson,Did not vote,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Economy/Jobs,No,Support, ,Independent/Something else,Black Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative,98,Shares my values,Black,Black,State questionnaire,Black,Non-white,Midwest,Male,Black men,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1, , , ,1.94523310661316,No,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Black 17-29
506598,Complete, ,No,Call 3,12, ,No, , ,College graduate,College graduate,More than High school graduate,Non white college degree,5,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ben Carson,James Marter,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,Yes,Oppose, ,Democrat,Black Democrat,Democrat,Democratic Women,Moderate/Liberal,Moderate,Moderate,72,Shares my values,Black,Black,State questionnaire,Black,Non-white,Midwest,Female,Black women,Suburbs,Suburbs, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,2.6201183795929,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44
496414,Complete, ,Yes,Call 1,2, ,Yes, , ,High school or less,No college degree,High school graduate or less,Non white no college degree,2,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Terrorism,Yes,Support, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,131,Shares my values,Other,Other,State questionnaire,Other,Non-white,Midwest,Male,All other races,Suburbs,Suburbs, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,.163278743624687,No,65+,60+,65 or over,45+,50+,60+,65+,All others
496422,Complete,No, ,Call 1,8,John Kasich, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz, , , , , , , , , ,Government spending, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,155,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,.213611945509911, ,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
505490,Complete,No, ,Call 3,8,Ted Cruz, ,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2, , , ,Ted Cruz,Did not vote, , , , , , , , ,Economy/Jobs, , ,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,155,Can bring needed change,Other,Asian,State questionnaire,Asian,Non-white,Midwest,Female,All other races,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,.213611945509911, ,30-44,30-59,40-44,17-44,17-49,30-44,40-49,All others
496858,Complete,No, ,Call 1,9,Ted Cruz, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1, , , ,Ted Cruz,Mark Kirk, , , , , , , , ,Government spending, , ,Omit,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,124,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,Definitely vote for him,Not vote for him,Definitely vote for him,.250791698694229, ,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
502276,Complete,Yes, ,Call 2,8,Ted Cruz, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz,James Marter, , , , , , , , ,Terrorism, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,.276095479726791, ,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
501315,Complete, ,No,Call 2,9, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Getting ahead financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Yes,Support, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,124,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.285854935646057,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+
496312,Complete, ,Yes,Call 1,8, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,James Marter,Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Yes,Support, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1, , , ,.285919040441513,Yes,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
502188,Complete,Yes, ,Call 2,8,Ted Cruz, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz,James Marter, , , , , , , , ,Economy/Jobs, , ,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Can win in November,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,.285919040441513, ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
496400,Complete,Yes, ,Call 1,8,Ted Cruz, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz,James Marter, , , , , , , , ,Omit, , ,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,155,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Omit, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,.30388417840004, ,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
502240,Complete,Yes, ,Call 2,8,Ted Cruz, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz,James Marter, , , , , , , , ,Government spending, , ,Omit,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,155,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Probably vote for him,Probably vote for him,.30388417840004, ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
496252,Complete, ,No,Call 1,8, ,Yes, , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Yes,Support, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.362125217914581,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
496295,Complete,Yes, ,Call 1,8,Ted Cruz, ,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2, , , ,Ted Cruz,Mark Kirk, , , , , , , , ,Government spending, , ,Have experience in politics,Independent/Something else,Latino Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,155,Can bring needed change,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Midwest,Male,Latino men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Not vote for him,Not vote for him,.362125217914581, ,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Latino 30-44
496345,Complete, ,No,Call 1,8, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Getting ahead financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Yes,Omit, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,155,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll,Be satisfied with that choice,Just today,Last few days,In the last month,This week, ,Yes,Not Donald Trump, ,Version 1, , , ,.362125217914581,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
502252,Complete,No, ,Call 2,8,Marco Rubio, ,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz,Mark Kirk, , , , , , , , ,Government spending, , ,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Probably vote for him,.362125217914581, ,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
505454,Complete, ,Yes,Call 3,8, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Holding steady financially,Angry,"Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Government spending,Yes,Support, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,155,Shares my values,Other,Asian,State questionnaire,Asian,Non-white,Midwest,Male,All other races,Suburbs,Suburbs, Illinois,Election day exit poll,Seriously consider voting for a third party candidate,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1, , , ,.362125217914581,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,All others
506384,Complete, ,Yes,Call 3,9, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Holding steady financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Yes,Oppose, ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,124,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,.385988622903824,Yes,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
496265,Complete,No, ,Call 1,8,Ted Cruz, ,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,2, , , ,Ted Cruz,Mark Kirk, , , , , , , , ,Economy/Jobs, , ,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,155,Can bring needed change,Other,Asian,State questionnaire,Asian,Non-white,Midwest,Female,All other races,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,John Kasich,Version 2,Definitely vote for him,Not vote for him,Probably vote for him,.398572683334351, ,30-44,30-59,40-44,17-44,17-49,30-44,40-49,All others
502260,Complete, ,Yes,Call 2,8, ,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Getting ahead financially,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Ted Cruz,Mark Kirk,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Yes,Oppose, ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,155,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,.398572683334351,No,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
502266,Complete,Yes, ,Call 2,8,Marco Rubio, ,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, , , ,Ted Cruz,Mark Kirk, , , , , , , , ,Economy/Jobs, , ,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,155,Can win in November,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Illinois,Election day exit poll, , , , , ,Has no effect on U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Not vote for him,.398572683334351, ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
