id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,arrprs16,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang
395925,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ben Carson,Complete, ,Yes, ,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Omit, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Dissatisfied,Dissatisfied,Omit,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.37479090690613,No,White Born-again/Evangelical Christians
395926,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,1, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,1.86657321453094, ,White Born-again/Evangelical Christians
395927,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,1, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,1.86657321453094,Yes,White Born-again/Evangelical Christians
395928,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,1, , , ,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395929,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,No, ,2, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,John Kasich,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,All others
395930,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395931,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,3, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Terrorism,Support, ,45+,65+,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395932,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,2, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Omit,Dissatisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395933,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,1, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Omit,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395934,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,4, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,5,Omit,Omit,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Omit,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395935,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,1, , , ,College graduate,College graduate,More than High school graduate,White college degree,1,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can win in November,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395936,30-44,30-59,30-39,18-44,18-49,30-44,30-39, , , ,Ted Cruz,Complete, ,No, ,3, , , ,Some college/assoc. degree,No college degree,More than High school graduate, ,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , , ,Government spending,Support, ,18-44,18-64,Independent/Something else, ,Something else,Independent Men,Conservative,Conservative,Somewhat conservative, ,Shares my values, , ,State questionnaire, , ,South,Satisfied,Omit,Satisfied,Omit,Male, , , ,Suburbs,Suburbs,Arkansas,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094, ,All others
395937,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Ted Cruz,Complete, ,Yes, ,1, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, ,Tells it like it is,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395938,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,3, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Ted Cruz,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,Yes,White Born-again/Evangelical Christians
395939,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,3, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395940,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,1, , , ,High school or less,No college degree,High school graduate or less,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Omit, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Marco Rubio,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395941,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Ted Cruz,Complete, ,Yes, ,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Can win in November,Black,Black,State questionnaire,Black,Non-white,South,Satisfied,Dissatisfied,Dissatisfied,John Kasich,Male,Black men, , ,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,All others
395942,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,2, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
395943,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,3, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,John Kasich,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",Arkansas,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,1.86657321453094,Yes,White Born-again/Evangelical Christians
395944,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Ted Cruz,Complete, ,Yes, ,3, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Economy/Jobs,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Omit,Ted Cruz,Male,White men, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,1.86657321453094, ,White Born-again/Evangelical Christians
395945,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,3, , , ,High school or less,No college degree,High school graduate or less,White no college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Omit, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Omit,Omit,Female,White women, , ,Suburbs,Suburbs,Arkansas,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,1.86657321453094,Yes,White Born-again/Evangelical Christians
395946,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Ted Cruz,Complete, ,Yes, ,4, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,5,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,Rural,Small Cities/Rural,Arkansas,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.86657321453094,No,White Born-again/Evangelical Christians
