id,backside,break12c,breakfac,breakimp,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,issrep16,latino,latinos,nvrprs16,outsider,party,partybyr,partyia,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,sex,sexbyrac,sizeplac,sizeplc3,spanishq,stanum,telepoll,timeia16,timeprif,timeprim,timepriw,trumpvot,version,weight,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
121597,Complete,One of several important factors,A factor,Important,No,Call 1,4,High school or less,No college degree,High school graduate or less,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,114,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump,Version 1,.586203575134277,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121598,Complete,One of several important factors,A factor,Important,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,60,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.13163578510284,White Born-again/Evangelical Christians,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
121599,Complete,Omit,Omit,Omit,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Terrorism,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,10,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.841622292995453,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121600,Complete,One of several important factors,A factor,Important,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Omit,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,77,Omit,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.913629114627838,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121601,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,61,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.4345223903656,White Born-again/Evangelical Christians,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121602,Complete,Omit,Omit,Omit,No,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Omit,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,9,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.80943334102631,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121603,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,60,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.56629633903503,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121604,Complete,Omit,Omit,Omit,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,10,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.920330822467804,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121605,Complete,One of several important factors,A factor,Important,No,Call 1,3,College graduate,College graduate,More than High school graduate,Non white college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Ted Cruz,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,59,Shares my values,Other,Other,State questionnaire,Other,Non-white,Other,West,Male,All other races,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.31767785549164,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,All others
121606,Complete,Not a factor at all,Not a factor,Not important,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,61,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.4345223903656,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
121607,Complete,One of several important factors,A factor,Important,Yes,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Ben Carson,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,77,Tells it like it is,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,1.20397710800171,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121608,Complete,A minor factor,A factor,Not important, ,Call 1,4,College graduate,College graduate,More than High school graduate, ,3,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Omit,Republican, ,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,114,Can bring needed change, , ,State questionnaire, , , ,West,Male, ,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Donald Trump,Version 1,.472976475954056, ,65+,60+,65 or over,45+,50+,60+,65+, 
121609,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,9,Tells it like it is,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Donald Trump,Version 1,1.76423573493958,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121610,Complete,One of several important factors,A factor,Important,No,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Ted Cruz,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,59,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.31767785549164,All others,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
121611,Complete,One of several important factors,A factor,Important,No,Call 1,3,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,10,Omit,Other,Asian,State questionnaire,Asian,Non-white,Asian,West,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.841622292995453,All others,45-65,60+,60-64,45+,50+,60+,50-64,All others
121612,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment, , , , ,Conservative,Conservative,Very conservative,61,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.27907085418701,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
121613,Complete,One of several important factors,A factor,Important,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Immigration,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,60,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.08265841007233,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
121614,Complete,One of several important factors,A factor,Important,No,Call 1,2,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,77,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,.837461054325104,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121615,Complete,Not a factor at all,Not a factor,Not important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Terrorism, , ,John Kasich,Omit,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,9,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000", ,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,2.21932291984558,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
121616,Complete,A minor factor,A factor,Not important,Yes,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Terrorism,No,No,Ben Carson,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,59,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.801961839199066,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121617,Complete,One of several important factors,A factor,Important,No,Call 1,4,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative,114,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.572888731956482,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121618,Complete,The most important factor,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,10,Can win in November,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,.943908631801605,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121619,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Government spending,No,No,Marco Rubio,Omit,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,61,Can bring needed change,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.58757066726685,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
121620,Complete,One of several important factors,A factor,Important,No,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,9,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,2.01650166511536,All others,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
121621,Complete,The most important factor,A factor,Important,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Omit,Omit,Omit,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,77,Can bring needed change,White,White,State questionnaire,White,White,White,West,Male,White men,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,.937035262584686,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
121622,Complete,A minor factor,A factor,Not important,No,Call 1,3,College graduate,College graduate,More than High school graduate,White college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Government spending,No,No,John Kasich,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men, , , ,59,Shares my values,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump,Version 1,1.04776501655579,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
121623,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Terrorism,Yes,Yes,John Kasich,Have experience in politics,Democrat,Latino Democrat,Democrat,Democratic Women,Moderate/Liberal,Liberal,Liberal,60,Can bring needed change,Other,White,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Female,Latino women,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,1.11826848983765,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Latino 17-29
121624,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,9,Can win in November,Other,Other,State questionnaire,Other,Non-white,Other,West,Female,All other races,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump,Version 1,2.01650166511536,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,All others
121625,Complete,One of several important factors,A factor,Important,Yes,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,61,Tells it like it is,White,White,State questionnaire,White,White,White,West,Male,White men,"Cities over 500,000","Cities over 50,000",English,Nevada,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Donald Trump,Version 1,1.4345223903656,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
121626,Complete,One of several important factors,A factor,Important,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Economy/Jobs,No,No,Marco Rubio,Have experience in politics,Independent/Something else,All Other,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,10,Can win in November,Other,Asian,State questionnaire,Asian,Non-white,Asian,West,Female,All other races,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.920330822467804,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,All others
121627,Complete,One of several important factors,A factor,Important,No,Call 1,4,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Government spending,No,No,Donald Trump,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,114,Tells it like it is,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Female,All other races,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Donald Trump,Version 1,.610816955566406,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,All others
121628,Complete,One of several important factors,A factor,Important,No,Call 1,2,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Immigration,No,No,Marco Rubio,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,77,Can win in November,White,White,State questionnaire,White,White,White,West,Female,White women,Rural,Small Cities/Rural,English,Nevada,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump,Version 1,.837461054325104,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
