id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,getahead,gop20162,gop201_1,gop201_2,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,muslimba,ohrprs16,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,prevpri,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,rubiohon,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trade16,trumphon,trumpvot,unfairre,version,votenovc,votenovr,votenovt,weight,whnclinc,whtevang
493818,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No, ,Call 1,16, ,Somewhat worried,Worried, , , , ,1, ,Would not have voted,Would not have voted,Marco Rubio, , , , , , , , , , ,Omit, ,Ben Carson,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,40, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Not vote for him,Definitely vote for him,Not vote for him,.344575375318527, , 
494147,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No, ,Call 1,16, ,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1, ,Ted Cruz,John Kasich,Marco Rubio, , , , , , , , , , ,Government spending, ,Ben Carson,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,40, ,Can win in November,White,White,State questionnaire,White,White,Midwest, ,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Probably vote for him,.344575375318527, , 
494374,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Omit, ,Call 1,10, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,5, ,Ted Cruz,John Kasich,Marco Rubio, , , , , , , , , , ,Terrorism, ,Ben Carson,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,120, ,Shares my values,Black,Black,State questionnaire,Black,Non-white,Midwest, ,Male,Black men,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Omit,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,1.43175601959229, , 
497915,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No, ,Call 2,2, ,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3, ,Donald Trump,Donald Trump,Donald Trump, , , , , , , , , , ,Economy/Jobs, ,Ben Carson,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,6, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Marco Rubio,Version 2,Probably vote for him,Not vote for him,Probably vote for him,.660465121269226, , 
497937,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 2,4,Yes, , ,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Falling behind financially, , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Oppose,Ben Carson, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,29,Yes,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Rural,Small Cities/Rural,Ohio,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.752455472946167,No,White Born-again/Evangelical Christians
497993,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 2,10,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5,Falling behind financially, , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Oppose,Ben Carson, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,65,Yes,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.42901137471199,Yes,White Born-again/Evangelical Christians
498050,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes, ,Call 2,7, ,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, ,Would not have voted,John Kasich,Would not have voted, , , , , , , , , , ,Terrorism, ,Ben Carson,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,27, ,Shares my values,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Rural,Small Cities/Rural,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Probably vote for him,Not vote for him,Not vote for him,.494375854730606, , 
498169,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No, ,Call 2,14, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, ,Donald Trump,Donald Trump,Donald Trump, , , , , , , , , , ,Government spending, ,Ben Carson,Be from outside the political establishment,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,147, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Marco Rubio,Version 2,Not vote for him,Not vote for him,Probably vote for him,1.22380423545837, , 
499454,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 2,9,No, , ,High school or less,No college degree,High school graduate or less,White no college degree,1,Falling behind financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Support,Ben Carson, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,34,No,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Omit,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Seriously consider voting for a third party candidate,Sometime last week,Earlier than that,In the last month,This week, ,No,Not Donald Trump, ,Version 1, , , ,.262488603591919,No,White Born-again/Evangelical Christians
499868,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others,Complete,No, ,Call 2,10, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,5, ,Ted Cruz,John Kasich,Marco Rubio, , , , , , , , , , ,Economy/Jobs, ,Ben Carson,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,66, ,Shares my values,Other,Other,State questionnaire,Other,Non-white,Midwest, ,Male,All other races,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Donald Trump,Version 2,Definitely vote for him,Definitely vote for him,Probably vote for him,.474317461252213, , 
503555,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Omit, ,Call 3,14, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, ,Omit,Would not have voted,Donald Trump, , , , , , , , , , ,Immigration, ,Ben Carson,Be from outside the political establishment,45+,18-64,Democrat,White Democrat,Democrat,Democratic Women,Conservative,Conservative,Very conservative,143, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,Definitely vote for him,Omit,Not vote for him,1.14186930656433, , 
503614,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Omit, ,Call 3,14, ,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2, ,Omit,Would not have voted,Donald Trump, , , , , , , , , , ,Immigration, ,Ben Carson,Be from outside the political establishment,45+,18-64,Democrat,White Democrat,Democrat,Democratic Women,Conservative,Conservative,Very conservative,143, ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Ohio,Election day exit poll, , , , , ,Creates more U.S. jobs, ,Not Donald Trump,Ted Cruz,Version 2,Definitely vote for him,Omit,Not vote for him,1.14186930656433, , 
503931,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,4,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,3,Holding steady financially, , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Terrorism,Support,Ben Carson, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,29,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Rural,Small Cities/Rural,Ohio,Election day exit poll,Be satisfied with that choice,Just today,Last few days,In the last month,This week, ,No,Not Donald Trump, ,Version 1, , , ,.752455472946167,No,White Born-again/Evangelical Christians
504505,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No,Call 3,14,Omit, , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,Holding steady financially, , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Oppose,Ben Carson, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate,84,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Omit,Female,White women,Suburbs,Suburbs,Ohio,Election day exit poll,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,.549925565719604,No,All others
506182,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 3,6,Omit, , ,College graduate,College graduate,More than High school graduate,White college degree,3,Holding steady financially, , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, , , , , , , ,Economy/Jobs,Support,Ben Carson, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,26,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Rural,Small Cities/Rural,Ohio,Election day exit poll,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,.553197622299194,No,White Born-again/Evangelical Christians
490938,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,1,Yes, , ,High school or less,No college degree,High school graduate or less,White no college degree,5,Falling behind financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration,Oppose,Ted Cruz, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Yes,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Suburbs,Suburbs,Ohio,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,2.16628384590149,Yes,White Born-again/Evangelical Christians
490976,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,15,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,4,Holding steady financially, , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,Support,Ted Cruz, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,"Cities over 500,000","Cities over 50,000",Ohio,Telephone survey,Seriously consider voting for a third party candidate,Omit,Omit,Omit,Omit, ,No,Not Donald Trump, ,Version 1, , , ,.489654392004013,No,All others
490982,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,4,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,3,Holding steady financially, , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Omit, , , , , , , ,Economy/Jobs,Support,Ted Cruz, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Rural,Small Cities/Rural,Ohio,Telephone survey,Be satisfied with that choice,Omit,Omit,Omit,Omit, ,Omit,Not Donald Trump, ,Version 1, , , ,1.09008836746216,No,White Born-again/Evangelical Christians
490984,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,6,No, , ,High school or less,No college degree,High school graduate or less,White no college degree,3,Holding steady financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,Support,Ted Cruz, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Yes,Omit,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Rural,Small Cities/Rural,Ohio,Telephone survey,Be satisfied with that choice,Omit,Omit,Omit,Omit, ,Omit,Not Donald Trump, ,Version 1, , , ,2.16718745231628,Yes,White Born-again/Evangelical Christians
490988,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,15,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,Holding steady financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Oppose,Ted Cruz, ,45+,65+,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Somewhat conservative, ,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Suburbs,Suburbs,Ohio,Telephone survey,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,1.09008836746216,No,All others
490996,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,6,Yes, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Falling behind financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , ,Government spending,Support,Ted Cruz, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Female,White women,Rural,Small Cities/Rural,Ohio,Telephone survey,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,2.18017673492432, ,White Born-again/Evangelical Christians
491006,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,12,Yes, , ,High school or less,No college degree,High school graduate or less,White no college degree,4,Holding steady financially, , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Support,Ted Cruz, ,45+,18-64,Independent/Something else,White Independent,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,No,Male,White men,Suburbs,Suburbs,Ohio,Telephone survey,Omit,Before that,Earlier than that,Earlier than that,Earlier than that, ,No,Not Donald Trump, ,Version 1, , , ,6.46013259887695,Yes,White Born-again/Evangelical Christians
491009,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,8,Yes, , ,College graduate,College graduate,More than High school graduate,White college degree,5,Holding steady financially, , , ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Support,Ted Cruz, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Somewhat conservative, ,Yes,Shares my values,White,White,State questionnaire,White,White,Midwest,Yes,Male,White men,Suburbs,Suburbs,Ohio,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that, ,Yes,Not Donald Trump, ,Version 1, , , ,2.15337753295898,No,All others
491031,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No, , ,14, ,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2, ,Ted Cruz,Donald Trump,Donald Trump, , , , , , , , , , ,Terrorism, ,Ted Cruz,Omit,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate, , ,Can bring needed change,White,White,State questionnaire,White,White,Midwest, ,Female,White women,Suburbs,Suburbs,Ohio,Telephone survey, , , , , ,Takes away U.S. jobs, ,Not Donald Trump,Omit,Version 2,Definitely vote for him,Definitely vote for him,Definitely vote for him,1.03623855113983, , 
