ID,BACKSIDE,CALL,CDNUM,COALHH,DEMFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,HRCTRUMPWV,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,LATINO,NOVCLINTON,OBAMAPLCY,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,SANDTRUMPWV,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,WVDPRS16,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
628847.0,Complete,Call 2,3.0,No,Fair,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3.0,Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,16.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Not vote for either candidate,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Just today,Last few days,In the last month,This month,Takes away U.S. jobs,Version 1,1.65373551845551,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25541.0
629934.0,Complete,Call 3,3.0,Yes,Fair,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Very likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,95.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Male,White men,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,4.04602193832397,No,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25801.0
627899.0,Complete,Call 1,2.0,No,Fair,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Very liberal,Liberal,Liberal,92.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Not vote for either candidate,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,1.02501022815704,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25526.0
627866.0,Complete,Call 1,3.0,No,Fair,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,16.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,1.65373551845551,No,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25541.0
627783.0,Complete,Call 1,3.0,No,Fair,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Income inequality,No,Very likely,Change to less liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,15.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,2.3685564994812,Yes,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25541.0
629661.0,Complete,Call 3,2.0,No,Fair,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Terrorism,Yes,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,1.0,Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Vote for Bernie Sanders,Female,Latino women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.899006724357605,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Latino 17-29,25414.0
627690.0,Complete,Call 1,1.0,No,Fair,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,No,Very likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,78.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Not vote for either candidate,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Takes away U.S. jobs,Version 1,0.757773876190186,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629592.0,Complete,Call 3,3.0,Yes,Fair,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3.0,Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Health care,No,Very likely,Generally continue Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,16.0,Can win in November,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Just today,Last few days,In the last month,This month,Creates more U.S. jobs,Version 1,1.65373551845551,Yes,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25541.0
629582.0,Complete,Call 3,2.0,No,Fair,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2.0,Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Health care,No,Very likely,Generally continue Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,1.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Vote for Donald Trump,Male,White men,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.944811642169952,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25414.0
629580.0,Complete,Call 3,3.0,No,Fair,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2.0,Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Economy/Jobs,No,Very likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,72.0,Has the right experience,Other,Other,State questionnaire,Other,Non-white,Other,East,Vote for Bernie Sanders,Female,All other races,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This month,Creates more U.S. jobs,Version 1,0.789048075675964,No,Hillary Clinton,17-29,17-29,25-29,17-44,17-49,17-29,25-29,All others,24740.0
629513.0,Complete,Call 3,3.0,No,Unfair,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,No,Very likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,72.0,Honest and trustworthy,Other,Asian,State questionnaire,Asian,Non-white,Asian,East,Vote for Bernie Sanders,Male,All other races,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.829250514507294,No,Hillary Clinton,17-29,17-29,17-24,17-44,17-49,17-29,17-24,All others,24740.0
629500.0,Complete,Call 3,1.0,No,Fair,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Health care,No,Not too likely,Omit,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,61.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.720448613166809,Yes,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629496.0,Complete,Call 3,1.0,Yes,Fair,Not too worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,No,Not too likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,61.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.720448613166809,Yes,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629493.0,Complete,Call 3,2.0,No,Fair,Not too worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,3.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Not too likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,92.0,Has the right experience,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.480700433254242,No,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25526.0
629485.0,Complete,Call 3,3.0,Yes,Unfair,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Economy/Jobs,No,Very likely,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Somewhat liberal,Liberal,Liberal,72.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.654532790184021,No,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,24740.0
629479.0,Complete,Call 3,1.0,No,Unfair,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,Somewhat likely,Change to more liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,61.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Just today,Last few days,In the last month,This month,Has no effect on U.S. jobs,Version 1,0.720448613166809,Yes,Bernie Sanders,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,26554.0
629466.0,Complete,Call 3,3.0,No,Fair,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2.0,Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Not too likely,Change to less liberal policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,72.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Version 1,0.622800707817078,No,Bernie Sanders,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,24740.0
629446.0,Complete,Call 3,2.0,Yes,Fair,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,92.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Suburbs,Suburbs,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.480700433254242,No,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25526.0
629433.0,Complete,Call 3,3.0,Yes,Unfair,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Generally continue Barack Obama's policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,67.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,1.26445114612579,Yes,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,25550.0
629431.0,Complete,Call 3,3.0,No,Unfair,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3.0,Not vote for either candidates,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Omit,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,67.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,1.3288756608963,Yes,Bernie Sanders,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,25550.0
629396.0,Complete,Call 3,1.0,No,Unfair,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Economy/Jobs,No,Very likely,Change to more liberal policies,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,78.0,Cares about people like me,Other,Asian,State questionnaire,Asian,Non-white,Asian,East,Vote for Bernie Sanders,Female,All other races,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.543372929096222,No,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,All others,26554.0
629387.0,Complete,Call 3,1.0,No,Fair,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,No,Somewhat likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,78.0,Cares about people like me,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Male,White men,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Version 1,0.571058094501495,Yes,Bernie Sanders,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,26554.0
629370.0,Complete,Call 3,1.0,No,Fair,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,Somewhat likely,Change to more liberal policies,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,78.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,East,Vote for Bernie Sanders,Female,White women,Rural,Small Cities/Rural,West Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.543372929096222,No,Bernie Sanders,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,26554.0
