id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,cruzhone,cuban3,educ12r,educcoll,educhs,educwhit,flrprs16,geocode,getahead,gop20162,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,israelsu,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,raceai,region,rel5,relign10,relwhite,rubiohon,sex,sexbyrac,sizeplac,sizeplc3,socsecur,spanishq,stanum,telepoll,thirdpar,timenh16,timeprif,timeprim,timepriw,trumphon,trumpvot,unfairre,version,votenovc,votenovr,votenovt,weight,whnclinc,whtevang
489905,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,5,Omit,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,4,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Something else,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Omit,Female,White women,Suburbs,Suburbs, ,English,Florida,Telephone survey,Seriously consider voting for a third party candidate,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,1.49414479732513,Yes,All others
489911,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,1,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,1,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Omit, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.49414479732513,Yes,White Born-again/Evangelical Christians
489914,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,14,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,4,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Omit, , , , , , , , ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,1.40636372566223,No,White Born-again/Evangelical Christians
489915,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,4,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,1,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit, , , , , , , , ,Economy/Jobs,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,2.98828959465027,No,White Born-again/Evangelical Christians
489923, , , , , , , , , , ,Complete, , , ,24,Omit,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,2,Getting ahead financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Terrorism,Support, , , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Telephone survey,Omit,In the last month,Earlier than that,In the last month,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,6.54320001602173,No,All others
489931,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,1,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ted Cruz,1,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs,Oppose, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Rural,Small Cities/Rural, ,English,Florida,Telephone survey,Be satisfied with that choice,Sometime last week,Earlier than that,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,1.49414479732513,No,White Born-again/Evangelical Christians
489932,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,1,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative, ,Tells it like it is,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,3.10902738571167,No,All others
489939,65+,60+,65 or over,45+,50+,60+,65+, , , ,Complete, ,No, ,13,Yes,No,Postgraduate study,College graduate,More than High school graduate, ,Ted Cruz,4,Getting ahead financially, ,Angry,"Dissatisfied, but not angry or Angry",Omit,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more", , ,Government spending,Support, ,45+,65+,Republican, ,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values, , ,State questionnaire, , , ,South, , , ,No,Male, ,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.40636372566223,No,All others
489945,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,15,No,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,2,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.55451369285584,Yes,White Born-again/Evangelical Christians
489950,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,14,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,4,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from, , , , , , , , ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Telephone survey,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,2.98828959465027,No,All others
489952,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,2,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, ,English,Florida,Telephone survey,Be satisfied with that choice,Sometime last week,Earlier than that,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,6.94783687591553,Yes,White Born-again/Evangelical Christians
489975,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete, ,No, ,25,Yes,"Yes, Cuban",Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Ted Cruz,5,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Economy/Jobs,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white, ,South, , , ,Yes,Female,Latino women,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Telephone survey,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,7.12262058258057,No,All others
489978,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete, ,Yes, ,3,Yes,No,College graduate,College graduate,More than High school graduate,Non white college degree,Ted Cruz,1,Falling behind financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Government spending,Support, ,45+,18-64,Independent/Something else,All Other,Something else,Independent Men,Conservative,Conservative,Very conservative, ,Can bring needed change,Other,Other,State questionnaire,Other,Non-white, ,South, , , ,No,Male,All other races,"Cities over 500,000","Cities over 50,000", ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,3.26982522010803,No,All others
489981,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,3,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,2,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Omit, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,"Cities 50,000-500,000","Cities over 50,000", ,English,Florida,Telephone survey,Omit,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.40636372566223,Yes,White Born-again/Evangelical Christians
489983,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,16,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,4,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, ,English,Florida,Telephone survey,Omit,Sometime last week,Earlier than that,In the last month,This week,No,Not Donald Trump, ,Version 1, , , ,1.49414479732513,No,All others
489990,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,2,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,1,Holding steady financially, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending,Support, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Rural,Small Cities/Rural, ,English,Florida,Telephone survey,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,2.95820069313049,No,White Born-again/Evangelical Christians
489998,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,9,Yes,No,High school or less,No college degree,High school graduate or less,White no college degree,Ted Cruz,3,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Male,White men,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,Before that,Earlier than that,Earlier than that,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,2.95820069313049,No,White Born-again/Evangelical Christians
490002,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No, ,1,Yes,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Immigration,Omit, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Rural,Small Cities/Rural, ,English,Florida,Telephone survey,Omit,Before that,Earlier than that,Earlier than that,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.40636372566223,Yes,All others
490010,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,7,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ted Cruz,2,Getting ahead financially, ,Omit,Omit,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Economy/Jobs,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Men, , , , ,Tells it like it is,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,Yes,Not Donald Trump, ,Version 1, , , ,2.95820069313049,No,White Born-again/Evangelical Christians
490015,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,12,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,4,Omit, ,Angry,"Dissatisfied, but not angry or Angry",Omit,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Can bring needed change,White,White,State questionnaire,White,White, ,South, , , ,No,Male,White men,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,In the last month,Earlier than that,In the last month,Earlier than that,Omit,Not Donald Trump, ,Version 1, , , ,1.40636372566223,No,White Born-again/Evangelical Christians
490023,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes, ,6,Yes,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, , , , , , , , ,Government spending,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,Yes,Female,White women,Suburbs,Suburbs, ,English,Florida,Telephone survey,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,1.49414479732513,No,White Born-again/Evangelical Christians
490039,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,9,Yes,No,College graduate,College graduate,More than High school graduate,White college degree,Ted Cruz,3,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Shares my values,White,White,State questionnaire,White,White, ,South, , , ,No,Female,White women,Suburbs,Suburbs, ,English,Florida,Telephone survey,Be satisfied with that choice,Sometime last week,Earlier than that,In the last month,This week,Yes,Not Donald Trump, ,Version 1, , , ,3.14284324645996,No,All others
490040,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,Latino 65+,Complete, ,Yes, ,1,Yes,No,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Ted Cruz,1,Holding steady financially, ,Angry,"Dissatisfied, but not angry or Angry",Omit, , , , , , , , ,Terrorism,Oppose, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Shares my values,Other,Other,State questionnaire,Other,Non-white, ,South, , , ,Yes,Male,All other races,"Cities 10,000-50,000",Small Cities/Rural, ,English,Florida,Telephone survey,Seriously consider voting for a third party candidate,In the last month,Earlier than that,In the last month,Earlier than that,No,Not Donald Trump, ,Version 1, , , ,2.95820069313049,No,All others
