ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BETRAYEDDEM,BREAK16PRID,BREAKFACTD,BREAKIMPD,CALL,CDNUM,CLINTONLIB,CONTACT16PRI,ECONDEM16,ECONDEMCLIN,ECONDEMSANDERS,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GETAHEAD,GOVTANGR16,GOVTANGR16B,GUNOWNER12,GUNPLCY16CLIN,GUNPLCY16SAND,GUNPLCYDEM16,HEALTHDEM16,HEALTHDEMCLIN,HEALTHDEMSANDERS,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCINEQDEM16,INCINEQDEMCLIN,INCINEQDEMSANDERS,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,ISSVQUAL,LIFE,MARRIED,NHDPRS16,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,REGION,REGNHDEM,SANDERSLIB,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SINGLEPAYER,SIZEPLAC,SIZEPLC3,STANUM,TAXINC12,TELEPOLL,TERRWORR,TERWORR2,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VALUESCLIN,VALUESDEM16,VALUESSANDERS,VERSION,WEIGHT,WHNCLINC
110680.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,A minor factor,A factor,Not important,Call 1,1.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,White college degree,2.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,Economy/Jobs,My candidate's leadership/personal qualities,,,Hillary Clinton,Change to more liberal policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,64.0,,Has the right experience,White,White,State questionnaire,White,White,East,,,,,Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,0.702075183391571,No
110681.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,One of several important factors,A factor,Important,Call 1,2.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Terrorism,My candidate's positions on the issues,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,90.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Male,White men,,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,0.932642817497253,No
110685.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,,,Call 1,2.0,About right,Yes,,,,Favors the wealthy,,,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Holding steady financially,,,,,,,,,,,,,Less than 100k,"Under $30,000",Less than 50k,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,Worse than life today,No,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,90.0,,Honest and trustworthy,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,Too liberal,,,Female,White women,Non married women,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.736381828784943,Yes
110686.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,Call 1,1.0,,,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Yes,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,7.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,,Satisifed,Dissatisfied,Female,White women,,Support,Suburbs,Suburbs,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,0.735850512981415,No
110687.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,,,,Call 1,2.0,,,,,,,Very worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,2.0,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",No,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,,,,,,,Hillary Clinton,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,73.0,Yes,,Black,Black,State questionnaire,Black,Non-white,East,Registered as Undeclared/Independent,,Satisifed,Dissatisfied,Female,Black women,,Oppose,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Not increase for anyone,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 3,0.535043597221375,No
110689.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Not complete,,,,,Call 1,2.0,,,,,,,Not too worried,Not worried,,,,,2.0,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",No,,,,,,,,,,,,,,,,,,,,,,,,,,,Hillary Clinton,,,45+,18-64,,,,,,,,,73.0,,,White,White,State questionnaire,White,White,East,Registered as Democrat,,,,Female,White women,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,,,,Version 3,0.776592671871185,
110693.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,,,Call 1,1.0,About right,Yes,,,,Favors the wealthy,,,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,Getting ahead financially,,,,,,,,,,,,,100k or more,"$30,000 or more",50k or more,Both of them,Only Clinton or both of them,Only Sanders or both of them,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,About the same,Yes,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,30.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Democrat,About right,,,Female,White women,Married women,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.803458690643311,No
110694.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,Call 1,2.0,,,,,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2.0,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",No,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,73.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Dissatisfied,Male,White men,,Support,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,"Increase only on income over $250,000",Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,0.877924561500549,No
110695.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,,,Call 1,1.0,,,,,,,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,2.0,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",No,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,,,,,Hillary Clinton,,,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,66.0,Yes,,Black,Black,State questionnaire,Black,Non-white,East,Registered as Democrat,,Satisifed,Dissatisfied,Male,Black men,,Oppose,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 3,0.384845077991486,No
110698.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,Call 1,1.0,,,,,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Yes,Only Clinton or both of them,Only Sanders or both of them,Both of them,,,,,,,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,,,,,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,60.0,Yes,,White,White,State questionnaire,White,White,East,Registered as Democrat,,Satisifed,Satisifed,Female,White women,,Support,Suburbs,Suburbs,New Hampshire,"Increase only on income over $250,000",Election day exit poll,Very worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 3,1.21926724910736,No
110699.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete,,The most important factor,A factor,Important,Call 1,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,My candidate's positions on the issues,,,Hillary Clinton,Change to more liberal policies,,45+,65+,,,,,,,,,66.0,,,White,White,State questionnaire,White,White,East,,,,,Male,White men,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,Just today,Last few days,In the last month,This month,,,,Version 1,0.518352329730988,
110701.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,One of several important factors,A factor,Important,Call 1,2.0,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,,,,College graduate,College graduate,More than High school graduate,White college degree,2.0,,,,,,,,Only Clinton,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,100k or more,"$30,000 or more",50k or more,,,,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,,Health care,My candidate's positions on the issues,,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,73.0,,Can win in November,White,White,State questionnaire,White,White,East,,,,,Female,White women,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Version 1,0.725239098072052,No
110702.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,,,Call 1,1.0,About right,No,,,,Favors the wealthy,,,College graduate,College graduate,More than High school graduate,White college degree,1.0,Holding steady financially,,,,,,,,,,,,,100k or more,"$30,000 or more",50k or more,Both of them,Only Clinton or both of them,Only Sanders or both of them,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,,Worse than life today,Yes,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,30.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,About right,,,Female,White women,Married women,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.803458690643311,No
110703.0,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,,,,Call 1,1.0,,,,,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Only Clinton or both of them,Only Clinton or neither of them,Only Clinton,,,,,,,Less than 100k,"$30,000 or more",Less than 50k,,,,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,,,,,,Hillary Clinton,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,64.0,No,,White,White,State questionnaire,White,White,East,Registered as Undeclared/Independent,,Satisifed,Dissatisfied,Female,White women,,Oppose,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,Not increase for anyone,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Version 3,0.636002242565155,No
110704.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,,,Call 1,2.0,About right,Yes,,,,Favors the wealthy,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,Getting ahead financially,,,,,,,,,,,,,Less than 100k,"$30,000 or more",50k or more,Only Sanders,Only Sanders or neither of them,Only Sanders or both of them,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,About the same,Yes,Hillary Clinton,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,90.0,,Has the right experience,White,White,State questionnaire,White,White,East,Registered as Democrat,Too liberal,,,Female,White women,Married women,,Suburbs,Suburbs,New Hampshire,,Election day exit poll,,,,,,,,,,Version 2,0.736381828784943,No
