ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINHONEST,CLINREALISTIC,CLINTONLIB,CLINTONWIN,CLINTONWIN2,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GETAHEAD,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,LIFE,MARRIED,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,REGION,SANDERSLIB,SANDERSWIN,SANDERSWIN2,SANDHONEST,SANDREALISTIC,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TERRWORR,TERWORR2,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNIONHH12,VERSION,WEIGHT,WHNCLINC,WIDPRS16,WORLD
526331.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,7.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,College graduate,College graduate,More than High school graduate,White college degree,4.0,Getting ahead financially,,,,,,,,,Income inequality,Worse than life today,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,49.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,About right,Optimistic,Excited or optimistic,,Realistic,Female,White women,,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,,Version 2,1.47934901714325,,Hillary Clinton,More active role
526329.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,8.0,Hillary Clinton,,Realistic,About right,Excited,Excited or optimistic,,,College graduate,College graduate,More than High school graduate,White college degree,4.0,Holding steady financially,,,,,,,,,Health care,About the same,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,4.0,Honest and trustworthy,White,White,State questionnaire,White,White,Midwest,Not liberal enough,Concerned,Concerned or scared,,Not realistic,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,,,Version 2,0.956283330917358,,Hillary Clinton,More active role
526327.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Hillary Clinton,Call 3,1.0,,Yes,,,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,2.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Income inequality,,No,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,95.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,,,,No,,Female,White women,Non married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,No,Version 1,0.888816595077515,No,Hillary Clinton,
526317.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Bernie Sanders,Call 3,4.0,,No,,,,,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Hillary Clinton,Economy/Jobs,,Yes,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,56.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Midwest,,,,Yes,,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Yes,Version 1,1.15119242668152,No,Hillary Clinton,
526316.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,7.0,Hillary Clinton,,Realistic,About right,Excited,Excited or optimistic,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,Getting ahead financially,,,,,,,,,Economy/Jobs,About the same,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,49.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,Too liberal,Concerned,Concerned or scared,,Not realistic,Female,White women,,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,,Version 2,1.47934901714325,,Hillary Clinton,About the same role as now
526314.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 3,1.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,Holding steady financially,,,,,,,,,Health care,Worse than life today,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,85.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,About right,Concerned,Concerned or scared,,Not realistic,Female,White women,,Suburbs,Suburbs,Wisconsin,Election day exit poll,Very worried,Very or somewhat worried,,,,,,,Version 2,0.765794098377228,,Hillary Clinton,More active role
526311.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Hillary Clinton,Call 3,3.0,,Yes,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Health care,,Yes,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,39.0,Honest and trustworthy,White,White,State questionnaire,White,White,Midwest,,,,No,,Female,White women,Married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,No,Version 1,1.64314138889313,Yes,Hillary Clinton,
526310.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Hillary Clinton,Call 3,8.0,,Yes,,,,,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Hillary Clinton,Economy/Jobs,,Yes,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,4.0,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Midwest,,,,Yes,,Female,Latino women,Married women,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Sometime last week,Earlier than that,In the last month,This month,Creates more U.S. jobs,No,Version 1,0.969107508659363,No,Hillary Clinton,
526309.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Hillary Clinton,Call 3,1.0,,Yes,,,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Economy/Jobs,,No,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,95.0,Can win in November,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Non married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Yes,Version 1,0.888816595077515,No,Hillary Clinton,
526304.0,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Hillary Clinton,Call 3,4.0,,Yes,,,,,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Hillary Clinton,Health care,,Yes,Generally continue Barack Obama's policies,Omit,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,56.0,Can win in November,Black,Black,State questionnaire,Black,Non-white,Midwest,,,,No,,Male,Black men,Married men,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,,Version 1,1.15119242668152,No,Hillary Clinton,
526298.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,3.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,High school or less,No college degree,High school graduate or less,White no college degree,5.0,Holding steady financially,,,,,,,,,Economy/Jobs,About the same,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,39.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,About right,Concerned,Concerned or scared,,Realistic,Male,White men,,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,,,Version 2,1.62139761447906,,Hillary Clinton,About the same role as now
526291.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,1.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,Holding steady financially,,,,,,,,,Economy/Jobs,Better than life today,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,95.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,Too liberal,Concerned,Concerned or scared,,Not realistic,Male,White men,,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,Very worried,Very or somewhat worried,,,,,,,Version 2,0.877054870128632,,Hillary Clinton,Less active role
526287.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Hillary Clinton,Call 3,1.0,,Yes,,,,,Not too worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Bernie Sanders,Terrorism,,No,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,85.0,Can win in November,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Male,White men,Non married men,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Just today,Last few days,In the last month,This month,Creates more U.S. jobs,Yes,Version 1,0.776063740253448,No,Hillary Clinton,
526276.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,4.0,Hillary Clinton,,Realistic,About right,Excited,Excited or optimistic,,,College graduate,College graduate,More than High school graduate,White college degree,1.0,Holding steady financially,,,,,,,,,Economy/Jobs,About the same,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,56.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,About right,Optimistic,Excited or optimistic,,Not realistic,Female,White women,,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,Somewhat worried,Very or somewhat worried,,,,,,,Version 2,1.13595867156982,,Hillary Clinton,Less active role
526264.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Hillary Clinton,Call 3,4.0,,Yes,,,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Terrorism,,No,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,56.0,Honest and trustworthy,White,White,State questionnaire,White,White,Midwest,,,,Omit,,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,In the last few days,Last few days,In the last month,This month,Omit,Yes,Version 1,1.15119242668152,Yes,Hillary Clinton,
526261.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 3,6.0,,Yes,,,,,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Income inequality,,No,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,35.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Non married women,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,No,Version 1,0.936731696128845,No,Hillary Clinton,
526249.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,8.0,Hillary Clinton,,Realistic,About right,Optimistic,Excited or optimistic,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,Getting ahead financially,,,,,,,,,Health care,Better than life today,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,4.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,Too liberal,Optimistic,Excited or optimistic,,Not realistic,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,Not too worried,Not too or not at all worried,,,,,,,Version 2,0.956283330917358,,Hillary Clinton,Less active role
526227.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Hillary Clinton,Call 3,7.0,,Yes,,,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Income inequality,,Yes,Change to more liberal policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,49.0,Cares about people like me,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Yes,Version 1,1.49918782711029,No,Hillary Clinton,
526218.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Hillary Clinton,Call 3,8.0,,Yes,,,,,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Economy/Jobs,,Yes,Change to less liberal policies,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,4.0,Has the right experience,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,No,Version 1,0.969107508659363,No,Hillary Clinton,
526214.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 3,7.0,,Yes,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Health care,,No,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,49.0,Honest and trustworthy,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Non married women,Rural,Small Cities/Rural,Wisconsin,Election day exit poll,,,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,No,Version 1,1.49918782711029,No,Hillary Clinton,
526212.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 3,6.0,,Yes,,,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Health care,,Yes,Change to more liberal policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,35.0,Cares about people like me,White,White,State questionnaire,White,White,Midwest,,,,Yes,,Female,White women,Married women,Suburbs,Suburbs,Wisconsin,Election day exit poll,,,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Yes,Version 1,0.936731696128845,Yes,Hillary Clinton,
