id,age,age3,age8,age45,age49,age60,age65,ageblack,agebyrac,agebyr_1,backside,betrayed,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,garprs16,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,over45,over65,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satcruz,satrubio,sattrump,scotusre,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang
414836,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,8, , , ,College graduate,College graduate,More than High school graduate,White college degree,Jeb Bush,5,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,155,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural, Georgia,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,.531380832195282,No,White Born-again/Evangelical Christians
415887,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete, ,Yes,Call 3,8, , , ,High school or less,No college degree,High school graduate or less,Non white no college degree,Jeb Bush,5,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Deported to the country they came from, , , , , , , , ,Government spending,Support, ,45+,18-64,Democrat,Black Democrat,Democrat,Democratic Men,Moderate/Liberal,Moderate,Moderate,44,Tells it like it is,Black,Black,State questionnaire,Black,Non-white,South,Satisfied,Satisfied,Dissatisfied,Ted Cruz,Male,Black men, , ,Rural,Small Cities/Rural, Georgia,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump, ,Version 1, ,.375138252973557,No,All others
415909,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 3,1, , , ,High school or less,No college degree,High school graduate or less,White no college degree,Jeb Bush,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs,Oppose, ,18-44,18-64,Democrat,White Democrat,Democrat,Democratic Men,Conservative,Conservative,Very conservative,13,Can win in November,White,White,State questionnaire,White,White,South,Dissatisfied,Dissatisfied,Dissatisfied,Ted Cruz,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000", Georgia,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1, ,.749765276908875,Yes,White Born-again/Evangelical Christians
396422,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete, ,No, ,6, , , ,College graduate,College graduate,More than High school graduate,Non white college degree,Ben Carson,3,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Omit, , , , , , , , ,Economy/Jobs,Oppose, ,45+,18-64,Independent/Something else,Black Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate, ,Omit,Black,Black,State questionnaire,Black,Non-white,South,Omit,Omit,Omit,John Kasich,Male,Black men, , ,"Cities 50,000-500,000","Cities over 50,000", Georgia,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,.285530418157578,No,All others
396452,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,11, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Support, ,45+,18-64,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Liberal,Liberal, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Omit,Dissatisfied,Omit,Female,White women, , ,"Cities 10,000-50,000",Small Cities/Rural, Georgia,Telephone survey,Sometime last week,Earlier than that,In the last month,This week,Not Donald Trump, ,Version 1, ,.819022715091705,Yes,White Born-again/Evangelical Christians
396462,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,8, , , ,High school or less,No college degree,High school graduate or less,White no college degree,Ben Carson,4,Angry,"Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate, ,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Marco Rubio,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000", Georgia,Telephone survey,Omit,Omit,Omit,Omit,Not Donald Trump, ,Version 1, ,.236775919795036,Yes,White Born-again/Evangelical Christians
396467,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete, ,Yes, ,9, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Ben Carson,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Economy/Jobs,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Can bring needed change,Black,Black,State questionnaire,Black,Non-white,South,Dissatisfied,Dissatisfied,Dissatisfied,Marco Rubio,Male,Black men, , ,"Cities 10,000-50,000",Small Cities/Rural, Georgia,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.30622243881226,No,All others
396495,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,6, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Ben Carson,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Moderate/Liberal,Moderate,Moderate, ,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Satisfied,Marco Rubio,Female,White women, , ,Suburbs,Suburbs, Georgia,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.477419227361679,No,All others
396527,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes, ,10, , , ,College graduate,College graduate,More than High school graduate,White college degree,Ben Carson,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs,Oppose, ,18-44,18-64,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Liberal,Liberal, ,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Dissatisfied,Marco Rubio,Male,White men, , ,Suburbs,Suburbs, Georgia,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,.970287978649139,No,White Born-again/Evangelical Christians
396542,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes, ,1, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Ben Carson,5,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Government spending,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Satisfied,Donald Trump,Male,White men, , ,Rural,Small Cities/Rural, Georgia,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,1.08318400382996,No,White Born-again/Evangelical Christians
396546,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes, ,9, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Ben Carson,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Immigration,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South,Dissatisfied,Satisfied,Satisfied,Marco Rubio,Male,White men, , ,Suburbs,Suburbs, Georgia,Telephone survey,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.541592001914978,No,White Born-again/Evangelical Christians
396549,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete, ,No, ,6, , , ,College graduate,College graduate,More than High school graduate,Non white college degree,Ben Carson,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Government spending,Oppose, ,18-44,18-64,Independent/Something else,Black Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,Black,Black,State questionnaire,Black,Non-white,South,Dissatisfied,Satisfied,Dissatisfied,Marco Rubio,Female,Black women, , ,Suburbs,Suburbs, Georgia,Telephone survey,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1, ,1.31689012050629,No,All others
396571,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,Latino 65+,Complete,No,Yes, ,12,Donald Trump,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,Ben Carson,5, , , , , , , , , , ,Donald Trump,Economy/Jobs, ,Have experience in politics,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Tells it like it is,Other,American Indian,State questionnaire,Other,Non-white,South, , , , ,Male,All other races,Not at all,Not much or not at all,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Ted Cruz,Version 2,Yes,.659540951251984, ,All others
396579,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Yes, ,3,John Kasich,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,3, , , , , , , , , , ,Omit,Terrorism, ,Omit,45+,65+,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Male,White men,A great deal,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Omit,Version 2,Yes,.806457698345184, ,White Born-again/Evangelical Christians
396661,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Yes, ,3,Marco Rubio,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,Ben Carson,1, , , , , , , , , , ,Marco Rubio,Economy/Jobs, ,Have experience in politics,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,"Cities 10,000-50,000",Small Cities/Rural, Georgia,Telephone survey, , , , ,Not Donald Trump,Donald Trump,Version 2,No,2.22119092941284, ,White Born-again/Evangelical Christians
396675,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Yes, ,3,Omit,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,2, , , , , , , , , , ,Marco Rubio,Economy/Jobs, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Omit,Version 2,No,1.8597252368927, ,White Born-again/Evangelical Christians
396693,45-65,30-59,45-49,45+,18-49,45-59,40-49, , , ,Complete,No,No, ,11,Donald Trump,Very worried,Worried,College graduate,College graduate,More than High school graduate, ,Ben Carson,2, , , , , , , , , , ,Omit,Economy/Jobs, ,Be from outside the political establishment,45+,18-64,Republican, ,Republican,Republican Women,Conservative,Conservative,Very conservative, ,Can bring needed change, , ,State questionnaire, , ,South, , , , ,Female, ,A great deal,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Omit,Version 2,Yes,.478812903165817, ,All others
396694,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, , ,8,Donald Trump,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,Ben Carson,4, , , , , , , , , , ,Omit,Government spending, ,Be from outside the political establishment,45+,65+,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative, ,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Georgia,Telephone survey, , , , ,Not Donald Trump,Omit,Version 2,No,1.08405864238739, ,All others
399069,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,2, , , ,College graduate,College graduate,More than High school graduate,White college degree,Ben Carson,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending,Oppose, ,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,130,Can bring needed change,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Dissatisfied,Ted Cruz,Female,White women, , ,Rural,Small Cities/Rural, Georgia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.843215107917786,No,All others
399255,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,Yes,Call 1,12,Ted Cruz,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,5, , , , , , , , , , ,Ted Cruz,Terrorism, ,Have experience in politics,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,122,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Georgia,Election day exit poll, , , , ,Not Donald Trump,Omit,Version 2,No,.781167209148407, ,White Born-again/Evangelical Christians
399363,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Yes,Call 1,9,Donald Trump,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,1, , , , , , , , , , ,Marco Rubio,Terrorism, ,Be from outside the political establishment,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,110,Shares my values,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs, Georgia,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2,No,.610778391361237, ,White Born-again/Evangelical Christians
399408,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,No,Call 1,12,Donald Trump,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,Ben Carson,5, , , , , , , , , , ,Ted Cruz,Terrorism, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,122,Can win in November,White,White,State questionnaire,White,White,South, , , , ,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural, Georgia,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2,No,.770393788814545, ,All others
399437,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Not complete,Yes, ,Call 1,8, ,Very worried,Worried, , , , ,Ben Carson,5, , , , , , , , , , , , , ,Be from outside the political establishment,45+,18-64, , , , , , , ,44, ,White,White,State questionnaire,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural, Georgia,Election day exit poll, , , , ,Not Donald Trump, ,Version 2,No,.396050810813904, , 
399636,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Not complete,Yes, ,Call 1,8, ,Very worried,Worried, , , , ,Ben Carson,5, , , , , , , , , , , , , ,Be from outside the political establishment,45+,18-64, , , , , , , ,44, ,White,White,State questionnaire,White,White,South, , , , ,Male,White men,Somewhat,A great deal or somewhat,Rural,Small Cities/Rural, Georgia,Election day exit poll, , , , ,Not Donald Trump, ,Version 2,No,.396050810813904, , 
399684,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 1,8, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status, , , , , , , , ,Terrorism,Support, ,18-44,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,44,Shares my values,White,White,State questionnaire,White,White,South,Satisfied,Satisfied,Dissatisfied,Omit,Female,White women, , ,Rural,Small Cities/Rural, Georgia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.390264242887497, ,White Born-again/Evangelical Christians
399688,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 1,14, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Ben Carson,1,Angry,"Dissatisfied, but not angry or Angry",Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs,Support, ,45+,65+,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Somewhat conservative,71,Can win in November,White,White,State questionnaire,White,White,South,Satisfied,Dissatisfied,Satisfied,Donald Trump,Female,White women, , ,Suburbs,Suburbs, Georgia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1, ,.741442799568176,Yes,White Born-again/Evangelical Christians
399738,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Yes,Call 1,9,Donald Trump,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,Ben Carson,1, , , , , , , , , , ,Ted Cruz,Government spending, ,Be from outside the political establishment,45+,18-64,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,110,Can bring needed change,White,White,State questionnaire,White,White,South, , , , ,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs, Georgia,Election day exit poll, , , , ,Not Donald Trump,Marco Rubio,Version 2,No,.610778391361237, ,White Born-again/Evangelical Christians
