id,backside,betrayed,break12p,breakfac,breakimp,brnagain,call,cdnum,econrep1,econworr,ecoworr2,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,immdepor,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,intcrisi,issrep16,muslimba,outsider,party,partybyr,partyid,partysex,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,satrep16,scotusre,scrprs16,sex,sexbyrac,sharerel,sharer_1,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trumpvot,unfairre,version,vetvoter,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
129594,Complete, ,The most important factor,A factor,Important,Yes,Call 1,6, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Terrorism, , ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,88,Shares my values,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Male,White men,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,South Carolina,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,1.91394507884979,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129604,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,5, , , ,High school or less,No college degree,High school graduate or less,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Economy/Jobs, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,115,Shares my values,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,Somewhat,A great deal or somewhat,Suburbs,Suburbs,South Carolina,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,.969142735004425,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129613,Complete,Yes, , , , ,Call 1,5,Jeb Bush,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Economy/Jobs,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,115,Can bring needed change,White,White,State questionnaire,White,White,South,Only my candidate, ,Jeb Bush,Female,White women, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,.969142735004425, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129619,Complete,Yes, , , , ,Call 1,4,Jeb Bush,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,1, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Government spending,Support,Be from outside the political establishment,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,57,Can bring needed change,White,White,State questionnaire,White,White,South,Only my candidate, ,Jeb Bush,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll, , , , ,Not Donald Trump,Jeb Bush,Version 2, ,1.04380452632904, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129627,Complete,No, , , , ,Call 1,2,Jeb Bush,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,3, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,4,Can bring needed change,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Male,White men, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,1.57041656970978, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129668,Complete,No, , , , ,Call 1,7,Jeb Bush,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4, , ,Deported to the country they came from, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,67,Shares my values,White,White,State questionnaire,White,White,South,Only my candidate, ,Jeb Bush,Female,White women, , ,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,1.27917385101318, , ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
129677,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,7, , , ,College graduate,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Government spending, , ,Democrat,White Democrat,Democrat,Democratic Men,Moderate/Liberal,Liberal,Liberal,67,Can bring needed change,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Male,White men,Not at all,Not much or not at all,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,1.38416004180908,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129684,Complete, ,One of several important factors,A factor,Important,Yes,Call 1,5, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2,Angry,"Dissatisfied, but not angry or Angry", ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Government spending, , ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Very conservative,115,Tells it like it is,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,South, ,Jeb Bush,Jeb Bush,Male,Latino men,A great deal,A great deal or somewhat,Suburbs,Suburbs,South Carolina,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,.964698016643524,No,All others,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Latino 17-29
129688,Complete, ,Not a factor at all,Not a factor,Not important,Yes,Call 1,7, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Economy/Jobs, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,67,Can bring needed change,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,A great deal,A great deal or somewhat,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1,No,1.27917385101318,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129689,Complete,No, , , , ,Call 1,1,Jeb Bush,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Economy/Jobs,Oppose,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,19,Can bring needed change,White,White,State questionnaire,White,White,South,Only my candidate, ,Jeb Bush,Male,White men, , ,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,1.07702946662903, , ,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29
129694,Complete,No, , , , ,Call 1,1,Jeb Bush,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,5, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Government spending,Oppose,Have experience in politics,Republican,All Republicans,Republican,Republican Men,Moderate/Liberal,Moderate,Moderate,11,Shares my values,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Male,White men, , ,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2, ,.898685932159424, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129700,Complete, ,One of several important factors,A factor,Important,No,Call 1,7, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,4,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Terrorism, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,67,Shares my values,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,Not at all,Not much or not at all,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,1.27917385101318,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129702,Complete,Omit, , , , ,Call 1,1,Donald Trump,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, , ,Deported to the country they came from, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,19,Shares my values,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,.933868408203125, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
129718,Complete, ,The most important factor,A factor,Important,Yes,Call 1,5, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Omit, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,115,Can bring needed change,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs,South Carolina,Election day exit poll,Just today,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,.969142735004425,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129721,Complete, ,One of several important factors,A factor,Important,Yes,Call 1,5, , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic", ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Government spending, , ,Independent/Something else,White Independent,Independent,Independent Women,Conservative,Conservative,Very conservative,112,Tells it like it is,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,A great deal,A great deal or somewhat,Suburbs,Suburbs,South Carolina,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1,No,.880630373954773,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129767,Complete, ,Not a factor at all,Not a factor,Not important,Yes,Call 1,6, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Terrorism, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,87,Can win in November,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,A great deal,A great deal or somewhat,Rural,Small Cities/Rural,South Carolina,Election day exit poll,In the last few days,Last few days,In the last month,This week,Not Donald Trump, ,Version 1,No,4.92181062698364,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129774,Complete, ,One of several important factors,A factor,Important,No,Call 1,1, , , ,College graduate,College graduate,More than High school graduate,White college degree,5,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Government spending, , ,Republican,All Republicans,Republican,Republican Women,Moderate/Liberal,Moderate,Moderate,19,Can bring needed change,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1,No,1.08199179172516,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129780,Complete, ,Not a factor at all,Not a factor,Not important,Yes,Call 1,6, , , ,College graduate,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry", ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Government spending, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,87,Shares my values,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,Not at all,Not much or not at all,Rural,Small Cities/Rural,South Carolina,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1,Yes,4.2480206489563,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
129789,Complete,No, , , , ,Call 1,1,Ted Cruz,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, , ,Deported to the country they came from, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,11,Shares my values,White,White,State questionnaire,White,White,South,Only my candidate, ,Jeb Bush,Female,White women, , ,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,.830522119998932, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129810,Not complete,No, , , , ,Call 1,1, ,Very worried,Worried, , , , ,5, , ,Deported to the country they came from, , , , , , , , , , ,Have experience in politics, , , , , , , ,23, ,Other,Asian,State questionnaire,Asian,Non-white,South,Only my candidate, ,Jeb Bush,Male,All other races, , ,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll, , , , ,Not Donald Trump, ,Version 2, ,1.28927671909332, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,All others
129824,Complete,Yes, , , , ,Call 1,6,Jeb Bush,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,3, , ,Deported to the country they came from, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,88,Can bring needed change,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Female,White women, , ,Rural,Small Cities/Rural,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Omit,Version 2, ,1.76877570152283, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129875,Complete, ,One of several important factors,A factor,Important,Yes,Call 1,3, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,1,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic", ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Government spending, , ,Republican,All Republicans,Republican,Republican Men,Conservative,Conservative,Somewhat conservative,89,Shares my values,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Male,White men,Not at all,Not much or not at all,Suburbs,Suburbs,South Carolina,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Not Donald Trump, ,Version 1,Yes,1.44972860813141,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129884,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,4, , , ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic", ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Terrorism, , ,Independent/Something else,Latino Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,58,Tells it like it is,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,South, ,Jeb Bush,Jeb Bush,Male,Latino men,Not at all,Not much or not at all,Suburbs,Suburbs,South Carolina,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1,Yes,1.44972860813141,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,Latino 60+
129910,Complete,Yes, , , , ,Call 1,2,Jeb Bush,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,3, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Terrorism,Oppose,Have experience in politics,Independent/Something else,White Independent,Independent,Independent Men,Moderate/Liberal,Moderate,Moderate,98,Can bring needed change,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Male,White men, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2, ,1.97568535804749, , ,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
129921,Complete,No, , , , ,Call 1,5,Jeb Bush,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,2, , ,Offered a chance to apply for legal status, , , , , , , ,Jeb Bush,Terrorism,Support,Be from outside the political establishment,Independent/Something else,White Independent,Something else,Independent Women,Conservative,Conservative,Very conservative,108,Shares my values,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Female,White women, , ,Suburbs,Suburbs,South Carolina,Election day exit poll, , , , ,Not Donald Trump,Ted Cruz,Version 2, ,.879426181316376, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
129947,Complete, ,Not a factor at all,Not a factor,Not important,No,Call 1,1, , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,5,Angry,"Dissatisfied, but not angry or Angry", ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Economy/Jobs, , ,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Very conservative,23,Can bring needed change,White,White,State questionnaire,White,White,South, ,Jeb Bush,Jeb Bush,Female,White women,Somewhat,A great deal or somewhat,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Not Donald Trump, ,Version 1,No,1.38047230243683,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
129957,Complete,No, , , , ,Call 1,1,Jeb Bush,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5, , ,Deported to the country they came from, , , , , , , ,Jeb Bush,Terrorism,Support,Have experience in politics,Republican,All Republicans,Republican,Republican Women,Conservative,Conservative,Somewhat conservative,23,Tells it like it is,White,White,State questionnaire,White,White,South,More than one Republican candidate, ,Jeb Bush,Female,White women, , ,"Cities 50,000-500,000","Cities over 50,000",South Carolina,Election day exit poll, , , , ,Not Donald Trump,Donald Trump,Version 2, ,1.19148731231689, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
