id,backside,betrayed,brnagain,call,cdnum,educ12r,educcoll,educhs,educwhit,geocode,govtangr,govtan_1,hrctrump,inc100k,inc30k,inc50k,income3,income4,income16,incwhite,issrep16,nerprs16,novtrump,party,partybyr,partyid,partysex,partyuni,phil2r,phil3x,phil4c,precinct,qlt16rep,qrace3,qraceai,qtype,race,race2b,region,sex,sexbyrac,sizeplac,sizeplc3,stanum,telepoll,timenh16,timeprif,timeprim,timepriw,trade16,trumpvot,trumpwin,trumpw_1,version,weight,whnclinc,whtevang,xage,xage3,xage8,xage45,xage49,xage60,xage65,xagebyra
628284,Complete,Yes,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Not too likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,46,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Sometime last week,Earlier than that,In the last month,This week,Has no effect on U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.36969843506813,No,All others,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44
628288,Complete,No,Yes,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,46,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.380876690149307,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628291,Complete,Yes,Yes,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Not too likely,Independent/Something else,White Independent,Independent,Independent Men,Will still be divided in November,Conservative,Conservative,Very conservative,46,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.380876690149307,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628305,Complete,Yes,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Very conservative,53,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,1.72120976448059,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628351,Complete,No,No,Call 1,2,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Terrorism,Ted Cruz,Somewhat likely,Independent/Something else,White Independent,Independent,Independent Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,32,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.696408629417419,No,All others,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
628355,Complete,Yes,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Very conservative,9,Shares my values,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.856230854988098,No,White Born-again/Evangelical Christians,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44
628362,Complete,Yes,No,Call 1,3, , , , ,3,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump, , , , , , , ,Economy/Jobs,Ted Cruz,Not at all likely,Independent/Something else,White Independent,Independent,Independent Men,Will still be divided in November,Moderate/Liberal,Liberal,Liberal,9,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.882120013237, ,All others,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
628369,Complete,Yes,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,9,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.882120013237,No,White Born-again/Evangelical Christians,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59
628370,Complete,Yes,No,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,80,Can win in November,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.656404554843903,Yes,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628376,Complete,Yes,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Terrorism,Ted Cruz,Not too likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,9,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.882120013237,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628380,Complete,Yes,No,Call 1,1,Postgraduate study,College graduate,More than High school graduate,White college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,80,Can win in November,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.656404554843903,No,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628382,Complete,Yes,Yes,Call 1,1,College graduate,College graduate,More than High school graduate,White college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,80,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.656404554843903,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628397,Complete,Yes, ,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,2,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Government spending,Ted Cruz,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,80,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.656404554843903,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628398,Complete,Yes,Yes,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,1,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Donald Trump,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Government spending,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,14,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Has no effect on U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.11943376064301,No,White Born-again/Evangelical Christians,45-65,60+,60-64,45+,50+,60+,50-64,White 60+
628401,Complete,Omit,Yes,Call 1,1,High school or less,No college degree,High school graduate or less,White no college degree,1,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Conservative,Conservative,Very conservative,14,Shares my values,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.11943376064301,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628417,Not complete,No, ,Call 1,1, , , , ,2, , ,Not vote for either candidates, , , , , , , , ,Ted Cruz, , , , , , , , , ,80, ,White,White,State questionnaire,White,White,Midwest,Female,White women,Suburbs,Suburbs, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Concerned,Concerned or scared,Version 1,.637139856815338, , ,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628421,Complete,Yes, ,Call 1,1,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1,Omit,Omit,Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Immigration,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Omit,Conservative,Conservative,Very conservative,14,Omit,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Omit,Omit,Version 1,1.11943376064301,No,All others,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628423,Complete,Yes,No,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Conservative,Conservative,Somewhat conservative,9,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Female,White women,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.856230854988098,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628431,Complete,Yes,Yes,Call 1,3,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,9,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.882120013237,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628434,Complete,Yes,Yes,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Very likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Moderate/Liberal,Moderate,Moderate,9,Tells it like it is,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.882120013237,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628439,Complete,Yes,Yes,Call 1,3, , , , ,3,Angry,"Dissatisfied, but not angry or Angry",Vote for Donald Trump,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Omit,Ted Cruz,Somewhat likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Somewhat conservative,9,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Optimistic,Excited or optimistic,Version 1,.882120013237,No,White Born-again/Evangelical Christians,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59
628445,Complete,No,Yes,Call 1,3,High school or less,No college degree,High school graduate or less,White no college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Immigration,Ted Cruz,Not too likely,Republican,All Republicans,Republican,Republican Men,Is divided now but will unite by November,Conservative,Conservative,Very conservative,9,Can win in November,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,Just today,Last few days,In the last month,This week,Creates more U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,.882120013237,Yes,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628453,Complete,Yes,Yes,Call 1,3,Postgraduate study,College graduate,More than High school graduate,White college degree,3,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Vote for Hillary Clinton,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Government spending,Ted Cruz,Not too likely,Republican,All Republicans,Republican,Republican Men,Will still be divided in November,Moderate/Liberal,Moderate,Moderate,9,Can bring needed change,White,White,State questionnaire,White,White,Midwest,Male,White men,Rural,Small Cities/Rural, Nebraska,Election day exit poll,In the last month,Earlier than that,In the last month,Earlier than that,Creates more U.S. jobs,Not Donald Trump,Concerned,Concerned or scared,Version 1,.882120013237,No,White Born-again/Evangelical Christians,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628455,Not complete,Omit, ,Call 1,2, , , , ,2, , ,Vote for Donald Trump, , , , , , , , ,Ted Cruz, , , , , , , , , ,23, ,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Not Donald Trump,Concerned,Concerned or scared,Version 1,1.36116242408752, , ,65+,60+,65 or over,45+,50+,60+,65+,White 60+
628461,Complete,Yes,No,Call 1,2,High school or less,No college degree,High school graduate or less,White no college degree,2,Angry,"Dissatisfied, but not angry or Angry",Not vote for either candidates,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,Ted Cruz,Not too likely,Republican,All Republicans,Republican,Republican Women,Will still be divided in November,Moderate/Liberal,Liberal,Liberal,23,Can win in November,White,White,State questionnaire,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000", Nebraska,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Not Donald Trump,Scared,Concerned or scared,Version 1,1.36116242408752,Yes,All others,65+,60+,65 or over,45+,50+,60+,65+,White 60+
