ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINBUSINESS,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GENDISS,GENDISS2,GEOCODE,GETAHEAD,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,MARRIED,OBAMAPLCY,OHDPRS16,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDBUSINESS,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNIONHH12,VERSION,WEIGHT,WHNCLINC
497995.0,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Hillary Clinton,Call 2,14.0,,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,Non white college degree,Not an important factor,Not an important factor,2.0,Getting ahead financially,,,,,,,,Income inequality,Yes,,Hillary Clinton,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,145.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,About right,,Realistic,Satisifed,Satisifed,Female,Black women,Married women,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,0.447807759046555,
498601.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,16.0,Hillary Clinton,Too pro-business,Yes,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,,Change to less liberal policies,Hillary Clinton,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,125.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,Yes,,,,Female,White women,,Suburbs,Suburbs,Ohio,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,No,Version 1,0.667835652828217,No
497987.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 2,14.0,Hillary Clinton,About right,Yes,,,Not too worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,,,2.0,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Terrorism,,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,143.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,Yes,,,,Female,White women,,Suburbs,Suburbs,Ohio,Election day exit poll,Sometime last week,Earlier than that,In the last month,This month,,No,Version 1,0.933877408504486,No
497983.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,11.0,Hillary Clinton,About right,Yes,,,Not too worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,,,2.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,142.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,Yes,,,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,No,Version 1,0.769292831420898,No
497982.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Hillary Clinton,Call 2,11.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,The single most important factor,The single most important factor or one of several important factors,1.0,Holding steady financially,,,,,,,,Income inequality,No,,Hillary Clinton,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Very liberal,Liberal,Liberal,32.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,Not liberal enough,,Realistic,Satisifed,Dissatisfied,Male,Black men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,1.4111133813858,
491541.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Hillary Clinton,Call 1,15.0,,,,Realistic,About right,,,High school or less,No college degree,High school graduate or less,White no college degree,Not an important factor,Not an important factor,4.0,Holding steady financially,,,,,,,,Income inequality,Yes,,Hillary Clinton,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,58.0,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,Too liberal,,Not realistic,Satisifed,Dissatisfied,Male,White men,Married men,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,0.942896783351898,
497975.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 2,10.0,,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,5.0,Getting ahead financially,,,,,,,,Economy/Jobs,Yes,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,119.0,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,Not liberal enough,,Not realistic,Satisifed,Dissatisfied,Female,White women,Married women,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,1.11444985866547,
503402.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Hillary Clinton,Call 3,10.0,,,,Realistic,Not liberal enough,,,College graduate,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,5.0,Falling behind financially,,,,,,,,Health care,No,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,120.0,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,About right,,Realistic,Satisifed,Dissatisfied,Male,White men,Non married men,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,1.17842149734497,
497970.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Omit,Call 2,6.0,,,,Realistic,Too liberal,,,High school or less,No college degree,High school graduate or less,White no college degree,The single most important factor,The single most important factor or one of several important factors,2.0,Getting ahead financially,,,,,,,,Income inequality,No,,Hillary Clinton,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,106.0,Can win in November,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,Too liberal,,Realistic,Satisifed,Satisifed,Male,White men,Non married men,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Creates more U.S. jobs,,Version 2,1.47390282154083,
506064.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Hillary Clinton,Call 3,6.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Not an important factor,Not an important factor,3.0,Falling behind financially,,,,,,,,Health care,No,,Hillary Clinton,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,26.0,Cares about people like me,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Not liberal enough,,Not realistic,Satisifed,Dissatisfied,Female,White women,Non married women,Rural,Small Cities/Rural,Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,1.57090544700623,
497961.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 2,14.0,,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,White college degree,One of several important factors,The single most important factor or one of several important factors,2.0,Getting ahead financially,,,,,,,,Economy/Jobs,Yes,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,143.0,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Female,White women,Married women,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Creates more U.S. jobs,,Version 2,0.933877408504486,
497960.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,Hillary Clinton,Call 2,12.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,One of several important factors,The single most important factor or one of several important factors,3.0,Holding steady financially,,,,,,,,Health care,No,,Hillary Clinton,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,128.0,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,About right,,Realistic,Satisifed,Satisifed,Female,Latino women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,,,,,Creates more U.S. jobs,,Version 2,0.787201523780823,
497959.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 2,7.0,Hillary Clinton,About right,Yes,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,3.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,28.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,Omit,,Yes,,,,Female,White women,,Rural,Small Cities/Rural,Ohio,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,No,Version 1,0.717916011810303,No
497957.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,Call 2,11.0,Hillary Clinton,About right,Yes,,,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,1.0,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Health care,,Generally continue Barack Obama's policies,Hillary Clinton,Omit,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,32.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,About right,,Yes,,,,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,No,Version 1,1.80917143821716,No
497949.0,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Hillary Clinton,Call 2,14.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,One of several important factors,The single most important factor or one of several important factors,2.0,Falling behind financially,,,,,,,,Income inequality,No,,Hillary Clinton,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,145.0,Omit,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,Not liberal enough,,Not realistic,Satisifed,Dissatisfied,Female,Black women,Non married women,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Creates more U.S. jobs,,Version 2,0.397483825683594,
503377.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Hillary Clinton,Call 3,14.0,,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,2.0,Falling behind financially,,,,,,,,Economy/Jobs,Yes,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,143.0,Can win in November,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Male,White men,Married men,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Takes away U.S. jobs,,Version 2,1.1814980506897,
497942.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Hillary Clinton,Call 2,10.0,,,,Realistic,About right,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,5.0,Holding steady financially,,,,,,,,Income inequality,No,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,114.0,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,,,,,Creates more U.S. jobs,,Version 2,0.912668704986572,
497940.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Hillary Clinton,Call 2,6.0,,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Not an important factor,Not an important factor,2.0,Holding steady financially,,,,,,,,Economy/Jobs,Yes,,Hillary Clinton,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,106.0,Cares about people like me,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Female,White women,Married women,Suburbs,Suburbs,Ohio,Election day exit poll,,,,,Has no effect on U.S. jobs,,Version 2,1.36322319507599,
493888.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Hillary Clinton,Call 1,13.0,,,,Realistic,About right,,,Postgraduate study,College graduate,More than High school graduate,White college degree,Not an important factor,Not an important factor,2.0,Getting ahead financially,,,,,,,,Income inequality,Yes,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,148.0,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",Ohio,Election day exit poll,,,,,Has no effect on U.S. jobs,,Version 2,0.70967173576355,
497930.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 2,14.0,Bernie Sanders,About right,Yes,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,2.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Income inequality,,Generally continue Barack Obama's policies,Hillary Clinton,Have experience in politics,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,143.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,About right,,Yes,,,,Female,White women,,Suburbs,Suburbs,Ohio,Election day exit poll,In the last few days,Last few days,In the last month,This month,,No,Version 1,0.933877408504486,No
497917.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 2,6.0,Hillary Clinton,About right,Yes,,,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,,,2.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,,Change to more liberal policies,Hillary Clinton,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,106.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,No,,,,Female,White women,,Suburbs,Suburbs,Ohio,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,No,Version 1,1.36322319507599,Yes
