ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSGA08,SENGA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BAILOUT,BRNAGAIN,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BAILOUT2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4388718.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.711760640144348,Barack Obama,Jim Martin,Male,Other,50-59,Independent,Liberal,"$30,000-$49,999",High school graduate,,Strongly disapprove,Strongly oppose,No,Energy policy,Not so good,Not at all worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,All other races,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,Oppose,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,All other,All others,Other,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,9.0,North,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,30707.0
4388686.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.43560290336609,Barack Obama,Jim Martin,Male,White,50-59,Something else,Liberal,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,Somewhat support,No,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,10.0,North,South,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,30677.0
4388629.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.367854177951813,Barack Obama,Jim Martin,Female,White,75 or over,Independent,Conservative,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Omit,Yes,Omit,Poor,Somewhat worried,No,Omit,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,10.0,North,South,Extremely Low Density Rural,Rural,Rural,Downscale,30525.0
4388622.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.309033125638962,Barack Obama,Jim Martin,Male,White,65-74,Democrat,Liberal,,Postgraduate study,No,Strongly disapprove,Somewhat support,No,The economy,Poor,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,College graduate,More than High school graduate,White college degree,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,North,South,Suburb,Urban,Urban Core,Upscale,30606.0
4388610.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.428980797529221,Barack Obama,Jim Martin,Male,,65-74,Democrat,Liberal,"$200,000 or more",Some college or associate degree,,Strongly disapprove,Somewhat oppose,No,Energy policy,Not so good,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,,,,,65+,60+,45+,60+,65+,65+,,,,Oppose,No college degree,More than High school graduate,,100k or more,50k or more,100 thousand or more,,Not so good/Poor,Worried,Democrat,,,,,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,9.0,North,South,Low Density Rural,Rural,Rural,Downscale,30528.0
4388607.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.70311212539673,Barack Obama,Jim Martin,Male,Black,50-59,Democrat,Liberal,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Strongly oppose,Yes,The economy,Poor,Not too worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,Oppose,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not so good/Poor,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,10.0,North,South,Low Density Rural,Rural,Rural,Very downscale,30635.0
4388596.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.00783920288086,Barack Obama,Jim Martin,Male,White,60-64,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Strongly oppose,No,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,10.0,North,South,Extremely Low Density Rural,Rural,Rural,Downscale,30525.0
4388593.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.09350991249084,Barack Obama,Jim Martin,Female,White,45-49,Democrat,Liberal,,Some college or associate degree,No,Strongly disapprove,Somewhat oppose,No,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,North,South,Suburb,Urban,Urban Core,Upscale,30606.0
4388567.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.686036944389343,Barack Obama,Jim Martin,Female,White,60-64,Independent,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Omit,No,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Omit,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,9.0,North,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,30728.0
4401511.0, Georgia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,25.9878692626953,Barack Obama,Jim Martin,Female,White,40-44,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,,,Strongly oppose,,,,,,,,,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,11.0,North,South,Town,Rural,Rural,Downscale,30165.0
4401491.0, Georgia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,1.19682598114014,Barack Obama,Jim Martin,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",College graduate,,,Somewhat support,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,No,,Rural,Small Cities/Rural,9.0,North,South,Low Density Rural,Rural,Rural,Very downscale,30540.0
4400951.0, Georgia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,4.39367246627808,Barack Obama,Jim Martin,Female,White,75 or over,Democrat,Liberal,"$15,000-$29,999",Some college or associate degree,,Strongly disapprove,,Yes,Energy policy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,11.0,North,South,Town,Rural,Rural,Downscale,30165.0
4400937.0, Georgia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.598412990570068,Barack Obama,Jim Martin,Female,White,50-59,Republican,Moderate,"$50,000-$74,999",College graduate,,Strongly disapprove,,Yes,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,10.0,North,South,Low Density Rural,Rural,Rural,Downscale,30548.0
4388788.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.367854177951813,Barack Obama,Jim Martin,Female,White,75 or over,Democrat,Moderate,,Did not complete high school,No,Omit,Omit,No,The war in Iraq,Not so good,Not too worried,No,Omit,Not a factor at all,Earlier in October,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,No college degree,High school graduate or less,White no college degree,,,,,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,Rural,Small Cities/Rural,3.0,North,South,Low Density Rural,Rural,Rural,Downscale,30295.0
4388608.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.350038975477219,Barack Obama,Jim Martin,Female,White,65-74,Independent,Liberal,"$30,000-$49,999",Postgraduate study,No,Somewhat disapprove,Somewhat support,No,The economy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Rural,Small Cities/Rural,10.0,North,South,Low Density Rural,Rural,Rural,Downscale,30523.0
4388558.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.8861346244812,Barack Obama,Jim Martin,Male,White,30-39,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,Somewhat oppose,No,Health care,Not so good,Not too worried,No,Can bring about needed change,The single most important factor,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,9.0,North,South,Suburb,Rural,Rural,Upscale,30542.0
4388822.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.24740332365036,Barack Obama,Saxby Chambliss,Female,White,60-64,Democrat,Conservative,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Strongly oppose,No,Terrorism,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Suburbs,Suburbs,9.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,30736.0
4388754.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.265316158533096,Barack Obama,Saxby Chambliss,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Somewhat support,Yes,The economy,Poor,Very worried,No,Shares my values,One of several important factors,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",10.0,North,South,Low Density Rural,Urban,Urban Core,Upscale,30683.0
4388613.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.940902650356293,Barack Obama,Saxby Chambliss,Male,White,40-44,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,Somewhat support,No,The economy,Poor,Somewhat worried,No,Can bring about needed change,One of several important factors,Sometime in September,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Rural,Small Cities/Rural,10.0,North,South,Extremely Low Density Rural,Rural,Rural,Downscale,30642.0
4388778.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.416015625,Barack Obama,Saxby Chambliss,Female,Black,50-59,Democrat,Conservative,,Did not complete high school,No,Somewhat approve,Strongly oppose,No,Health care,Poor,Very worried,No,Can bring about needed change,One of several important factors,Earlier in October,Approve,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,Oppose,No college degree,High school graduate or less,Non white no college degree,,,,,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,Suburbs,Suburbs,10.0,North,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,30629.0
4388709.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.13253498077393,Barack Obama,Allen Buckley,Male,White,75 or over,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Omit,,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,10.0,North,South,Low Density Rural,Rural,Rural,Very downscale,30662.0
4388707.0, Georgia,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Other,Female,Black,60-64,Democrat,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,Strongly oppose,No,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,Oppose,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,7.0,North,South,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,30655.0
