ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMD08,HOU08MD,MDQUES2,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4417365.0, Maryland,97.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.77245533466339,Barack Obama,The Democratic candidate,,Female,Black,18-24,Democrat,Moderate,,Did not complete high school,No,,Not a factor at all,,,One of several important factors,Yes,Take the country in a different direction,No telephone service at home,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Energy policy,My candidate's position on the issues,,,Excited,Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,,,,Before that,,Only Barack Obama,,,,,,,Black female,Black women,Non white female,Non white,,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,Not Important,Was not a factor,,,,Important,Was a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,,,,,,,,All others,,,,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
4437087.0, Maryland,110.0,National questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.76373964548111,Barack Obama,The Democratic candidate,Yes,Male,Black,50-59,Democrat,,,High school graduate,No,,,,,Not a factor at all,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cares about people like me,,,,,,,Before that,,,,,,,,,Black male,Black men,Non white male,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,,,,,,Not Important,Was not a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Rural,Small Cities/Rural,1.0,Rest of State,East,Low Density Rural,Rural,Rural,Downscale,21625.0
4442146.0, Maryland,97.0,National questionnaire,Version 1,Call 2,Complete,Election day exit poll,1.77245533466339,Barack Obama,The Democratic candidate,,Female,Black,18-24,Democrat,Moderate,,Did not complete high school,No,,Not a factor at all,,,One of several important factors,Yes,Take the country in a different direction,No telephone service at home,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Energy policy,My candidate's position on the issues,,,Excited,Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,,,,Before that,,Only Barack Obama,,,,,,,Black female,Black women,Non white female,Non white,,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,Not Important,Was not a factor,,,,Important,Was a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,,,,,,,,All others,,,,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
4462064.0, Maryland,96.0,National questionnaire,Version 4,Call 3,Not complete,Election day exit poll,1.27098488807678,Barack Obama,The Democratic candidate,Yes,Male,Black,40-44,Democrat,,,Did not complete high school,No,,,,,,Yes,,,No,,,,,,,,Get better,,,,,,,,,,,,,,No,,,,,,,,,,,,,,In the last three days,,,,,,,,,Black male,Black men,Non white male,Non white,Non-married men,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,,,,,,,,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,,,,,All others,Unmmaried men with no children,All men,,,Men without children,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,,,,,,,,All others,,,,Suburbs,Suburbs,4.0,DC Suburbs,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,20772.0
4462876.0, Maryland,107.0,National questionnaire,Version 2,Call 3,Not complete,Election day exit poll,1.30166983604431,Barack Obama,The Democratic candidate,Did not vote,Female,Black,30-39,Democrat,,,High school graduate,No,,,,,Not a factor at all,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cares about people like me,,,,,,,Before that,,,,,,,,,Black female,Black women,Non white female,Non white,,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,,,,,,Not Important,Was not a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,"Cities 10,000-50,000",Small Cities/Rural,5.0,Rest of State,East,Town,Rural,Rural,Downscale,20653.0
4465350.0, Maryland,97.0,National questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.77245533466339,Barack Obama,The Democratic candidate,,Female,Black,18-24,Democrat,Moderate,,Did not complete high school,No,,Not a factor at all,,,One of several important factors,Yes,Take the country in a different direction,No telephone service at home,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,Energy policy,My candidate's position on the issues,,,Excited,Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,,,,Before that,,Only Barack Obama,,,,,,,Black female,Black women,Non white female,Non white,,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,Not Important,Was not a factor,,,,Important,Was a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,,,,,,,,All others,,,,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
4414887.0, Maryland,24.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.0617641210556,Barack Obama,The Democratic candidate,Yes,Male,Black,45-49,Democrat,Liberal,,Postgraduate study,No,,,Once a week,,,No,,,Yes,,Very confident,,,,,Only Michelle Obama,Get better,No,,,No,,Barack Obama,,,,,,,,Yes,,,,,,,,,,Protestant,,,,Before that,Generally going in the right direction,,No one does,No,John Kerry,Only Joe Biden,Yes,,Black male,Black men,Non white male,Non white,Married men,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,,,More than once a week/Once a week,Protestant/Attend weekly,,,,,Confident,,College graduate,More than High school graduate,Non white college degree,,,,Cindy McCain would not,Michelle Obama would,,,,Democrats for Obama,,,,,,,,,,Married with children,Married men with children,All men,,,Dads - Men with children,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,Protestant/Other Christian,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Joe Biden is,Sarah Palin is not,Non-white,,All others,All others,All others,All others,"Cities over 500,000","Cities over 50,000",2.0,Baltimore Suburbs,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,21206.0
4445286.0, Maryland,97.0,National questionnaire,Version 4,Call 2,Complete,Election day exit poll,1.86248970031738,Barack Obama,The Democratic candidate,No,Female,Black,50-59,Republican,Moderate,,College graduate,No,,,A few times a year,,,No,,,No,,Very confident,,,,,Only Michelle Obama,Get better,No,,,No,,Barack Obama,,,,,,,,Yes,,,,,,,,,,Other Christian,,,,Before that,Seriously off on the wrong track,,No one does,No,George W. Bush,Only Joe Biden,Yes,,Black female,Black women,Non white female,Non white,Married women,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,,,A few times a month/A few times a year,All others,,,,,Confident,,College graduate,More than High school graduate,Non white college degree,,,,Cindy McCain would not,Michelle Obama would,,,,Non Democrats,,,,,,,,,,All others,Married women no children,Women who are not married or have no children,,,Women without children,Republican,Black non Democrat,All Republicans,All others,Black,All others,,,,Protestant/Other Christian,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,Joe Biden is,Sarah Palin is not,Non-white,,All others,All others,All others,Working women,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
4446827.0, Maryland,97.0,National questionnaire,Version 4,Call 2,Complete,Election day exit poll,2.96603393554688,Barack Obama,The Republican candidate,Yes,Male,Black,18-24,Republican,Moderate,,College graduate,No,,,Omit,,,,,,Yes,,Very confident,,,,,Only Cindy McCain,Get better,,,,No,,Hillary Clinton,,,,,,,,No,,,,,,,,,,,,,,Just today,Generally going in the right direction,,"Yes, someone else does",Yes,Someone else,Only Joe Biden,No,,Black male,Black men,Non white male,Non white,Non-married men,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,,,Omit,Omit,,,,,Confident,,College graduate,More than High school graduate,Non white college degree,,,,Cindy McCain would,Michelle Obama would not,,,,Non Democrats,,,,,,,,,,All others,Unmarried men with children,All men,,,Dads - Men with children,Republican,Black non Democrat,All Republicans,All others,Black,,,,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,Yes,"Member in household, but not voter",No,Joe Biden is,Sarah Palin is not,Non-white,,All others,All others,,All others,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
4463377.0, Maryland,96.0,National questionnaire,Version 2,Call 3,Complete,Election day exit poll,1.1968207359314,Barack Obama,The Democratic candidate,Yes,Male,Hispanic/Latino,25-29,Republican,Moderate,,College graduate,Yes,Strongly approve,Not a factor at all,,,One of several important factors,Yes,Take the country in a different direction,No telephone service at home,,,,,,,,,,,"No, I was not contacted",,,,,John McCain,,,,Energy policy,My candidate's position on the issues,,,,Poor,Very worried,Yes,,,Can bring about needed change,Not a factor at all,,,,,,In the last three days,,Omit,,,,,,Approve,Non black male,Latino men,Non white male,Non white,,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,Not Important,Was not a factor,,,,Important,Was a factor,,,,College graduate,More than High school graduate,Non white college degree,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,,,,,,,Not so good/Poor,Worried,,Republican,Non black non Democrat,All Republicans,All others,Black,All others,Not important,Not a factor,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Omit,Omit,,,,,,,,All others,,,,Suburbs,Suburbs,4.0,DC Suburbs,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,20772.0
4464163.0, Maryland,103.0,National questionnaire,Version 2,Call 3,Not complete,Election day exit poll,0.605681478977203,Barack Obama,The Democratic candidate,Yes,Female,Black,25-29,Democrat,,,Postgraduate study,,,,,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Earlier in October,,,,,,,,,Black female,Black women,Non white female,Non white,,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,,,,,,Omit,Omit,,,,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,1.0,Rest of State,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,21666.0
4416839.0, Maryland,97.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.96603393554688,Barack Obama,The Democratic candidate,Yes,Male,Black,25-29,Democrat,Moderate,,,No,,Not a factor at all,,,The single most important factor,Yes,Continue George W. Bush's policies,No telephone service at home,,,,,,,,,,,"Yes, for Barack Obama",,,,,,,,Strongly disapprove,Health care,My candidate's position on the issues,,,"Concerned, but not scared",Poor,,No,,Excited,Shares my values,Not a factor at all,,,,,,Just today,,Neither of them,,,,,,,Black male,Black men,Non white male,Non white,,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,Not Important,Was not a factor,,,,Important,Was a factor,,,,,,,,,,,,John McCain did not,Barack Obama did,,,,,,,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,John McCain did not,Barack Obama did not,,,,,,,,All others,,,,Suburbs,Suburbs,5.0,DC Suburbs,East,Suburb,70s Suburbs,Urban Perimeter,Upscale,20744.0
