ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMS08,SENMS08,SEN2MS08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4412013.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.854313373565674,John McCain,Thad Cochran,,Male,White,45-49,Republican,Conservative,"$150,000-$199,999",Some college or associate degree,No,Omit,No,The war in Iraq,Not too worried,Before that,Omit,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4412102.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.677225828170776,Barack Obama,,,Male,Black,60-64,Democrat,Liberal,"Under $15,000",Did not complete high school,No,Strongly disapprove,No,Health care,Somewhat worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4412195.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.465234577655792,Barack Obama,,,Female,Black,30-39,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Omit,No,The war in Iraq,Somewhat worried,Before that,Omit,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4412322.0, Mississippi,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.76140159368515,John McCain,Thad Cochran,,Female,White,50-59,Republican,Conservative,"$50,000-$74,999",College graduate,No,Strongly approve,Yes,Omit,Not too worried,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4412479.0, Mississippi,74.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.735180914402008,John McCain,,,Male,White,45-49,Independent,Conservative,"$15,000-$29,999",Did not complete high school,No,Somewhat disapprove,Yes,The economy,Very worried,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Northeast,South,Low Density Rural,Rural,Rural,Upscale,38652.0
4412669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4414113.0, Mississippi,68.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.917604923248291,John McCain,Thad Cochran,,Female,White,30-39,Republican,Moderate,"Under $15,000",College graduate,No,,,,,,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,No,,Rural,Small Cities/Rural,4.0,Southeast,South,Extremely Low Density Rural,Rural,Rural,Upscale,39577.0
4414410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4417551.0, Mississippi,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.465234577655792,Barack Obama,,,Female,Black,40-44,Democrat,,,Some college or associate degree,No,Omit,Yes,Omit,Somewhat worried,Before that,Omit,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,1.0,Northeast,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,38672.0
4418654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4420938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4421103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4435873.0, Mississippi,13.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.331799864768982,Barack Obama,Erik Fleming,,Female,Black,30-39,Democrat,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Northeast,South,Low Density Rural,Rural,Rural,Upscale,39773.0
4436613.0, Mississippi,10.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.569675028324127,Barack Obama,,,Female,Black,50-59,Democrat,Conservative,"$15,000-$29,999",High school graduate,No,Somewhat approve,Yes,The war in Iraq,Not too worried,Before that,Approve,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Northeast,South,Low Density Rural,Rural,Rural,Very downscale,39176.0
4436708.0, Mississippi,13.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.304522573947906,Barack Obama,Thad Cochran,,Female,Black,30-39,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Northeast,South,Low Density Rural,Rural,Rural,Upscale,39773.0
4436931.0, Mississippi,13.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.283652573823929,Barack Obama,,,Male,Black,25-29,Democrat,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,Yes,Energy policy,Not too worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Northeast,South,Low Density Rural,Rural,Rural,Upscale,39773.0
4436932.0, Mississippi,13.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.283652573823929,Barack Obama,,,Male,Black,25-29,Democrat,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,Yes,Energy policy,Not too worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Northeast,South,Low Density Rural,Rural,Rural,Upscale,39773.0
4437048.0, Mississippi,53.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.465234577655792,Barack Obama,,,Male,Black,25-29,Something else,Moderate,"$15,000-$29,999",High school graduate,No,Somewhat disapprove,No,The war in Iraq,Somewhat worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4437791.0, Mississippi,17.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.704998552799225,,Erik Fleming,,Male,Black,30-39,Democrat,,,Some college or associate degree,No,,,,Very worried,Before that,,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,Suburbs,Suburbs,1.0,Northeast,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,38672.0
4438105.0, Mississippi,53.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.824145674705505,John McCain,Thad Cochran,,Male,White,25-29,Republican,Conservative,"$200,000 or more",Postgraduate study,No,Somewhat approve,No,Health care,Somewhat worried,Earlier in October,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4438187.0, Mississippi,53.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.632088005542755,John McCain,,,Female,White,18-24,Republican,,"$75,000-$99,999",Some college or associate degree,No,Omit,No,Omit,Not too worried,Sometime in September,Omit,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4438485.0, Mississippi,47.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.83039802312851,John McCain,Thad Cochran,,Male,White,18-24,Republican,,,High school graduate,No,,,,Somewhat worried,Before that,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Sometime last week or earlier,Before that,In the last month or before that,,,Rural,Small Cities/Rural,4.0,Southeast,South,Low Density Rural,Rural,Rural,Downscale,39429.0
4438834.0, Mississippi,67.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.835164427757263,John McCain,,,Male,White,40-44,Independent,Conservative,"$30,000-$49,999",College graduate,No,Somewhat approve,No,The economy,Somewhat worried,Before that,Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,4.0,Southeast,South,Extremely Low Density Rural,Rural,Rural,Upscale,39573.0
4439224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4440034.0, Mississippi,58.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.734339714050293,Barack Obama,Erik Fleming,,Male,Black,50-59,Democrat,Liberal,"$75,000-$99,999",College graduate,No,Somewhat approve,Yes,Health care,Not at all worried,Just today,Approve,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Jackson and delta,South,Low Density Rural,Rural,Rural,Very downscale,39648.0
4440085.0, Mississippi,58.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.566001892089844,Barack Obama,,,Female,Black,30-39,,,,High school graduate,No,,,,Not too worried,Sometime last week,,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,,,,,Not worried,,,,,Black,,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,,,"Cities 10,000-50,000",Small Cities/Rural,3.0,Jackson and delta,South,Low Density Rural,Rural,Rural,Very downscale,39648.0
4441816.0, Mississippi,77.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.602762520313263,Barack Obama,,,Male,Black,25-29,Democrat,,,High school graduate,No,,,,Somewhat worried,Before that,,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 10,000-50,000",Small Cities/Rural,2.0,Jackson and delta,South,Low Density Rural,Rural,Rural,Upscale,38703.0
4442350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4445982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4456837.0, Mississippi,39.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.62156730890274,Barack Obama,Thad Cochran,,Female,White,40-44,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Northeast,South,Low Density Rural,Rural,Rural,Upscale,38866.0
4457130.0, Mississippi,53.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.854313373565674,John McCain,Thad Cochran,,Male,White,50-59,Republican,Conservative,,High school graduate,No,Omit,No,The war in Iraq,Very worried,Before that,Omit,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
4457216.0, Mississippi,53.0,State questionnaire,Version 1,Call 3,Not complete,Election day exit poll,0.655225515365601,John McCain,,,Female,White,45-49,Republican,,,High school graduate,No,,,,Somewhat worried,Earlier in October,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northeast,South,Low Density Rural,Rural,Rural,Very upscale,39759.0
