ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOR08,SENOR08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,SMITHLIB,SMITHTOOCLOSE,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4392956.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.909591913223267,Barack Obama,Jeff Merkley,Female,White,75 or over,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Too conservative,Too often,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,One of several important factors,Protestant,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,4.0,Northwest Pacific Coast,West,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,97463.0
4392943.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.575925707817078,Barack Obama,Jeff Merkley,Female,White,65-74,Independent,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Too conservative,Too often,Only Barack Obama,Strongly disapprove,Energy policy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Protestant,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,5.0,Northwest Pacific Coast,West,Low Density Rural,Rural,Rural,Very downscale,97394.0
4392939.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.799553334712982,Barack Obama,Jeff Merkley,Female,White,50-59,Democrat,Moderate,,Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Too conservative,Too often,Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,No,Has the right experience,Not a factor at all,Protestant,Before that,Neither of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,1.0,Northwest Pacific Coast,West,Extremely Low Density Rural,Rural,Rural,Downscale,97138.0
4392933.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.00425493717194,John McCain,Gordon Smith,Female,White,75 or over,Republican,Conservative,"$30,000-$49,999",High school graduate,No,Somewhat approve,Yes,Take the country in a different direction,Only John McCain,Too liberal,About the right amount,Only John McCain,Somewhat disapprove,Terrorism,Not so good,Somewhat worried,Yes,Shares my values,Not a factor at all,Protestant,Before that,Both of them,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,5.0,Northwest Pacific Coast,West,Low Density Rural,Rural,Rural,Very downscale,97135.0
4392929.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.604547917842865,John McCain,Gordon Smith,Male,White,65-74,Republican,Moderate,"$30,000-$49,999",Some college or associate degree,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,About right,Too often,Only John McCain,Strongly approve,The economy,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Protestant,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,4.0,Northwest Pacific Coast,West,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,97439.0
4392915.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.799553334712982,Barack Obama,Jeff Merkley,Female,White,50-59,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Too conservative,Too often,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,None,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,None,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,Suburb,Urban,Urban Core,Very upscale,97405.0
4392914.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.454795956611633,Barack Obama,Jeff Merkley,Female,White,75 or over,Democrat,Liberal,"$30,000-$49,999",College graduate,No,Strongly disapprove,Yes,Take the country in a different direction,Only Barack Obama,,,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Protestant,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,4.0,Northwest Pacific Coast,West,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,97439.0
4392911.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.547562062740326,Barack Obama,Jeff Merkley,Male,White,65-74,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Both of them,Too conservative,Too often,Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Something else,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Something else,No,White Born-again/Evangelical Christians,All others,All others,Rural,Small Cities/Rural,5.0,Northwest Pacific Coast,West,Low Density Rural,Rural,Rural,Very downscale,97394.0
4392907.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.52970576286316,Barack Obama,Jeff Merkley,Male,White,50-59,Independent,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Too conservative,Too often,Only Barack Obama,Strongly disapprove,Energy policy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,None,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,None,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,4.0,Northwest Pacific Coast,West,Suburb,Rural,Rural,Very upscale,97330.0
4392902.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.0468385219574,Barack Obama,Jeff Merkley,Female,White,30-39,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Too conservative,Too often,Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Jewish,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Jewish,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Jewish,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,High Density Urban,Urban,Urban Core,Upscale,97401.0
4392900.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.674825549125671,John McCain,Dave Brownlow,Male,White,50-59,Independent,Moderate,"$30,000-$49,999",College graduate,No,Strongly approve,No,Take the country in a different direction,Only John McCain,Too liberal,Too often,Both of them,Strongly approve,Health care,Not so good,Not too worried,No,Has the right experience,A minor factor,None,Earlier in October,Both of them,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is,Approve,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,None,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,None,No,All others,All others,All others,Rural,Small Cities/Rural,5.0,Northwest Pacific Coast,West,Low Density Rural,Rural,Rural,Very downscale,97394.0
4392899.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.52970576286316,Barack Obama,Jeff Merkley,Male,White,50-59,Independent,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,,Continue George W. Bush's policies,Only Barack Obama,Too conservative,About the right amount,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,A minor factor,None,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Not important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,None,No,All others,All others,,"Cities 50,000-500,000","Cities over 50,000",4.0,Northwest Pacific Coast,West,Suburb,Urban,Urban Core,Very upscale,97405.0
4392895.0,Oregon,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.882764399051666,John McCain,Gordon Smith,Female,White,50-59,Republican,Moderate,"$100,000-$149,999",College graduate,No,Strongly approve,Yes,Take the country in a different direction,Only John McCain,About right,,Only John McCain,Strongly approve,Terrorism,Not so good,Somewhat worried,No,Cares about people like me,Not a factor at all,Other Christian,Before that,Only Barack Obama,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,1.0,Northwest Pacific Coast,West,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,97051.0
