ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSSC08,SENSC08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401725.0,South Carolina,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,60-64,Republican,Conservative,,Postgraduate study,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,Suburbs,Suburbs,1.0,Piedmont,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,29464.0
4401724.0,South Carolina,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,75 or over,Republican,Conservative,"$30,000-$49,999",Postgraduate study,,,,,,,,,,,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,6.0,Piedmont,South,Suburb,Rural,Rural,Downscale,29115.0
4401107.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,40-44,Independent,Moderate,,High school graduate,,Strongly disapprove,No,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,Suburbs,Suburbs,6.0,Piedmont,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,29436.0
4401111.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Independent,Moderate,"$30,000-$49,999",Postgraduate study,,Strongly disapprove,No,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,Piedmont,South,Suburb,Rural,Rural,Very upscale,29928.0
4400528.0,South Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,45-49,Republican,Conservative,"$50,000-$74,999",Postgraduate study,,,Yes,The economy,Not so good,,No,Has the right experience,One of several important factors,Earlier in October,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,3.0,Piedmont,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,29671.0
4400524.0,South Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,65-74,Republican,Liberal,,Did not complete high school,,,Yes,Health care,Not so good,,No,Cares about people like me,Not a factor at all,Omit,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Omit,Omit,Omit,,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,Piedmont,South,Low Density Rural,Rural,Rural,Downscale,29666.0
4400523.0,South Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Republican,Conservative,"$30,000-$49,999",College graduate,,,Yes,The economy,Poor,,No,Shares my values,Not a factor at all,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,4.0,Piedmont,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,29669.0
4400525.0,South Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,45-49,Independent,Moderate,"$15,000-$29,999",College graduate,,,Yes,The economy,Poor,,No,Has the right experience,Not a factor at all,Before that,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,3.0,Piedmont,South,Town,Rural,Rural,Downscale,29646.0
4402357.0,South Carolina,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Other,,Female,Black,30-39,Democrat,Conservative,"$50,000-$74,999",College graduate,,,Yes,,,,,,,Before that,,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Piedmont,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29229.0
4401108.0,South Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Other,,Male,White,,Republican,Conservative,,Postgraduate study,,Somewhat disapprove,Yes,The economy,Not so good,Somewhat worried,No,Can bring about needed change,A minor factor,Omit,Disapprove,Non black male,White men,White male,White male,,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Factor,Omit,Omit,Omit,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,2.0,Piedmont,South,Suburb,Rural,Rural,Very upscale,29926.0
4400526.0,South Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Other,,Male,Other,75 or over,Independent,Conservative,"$30,000-$49,999",College graduate,,,No,The war in Iraq,Poor,,No,Omit,Not a factor at all,Omit,,Non black male,All other races,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,,Independent/Something else,Non black non Democrat,All other,All others,Other,All others,Not important,Not a factor,Omit,Omit,Omit,No,All others,"Cities 10,000-50,000",Small Cities/Rural,6.0,Piedmont,South,Suburb,Rural,Rural,Downscale,29115.0
4406627.0,South Carolina,28.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.819483399391174,Barack Obama,,Male,Black,40-44,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,Yes,Terrorism,Poor,Somewhat worried,No,Shares my values,Not a factor at all,Sometime last week,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Very downscale,29706.0
4406371.0,South Carolina,28.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.787427484989166,Barack Obama,,,Black,30-39,,Moderate,,Some college or associate degree,No,Strongly disapprove,Yes,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Sometime in September,Disapprove,,,,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,,,,,Not so good/Poor,Worried,,,,,Black,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Very downscale,29706.0
4406089.0,South Carolina,63.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.994156360626221,Barack Obama,,Female,Other,65-74,Democrat,,,High school graduate,No,,Yes,,,Very worried,,Omit,,Before that,,Non black female,All other races,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,No college degree,High school graduate or less,Non white no college degree,,,,,,Worried,Democrat,Non black Democrat,All other,All others,Other,All others,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,1.0,Pee Dee,South,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale,29576.0
4408070.0,South Carolina,87.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.63175106048584,Barack Obama,,Female,Black,18-24,Democrat,Moderate,"$50,000-$74,999",High school graduate,No,Strongly approve,No,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Before that,Approve,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,Midlands,South,Suburb,Rural,Rural,Downscale,29115.0
4407980.0,South Carolina,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.717877209186554,Barack Obama,,Male,White,18-24,Republican,Conservative,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Piedmont,South,Town,Rural,Rural,Very upscale,29302.0
4412468.0,South Carolina,115.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.613074541091919,Barack Obama,,Male,Black,40-44,,Liberal,"$15,000-$29,999",Did not complete high school,,Strongly disapprove,,Health care,Good,Omit,No,Omit,Not a factor at all,Just today,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Excellent/Good,Omit,,,,,Black,,Not important,Not a factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,6.0,Pee Dee,South,Suburb,Rural,Rural,Downscale,29150.0
4407101.0,South Carolina,87.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.680106341838837,Barack Obama,,Male,Black,18-24,Democrat,Moderate,"Under $15,000",High school graduate,No,,No,Energy policy,Poor,,Yes,Can bring about needed change,One of several important factors,In the last three days,,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,Midlands,South,Suburb,Rural,Rural,Downscale,29115.0
4409617.0,South Carolina,119.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.819483399391174,Barack Obama,,Male,Black,40-44,Independent,,,College graduate,No,,Yes,,,Not at all worried,,Shares my values,,Before that,,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,,,,,,Not worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,5.0,Piedmont,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,29730.0
4420855.0,South Carolina,28.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.656876683235168,John McCain,,Female,White,50-59,,Moderate,"$50,000-$74,999",,,Somewhat disapprove,Yes,The economy,Poor,Omit,No,Shares my values,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Omit,,,,,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Very downscale,29706.0
4420853.0,South Carolina,28.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.656876683235168,John McCain,,Female,White,50-59,,Moderate,"$50,000-$74,999",,,Somewhat disapprove,Yes,The economy,Poor,Omit,No,Shares my values,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Omit,,,,,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,5.0,Piedmont,South,Low Density Rural,Rural,Rural,Very downscale,29706.0
4408423.0,South Carolina,119.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.656876683235168,John McCain,,Female,White,50-59,Republican,Moderate,"$150,000-$199,999",Some college or associate degree,No,Strongly approve,Yes,Health care,Excellent,Very worried,No,Has the right experience,One of several important factors,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,5.0,Piedmont,South,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,29730.0
4409281.0,South Carolina,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.660991251468658,John McCain,,Male,,30-39,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Somewhat approve,No,The economy,Not so good,Somewhat worried,No,Cares about people like me,A minor factor,Before that,Approve,,,,,30-44,30-59,18-44,30-44,30-39,18-64,,,,No college degree,More than High school graduate,,Less than 100k,50k or more,50 to 100 thousand,,Not so good/Poor,Worried,Republican,,,,,,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Piedmont,South,Town,Rural,Rural,Very upscale,29302.0
4409075.0,South Carolina,67.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.65190577507019,Barack Obama,Did not vote,Female,White,65-74,Democrat,Moderate,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Yes,The economy,Not so good,Somewhat worried,No,Can bring about needed change,A minor factor,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Pee Dee,South,Town,80s Suburbs,Urban Perimeter,Upscale,29579.0
4410250.0,South Carolina,93.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.634765923023224,Barack Obama,Did not vote,Male,Black,18-24,Democrat,Moderate,"$50,000-$74,999",High school graduate,No,Somewhat approve,Yes,The economy,Not so good,Not too worried,Yes,Can bring about needed change,Not a factor at all,Before that,Approve,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not so good/Poor,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Midlands,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,29063.0
