ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWA08,GOVWA08,WAINIT1000,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,WAVT2004,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4395115.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,White,75 or over,Independent,Liberal,,Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Christine Gregoire,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,None,Before that,Neither of them,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,No,No,None,,All others,All others,All others,Suburbs,Suburbs,9.0,Urban Puget Sound,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale,98387.0
4395064.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,White,75 or over,Independent,Moderate,,High school graduate,No,Strongly disapprove,No,Omit,Omit,Christine Gregoire,Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Omit,No,Omit,Not a factor at all,None,Before that,Both of them,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Omit,Omit,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Omit,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,None,,All others,All others,All others,Rural,Small Cities/Rural,4.0,East,West,Low Density Rural,Rural,Rural,Very downscale,98815.0
4395019.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,White,50-59,Independent,Moderate,,High school graduate,No,Somewhat approve,No,Take the country in a different direction,Both of them,Omit,Both of them,Strongly approve,Health care,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Something else,Sometime in September,Neither of them,No one does,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,,,,,John McCain is,Barack Obama is,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Something else,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did not,Barack Obama did not,No,No,No,Something else,,All others,All others,All others,Suburbs,Suburbs,2.0,Urban Puget Sound,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,98258.0
4394978.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Yes,Female,White,50-59,Independent,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Neither of them,Dino Rossi,Neither of them,Somewhat disapprove,The economy,Not so good,Very worried,No,Cares about people like me,A minor factor,Catholic,Earlier in October,Neither of them,"Yes, I do",Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did not,Yes,I am,Yes,Catholic,Yes,All others,All others,All others,Suburbs,Suburbs,9.0,West,West,Suburb,70s Suburbs,Urban Perimeter,Upscale,98503.0
4394968.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,White,50-59,Independent,Moderate,,College graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Both of them,Christine Gregoire,Both of them,Strongly disapprove,The war in Iraq,Not so good,Somewhat worried,No,Has the right experience,The single most important factor,Other Christian,Sometime in September,Only John McCain,No one does,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,,,,,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,6.0,Urban Puget Sound,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,98335.0
4394924.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Female,White,65-74,Independent,,,High school graduate,No,Omit,No,Omit,Omit,Omit,Both of them,Omit,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Protestant,Sometime in September,Both of them,No one does,Omit,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Omit,Omit,,,,,John McCain is,Barack Obama is,Omit,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,5.0,East,West,Suburb,70s Suburbs,Urban Perimeter,Upscale,99206.0
4394899.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Other,Yes,Female,Hispanic/Latino,18-24,Democrat,Moderate,,Some college or associate degree,Yes,Strongly disapprove,No,Omit,Omit,Did not vote,Both of them,Strongly disapprove,Energy policy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,None,Earlier in October,Both of them,No one does,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Omit,Omit,,,,,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Other,All others,Not important,Not a factor,None,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Non-white,,All others,All others,All others,Suburbs,Suburbs,7.0,King County,West,Suburb,60s Suburbs,Urban Perimeter,Downscale,98188.0
4394792.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Yes,Male,White,65-74,Something else,Conservative,,Some college or associate degree,No,Omit,No,Omit,Neither of them,Christine Gregoire,Neither of them,Strongly disapprove,The war in Iraq,Poor,Not at all worried,No,Cares about people like me,Not a factor at all,None,Omit,Both of them,No one does,Omit,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,,,,,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Omit,Omit,Omit,John McCain did,Barack Obama did,No,No,No,None,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",5.0,East,West,High Density Urban,Urban,Urban Core,Very upscale,99203.0
4394752.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Christine Gregoire,Yes,Female,White,50-59,Independent,Moderate,"$30,000-$49,999",College graduate,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,Christine Gregoire,Only John McCain,Somewhat approve,Energy policy,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Protestant,Before that,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,2.0,West,West,Low Density Rural,Rural,Rural,Upscale,98232.0
4394714.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,Asian,50-59,Independent,Moderate,"$100,000-$149,999",High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Both of them,Christine Gregoire,Only John McCain,Somewhat approve,Health care,Not so good,Somewhat worried,No,Cares about people like me,Not a factor at all,Something else,Before that,Both of them,"Yes, I do",Disapprove,Non black male,All other races,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,No college degree,High school graduate or less,Non white no college degree,John McCain does,Barack Obama does,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,All other,All others,Asian,All others,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Non-white,No,All others,All others,All others,Suburbs,Suburbs,9.0,King County,West,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,98003.0
4394695.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Christine Gregoire,Yes,Male,White,65-74,Independent,Conservative,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,No,Omit,Only John McCain,Christine Gregoire,Omit,Strongly approve,Terrorism,Not so good,Not too worried,No,Has the right experience,Not a factor at all,Protestant,Omit,Both of them,"Yes, I do",Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Omit,Omit,Approve,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Omit,Omit,Omit,John McCain did,Barack Obama did,Yes,I am,Yes,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,1.0,Urban Puget Sound,West,High Density Urban,70s Suburbs,Urban Perimeter,Very upscale,98026.0
4394677.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Male,White,75 or over,Independent,Moderate,"$30,000-$49,999",College graduate,No,Somewhat disapprove,No,Continue George W. Bush's policies,Both of them,Christine Gregoire,Only Barack Obama,Strongly disapprove,The war in Iraq,Not so good,Somewhat worried,No,Omit,A minor factor,None,Before that,Both of them,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,None,No,All others,All others,All others,Suburbs,Suburbs,8.0,King County,West,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,98058.0
4394636.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Yes,Female,White,50-59,Democrat,Conservative,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Christine Gregoire,Both of them,Somewhat disapprove,Health care,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Catholic,Before that,Omit,"Yes, I do and someone else does",Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,Yes,I am,Yes,Catholic,Yes,All others,All others,All others,Suburbs,Suburbs,5.0,East,West,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,99006.0
4394612.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,,Yes,Female,White,60-64,Independent,Conservative,"$30,000-$49,999",College graduate,No,Somewhat disapprove,Yes,Take the country in a different direction,Omit,Omit,Only John McCain,Somewhat approve,The economy,Not so good,Very worried,No,Shares my values,Not a factor at all,Protestant,Before that,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,Omit,Omit,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,8.0,King County,West,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,98042.0
4395641.0,Washington,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Dino Rossi,Yes,Male,White,50-59,Independent,Conservative,"$100,000-$149,999",High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Both of them,Christine Gregoire,Both of them,Somewhat approve,Energy policy,Not so good,Not too worried,No,Cares about people like me,Not a factor at all,Other Christian,In the last three days,Both of them,No one does,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is,Barack Obama is,Approve,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",4.0,East,West,Suburb,Urban,Urban Core,Upscale,98908.0
