ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSSD08,SENSD08,HSESD08,SDINIT11,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4421389.0,South Dakota,13.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.707463085651398,John McCain,Did not vote,Did not vote,Yes,Female,White,18-24,Republican,Conservative,"$30,000-$49,999",Postgraduate study,No,Somewhat approve,No,The economy,Somewhat worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Southeast,Midwest,Low Density Rural,Rural,Rural,Downscale,57069.0
4422771.0,South Dakota,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.833668231964111,John McCain,Tim Johnson,Did not vote,Yes,Female,White,60-64,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57376.0
4422711.0,South Dakota,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.833668231964111,John McCain,Tim Johnson,Did not vote,Yes,Female,White,60-64,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57376.0
4420607.0,South Dakota,20.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03689026832581,John McCain,Tim Johnson,Did not vote,Yes,Female,White,18-24,Republican,Conservative,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,Yes,The economy,Very worried,Sometime in September,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57219.0
4420908.0,South Dakota,67.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00179135799408,John McCain,Joel Dykstra,Did not vote,Yes,Male,White,30-39,Republican,Conservative,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,Yes,The economy,Very worried,In the last three days,Approve,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Midwest,Low Density Rural,Urban,Urban Core,Very upscale,57702.0
4418871.0,South Dakota,57.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.683425545692444,Did not vote,Tim Johnson,Stephanie Herseth Sandlin,Yes,Female,White,50-59,Democrat,,"$50,000-$74,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Somewhat worried,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Southeast,Midwest,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,57033.0
4418303.0,South Dakota,43.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.18393325805664,Did not vote,Tim Johnson,Stephanie Herseth Sandlin,No,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,Yes,The war in Iraq,Somewhat worried,In the last three days,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,West,Midwest,Extremely Low Density Rural,Rural,Rural,Downscale,57785.0
4420439.0,South Dakota,20.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.1216961145401,Barack Obama,,Stephanie Herseth Sandlin,,Female,White,45-49,Republican,Moderate,,College graduate,No,Somewhat disapprove,No,Omit,Not too worried,Just today,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,All others,Rural,Small Cities/Rural,1.0,Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57219.0
4418792.0,South Dakota,33.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.950619757175446,Barack Obama,,Stephanie Herseth Sandlin,No,Female,White,18-24,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Health care,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,57042.0
4420208.0,South Dakota,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.834852755069733,Barack Obama,Did not vote,Stephanie Herseth Sandlin,No,Male,White,25-29,Republican,Liberal,"$100,000-$149,999",College graduate,No,Strongly disapprove,No,The economy,Somewhat worried,Earlier in October,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Southeast,Midwest,Extremely Low Density Rural,Urban,Urban Core,Very upscale,57032.0
4421203.0,South Dakota,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.712964832782745,Barack Obama,Did not vote,Stephanie Herseth Sandlin,No,Female,White,18-24,Republican,,"Under $15,000",College graduate,No,Somewhat disapprove,No,Health care,Somewhat worried,Sometime in September,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Southeast,Midwest,Extremely Low Density Rural,Urban,Urban Core,Very upscale,57032.0
4420270.0,South Dakota,68.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.38615930080414,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,,Male,White,65-74,Independent,,,Some college or associate degree,No,,,,Very worried,Before that,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Midwest,Low Density Rural,Urban,Urban Core,Very upscale,57702.0
4420435.0,South Dakota,63.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.683207035064697,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Did not vote,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Omit,Very worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Midwest,Low Density Rural,Urban,Urban Core,Very upscale,57702.0
4420380.0,South Dakota,6.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05021321773529,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,White,75 or over,Democrat,Conservative,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Northeast,Midwest,Low Density Rural,Rural,Rural,Very upscale,57401.0
4420269.0,South Dakota,6.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05021321773529,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,Other,65-74,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly approve,No,The war in Iraq,Very worried,Before that,Approve,Non black male,All other races,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,American Indian,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Northeast,Midwest,Low Density Rural,Rural,Rural,Very upscale,57401.0
4417920.0,South Dakota,33.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.842006146907806,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Female,White,40-44,Independent,Moderate,"$15,000-$29,999",College graduate,No,Strongly disapprove,Yes,The economy,Very worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,57042.0
4420144.0,South Dakota,20.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.61571276187897,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,White,75 or over,Republican,Moderate,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,Yes,The economy,Very worried,Sometime in September,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,1.0,Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57219.0
4422451.0,South Dakota,80.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.621152102947235,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Female,White,30-39,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,,,,,,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,No,,"Cities 10,000-50,000",Small Cities/Rural,1.0,Southeast,Midwest,Low Density Rural,Rural,Rural,Upscale,57078.0
4421227.0,South Dakota,13.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.739466190338135,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,White,40-44,Democrat,,,College graduate,No,,,,Very worried,Before that,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 10,000-50,000",Small Cities/Rural,1.0,Southeast,Midwest,Low Density Rural,Rural,Rural,Downscale,57069.0
4419857.0,South Dakota,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.07625937461853,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Female,White,65-74,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Midwest,Low Density Rural,Urban,Urban Core,Very upscale,57702.0
4422148.0,South Dakota,20.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.61571276187897,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,White,75 or over,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,No,Strongly disapprove,No,The economy,Very worried,In the last three days,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Yes,All others,Rural,Small Cities/Rural,1.0,Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,57219.0
4419699.0,South Dakota,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.887359440326691,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,White,40-44,Democrat,Conservative,"$100,000-$149,999",College graduate,No,Strongly disapprove,Yes,Energy policy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Midwest,Low Density Rural,Urban,Urban Core,Very upscale,57702.0
4419645.0,South Dakota,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.887359440326691,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Male,White,50-59,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,Terrorism,Somewhat worried,Just today,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Midwest,Low Density Rural,Urban,Urban Core,Very upscale,57702.0
4419606.0,South Dakota,33.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.759265542030334,Barack Obama,Tim Johnson,Stephanie Herseth Sandlin,Yes,Female,White,25-29,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,1.0,Southeast,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,57042.0
