ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMO08,GOVMO08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401007.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Independent,Moderate,"Under $15,000",High school graduate,,Strongly approve,Yes,Take the country in a different direction,,"Yes, for Barack Obama",,Terrorism,Not so good,Not too worried,No,,Has the right experience,Not a factor at all,,Before that,Neither of them,,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,Yes,White Born-again/Evangelical Christians,,,Rural,Small Cities/Rural,4.0,St. Louis City,Midwest,Town,Rural,Rural,Upscale,65065.0
4401004.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Something else,Conservative,"$30,000-$49,999",High school graduate,,Somewhat disapprove,Yes,Take the country in a different direction,,"No, I was not contacted",,The economy,Poor,Very worried,No,,Cares about people like me,Not a factor at all,,Earlier in October,Both of them,,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,,,Yes,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,3.0,St. Louis City,Midwest,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,63049.0
4401009.0,Missouri,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,65-74,,Conservative,"$50,000-$74,999",High school graduate,,Somewhat disapprove,Yes,Take the country in a different direction,,"No, I was not contacted",,The war in Iraq,Not so good,Not too worried,No,,Omit,Not a factor at all,,Before that,Both of them,,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Not so good/Poor,Not worried,,,,,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,No,White Born-again/Evangelical Christians,,,Rural,Small Cities/Rural,4.0,St. Louis City,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,65452.0
4400423.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,,Republican,Moderate,,Some college or associate degree,,,No,Omit,,"No, I was not contacted",,The economy,Not so good,,No,,Has the right experience,Not a factor at all,,Before that,Both of them,,,Non black female,White women,White female,White female,,,,,,,,,,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,,,,,,,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",6.0,St. Louis City,Midwest,Suburb,Urban,Urban Core,Upscale,64506.0
4400419.0,Missouri,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,,,Yes,Take the country in a different direction,,"No, I was not contacted",,Terrorism,Poor,,No,,Has the right experience,Not a factor at all,,Before that,Both of them,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,Yes,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,5.0,St. Louis City,Midwest,Suburb,60s Suburbs,Urban Perimeter,Downscale,64050.0
4437515.0,Missouri,150.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.846690595149994,Barack Obama,Jay Nixon,Female,White,50-59,Democrat,Liberal,"$200,000 or more",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,The economy,Poor,Very worried,No,About right,Can bring about needed change,The single most important factor,None,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,None,No,All others,All others,All others,Suburbs,Suburbs,4.0,Southwest,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
4437513.0,Missouri,150.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.846690595149994,Barack Obama,Jay Nixon,Female,White,50-59,Democrat,Liberal,"$200,000 or more",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,The economy,Poor,Very worried,No,About right,Can bring about needed change,The single most important factor,None,Before that,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,None,No,All others,All others,All others,Suburbs,Suburbs,4.0,Southwest,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
4458001.0,Missouri,150.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.765641868114471,Barack Obama,Jay Nixon,Female,White,18-24,Independent,Conservative,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Neither of them,"Yes, for Barack Obama",Only Barack Obama,The economy,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Other Christian,Just today,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,4.0,Southwest,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
4457745.0,Missouri,150.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.846690595149994,Barack Obama,Jay Nixon,Female,Hispanic/Latino,30-39,Independent,Liberal,"$75,000-$99,999",Some college or associate degree,Yes,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Only Barack Obama,The economy,Poor,Very worried,No,About right,Cares about people like me,Omit,Other Christian,Before that,Only John McCain,No one does,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,White,All others,Omit,Omit,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Non-white,No,All others,All others,All others,Suburbs,Suburbs,4.0,Southwest,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
4458904.0,Missouri,150.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.765641868114471,Barack Obama,Jay Nixon,Female,White,25-29,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"Yes, for John McCain",Only Barack Obama,Health care,Poor,Very worried,No,About right,Cares about people like me,One of several important factors,Other Christian,Sometime in September,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,4.0,Southwest,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
4436201.0,Missouri,150.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.940860450267792,Barack Obama,Jay Nixon,Male,White,30-39,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Only Barack Obama,The war in Iraq,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,None,Before that,Only John McCain,No one does,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,None,No,All others,All others,All others,Suburbs,Suburbs,4.0,Southwest,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,65706.0
