ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIN08,GOVIN08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4402552.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12021052837372,John McCain,Mitch Daniels,Male,White,50-59,Independent,Moderate,"$200,000 or more",College graduate,No,Somewhat approve,,Take the country in a different direction,Only John McCain,"Yes, for both Obama and McCain",Neither of them,Somewhat approve,Energy policy,Not so good,Very worried,No,Too liberal,Shares my values,One of several important factors,Protestant,Before that,Neither of them,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,John McCain did,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,No,All others,,,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402521.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12021052837372,John McCain,Mitch Daniels,Male,White,50-59,Republican,Conservative,"$100,000-$149,999",College graduate,No,Strongly approve,Yes,Take the country in a different direction,Only John McCain,"No, I was not contacted",Only John McCain,Strongly approve,Energy policy,Good,Somewhat worried,No,Too liberal,Shares my values,Not a factor at all,Protestant,Before that,Only Barack Obama,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402508.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.34296607971191,Other,Mitch Daniels,Female,White,60-64,Republican,Moderate,"$75,000-$99,999",Postgraduate study,No,Somewhat disapprove,Yes,Take the country in a different direction,Both of them,"Yes, for both Obama and McCain",Neither of them,Somewhat disapprove,The economy,Poor,Very worried,No,Too liberal,Has the right experience,One of several important factors,Protestant,Just today,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Protestant/Other Christian,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402566.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.760547041893005,Barack Obama,Mitch Daniels,Female,White,45-49,Republican,Conservative,,Some college or associate degree,No,,Yes,,,,,,,,Very worried,,,Can bring about needed change,,,Earlier in October,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,White Born-again/Evangelical Christians,,,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402665.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.92190420627594,Barack Obama,Jill Long Thompson,Male,White,50-59,Democrat,Liberal,,Some college or associate degree,No,,No,,,,,,,,Somewhat worried,,,Shares my values,,,Before that,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,All others,,,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402531.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.17493903636932,John McCain,Mitch Daniels,Female,,60-64,Republican,Conservative,,Some college or associate degree,No,,Yes,,,,,,,,Very worried,,,Omit,,,Before that,,,,,,,45-65,60+,45+,60+,50-64,18-64,,,,No college degree,More than High school graduate,,,,,,,,,,,,,,Worried,Republican,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,All others,,,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402895.0,Indiana,99.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.32121169567108,John McCain,Mitch Daniels,Female,White,60-64,Republican,Conservative,,,,,Yes,,,,,,,,Very worried,,,Shares my values,,,Before that,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,,,,,,,,,,,,,,,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,White Born-again/Evangelical Christians,,,,,8.0,South,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,47630.0
4402674.0,Indiana,98.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.33880317211151,Barack Obama,Mitch Daniels,Male,Hispanic/Latino,18-24,Independent,Moderate,"$100,000-$149,999",High school graduate,Yes,,Yes,,,,,,,,,,,,,Other Christian,Before that,,,Non black male,Latino men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,,,,Independent/Something else,Non black non Democrat,Latino Independents,All others,White,All others,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,Non-white,No,All others,All others,All others,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4402602.0,Indiana,98.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.44062876701355,John McCain,Mitch Daniels,Female,White,40-44,Republican,Conservative,"$200,000 or more",College graduate,No,,Yes,,,,,,,,,,,,,Other Christian,Sometime in September,,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,,,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,,,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4402759.0,Indiana,98.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.63723087310791,John McCain,Mitch Daniels,Male,White,40-44,Independent,Conservative,"$30,000-$49,999",College graduate,No,,Yes,,,,,,,,,,,,,Protestant,Before that,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4402633.0,Indiana,98.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.63723087310791,John McCain,Mitch Daniels,Male,White,40-44,Republican,Conservative,"$75,000-$99,999",Postgraduate study,No,,No,,,,,,,,,,,,,Protestant,Just today,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,Protestant/Other Christian,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4402715.0,Indiana,98.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.80603694915771,Barack Obama,Jill Long Thompson,Male,White,60-64,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,No,,No,,,,,,,,,,,,,Protestant,Before that,,,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4403193.0,Indiana,98.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.1115688085556,Barack Obama,Mitch Daniels,Female,White,45-49,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,Take the country in a different direction,,"Yes, for Barack Obama",,,The economy,Poor,Very worried,No,,Can bring about needed change,Not a factor at all,,Sometime last week,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did,,No,All others,,,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4402967.0,Indiana,98.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,1.1115688085556,Barack Obama,Mitch Daniels,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,No,,,,Neither of them,,Neither of them,,,,,,Too liberal,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,No,,,,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4403313.0,Indiana,98.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.18560004234314,Barack Obama,Jill Long Thompson,Female,White,40-44,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,Strongly disapprove,The economy,Not so good,,Yes,,Shares my values,Not a factor at all,,Sometime in September,Both of them,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Disapprove,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,,No,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
4403128.0,Indiana,98.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.18560004234314,Barack Obama,Jill Long Thompson,Female,White,40-44,Republican,Moderate,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,No,Continue George W. Bush's policies,,"No, I was not contacted",,,Health care,Poor,Very worried,No,,Can bring about needed change,Not a factor at all,,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,No,All others,,,Suburbs,Suburbs,8.0,South,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,47601.0
