ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNY08,HOU08NY,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SPANISHQ,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400453.0, New York,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,White,75 or over,Democrat,Conservative,"$200,000 or more",High school graduate,No,,The single most important factor,,,,Yes,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,,,,Strongly disapprove,The war in Iraq,My candidate's position on the issues,,,Scared,Poor,,No,,Excited,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,,Non black male,White men,White male,White male,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Disapprove,,,,,,Not so good/Poor,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,White Born-again/Evangelical Christians,,,,Suburbs,Suburbs,23.0,New York City,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,13421.0
4401025.0, New York,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Republican candidate,Female,,,Independent,Conservative,,,,Strongly disapprove,Not a factor at all,,,,Yes,Omit,Omit,,,,,,,,,,,"No, I was not contacted",,,,,Hillary Clinton,,,,The economy,My candidate's position on the issues,,,,Not so good,Very worried,Yes,,,Cares about people like me,Not a factor at all,,,,,,,Before that,,Omit,,,,,,Disapprove,,,,,,,,,,,,,,,Not Important,Was not a factor,,,,,,,,,,,,,,,,,John McCain did not,Barack Obama did not,,,,,,,,,,,,,,,Not so good/Poor,Worried,,Independent/Something else,,,,,,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,,,,,,,,All others,,,,"Cities over 500,000","Cities over 50,000",6.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Downscale,11414.0
4401026.0, New York,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Female,Black,25-29,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,Not a factor at all,,,,,Continue George W. Bush's policies,Both regular land-line and cell phone service,,,,,,,,,,,"No, I was not contacted",,,,,Would not have voted for president,,,,The economy,My candidate's position on the issues,,,,Good,Very worried,No,,,Shares my values,Not a factor at all,,,English,,,,Sometime in September,,Omit,,,,,,Disapprove,Black female,Black women,Non white female,Non white,,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,Non white college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,,,,,,,Excellent/Good,Worried,,Democrat,Black Democrat,Black Democrats,All others,Black,,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,Omit,Omit,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",17.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,10467.0
4401027.0, New York,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Other,Female,White,45-49,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly approve,One of several important factors,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"Yes, for John McCain",,,,,Hillary Clinton,,,,The economy,My candidate's position on the issues,,,,Not so good,Very worried,No,,,Has the right experience,Not a factor at all,,,English,,,,Earlier in October,,Neither of them,,,,,,Approve,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Important,Was a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did,Barack Obama did not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,,,,Not so good/Poor,Worried,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did not,,,,,,,No,All others,,,,"Cities over 500,000","Cities over 50,000",6.0,New York City,East,Extremely High Density Urban,Urban,Urban Core,Downscale,11414.0
4401028.0, New York,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Somewhat disapprove,A minor factor,,,,No,Continue George W. Bush's policies,Only regular land-line phone service,,,,,,,,,,,"Yes, for Barack Obama",,,,,Hillary Clinton,,,,The economy,My candidate's position on the issues,,,,Poor,Somewhat worried,Yes,,,Cares about people like me,A minor factor,,,English,,,,Earlier in October,,Both of them,,,,,,Disapprove,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Not Important,Was a factor,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,John McCain did not,Barack Obama did,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,,,,Not so good/Poor,Worried,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Factor,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,,,,,Yes,All others,,,,Suburbs,Suburbs,23.0,New York City,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,13036.0
4401029.0, New York,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Female,White,60-64,Something else,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,Not a factor at all,,,,No,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,Hillary Clinton,,,,The economy,My candidate's position on the issues,,,,Poor,Very worried,No,,,Can bring about needed change,Not a factor at all,,,English,,,,Before that,,Only John McCain,,,,,,Disapprove,Non black female,White women,White female,White female,,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,,,,Not so good/Poor,Worried,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,,,No,All others,,,,Suburbs,Suburbs,20.0,New York City,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,12065.0
4401030.0, New York,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,The Republican candidate,Female,White,50-59,Independent,Moderate,"$100,000-$149,999",College graduate,No,Somewhat disapprove,Not a factor at all,,,,No,Take the country in a different direction,Only regular land-line phone service,,,,,,,,,,,"No, I was not contacted",,,,,John McCain,,,,The economy,My candidate's position on the issues,,,,Poor,Somewhat worried,No,,,Cares about people like me,Not a factor at all,,,English,,,,Before that,,Both of them,,,,,,Disapprove,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Not Important,Was not a factor,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,John McCain did not,Barack Obama did not,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,,,,Not so good/Poor,Worried,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,,,No,All others,,,,Suburbs,Suburbs,1.0,New York City,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11780.0
4401620.0, New York,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Other,The Democratic candidate,Female,White,50-59,Democrat,Liberal,"$15,000-$29,999",College graduate,No,,,,Strongly oppose,,,,,,Somewhat approve,,Somewhat favor,Neither of them,Worse today,Somewhat worried,,,,,Omit,,Very worried,,,Neither of them,No,,,,Neither of them,,,,,,About right,,,,Stay about the same,,English,One of several important factors,Go up no matter which candidate wins,Somewhat worried,,,,,,,,,,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,,Oppose,,,Approve,,Favor,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does not,Worried,,,,,Worried,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,,John McCain does not,Barack Obama does not,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,Stay about the same,,Important,Factor,Go up if McCain is elected president,Go up if Obama is elected president,Worried,,,,,,,,,,,,No,,,,,Rural,Small Cities/Rural,20.0,New York City,East,Extremely Low Density Rural,Rural,Rural,Downscale,12197.0
4401621.0, New York,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Democratic candidate,Male,White,65-74,Democrat,Liberal,,High school graduate,No,,,,Strongly oppose,,,,,,Somewhat approve,,Strongly favor,Only Barack Obama,About the same,Very worried,,,,,Government should do more to solve problems,,Not at all worried,,,Only Barack Obama,Yes,,,,Only Barack Obama,,,,,,Too conservative,,,,Stay about the same,,English,A minor factor,Go up no matter which candidate wins,Somewhat worried,,,,,,,,,,Non black male,White men,White male,White male,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,Oppose,,,Approve,,Favor,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Worried,,,,,Not worried,,,,,,John McCain is not,Barack Obama is,,John McCain does not,Barack Obama does,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,Stay about the same,,Not important,Factor,Go up if McCain is elected president,Go up if Obama is elected president,Worried,,,,,,,,,,,,,,,,,Suburbs,Suburbs,20.0,New York City,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,12866.0
4401622.0, New York,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,The Republican candidate,Male,White,60-64,Republican,Liberal,"$75,000-$99,999",Postgraduate study,No,,,,Strongly oppose,,,,,,Somewhat disapprove,,Strongly favor,Only Barack Obama,About the same,Somewhat worried,,,,,Government should do more to solve problems,,Not at all worried,,,Only Barack Obama,Yes,,,,Both of them,,,,,,About right,,,,Stay about the same,,English,A minor factor,Go up no matter which candidate wins,Somewhat worried,,,,,,,,,,Non black male,White men,White male,White male,,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,,,,Oppose,,,Disapprove,,Favor,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,Worried,,,,,Not worried,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,,John McCain does,Barack Obama does,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,Stay about the same,,Not important,Factor,Go up if McCain is elected president,Go up if Obama is elected president,Worried,,,,,,,,,,,,No,,,,,"Cities 50,000-500,000","Cities over 50,000",24.0,New York City,East,Suburb,Urban,Urban Core,Very downscale,13501.0
