ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMI08,SENMI08,MIPROP2,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,JOBSIT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4389668.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.351480901241302,John McCain,Jack Hoogendyk,No,Female,White,65-74,Republican,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly approve,No,Take the country in a different direction,Only John McCain,About the same,Only John McCain,Strongly approve,Energy policy,Good,Not at all worried,No,Has the right experience,Not a factor at all,Protestant,Before that,Neither of them,No one does,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Excellent/Good,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,2.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,49431.0
4389519.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.430549472570419,John McCain,Jack Hoogendyk,No,Female,White,75 or over,Republican,Conservative,"Under $15,000",High school graduate,No,Strongly approve,No,Continue George W. Bush's policies,Only John McCain,About the same,Neither of them,Strongly approve,The economy,Not so good,Very worried,Yes,Cares about people like me,Omit,Catholic,Before that,Only Barack Obama,No one does,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Omit,Omit,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,No,No,No,Catholic,Yes,All others,All others,All others,Rural,Small Cities/Rural,2.0,North/Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,49644.0
4389732.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.317641019821167,Barack Obama,Other,No,Female,Other,65-74,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only John McCain,About the same,Both of them,Strongly approve,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,Earlier in October,Neither of them,No one does,Disapprove,Non black female,All other races,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,No college degree,More than High school graduate,Non white no college degree,John McCain does,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,All other,All others,American Indian,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did not,No,No,No,Non-white,No,All others,All others,All others,Rural,Small Cities/Rural,4.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Very downscale,48886.0
4389817.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.339450836181641,John McCain,Other,Yes,Female,White,65-74,Republican,Conservative,,Postgraduate study,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,About the same,Only John McCain,Somewhat approve,Terrorism,Not so good,Omit,No,Shares my values,Not a factor at all,Protestant,Before that,Only Barack Obama,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,,,,,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Omit,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,No,No,No,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,4.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,49307.0
4389479.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.338419705629349,Other,Other,No,Female,White,60-64,Independent,Conservative,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,,Take the country in a different direction,Neither of them,About the same,Neither of them,Strongly disapprove,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,,Before that,Both of them,No one does,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,,No,All others,,,Rural,Small Cities/Rural,2.0,North/Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,49349.0
4389728.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.546863079071045,Other,Other,No,Male,White,65-74,Independent,,"$15,000-$29,999",High school graduate,No,Somewhat disapprove,Yes,Take the country in a different direction,Neither of them,About the same,Neither of them,Omit,The economy,Not so good,Somewhat worried,No,Omit,Not a factor at all,Protestant,Omit,Both of them,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Omit,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Omit,Omit,Omit,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,1.0,North/Northeast,Midwest,Town,Rural,Rural,Upscale,49629.0
4389869.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.25919151306152,,,Yes,Male,White,65-74,Independent,Moderate,,Postgraduate study,No,Somewhat disapprove,No,Take the country in a different direction,Only John McCain,Worse today,Neither of them,Somewhat approve,The economy,Not so good,Somewhat worried,No,Has the right experience,A minor factor,,Before that,Both of them,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,,,,,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,,,All others,All others,,Rural,Small Cities/Rural,1.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Upscale,49740.0
4389507.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,5.67110919952393,,,Yes,Male,White,40-44,Something else,Conservative,"$75,000-$99,999",High school graduate,No,Somewhat disapprove,Yes,Continue George W. Bush's policies,Neither of them,Worse today,Neither of them,Strongly disapprove,Energy policy,Poor,Not too worried,No,Can bring about needed change,Not a factor at all,Other Christian,Before that,Both of them,"Yes, I do",Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,4.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,49346.0
4389809.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.25919151306152,,,No,Male,White,65-74,Independent,Conservative,"$50,000-$74,999",College graduate,No,Somewhat approve,Yes,Take the country in a different direction,Only John McCain,Worse today,Only John McCain,Strongly approve,The economy,Not so good,Not too worried,No,Has the right experience,Not a factor at all,Protestant,Before that,Both of them,No one does,Approve,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,2.0,North/Northeast,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,49663.0
4389849.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.59913969039917,Barack Obama,,No,Female,Black,60-64,Democrat,Liberal,,Did not complete high school,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,Worse today,Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,No,Cares about people like me,Not a factor at all,Protestant,Sometime in September,Only John McCain,No one does,Disapprove,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Non-white,,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,North/Northeast,Midwest,Suburb,Rural,Rural,Very downscale,49442.0
4389602.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.838749945163727,John McCain,,Did not vote,Female,White,75 or over,Independent,Conservative,,Some college or associate degree,No,Somewhat approve,Yes,Take the country in a different direction,Only John McCain,Worse today,Only John McCain,Somewhat approve,The economy,Not so good,Very worried,No,Has the right experience,The single most important factor,Protestant,Before that,Only Barack Obama,No one does,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,,,,,John McCain is,Barack Obama is not,Approve,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,No,No,No,Protestant/Other Christian,,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,1.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Very downscale,48750.0
4389465.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.810156047344208,Barack Obama,Did not vote,No,Female,White,75 or over,Independent,,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Worse today,Omit,Strongly disapprove,Omit,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,Omit,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Omit,Omit,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Omit,Omit,Omit,John McCain did,Barack Obama did not,No,No,No,Catholic,Yes,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,4.0,North/Northeast,Midwest,Town,Rural,Rural,Downscale,48858.0
4389765.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.32586407661438,,Carl Levin,Yes,Male,White,75 or over,Independent,Conservative,"$30,000-$49,999",College graduate,No,Somewhat disapprove,Yes,Omit,Omit,Worse today,Omit,Somewhat approve,The economy,Poor,Not too worried,No,Has the right experience,Not a factor at all,Protestant,Earlier in October,Only Barack Obama,No one does,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Omit,Omit,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Omit,Omit,Approve,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did,No,No,No,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 10,000-50,000",Small Cities/Rural,2.0,North/Northeast,Midwest,Suburb,Rural,Rural,Very downscale,49442.0
4389698.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.11380207538605,,Carl Levin,Yes,Female,White,75 or over,Democrat,Moderate,"Under $15,000",High school graduate,No,Somewhat disapprove,No,Continue George W. Bush's policies,Neither of them,Worse today,Neither of them,Strongly disapprove,The economy,Poor,Very worried,Yes,Omit,Not a factor at all,Other Christian,Sometime in September,Both of them,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,No,No,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,1.0,North/Northeast,Midwest,Low Density Rural,Rural,Rural,Downscale,49766.0
