ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSMA08,SENMA08,HOU08MA,MAQUES1,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,AGEISS4,ATTEND,BAILOUT,BREAK08,BRNAGAIN,BUSHMCCAIN,CELLULAR,CHILD,CONGRESS4,COUNTACC,DRILL,EXPER08,FINSIT,FINWORR,FIRSTLDY08,FNEC,GAY,GOTV08,GOVTDO,GUNOWNER,HEALTHCARE,HILLPSPRT,HRCVMCCN,INTOUCH08,INVESTOR,IRAQWAR,ISSUE08,ISSVQUAL,JUDGMENT08,MARRIED,MCCAINWIN,NEC,NECWORRY,NEWVOTER,OBAMALIB,OBAMWIN,QLT08,RACEISS4,RACERELATIONS,RELIGN8,SUPREME,TAXGOUP,TERRWORR,TIME08,TRACK,UNFR08,UNION4,VETVOTER,VOTE2004,VPQUAL08,WORK,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AGEISSA,AGEISSB,ATTEND2,ATTREL,BAILOUT2,BREAK08A,BREAK08B,CONGRESS,COUNT2,DRILL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,FINWORR2,FIRSTMCCAIN,FIRSTOBAMA,GOTVMCCAIN,GOTVOBAMA,HEALTHCARE2,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,JUDGEMCCAIN,JUDGEOBAMA,MARCHILD,MARPAR,MARRIEDMOM,NEC2,NECWORR2,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,RACERELATIONS3,REL5,SUPREMEA,SUPREMEB,TAXMCCAIN,TAXOBAMA,TERWORR2,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,VPQUALBIDEN,VPQUALPALIN,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4407690.0,Massachusetts,72.0,National questionnaire,Version 3,Call 1,Not complete,Election day exit poll,1.23013579845428,Barack Obama,John Kerry,The Democratic candidate,,Female,White,65-74,Independent,,,College graduate,,,,,,,,,,,Strongly disapprove,,,,Worse today,Very worried,,,,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,Disapprove,,,College graduate,More than High school graduate,White college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,2.0,Other Large Industrial Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1069.0
4407804.0,Massachusetts,72.0,National questionnaire,Version 4,Call 1,Not complete,Election day exit poll,1.31536054611206,Barack Obama,Jeff Beatty' 9 'Other' 0 'Did not vote',The Democratic candidate,No,,White,65-74,Independent,,,High school graduate,No,,,,,,Yes,,,No,,,,,,,,Get better,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Sometime in September,,,,,,,,,,,,Non white,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,,,,,All others,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,White Born-again/Evangelical Christians,,,,Suburbs,Suburbs,2.0,Other Large Industrial Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1069.0
4407821.0,Massachusetts,83.0,National questionnaire,Version 4,Call 1,Not complete,Election day exit poll,1.54258525371552,John McCain,Jeff Beatty' 9 'Other' 0 'Did not vote',The Republican candidate,Yes,Female,White,75 or over,Republican,,,High school graduate,No,,,,,,No,,,No,,,,,,,,Get worse,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Sometime in September,,,,,,,,,Non black female,White women,White female,White female,Non-married women,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,,,,,,,,,All others,Unmarried women no children,Women who are not married or have no children,,,Women without children,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4409688.0,Massachusetts,62.0,National questionnaire,Version 4,Call 1,Not complete,Election day exit poll,0.417613655328751,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,45-49,Democrat,,,College graduate,No,,,,,,No,,,Yes,,,,,,,,Stay about the same,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Before that,,,,,,,,,Non black female,White women,White female,White female,Married women,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,,,,,Married with children,Married women with children,Married women with children,,,Moms - Women with children,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,4.0,North & South Shores and Cape Cod,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2738.0
4409887.0,Massachusetts,62.0,National questionnaire,Version 4,Call 1,Not complete,Election day exit poll,0.80795431137085,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,75 or over,Independent,,,Some college or associate degree,No,,,,,,No,,,No,,,,,,,,Omit,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Before that,,,,,,,,,Non black female,White women,White female,White female,Married women,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,,,,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,,,,,All others,Married women no children,Women who are not married or have no children,,,Women without children,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,4.0,North & South Shores and Cape Cod,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2738.0
4410717.0,Massachusetts,14.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.583847165107727,Barack Obama,John Kerry,The Democratic candidate,Yes,Female,Black,45-49,Republican,,,High school graduate,No,,,,,Not a factor at all,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shares my values,,,,,,,Before that,,,,,,,,,Black female,Black women,Non white female,Non white,,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,,,,,,Not Important,Was not a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Republican,Black non Democrat,All Republicans,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,"Cities over 500,000","Cities over 50,000",8.0,Boston Area,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,2124.0
4411914.0,Massachusetts,56.0,National questionnaire,Version 3,Call 1,Not complete,Election day exit poll,0.860300660133362,Barack Obama,John Kerry,The Democratic candidate,Yes,Male,White,60-64,Democrat,,,College graduate,No,,,,,,,,,,Strongly disapprove,,,,Worse today,Very worried,,,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black male,White men,White male,White male,,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,,,,,,,Disapprove,,,College graduate,More than High school graduate,White college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,6.0,Boston Area,East,Extremely High Density Urban,,High-Growth Suburban Perimeter,Very downscale,1901.0
4412091.0,Massachusetts,54.0,National questionnaire,Version 4,Call 1,Not complete,Election day exit poll,0.516333639621735,,John Kerry,Other,No,Female,White,45-49,Independent,,,Some college or associate degree,No,,,,,,No,,,No,,,,,,,,Get better,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Just today,,,,,,,,,Non black female,White women,White female,White female,Non-married women,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,,,,,,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,,,,,All others,Unmarried women no children,Women who are not married or have no children,,,Women without children,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,,,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,,,,,,,,All others,,,,Suburbs,Suburbs,2.0,Other Large Industrial Cities,East,Suburb,60s Suburbs,Urban Perimeter,Downscale,1056.0
4412542.0,Massachusetts,56.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.645170748233795,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,50-59,,,,Some college or associate degree,,,,,,Omit,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Earlier in October,,,,,,,,,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,Omit,Omit,,,,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White,White non born again,,,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,6.0,Boston Area,East,Extremely High Density Urban,,High-Growth Suburban Perimeter,Very downscale,1901.0
4429403.0,Massachusetts,83.0,National questionnaire,Version 1,Call 2,Not complete,Election day exit poll,1.4443770647049,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,65-74,Independent,,,Some college or associate degree,No,,,,,Omit,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Before that,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,Omit,Omit,,,,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,,,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4429468.0,Massachusetts,83.0,National questionnaire,Version 1,Call 2,Not complete,Election day exit poll,1.45364212989807,Barack Obama,John Kerry,The Democratic candidate,No,Male,Black,50-59,Democrat,,,High school graduate,No,,,,,One of several important factors,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can bring about needed change,,,,,,,Earlier in October,,,,,,,,,Black male,Black men,Non white male,Non white,,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,,,,,,Important,Was a factor,,,,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,,,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4430728.0,Massachusetts,83.0,National questionnaire,Version 3,Call 2,Not complete,Election day exit poll,1.4443770647049,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,65-74,Democrat,,,High school graduate,No,,,,,,,,,,Somewhat approve,,,,Worse today,Very worried,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,Approve,,,No college degree,High school graduate or less,White no college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,9.0,East,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,2072.0
4430787.0,Massachusetts,62.0,National questionnaire,Version 4,Call 2,Not complete,Election day exit poll,0.907110631465912,Barack Obama,John Kerry,The Democratic candidate,No,Male,White,75 or over,Independent,,,Postgraduate study,,,,,,,No,,,No,,,,,,,,Get worse,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,Sometime in September,,,,,,,,,Non black male,White men,White male,White male,Married men,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,,,,,All others,Married men with no children,All men,,,Men without children,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,,,,,,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,,,,,,All others,,,,Suburbs,Suburbs,4.0,North & South Shores and Cape Cod,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2738.0
4430957.0,Massachusetts,72.0,National questionnaire,Version 3,Call 2,Not complete,Election day exit poll,0.604557037353516,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,45-49,Independent,,,Some college or associate degree,No,,,,,,,,,,Strongly disapprove,,,,About the same,Somewhat worried,,,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black female,White women,White female,White female,,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,,,,,,,Disapprove,,,No college degree,More than High school graduate,White no college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,2.0,Other Large Industrial Cities,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,1069.0
4431354.0,Massachusetts,47.0,National questionnaire,Version 3,Call 2,Not complete,Election day exit poll,1.11257171630859,John McCain,Jeff Beatty' 9 'Other' 0 'Did not vote',The Republican candidate,No,Male,White,60-64,Independent,,,Some college or associate degree,,,,,,,,,,,Strongly disapprove,,,,Worse today,Very worried,,,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black male,White men,White male,White male,,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,,,,,,,,Disapprove,,,No college degree,More than High school graduate,White no college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,1.0,West,East,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1050.0
4431502.0,Massachusetts,62.0,National questionnaire,Version 3,Call 2,Not complete,Election day exit poll,0.80795431137085,Barack Obama,John Kerry,The Democratic candidate,No,Female,White,75 or over,Democrat,,,College graduate,No,,,,,,,,,,Somewhat approve,,,,Worse today,Very worried,,,,,Government should do more to solve problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non black female,White women,White female,White female,,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,,,,,,,Approve,,,College graduate,More than High school graduate,White college degree,,,Worried,,,,,,,,,,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,,,,,,,,,,,,,,,,,Suburbs,Suburbs,4.0,North & South Shores and Cape Cod,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2738.0
