ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAR08,SENAR08,ARINIT1,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,HILLPSPRT,IRAQWAR,ISSUE08,NECWORRY,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,IRAQWAR2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4386026.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.763630867004395,Barack Obama,Mark Pryor,Yes,Female,White,40-44,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Hillary Clinton,Strongly disapprove,The economy,Somewhat worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,,High-Growth Suburban Perimeter,Upscale,72034.0
4386023.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.4193229675293,Barack Obama,Mark Pryor,Yes,Male,White,30-39,,,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,Yes,Hillary Clinton,Somewhat disapprove,The war in Iraq,Not at all worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Omit,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Disapprove,Not worried,,,,,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,72022.0
4385992.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.9709632396698,Barack Obama,Mark Pryor,Yes,Male,Black,60-64,Democrat,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,Health care,Somewhat worried,Can bring about needed change,One of several important factors,Sometime in September,Disapprove,Black male,Black men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,College graduate,More than High school graduate,Non white college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Downscale,72206.0
4386155.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.11930203437805,Barack Obama,Mark Pryor,Yes,Female,White,30-39,Democrat,Liberal,"$75,000-$99,999",College graduate,No,Strongly disapprove,Yes,Hillary Clinton,Somewhat disapprove,The economy,Very worried,Can bring about needed change,One of several important factors,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,72120.0
4386196.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.44450926780701,Barack Obama,Mark Pryor,Yes,Female,Black,40-44,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,Yes,Did not care who won,Somewhat disapprove,Health care,Not too worried,Cares about people like me,Not a factor at all,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Democrats who did not care who won,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Low Density Rural,Urban,Urban Core,Very upscale,72210.0
4386193.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.36042070388794,Barack Obama,Mark Pryor,Yes,Female,Black,60-64,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Very worried,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Disapprove,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Upscale,72209.0
4386192.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.40110039710999,Barack Obama,Mark Pryor,Yes,Female,Black,25-29,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Strongly disapprove,Yes,Barack Obama,Strongly disapprove,The war in Iraq,Somewhat worried,Cares about people like me,A minor factor,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,College graduate,More than High school graduate,Non white college degree,Democrats for Obama,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Very upscale,72211.0
4386190.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.16075658798218,Barack Obama,Mark Pryor,Yes,Male,Black,30-39,Republican,Moderate,"$75,000-$99,999",College graduate,No,Somewhat disapprove,Yes,Did not care who won,Somewhat disapprove,The economy,Somewhat worried,Cares about people like me,A minor factor,Earlier in October,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Worried,Republican,Black non Democrat,All Republicans,All others,Black,All others,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,72022.0
4386097.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.29363322257996,Barack Obama,Mark Pryor,Yes,Male,White,50-59,Democrat,Moderate,"$100,000-$149,999",High school graduate,No,Strongly disapprove,No,Hillary Clinton,Strongly disapprove,The economy,Very worried,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Little Rock area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,72023.0
4386092.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.4854816198349,Barack Obama,Mark Pryor,Yes,Male,Black,60-64,Independent,Moderate,"$75,000-$99,999",College graduate,No,Somewhat disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Very worried,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Black male,Black men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,College graduate,More than High school graduate,Non white college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Very upscale,72207.0
4386071.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.588095903396606,Barack Obama,Mark Pryor,Yes,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Somewhat worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,72058.0
4386038.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.56274485588074,Barack Obama,Mark Pryor,No,Female,Hispanic/Latino,40-44,Republican,Moderate,"$30,000-$49,999",Postgraduate study,Yes,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Very worried,Shares my values,Not a factor at all,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Disapprove,Worried,Republican,Non black non Democrat,All Republicans,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Upscale,72204.0
4386020.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.612825930118561,Barack Obama,Mark Pryor,No,Female,Other,40-44,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,Barack Obama,Strongly disapprove,Energy policy,Somewhat worried,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,All other,Other,No college degree,More than High school graduate,Non white no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Worried,Independent/Something else,Non black non Democrat,All other,All others,Other,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,72113.0
4386007.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.87728643417358,Barack Obama,Mark Pryor,No,Male,Black,50-59,Something else,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Not too worried,Can bring about needed change,Not a factor at all,Omit,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Disapprove,Not worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Omit,Omit,Omit,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Upscale,72209.0
4385970.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.20232224464417,Barack Obama,Mark Pryor,No,Male,White,45-49,Democrat,Liberal,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,Barack Obama,Strongly disapprove,Energy policy,Somewhat worried,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Democrats for Obama,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Little Rock area,South,Suburb,Urban,Urban Core,Very upscale,72211.0
4385968.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.725241363048553,Barack Obama,Mark Pryor,No,Female,White,50-59,Independent,Moderate,"$150,000-$199,999",Postgraduate study,No,Strongly disapprove,Yes,Barack Obama,Strongly disapprove,The economy,Very worried,Shares my values,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Non Democrats,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,,High-Growth Suburban Perimeter,Upscale,72034.0
4385967.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.458074599504471,Barack Obama,Mark Pryor,No,Female,White,60-64,Democrat,Moderate,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,Yes,Hillary Clinton,Strongly approve,The economy,Very worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Approve,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Low Density Rural,70s Suburbs,Urban Perimeter,Very upscale,72015.0
4386047.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.92336559295654,Barack Obama,Mark Pryor,No,Female,White,30-39,Democrat,Liberal,,College graduate,No,Strongly disapprove,Yes,Hillary Clinton,Somewhat disapprove,Health care,Not too worried,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Democrats for Clinton,,,,,Disapprove,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Little Rock area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,72023.0
4401872.0,Arkansas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.135159581899643,Barack Obama,Mark Pryor,No,Female,White,65-74,Democrat,Conservative,"Under $15,000",Some college or associate degree,,,Yes,Hillary Clinton,,,,,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Little Rock area,South,Extremely Low Density Rural,Rural,Rural,Downscale,72834.0
4386050.0,Arkansas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.03085851669312,Barack Obama,Mark Pryor,No,Male,White,50-59,Democrat,Moderate,"$100,000-$149,999",High school graduate,No,Strongly disapprove,Yes,Hillary Clinton,Strongly disapprove,The economy,Very worried,Shares my values,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Disapprove,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,2.0,Little Rock area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,72113.0
