ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSCO08,SENCO08,COAMD48,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,IMMDEPORT,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4387833.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.325577080249786,Barack Obama,Mark Udall,No,Male,White,50-59,Independent,Liberal,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,No,About right,Shares my values,Not a factor at all,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,80466.0
4387829.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.651154160499573,Barack Obama,Mark Udall,No,Male,White,50-59,Republican,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,"No, I was not contacted",Both of them,Strongly disapprove,Energy policy,Not so good,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Neither of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,All others,"Cities over 500,000","Cities over 50,000",1.0,Denver/Adams/Boulder,West,High Density Urban,Urban,Urban Core,Upscale,80210.0
4387817.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.130350112915039,John McCain,Mark Udall,Yes,Male,White,65-74,Something else,Conservative,"Under $15,000",College graduate,No,Strongly disapprove,No,Take the country in a different direction,Neither of them,Offered a chance to apply for legal status,"No, I was not contacted",Neither of them,Somewhat disapprove,The economy,Poor,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Earlier in October,Only John McCain,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,6.0,Denver/Adams/Boulder,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,80134.0
4387801.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.20829975605011,Barack Obama,Mark Udall,No,Female,White,65-74,Democrat,Moderate,,High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Only Barack Obama,Deported to the country they came from,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Earlier in October,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,80221.0
4387798.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.651154160499573,Barack Obama,Mark Udall,No,Male,Hispanic/Latino,50-59,Democrat,Moderate,"Under $15,000",Some college or associate degree,Yes,Somewhat approve,Yes,Continue George W. Bush's policies,Both of them,Deported to the country they came from,"No, I was not contacted",Only Barack Obama,Somewhat approve,The war in Iraq,Not so good,Somewhat worried,No,About right,Has the right experience,A minor factor,Earlier in October,Only John McCain,Approve,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,White,All others,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,4.0,Denver/Adams/Boulder,West,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80501.0
4387779.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.155960351228714,Barack Obama,Mark Udall,Yes,Male,White,75 or over,Democrat,Liberal,"Under $15,000",High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Both of them,Offered a chance to apply for legal status,"No, I was not contacted",Only Barack Obama,Somewhat approve,The economy,Not so good,Somewhat worried,No,About right,Shares my values,Not a factor at all,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale,80241.0
4387766.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.24255895614624,Barack Obama,Mark Udall,No,Male,Hispanic/Latino,30-39,Independent,Moderate,"$150,000-$199,999",College graduate,Yes,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,"No, I was not contacted",Only Barack Obama,Somewhat disapprove,The economy,Poor,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Earlier in October,Both of them,Disapprove,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Other,All others,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,1.0,Denver/Adams/Boulder,West,Suburb,60s Suburbs,Urban Perimeter,Very downscale,80022.0
4387762.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.431702882051468,Barack Obama,Mark Udall,No,Female,White,60-64,,Liberal,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Somewhat worried,No,About right,Shares my values,Not a factor at all,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,,,,,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,4.0,Denver/Adams/Boulder,West,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80501.0
4387755.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.50329208374023,Barack Obama,Mark Udall,No,Female,Hispanic/Latino,45-49,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,"Yes, for Barack Obama",Only Barack Obama,Somewhat disapprove,The economy,Poor,Somewhat worried,No,About right,Shares my values,Not a factor at all,Sometime in September,Both of them,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,Latino 45-59,Latino 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,High Density Urban,70s Suburbs,Urban Perimeter,Upscale,80031.0
4387750.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.15192544460297,Barack Obama,Mark Udall,No,Female,White,30-39,Democrat,Moderate,,Postgraduate study,No,Strongly disapprove,No,Take the country in a different direction,Both of them,Offered a chance to apply for legal status,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,All others,"Cities over 500,000","Cities over 50,000",1.0,Denver/Adams/Boulder,West,Extremely High Density Urban,Urban,Urban Core,Very downscale,80211.0
4387734.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.79633963108063,Barack Obama,Mark Udall,No,Male,White,25-29,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,"No, I was not contacted",Only Barack Obama,Somewhat disapprove,The economy,Poor,Very worried,No,About right,Can bring about needed change,The single most important factor,Earlier in October,Both of them,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Yes,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,High Density Urban,70s Suburbs,High-Growth Suburban Perimeter,Downscale,80233.0
4387724.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.87239384651184,Barack Obama,Mark Udall,No,Female,Black,30-39,Independent,Liberal,"$200,000 or more",College graduate,No,Somewhat approve,No,Take the country in a different direction,Both of them,Deported to the country they came from,"Yes, for Barack Obama",Both of them,Somewhat disapprove,The war in Iraq,Poor,Somewhat worried,No,About right,Shares my values,Not a factor at all,Before that,Neither of them,Approve,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,All others,Suburbs,Suburbs,2.0,Denver/Adams/Boulder,West,Suburb,80s Suburbs,Urban Perimeter,Very upscale,80026.0
4387717.0,Colorado,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,,Mark Udall,No,Male,White,50-59,Something else,Moderate,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,No,Take the country in a different direction,Both of them,Offered a chance to apply for legal status,"Yes, for both Obama and McCain",Both of them,Strongly disapprove,The war in Iraq,Not so good,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Sometime in September,Only John McCain,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Denver/Adams/Boulder,West,Suburb,Urban,Urban Core,Very upscale,80304.0
