ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNC08,SENNC08,GOVNC08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4390428.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.408153235912323,Barack Obama,Kay Hagan,Bev Perdue,Female,White,75 or over,Republican,,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Shares my values,Not a factor at all,Omit,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Not important,Not a factor,Omit,Omit,Omit,John McCain did,Barack Obama did,No,All others,Rural,Small Cities/Rural,11.0,Mountain west,South,Suburb,Rural,Rural,Upscale,28739.0
4390383.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.678758502006531,Barack Obama,Kay Hagan,Bev Perdue,Female,White,60-64,Democrat,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Too liberal,Cares about people like me,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,All others,Rural,Small Cities/Rural,11.0,Mountain west,South,Low Density Rural,Rural,Rural,Very downscale,28723.0
4390382.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.07536852359772,Barack Obama,Kay Hagan,Bev Perdue,Male,White,50-59,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Before that,,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,,No,All others,"Cities 10,000-50,000",Small Cities/Rural,11.0,Mountain west,South,Low Density Rural,Rural,Rural,Upscale,28712.0
4400472.0, North Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.300024032592773,Barack Obama,Kay Hagan,Bev Perdue,Male,White,65-74,Democrat,Liberal,,Some college or associate degree,,,No,Continue George W. Bush's policies,,Omit,,Strongly disapprove,The economy,Poor,,No,,Shares my values,Not a factor at all,Before that,Only John McCain,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,Omit,Omit,,,,,,,Disapprove,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,All others,Rural,Small Cities/Rural,11.0,Mountain west,South,Extremely Low Density Rural,Rural,Rural,Very downscale,28906.0
4401636.0, North Carolina,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.402791559696198,Barack Obama,Kay Hagan,Bev Perdue,Female,White,60-64,Democrat,Moderate,"$15,000-$29,999",High school graduate,,,,,Only Barack Obama,,Only Barack Obama,,,,,,About right,,,,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,Yes,,Rural,Small Cities/Rural,11.0,Mountain west,South,Low Density Rural,Rural,Rural,Very downscale,28752.0
4390747.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.511023283004761,Barack Obama,Kay Hagan,Bev Perdue,Female,White,65-74,Democrat,Liberal,,Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,All others,"Cities 50,000-500,000","Cities over 50,000",11.0,Mountain west,South,Suburb,Urban,Urban Core,Downscale,28806.0
4390741.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.42232322692871,Barack Obama,Kay Hagan,Bev Perdue,Male,White,45-49,Independent,Moderate,"$150,000-$199,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Has the right experience,Not a factor at all,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,11.0,Mountain west,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,28704.0
4390446.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.07536852359772,Barack Obama,Kay Hagan,Bev Perdue,Male,White,50-59,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Cares about people like me,Not a factor at all,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Yes,All others,Rural,Small Cities/Rural,11.0,Mountain west,South,Extremely Low Density Rural,Rural,Rural,Very downscale,28906.0
4390387.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.02204656600952,Barack Obama,Kay Hagan,Bev Perdue,Female,White,65-74,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,11.0,Mountain west,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,28704.0
4401052.0, North Carolina,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.177858889102936,Barack Obama,Kay Hagan,Bev Perdue,Male,Black,60-64,Democrat,Moderate,,Some college or associate degree,,Somewhat approve,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,,The economy,Poor,Somewhat worried,No,,Can bring about needed change,Not a factor at all,Earlier in October,Only John McCain,Approve,Black male,Black men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,John McCain did not,Barack Obama did not,,,,,,,,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,,All others,"Cities 10,000-50,000",Small Cities/Rural,10.0,Mountain west,South,Town,Rural,Rural,Very downscale,28043.0
4400463.0, North Carolina,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.40355384349823,Barack Obama,Kay Hagan,Bev Perdue,Female,White,65-74,Independent,Conservative,"$30,000-$49,999",High school graduate,,,Yes,Continue George W. Bush's policies,,"No, I was not contacted",,Strongly disapprove,Omit,Poor,,No,,Cares about people like me,Not a factor at all,Sometime in September,Both of them,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Disapprove,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,11.0,Mountain west,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,28754.0
4402286.0, North Carolina,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,1.05992925167084,Barack Obama,Kay Hagan,Bev Perdue,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",College graduate,,,Yes,,,,,,,,,,,,,Before that,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,11.0,Mountain west,South,Low Density Rural,Rural,Rural,Downscale,28734.0
4390663.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.452505677938461,Barack Obama,Kay Hagan,Bev Perdue,Female,White,60-64,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Cares about people like me,Not a factor at all,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Suburbs,Suburbs,11.0,Mountain west,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,28704.0
4390649.0, North Carolina,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,10.1427011489868,Barack Obama,Kay Hagan,Bev Perdue,Female,White,50-59,Independent,Liberal,"$100,000-$149,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,Health care,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,All others,Rural,Small Cities/Rural,5.0,Mountain west,South,Extremely Low Density Rural,Rural,Rural,Very downscale,28643.0
