ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSFL08,FLAMD2,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,CUBAN3,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,SPANISHQ,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
4388418.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.39151191711426,Barack Obama,,Male,White,45-49,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Other Christian,English,Earlier in October,Neither of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did not,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,9.0,Tampa Bay Area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale
4387881.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.27184271812439,Barack Obama,,Male,Black,50-59,,,,Postgraduate study,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Neither of them,"No, I was not contacted",Both of them,Somewhat disapprove,The economy,Poor,Somewhat worried,No,About right,Can bring about needed change,One of several important factors,Other Christian,English,Before that,Only John McCain,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did not,,,,,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,,,,,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Non-white,,All others,All others,All others,Suburbs,Suburbs,9.0,Tampa Bay Area,South,Suburb,80s Suburbs,Urban Perimeter,Very downscale
4387997.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.47831010818481,Barack Obama,Did not vote,Male,White,50-59,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Shares my values,Not a factor at all,,English,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,No,All others,,,Suburbs,Suburbs,12.0,Tampa Bay Area,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale
4388051.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.91948986053467,Barack Obama,Did not vote,Male,White,25-29,Independent,Conservative,"$15,000-$29,999",High school graduate,No,Somewhat approve,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Somewhat disapprove,The economy,Not so good,Very worried,Yes,About right,Cares about people like me,A minor factor,Catholic,English,Earlier in October,Neither of them,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did not,Catholic,Yes,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Upscale
4387876.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.522176563739777,Barack Obama,Did not vote,Female,White,75 or over,Democrat,Moderate,,Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Omit,Only Barack Obama,Strongly disapprove,Omit,Poor,Somewhat worried,No,About right,Cares about people like me,Not a factor at all,Other Christian,English,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Omit,Omit,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,9.0,Tampa Bay Area,South,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Upscale
4388361.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.337299048900604,Barack Obama,Yes,Female,Other,65-74,Republican,Moderate,"$75,000-$99,999",College graduate,No,Strongly disapprove,No,Take the country in a different direction,Neither of them,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Too liberal,Can bring about needed change,Not a factor at all,Muslim,English,Before that,Only John McCain,Disapprove,Non black female,All other races,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,All other,Other,College graduate,More than High school graduate,Non white college degree,John McCain does not,Barack Obama does not,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,All others,Other,All others,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Non-white,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",10.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Upscale
4388270.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.00484943389893,Barack Obama,Yes,Female,Hispanic/Latino,50-59,Democrat,Liberal,"$15,000-$29,999",High school graduate,Other Hispanic,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Only John McCain,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Non-white,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",9.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Downscale
4388255.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.90732336044312,Barack Obama,Yes,Male,White,30-39,Independent,Liberal,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,No,Take the country in a different direction,Both of them,"No, I was not contacted",Only Barack Obama,Strongly disapprove,Energy policy,Not so good,Not too worried,No,Too liberal,Shares my values,A minor factor,Something else,English,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Something else,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",11.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Very upscale
4388536.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.81363129615784,Barack Obama,Yes,Male,Hispanic/Latino,30-39,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for both Obama and McCain",Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,Yes,About right,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Neither of them,Disapprove,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Non-white,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",5.0,Tampa Bay Area,South,Suburb,Urban,Urban Core,Very upscale
4388501.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.726830840110779,Barack Obama,Yes,Male,White,30-39,Something else,Liberal,,Postgraduate study,No,Somewhat disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Somewhat disapprove,The economy,Poor,Somewhat worried,Yes,About right,Cares about people like me,Not a factor at all,Protestant,English,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,9.0,Tampa Bay Area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale
4388484.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.42679858207703,Barack Obama,Yes,Male,White,60-64,Democrat,Conservative,,College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Both of them,Somewhat approve,The economy,Not so good,Somewhat worried,No,Too liberal,Can bring about needed change,One of several important factors,Catholic,English,Earlier in October,Neither of them,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,,,,,John McCain is,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did not,Barack Obama did not,Catholic,,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",9.0,Tampa Bay Area,South,High Density Urban,Urban,Urban Core,Downscale
4388480.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.35142612457275,Barack Obama,Yes,Female,Black,50-59,Democrat,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,Health care,Poor,Not too worried,No,About right,Can bring about needed change,Not a factor at all,Protestant,English,Before that,Neither of them,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,Non-white,No,All others,All others,All others,Suburbs,Suburbs,5.0,Tampa Bay Area,South,Low Density Rural,80s Suburbs,Low-Growth Suburban Perimeter,Very downscale
4388411.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.79909563064575,Barack Obama,Yes,Female,White,40-44,Democrat,Moderate,,High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Neither of them,"No, I was not contacted",Only Barack Obama,Somewhat approve,The economy,Poor,Omit,No,About right,Can bring about needed change,The single most important factor,Other Christian,English,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Omit,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,11.0,Tampa Bay Area,South,Suburb,70s Suburbs,Urban Perimeter,Very downscale
4388404.0,Florida,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.491182118654251,Barack Obama,Yes,Male,,65-74,Democrat,Conservative,,,No,Strongly disapprove,No,Omit,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,Health care,Poor,Somewhat worried,No,Omit,Omit,Not a factor at all,,,Before that,Neither of them,Disapprove,,,,,65+,60+,45+,60+,65+,65+,,,,,,,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,,,,,,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,All others,All others,,Suburbs,Suburbs,12.0,Tampa Bay Area,South,Suburb,80s Suburbs,Urban Perimeter,Upscale
