ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSKS08,SENKS08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400979.0,Kansas,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,Black,50-59,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,,Strongly disapprove,No,The war in Iraq,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very upscale,66049.0
4400391.0,Kansas,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Democrat,Conservative,"$30,000-$49,999",High school graduate,,,No,Health care,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Topeka/Kansas City area,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,67601.0
4400389.0,Kansas,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,65-74,Independent,Conservative,"Under $15,000",Some college or associate degree,,,No,Terrorism,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,Topeka/Kansas City area,Midwest,High Density Urban,Urban,Urban Core,Upscale,66604.0
4400388.0,Kansas,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Something else,Moderate,,Some college or associate degree,,,No,The economy,,Earlier in October,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",4.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,67217.0
4400978.0,Kansas,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Other,,Female,White,40-44,Republican,Conservative,"$50,000-$74,999",College graduate,,Somewhat disapprove,Yes,The economy,Very worried,Earlier in October,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,4.0,Topeka/Kansas City area,Midwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,67110.0
4418545.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.754721403121948,Barack Obama,,Male,White,30-39,Independent,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Health care,Somewhat worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419562.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.645715892314911,Barack Obama,,Male,Black,40-44,Democrat,,,Did not complete high school,No,,,,Somewhat worried,Sometime in September,,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4418669.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.8633052110672,Barack Obama,Jim Slattery,Male,,45-49,Democrat,,,Did not complete high school,No,,,,Very worried,Just today,,,,,,45-65,30-59,45+,45-59,40-49,18-64,,,,No college degree,High school graduate or less,,,,,,Worried,Democrat,,,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4418418.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.8633052110672,Barack Obama,Jim Slattery,Male,,50-59,Democrat,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Yes,Energy policy,Very worried,Before that,Disapprove,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,No college degree,More than High school graduate,,Less than 100k,Less than 50k,Less than 50 thousand,,Worried,Democrat,,,,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4418295.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0344135761261,Barack Obama,Jim Slattery,Male,White,30-39,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4418159.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09495890140533,Barack Obama,Jim Slattery,Female,Hispanic/Latino,18-24,Something else,Liberal,"$15,000-$29,999",High school graduate,Yes,Strongly disapprove,Yes,Health care,Somewhat worried,Earlier in October,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4420444.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.970859110355377,Barack Obama,Jim Slattery,Female,Asian,30-39,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Health care,Somewhat worried,Before that,Disapprove,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Asian,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4420318.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.830636501312256,Barack Obama,Jim Slattery,Female,Black,30-39,Independent,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4420067.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0344135761261,Barack Obama,Jim Slattery,Male,White,30-39,Independent,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Omit,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419939.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12168145179749,Barack Obama,Jim Slattery,Male,Black,65-74,Democrat,Moderate,,High school graduate,No,Strongly disapprove,Yes,The war in Iraq,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419814.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.885011732578278,Barack Obama,Jim Slattery,Male,Black,45-49,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419179.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.16663718223572,Barack Obama,Jim Slattery,Male,White,18-24,Democrat,Liberal,"$15,000-$29,999",Postgraduate study,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4418917.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.16663718223572,Barack Obama,Jim Slattery,Male,White,18-24,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Somewhat worried,Sometime in September,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4418783.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.16663718223572,Barack Obama,Jim Slattery,Male,White,25-29,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Very worried,Sometime last week,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419296.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.933722376823425,Barack Obama,Pat Roberts,Female,White,18-24,Independent,Moderate,"$30,000-$49,999",College graduate,No,Somewhat disapprove,No,The economy,Not too worried,In the last three days,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419037.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.851158797740936,Barack Obama,Pat Roberts,Male,Black,18-24,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Very worried,Earlier in October,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4420632.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.06385350227356,John McCain,Pat Roberts,Male,White,45-49,Republican,Moderate,"$100,000-$149,999",High school graduate,No,Strongly disapprove,Yes,Energy policy,Somewhat worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4420631.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.06385350227356,John McCain,Pat Roberts,Male,White,45-49,Republican,Moderate,"$100,000-$149,999",High school graduate,No,Strongly disapprove,Yes,Energy policy,Somewhat worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419698.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.93705010414124,John McCain,Pat Roberts,Female,White,40-44,Republican,Moderate,"$150,000-$199,999",College graduate,No,Strongly approve,Yes,The war in Iraq,Somewhat worried,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4420196.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.61576890945435,John McCain,Pat Roberts,Male,White,60-64,Republican,Moderate,"$15,000-$29,999",Postgraduate study,,Somewhat disapprove,Yes,The economy,Somewhat worried,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
4419427.0,Kansas,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.18465304374695,John McCain,Pat Roberts,Female,White,25-29,Independent,Conservative,"$30,000-$49,999",Some college or associate degree,No,Somewhat approve,No,The economy,Somewhat worried,Sometime last week,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",3.0,Topeka/Kansas City area,Midwest,Suburb,Urban,Urban Core,Very downscale,66103.0
