ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSPA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BUSHMCCAIN,EXPER08,GOTV08,HILLPSPRT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,RELIGN8,TIME08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401100.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,60-64,Democrat,Liberal,"$75,000-$99,999",College graduate,,Strongly disapprove,Continue George W. Bush's policies,,"No, I was not contacted",,,,The economy,Poor,Very worried,No,,Can bring about needed change,Not a factor at all,,Before that,,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,8.0,Philadelphia,East,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,18976.0
4401099.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,50-59,Democrat,Moderate,"$15,000-$29,999",Postgraduate study,,Strongly disapprove,Continue George W. Bush's policies,,"Yes, for Barack Obama",,,,Health care,Poor,Somewhat worried,No,,Shares my values,Not a factor at all,,Before that,,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Rural,Small Cities/Rural,5.0,Philadelphia,East,Low Density Rural,Rural,Rural,Downscale,16214.0
4401098.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,45-49,Democrat,Moderate,"$15,000-$29,999",High school graduate,,Strongly disapprove,Continue George W. Bush's policies,,"No, I was not contacted",,,,The economy,Poor,Very worried,No,,Can bring about needed change,Not a factor at all,,Before that,,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,Yes,"Cities 10,000-50,000",Small Cities/Rural,11.0,Philadelphia,East,Suburb,Rural,Rural,Downscale,18702.0
4400519.0,Pennsylvania,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,Other,18-24,Democrat,Conservative,"$30,000-$49,999",High school graduate,,,Continue George W. Bush's policies,,"No, I was not contacted",,,Somewhat disapprove,Health care,Not so good,,Yes,,Cares about people like me,Not a factor at all,,Sometime in September,,,Non black female,All other races,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,All other,Other,No college degree,High school graduate or less,Non white no college degree,,,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,Disapprove,Not so good/Poor,,Democrat,Non black Democrat,All other,All others,American Indian,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,No,"Cities over 500,000","Cities over 50,000",1.0,Philadelphia,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,19134.0
4401714.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,,,,Only Barack Obama,,,Only Barack Obama,,,,,,About right,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,Yes,Suburbs,Suburbs,10.0,Philadelphia,East,Suburb,60s Suburbs,Urban Perimeter,Upscale,18403.0
4401713.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,,,Democrat,,,,,,,Only Barack Obama,,,Neither of them,,,,,,About right,,,,,,,,,,,,,,,,,,,,,,,John McCain does not,Barack Obama does,,,,,,,,John McCain is not,Barack Obama is not,,,,Democrat,,,,,,,,,,,,,,,,Suburbs,Suburbs,7.0,Philadelphia,East,Suburb,60s Suburbs,Urban Perimeter,Very upscale,19008.0
4401103.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,60-64,Independent,Liberal,,High school graduate,,Strongly disapprove,Continue George W. Bush's policies,,"Yes, for both Obama and McCain",,,,Health care,Poor,Very worried,No,,Shares my values,Not a factor at all,,Before that,,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,,,John McCain did,Barack Obama did,,,,,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,"Cities 10,000-50,000",Small Cities/Rural,10.0,Philadelphia,East,Town,Rural,Rural,Very downscale,17801.0
4401105.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,40-44,Independent,Conservative,"$50,000-$74,999",High school graduate,,Somewhat approve,Omit,,"Yes, for both Obama and McCain",,,,The war in Iraq,Not so good,Very worried,No,,Has the right experience,Not a factor at all,,Sometime in September,,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,,,John McCain did,Barack Obama did,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,,,No,Rural,Small Cities/Rural,5.0,Philadelphia,East,Low Density Rural,Rural,Rural,Very downscale,17049.0
4402353.0,Pennsylvania,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,75 or over,Republican,Conservative,,Some college or associate degree,,,,,,Did not care who won,,,,,,,,,,Protestant,Before that,No one does,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,Non Democrats,,,,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Protestant/Other Christian,,Suburbs,Suburbs,3.0,Philadelphia,East,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,16428.0
4402352.0,Pennsylvania,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,75 or over,Republican,Moderate,"$30,000-$49,999",High school graduate,,,,,,Did not care who won,,,,,,,,,,Protestant,Earlier in October,No one does,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,No,No,No,Protestant/Other Christian,Yes,"Cities 50,000-500,000","Cities over 50,000",15.0,Philadelphia,East,Suburb,Urban,Urban Core,Very upscale,18017.0
4402351.0,Pennsylvania,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,75 or over,Republican,Conservative,"Under $15,000",High school graduate,,,,,,Hillary Clinton,,,,,,,,,,Protestant,Before that,No one does,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Protestant/Other Christian,Yes,Rural,Small Cities/Rural,10.0,Philadelphia,East,Low Density Rural,Rural,Rural,Downscale,18436.0
4401716.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,,Republican,Conservative,,Did not complete high school,,,,Only John McCain,,,Only John McCain,,,,,,Too liberal,,,,,,,Non black female,White women,White female,White female,,,,,,,,,,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,,,,,,John McCain is,Barack Obama is not,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,,Suburbs,Suburbs,16.0,Philadelphia,East,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,17022.0
4401712.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,65-74,Republican,Conservative,"$15,000-$29,999",Some college or associate degree,,,,Only John McCain,,,Only John McCain,,,,,,Too liberal,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,Yes,"Cities 50,000-500,000","Cities over 50,000",15.0,Philadelphia,East,Extremely High Density Urban,Urban,Urban Core,Very downscale,18102.0
4401709.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,50-59,Republican,Conservative,"$50,000-$74,999",College graduate,,,,Only John McCain,,,Both of them,,,,,,Too liberal,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does not,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,No,Suburbs,Suburbs,5.0,Philadelphia,East,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,16823.0
4400520.0,Pennsylvania,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,65-74,Republican,Moderate,"$15,000-$29,999",Some college or associate degree,,,Take the country in a different direction,,"No, I was not contacted",,,Somewhat approve,The economy,Poor,,No,,Has the right experience,Not a factor at all,,Earlier in October,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Approve,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,,,Yes,Rural,Small Cities/Rural,5.0,Philadelphia,East,Low Density Rural,Rural,Rural,Downscale,15825.0
4401101.0,Pennsylvania,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Male,Hispanic/Latino,30-39,Republican,Conservative,"$15,000-$29,999",High school graduate,,Somewhat disapprove,Take the country in a different direction,,"No, I was not contacted",,,,The economy,Good,Not too worried,Yes,,Can bring about needed change,Not a factor at all,,Before that,,Disapprove,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,,,John McCain did not,Barack Obama did not,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,,Excellent/Good,Not worried,Republican,Non black non Democrat,All Republicans,All others,Hispanic/Latino,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,11.0,Philadelphia,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,18201.0
4400521.0,Pennsylvania,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,50-59,Republican,Moderate,,College graduate,,,Omit,,"Yes, for John McCain",,,Somewhat approve,The economy,Poor,,No,,Shares my values,Not a factor at all,,Omit,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did,Barack Obama did not,,,,,,,,Approve,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Not a factor,,Omit,Omit,Omit,,,,,,Suburbs,Suburbs,8.0,Philadelphia,East,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,18901.0
4400518.0,Pennsylvania,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Male,White,30-39,Republican,Conservative,"$100,000-$149,999",College graduate,,,Take the country in a different direction,,"No, I was not contacted",,,Somewhat approve,The economy,Poor,,No,,Shares my values,Not a factor at all,,Before that,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Approve,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,"Cities 10,000-50,000",Small Cities/Rural,9.0,Philadelphia,East,Town,Rural,Rural,Upscale,17202.0
4400517.0,Pennsylvania,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,65-74,Republican,Conservative,,High school graduate,,,Take the country in a different direction,,"No, I was not contacted",,,Omit,The economy,Poor,,No,,Shares my values,Not a factor at all,,Before that,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did not,,,,,,,,Omit,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,Suburbs,Suburbs,17.0,Philadelphia,East,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,17032.0
4401720.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Male,,65-74,Republican,Conservative,,College graduate,,,,Only John McCain,,,Only John McCain,,,,,,Too liberal,,,,,,,,,,,65+,60+,45+,60+,65+,65+,,,,College graduate,More than High school graduate,,John McCain does,Barack Obama does not,,,,,,,,John McCain is,Barack Obama is not,,,,Republican,,,,,,,,,,,,,,,,Suburbs,Suburbs,4.0,Philadelphia,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,15668.0
4401717.0,Pennsylvania,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,75 or over,Democrat,Conservative,"$15,000-$29,999",High school graduate,,,,Omit,,,Omit,,,,,,Omit,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Omit,Omit,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Omit,Omit,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,Yes,Suburbs,Suburbs,18.0,Philadelphia,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,15317.0
4409670.0,Pennsylvania,172.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.752549409866333,Barack Obama,Female,White,30-39,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Hillary Clinton,Only Barack Obama,Strongly disapprove,Energy policy,Not so good,Somewhat worried,No,About right,Can bring about needed change,Not a factor at all,Protestant,Before that,No one does,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Protestant/Other Christian,No,Suburbs,Suburbs,19.0,Central and Northern Tier,East,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,17352.0
