ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSTN08,SENTN08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,HILLPSPRT,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4393795.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.48719984292984,John McCain,Lamar Alexander,Female,White,65-74,Republican,Conservative,"$75,000-$99,999",College graduate,No,Strongly approve,No,Did not care who won,Energy policy,Good,Not too worried,No,Has the right experience,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Excellent/Good,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,3.0,East,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,37705.0
4393796.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.71772432327271,,Lamar Alexander,Male,White,60-64,Independent,Liberal,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,Yes,Did not care who won,Energy policy,Not so good,Somewhat worried,No,Cares about people like me,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,East,South,Suburb,70s Suburbs,Urban Perimeter,Upscale,37617.0
4393797.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.505967378616333,Barack Obama,Robert Tuke,Male,White,65-74,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Hillary Clinton,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,East,South,Suburb,Urban,Urban Core,Very downscale,37917.0
4393798.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.01193475723267,Barack Obama,Robert Tuke,Male,White,65-74,Independent,Moderate,"$75,000-$99,999",High school graduate,No,Strongly disapprove,No,Hillary Clinton,Energy policy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,East,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,37857.0
4393799.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.12587141990662,John McCain,Lamar Alexander,Female,White,50-59,Independent,Conservative,"$75,000-$99,999",High school graduate,No,Somewhat approve,Yes,Did not care who won,Terrorism,Not so good,Very worried,No,Cares about people like me,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,7.0,Nashville area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,37027.0
4393800.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.14206826686859,John McCain,Lamar Alexander,Male,White,50-59,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,Somewhat disapprove,Yes,Did not care who won,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,3.0,East,South,Low Density Rural,Rural,Rural,Very downscale,37752.0
4393801.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.981680750846863,Barack Obama,Lamar Alexander,Female,White,50-59,Independent,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Did not care who won,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,East,South,Suburb,70s Suburbs,Urban Perimeter,Upscale,37617.0
4393802.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.42620491981506,John McCain,Lamar Alexander,Male,White,50-59,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Strongly approve,Yes,Did not care who won,Terrorism,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,South,Suburb,Rural,Rural,Upscale,37660.0
4393803.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.815420567989349,Barack Obama,Lamar Alexander,Female,White,75 or over,Democrat,Moderate,,High school graduate,No,Somewhat disapprove,No,Did not care who won,The war in Iraq,Not so good,Very worried,Yes,Can bring about needed change,A minor factor,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Democrats who did not care who won,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,Rural,Small Cities/Rural,8.0,Middle/West,South,Low Density Rural,Rural,Rural,Very downscale,38330.0
4393804.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.55013084411621,,Lamar Alexander,Female,,30-39,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,Yes,Did not care who won,The economy,Not so good,Somewhat worried,No,Omit,Not a factor at all,Before that,Approve,,,,,30-44,30-59,18-44,30-44,30-39,18-64,,,,No college degree,More than High school graduate,,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,,Not so good/Poor,Worried,Independent/Something else,,,,,,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,4.0,Middle/West,South,Low Density Rural,Rural,Rural,Very downscale,38581.0
4393805.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,7.7874436378479,Barack Obama,Lamar Alexander,Female,Black,40-44,Independent,Liberal,"$15,000-$29,999",Did not complete high school,No,Strongly disapprove,Yes,Barack Obama,Health care,Good,Not too worried,No,Cares about people like me,A minor factor,Sometime in September,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Excellent/Good,Not worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,8.0,Southwest,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,38019.0
4393806.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.9092104434967,John McCain,Lamar Alexander,Male,White,50-59,Independent,Conservative,"$100,000-$149,999",College graduate,No,Strongly disapprove,No,Did not care who won,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Non Democrats,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",7.0,Southwest,South,Suburb,Urban,Urban Core,Very upscale,38134.0
4393807.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.836999177932739,Barack Obama,Robert Tuke,Female,White,75 or over,Democrat,Liberal,,High school graduate,No,Strongly disapprove,No,Hillary Clinton,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,7.0,Middle/West,South,Low Density Rural,Rural,Rural,Very downscale,38372.0
4393808.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.981063544750214,John McCain,Lamar Alexander,Female,White,60-64,Republican,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly approve,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Has the right experience,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,8.0,Middle/West,South,Low Density Rural,Rural,Rural,Downscale,38343.0
4393809.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.487722247838974,John McCain,Lamar Alexander,Female,White,60-64,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat approve,No,Did not care who won,The economy,Not so good,Somewhat worried,No,Cares about people like me,Not a factor at all,Before that,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,South,Suburb,Rural,Rural,Downscale,37620.0
4393810.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.03444409370422,Other,Lamar Alexander,Female,Hispanic/Latino,65-74,Independent,Moderate,"$15,000-$29,999",High school graduate,Yes,Strongly disapprove,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Has the right experience,One of several important factors,Omit,Disapprove,Non black female,Latino women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,White,All others,Important,Factor,Omit,Omit,Omit,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,Nashville area,South,Suburb,Urban,Urban Core,Very upscale,37043.0
4393811.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.52217090129852,Barack Obama,Lamar Alexander,Male,White,60-64,Republican,Moderate,,High school graduate,No,Somewhat disapprove,Yes,Barack Obama,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Non Democrats,,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,1.0,East,South,Low Density Rural,Rural,Rural,Downscale,37743.0
4393812.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.534602999687195,John McCain,Lamar Alexander,Female,White,,Republican,Conservative,,College graduate,No,Somewhat disapprove,Yes,Omit,Energy policy,Not so good,Very worried,No,Shares my values,The single most important factor,Before that,Disapprove,Non black female,White women,White female,White female,,,,,,,,,,College graduate,More than High school graduate,White college degree,Omit,,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",8.0,Middle/West,South,Suburb,Urban,Urban Core,Downscale,38301.0
4393813.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.21383655071259,John McCain,Lamar Alexander,Male,White,60-64,Republican,Conservative,"$75,000-$99,999",High school graduate,No,Somewhat disapprove,No,Hillary Clinton,Energy policy,Not so good,Not too worried,No,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",5.0,Nashville area,South,Suburb,Urban,Urban Core,Very upscale,37221.0
4393814.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.71874237060547,John McCain,Lamar Alexander,Female,White,40-44,Republican,Conservative,"$50,000-$74,999",College graduate,No,Somewhat approve,Yes,Another candidate,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,7.0,Nashville area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,37027.0
4393815.0,Tennessee,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,3.97813057899475,John McCain,Lamar Alexander,Female,White,50-59,Republican,Conservative,"$150,000-$199,999",Postgraduate study,No,Strongly approve,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Shares my values,A minor factor,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Non Democrats,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,7.0,Southwest,South,Suburb,70s Suburbs,Urban Perimeter,Very upscale,38138.0
