ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSLA08,SENLA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,HURRICANE,ISSUE08,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,HURRICANE2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400985.0, Louisiana,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Independent,Moderate,"$30,000-$49,999",High school graduate,,Somewhat disapprove,No,,Health care,Somewhat worried,No,Has the right experience,A minor factor,,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,,Sometime last week or earlier,Before that,In the last month or before that,,Yes,All others,,,"Cities 10,000-50,000",Small Cities/Rural,3.0,New Orleans Area,South,Low Density Rural,Rural,Rural,Upscale,70301.0
4400983.0, Louisiana,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,45-49,Republican,Conservative,"$15,000-$29,999",Some college or associate degree,,Somewhat approve,Yes,,The economy,Not too worried,No,Can bring about needed change,Not a factor at all,,Before that,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,Yes,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,1.0,New Orleans Area,South,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Very upscale,70047.0
4401555.0, Louisiana,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Other,,Male,White,45-49,Democrat,Conservative,"Under $15,000",Did not complete high school,,,,,,,,,,,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,Yes,,,,Rural,Small Cities/Rural,5.0,New Orleans Area,South,Low Density Rural,Rural,Rural,Very downscale,71334.0
4400395.0, Louisiana,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Other,,Female,White,30-39,Republican,Moderate,"$200,000 or more",College graduate,,,No,,The economy,,No,Shares my values,Not a factor at all,,Earlier in October,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,,No,All others,,,Suburbs,Suburbs,1.0,New Orleans Area,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,70447.0
4464995.0, Louisiana,108.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,50-59,Democrat,Conservative,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,The war in Iraq,Very worried,No,Can bring about needed change,Not a factor at all,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4442512.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,50-59,Democrat,Conservative,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,The war in Iraq,Very worried,No,Cares about people like me,The single most important factor,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4442511.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,50-59,Democrat,Conservative,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,The war in Iraq,Very worried,No,Cares about people like me,The single most important factor,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4442218.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,50-59,Democrat,Conservative,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,The war in Iraq,Very worried,No,Cares about people like me,The single most important factor,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4442217.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,50-59,Democrat,Conservative,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,The war in Iraq,Very worried,No,Cares about people like me,The single most important factor,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4442117.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.71351945400238,Barack Obama,Mary L. Landrieu,Female,Black,60-64,Democrat,Liberal,"Under $15,000",High school graduate,,Strongly disapprove,Yes,No severe hardship,The war in Iraq,Not too worried,No,Omit,Not a factor at all,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4441702.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.29636454582214,Barack Obama,Mary L. Landrieu,Female,Black,18-24,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,Yes,A severe hardship but you have recovered,The economy,Not too worried,Yes,Cares about people like me,Not a factor at all,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4441623.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,40-44,Democrat,Moderate,"Under $15,000",High school graduate,,Strongly disapprove,Yes,A severe hardship but you have recovered,The economy,Very worried,No,Can bring about needed change,The single most important factor,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4441542.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.29636454582214,Barack Obama,Mary L. Landrieu,Female,Black,25-29,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,Yes,No severe hardship,The economy,Not at all worried,No,Omit,Not a factor at all,Something else,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No severe hardship,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4441468.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,40-44,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,,Strongly disapprove,Yes,A severe hardship and you have not recovered,The economy,Very worried,No,Can bring about needed change,Not a factor at all,,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,A severe hardship,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4465732.0, Louisiana,108.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.29636454582214,Barack Obama,Mary L. Landrieu,Female,Black,18-24,,Moderate,"Under $15,000",High school graduate,No,Somewhat disapprove,No,A severe hardship but you have recovered,The economy,Very worried,Yes,Can bring about needed change,One of several important factors,None,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,,,,,Black,All others,Important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4465673.0, Louisiana,108.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,30-39,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,Omit,Very worried,No,Omit,Omit,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Omit,Omit,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4441306.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.53036844730377,Barack Obama,Mary L. Landrieu,Male,Black,18-24,Democrat,Conservative,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,Yes,A severe hardship but you have recovered,The economy,Very worried,No,Can bring about needed change,Not a factor at all,Other Christian,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,A severe hardship,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4465602.0, Louisiana,108.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,30-39,Independent,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,No,A severe hardship and you have not recovered,Health care,Somewhat worried,No,Can bring about needed change,Not a factor at all,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,A severe hardship,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4441234.0, Louisiana,108.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,30-39,Democrat,Moderate,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,Yes,A severe hardship and you have not recovered,The war in Iraq,Not too worried,Yes,Can bring about needed change,The single most important factor,Other Christian,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,A severe hardship,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4465538.0, Louisiana,108.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,A severe hardship but you have recovered,Health care,Very worried,No,Cares about people like me,The single most important factor,None,Before that,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,A severe hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
4465476.0, Louisiana,108.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,1.28135395050049,Barack Obama,Mary L. Landrieu,Female,Hispanic/Latino,30-39,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,Yes,Strongly disapprove,Yes,A severe hardship but you have recovered,The economy,Very worried,No,Can bring about needed change,Not a factor at all,Other Christian,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,A severe hardship,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Black,All others,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,1.0,Protestant North,South,Low Density Rural,Rural,Rural,Downscale,70427.0
