ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSUT08,GOVUT08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ISSUE08,NECWORRY,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4424069.0, Utah,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47914981842041,Barack Obama,Bob Springmeyer,Male,White,30-39,Democrat,Liberal,"$150,000-$199,999",Postgraduate study,No,Strongly disapprove,The economy,Very worried,None,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,3.0,West/Provo Area,West,Low Density Rural,70s Suburbs,Urban Perimeter,Upscale,84663.0
4424043.0, Utah,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.86667692661285,Barack Obama,Bob Springmeyer,Male,Hispanic/Latino,75 or over,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,Yes,Strongly disapprove,The economy,Very worried,Catholic,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,Suburbs,Suburbs,3.0,Salt Lake County,West,High Density Urban,70s Suburbs,Urban Perimeter,Downscale,84120.0
4423039.0, Utah,38.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.08628845214844,Barack Obama,Bob Springmeyer,Male,White,45-49,Republican,Moderate,"$200,000 or more",College graduate,No,Strongly disapprove,Energy policy,Very worried,Mormon/LDS,Sometime in September,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Protestant/Other Christian,No,Suburbs,Suburbs,2.0,Salt Lake County,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84092.0
4423958.0, Utah,55.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14295566082001,Barack Obama,Bob Springmeyer,Male,White,30-39,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Strongly disapprove,The economy,Very worried,Catholic,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Catholic,No,Suburbs,Suburbs,1.0,East/Ogden Area,West,Suburb,70s Suburbs,Urban Perimeter,Upscale,84405.0
4423937.0, Utah,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.47914981842041,Barack Obama,Bob Springmeyer,Male,White,40-44,Democrat,Moderate,"$100,000-$149,999",College graduate,No,Strongly disapprove,Health care,Very worried,Mormon/LDS,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,No,Suburbs,Suburbs,3.0,West/Provo Area,West,Low Density Rural,70s Suburbs,Urban Perimeter,Upscale,84663.0
4422792.0, Utah,38.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.99657541513443,Barack Obama,Bob Springmeyer,Female,White,50-59,Democrat,Moderate,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,Health care,Very worried,None,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,None,Sometime last week or earlier,Before that,In the last month or before that,None,No,Suburbs,Suburbs,2.0,Salt Lake County,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84092.0
4421658.0, Utah,11.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.89778816699982,Barack Obama,Bob Springmeyer,,White,65-74,Independent,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,The war in Iraq,Very worried,Mormon/LDS,Before that,Disapprove,,,,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,Yes,Rural,Small Cities/Rural,2.0,East/Ogden Area,West,Extremely Low Density Rural,Rural,Rural,Downscale,84523.0
4423922.0, Utah,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.71579658985138,Barack Obama,Bob Springmeyer,Female,White,60-64,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,The economy,Very worried,Mormon/LDS,Earlier in October,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,Protestant/Other Christian,Yes,Suburbs,Suburbs,3.0,Salt Lake County,West,High Density Urban,70s Suburbs,Urban Perimeter,Downscale,84120.0
4423812.0, Utah,18.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06848037242889,Barack Obama,Bob Springmeyer,Male,White,30-39,Something else,Moderate,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,The economy,Very worried,None,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,None,Sometime last week or earlier,Before that,In the last month or before that,None,Yes,Suburbs,Suburbs,3.0,Salt Lake County,West,High Density Urban,70s Suburbs,Urban Perimeter,Downscale,84120.0
4423508.0, Utah,50.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,2.21872472763062,Barack Obama,Bob Springmeyer,Male,Other,30-39,Democrat,Conservative,"$30,000-$49,999",High school graduate,No,Somewhat disapprove,Health care,Somewhat worried,Other Christian,Sometime in September,Disapprove,Non black male,All other races,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,American Indian,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,Suburbs,Suburbs,3.0,West/Provo Area,West,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,84660.0
4421136.0, Utah,48.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.40519237518311,Barack Obama,Bob Springmeyer,Male,White,50-59,Democrat,Moderate,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,The economy,Very worried,Mormon/LDS,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Protestant/Other Christian,No,"Cities 50,000-500,000","Cities over 50,000",3.0,West/Provo Area,West,Suburb,Urban,Urban Core,Very downscale,84601.0
4423323.0, Utah,50.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,2.98670864105225,Barack Obama,Bob Springmeyer,Female,White,60-64,Democrat,,,Some college or associate degree,No,,,Somewhat worried,,Sometime in September,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,Suburbs,Suburbs,3.0,West/Provo Area,West,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,84660.0
4424313.0, Utah,50.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.59550333023071,Barack Obama,Bob Springmeyer,Male,Black,40-44,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,No,Strongly disapprove,The economy,Very worried,Mormon/LDS,Before that,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,Suburbs,Suburbs,3.0,West/Provo Area,West,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,84660.0
4423130.0, Utah,38.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.974019467830658,Barack Obama,Bob Springmeyer,Female,White,,Democrat,Moderate,"$50,000-$74,999",Did not complete high school,No,Strongly disapprove,The economy,Very worried,Mormon/LDS,Omit,Disapprove,Non black female,White women,White female,White female,,,,,,,,,,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Protestant/Other Christian,Omit,Omit,Omit,Protestant/Other Christian,No,Suburbs,Suburbs,2.0,Salt Lake County,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84092.0
4422658.0, Utah,38.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.99657541513443,Barack Obama,Bob Springmeyer,Female,White,50-59,Independent,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,Omit,Very worried,None,Omit,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,None,Omit,Omit,Omit,None,No,Suburbs,Suburbs,2.0,Salt Lake County,West,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,84092.0
4423167.0, Utah,56.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06633496284485,Barack Obama,Bob Springmeyer,Female,White,50-59,Independent,Liberal,"$30,000-$49,999",Postgraduate study,No,,Energy policy,,,Earlier in October,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Earlier in October,In the last month or before that,,No,"Cities 50,000-500,000","Cities over 50,000",1.0,East/Ogden Area,West,Suburb,Urban,Urban Core,Very downscale,84404.0
4422955.0, Utah,25.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.837275326251984,Barack Obama,Bob Springmeyer,Female,Hispanic/Latino,25-29,Independent,Liberal,"$50,000-$74,999",College graduate,Yes,Strongly disapprove,Energy policy,Very worried,,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Downscale,84106.0
4421739.0, Utah,56.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,1.16232776641846,Barack Obama,Bob Springmeyer,Male,Hispanic/Latino,40-44,Democrat,Conservative,"$30,000-$49,999",,Yes,,,,None,Just today,,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Democrat,Non black Democrat,Latino Democrats,All others,White,None,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Non-white,,"Cities 50,000-500,000","Cities over 50,000",1.0,East/Ogden Area,West,Suburb,Urban,Urban Core,Very downscale,84404.0
4422731.0, Utah,56.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.16232776641846,Barack Obama,Bob Springmeyer,Male,White,50-59,Independent,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Health care,Somewhat worried,,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,Yes,"Cities 50,000-500,000","Cities over 50,000",1.0,East/Ogden Area,West,Suburb,Urban,Urban Core,Very downscale,84404.0
4423315.0, Utah,25.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.999549210071564,Barack Obama,Bob Springmeyer,Male,White,30-39,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,,,,,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Downscale,84106.0
4423596.0, Utah,25.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,0.916999697685242,Barack Obama,Bob Springmeyer,Female,Hispanic/Latino,30-39,Something else,Moderate,"$30,000-$49,999",High school graduate,Yes,,,,Something else,Before that,,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Independent/Something else,Non black non Democrat,Latino Independents,All others,Other,Something else,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Downscale,84106.0
4422406.0, Utah,56.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.06633496284485,Barack Obama,Bob Springmeyer,Female,White,30-39,Independent,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,The economy,Very worried,,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,"Cities 50,000-500,000","Cities over 50,000",1.0,East/Ogden Area,West,Suburb,Urban,Urban Core,Very downscale,84404.0
4423439.0, Utah,25.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.916999697685242,Barack Obama,Bob Springmeyer,Female,White,50-59,Independent,Liberal,"$100,000-$149,999",College graduate,No,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Downscale,84106.0
4422313.0, Utah,56.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,1.06127440929413,Barack Obama,Bob Springmeyer,Male,White,25-29,Democrat,Liberal,"$15,000-$29,999",Some college or associate degree,No,,,,,,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,Yes,"Cities 50,000-500,000","Cities over 50,000",1.0,East/Ogden Area,West,Suburb,Urban,Urban Core,Very downscale,84404.0
4422264.0, Utah,25.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.916999697685242,Barack Obama,Bob Springmeyer,Female,White,40-44,Democrat,Moderate,"$100,000-$149,999",College graduate,No,,Health care,,,Before that,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Before that,In the last month or before that,,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Downscale,84106.0
4423089.0, Utah,25.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.837275326251984,Barack Obama,Bob Springmeyer,Female,White,18-24,Democrat,Liberal,"$15,000-$29,999",Postgraduate study,No,,,,,,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Salt Lake County,West,High Density Urban,Urban,Urban Core,Downscale,84106.0
