ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWI08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401225.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,40-44,Democrat,Liberal,"$50,000-$74,999",College graduate,,Strongly disapprove,No,Continue George W. Bush's policies,,"Yes, for John McCain",,,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,,Before that,Only John McCain,,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,John McCain did,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,All others,,,Rural,Small Cities/Rural,7.0,Milwaukee,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,54487.0
4401224.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,75 or over,Independent,Moderate,"$75,000-$99,999",Postgraduate study,,Strongly disapprove,No,Continue George W. Bush's policies,,"No, I was not contacted",,,The economy,Poor,Somewhat worried,No,Can bring about needed change,Not a factor at all,,Before that,Both of them,,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,No,All others,,,Suburbs,Suburbs,3.0,Milwaukee,Midwest,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,54002.0
4401223.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,65-74,Democrat,Moderate,,Did not complete high school,,Strongly disapprove,No,Continue George W. Bush's policies,,"Yes, for Barack Obama",,,The economy,Not so good,Very worried,No,Cares about people like me,Not a factor at all,,Before that,Neither of them,,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,John McCain did not,Barack Obama did,,,,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,,All others,,,Suburbs,Suburbs,5.0,Milwaukee,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,53151.0
4401222.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,65-74,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,,Strongly disapprove,No,Continue George W. Bush's policies,,"No, I was not contacted",,,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,,Sometime in September,Only John McCain,,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,All others,,,"Cities 50,000-500,000","Cities over 50,000",5.0,Milwaukee,Midwest,High Density Urban,Urban,Urban Core,Downscale,53214.0
4400642.0,Wisconsin,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,60-64,Democrat,Liberal,"$75,000-$99,999",Postgraduate study,,,No,Continue George W. Bush's policies,,"No, I was not contacted",,Strongly disapprove,The economy,Poor,,No,Shares my values,Not a factor at all,,Before that,Both of them,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Disapprove,Not so good/Poor,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,No,All others,,,"Cities over 500,000","Cities over 50,000",5.0,Milwaukee,Midwest,Extremely High Density Urban,Urban,Urban Core,Very upscale,53211.0
4400641.0,Wisconsin,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Male,White,50-59,Independent,Moderate,"$50,000-$74,999",Postgraduate study,,,No,Continue George W. Bush's policies,,"No, I was not contacted",,Strongly disapprove,The economy,Not so good,,No,Can bring about needed change,Not a factor at all,,Earlier in October,Only John McCain,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Disapprove,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,,,,,No,All others,,,"Cities 10,000-50,000",Small Cities/Rural,7.0,Milwaukee,Midwest,Town,Rural,Rural,Upscale,54401.0
4401226.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,75 or over,Democrat,Liberal,,Some college or associate degree,,Strongly disapprove,No,Continue George W. Bush's policies,,"Yes, for both Obama and McCain",,,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,,Earlier in October,Both of them,,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,John McCain did,Barack Obama did,,,,,,,,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,,,,,,All others,,,Rural,Small Cities/Rural,8.0,Milwaukee,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,54111.0
4402463.0,Wisconsin,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,65-74,Independent,Conservative,"$30,000-$49,999",Some college or associate degree,,,No,,,,,,,,,,,,None,Earlier in October,,"Yes, someone else does",,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,None,Sometime last week or earlier,Earlier in October,In the last month or before that,,,Yes,"Member in household, but not voter",No,None,Yes,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Upscale,53546.0
4401850.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,White,75 or over,Independent,Moderate,"$15,000-$29,999",Some college or associate degree,,,,,Only John McCain,,Neither of them,,,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,Yes,,,,Rural,Small Cities/Rural,6.0,Milwaukee,Midwest,Low Density Rural,Rural,Rural,Downscale,54971.0
4401227.0,Wisconsin,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,40-44,Republican,Moderate,"$75,000-$99,999",College graduate,,Somewhat disapprove,Yes,Take the country in a different direction,,"Yes, for John McCain",,,The economy,Poor,Somewhat worried,No,Shares my values,Not a factor at all,,Before that,Neither of them,,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,John McCain did,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,,,No,White Born-again/Evangelical Christians,,,Suburbs,Suburbs,6.0,Milwaukee,Midwest,Low Density Rural,60s Suburbs,Urban Perimeter,Upscale,53085.0
4401856.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,50-59,Independent,Moderate,"$15,000-$29,999",High school graduate,,,,,Only John McCain,,Only John McCain,,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,,,,,,Yes,,,,Suburbs,Suburbs,6.0,Milwaukee,Midwest,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,53073.0
4401851.0,Wisconsin,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,18-24,Republican,Conservative,"$15,000-$29,999",High school graduate,,,,,Only John McCain,,Only John McCain,,,,,,,,,,,,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,,,,,,Yes,,,,Suburbs,Suburbs,5.0,Milwaukee,Midwest,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,53072.0
4400643.0,Wisconsin,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Female,White,75 or over,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,,,No,Take the country in a different direction,,"Yes, for John McCain",,Somewhat disapprove,Terrorism,Poor,,No,Has the right experience,One of several important factors,,Before that,Both of them,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,John McCain did,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Disapprove,Not so good/Poor,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Important,Factor,,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,,,,No,All others,,,"Cities 50,000-500,000","Cities over 50,000",5.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Very upscale,53188.0
4402460.0,Wisconsin,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,Male,White,65-74,Something else,Moderate,"$75,000-$99,999",Some college or associate degree,,,No,,,,,,,,,,,,Catholic,Sometime in September,,"Yes, I do",,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,,,Yes,I am,Yes,Catholic,No,All others,All others,All others,Suburbs,Suburbs,5.0,Milwaukee,Midwest,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,53018.0
4402464.0,Wisconsin,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Other,Male,White,50-59,Republican,Moderate,"$50,000-$74,999",College graduate,,,No,,,,,,,,,,,,Protestant,Omit,,No one does,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,Protestant/Other Christian,Omit,Omit,Omit,,,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 50,000-500,000","Cities over 50,000",2.0,Milwaukee,Midwest,Suburb,Urban,Urban Core,Upscale,53704.0
4402461.0,Wisconsin,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,Female,,,Independent,Moderate,,,,,Yes,,,,,,,,,,,,Mormon/LDS,Before that,,No one does,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independent/Something else,,,,,,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,,,No,No,No,,,All others,,,"Cities 50,000-500,000","Cities over 50,000",5.0,Milwaukee,Midwest,High Density Urban,Urban,Urban Core,Downscale,53214.0
4420245.0,Wisconsin,52.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.23341250419617,Did not vote,Male,White,25-29,Something else,Liberal,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,No,Take the country in a different direction,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,Health care,Poor,Very worried,No,Cares about people like me,Not a factor at all,Something else,Before that,Both of them,"Yes, I do",Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,I am,Yes,Something else,Yes,All others,All others,All others,"Cities over 500,000","Cities over 50,000",4.0,Milwaukee,Midwest,Extremely High Density Urban,Urban,Urban Core,Downscale,53202.0
4418644.0,Wisconsin,99.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.756510496139526,Barack Obama,Female,White,40-44,Democrat,Moderate,"$15,000-$29,999",College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Shares my values,The single most important factor,None,Sometime last week,Only John McCain,No one does,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,None,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,John McCain did,Barack Obama did not,No,No,No,None,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,7.0,Northwest,Midwest,Low Density Rural,Rural,Rural,Very downscale,54495.0
4418640.0,Wisconsin,12.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.965436398983002,Barack Obama,Male,White,45-49,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Other Christian,Before that,Only John McCain,No one does,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,No,No,No,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Rural,Small Cities/Rural,2.0,South,Midwest,Low Density Rural,Rural,Rural,Upscale,53555.0
