ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNM08,SENNM08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,IMMDEPORT,HILLPSPRT,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,SPANISHQ,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4398870.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.36499607563019,Barack Obama,Tom Udall,Male,White,30-39,Something else,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Offered a chance to apply for legal status,Barack Obama,Only Barack Obama,Strongly disapprove,Health care,Poor,Very worried,No,Shares my values,Not a factor at all,None,English,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,John McCain does,Barack Obama does,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,None,Yes,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,Low Density Rural,Urban,Urban Core,Very downscale,87121.0
4398865.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.273366659879684,Barack Obama,Tom Udall,Female,White,50-59,Independent,Moderate,"$100,000-$149,999",High school graduate,No,Somewhat disapprove,No,Take the country in a different direction,Only Barack Obama,Deported to the country they came from,Hillary Clinton,Only Barack Obama,Somewhat disapprove,The economy,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Non Democrats,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Catholic,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,High Density Urban,Urban,Urban Core,Very upscale,87112.0
4398863.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.562514960765839,Barack Obama,Tom Udall,Female,Hispanic/Latino,65-74,Democrat,Moderate,"Under $15,000",Some college or associate degree,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,Barack Obama,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Catholic,English,Before that,Both of them,Disapprove,Non black female,Latino women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,South/East,West,Extremely Low Density Rural,Rural,Rural,Downscale,88130.0
4398859.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.09391736984253,Barack Obama,Tom Udall,Female,Hispanic/Latino,45-49,Independent,Conservative,"$30,000-$49,999",High school graduate,Yes,Strongly disapprove,No,Take the country in a different direction,Only John McCain,Deported to the country they came from,Hillary Clinton,Neither of them,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,One of several important factors,Catholic,English,Earlier in October,Both of them,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does,Barack Obama does not,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is not,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Important,Factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,3.0,Northwest,West,Extremely Low Density Rural,Rural,Rural,Downscale,87701.0
4398857.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.0819091796875,Barack Obama,Tom Udall,Male,Hispanic/Latino,60-64,Democrat,Liberal,"Under $15,000",High school graduate,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Deported to the country they came from,Hillary Clinton,Only Barack Obama,Somewhat approve,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Catholic,English,In the last three days,Neither of them,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Non black 60+,Latino 60+,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,John McCain did not,Barack Obama did not,Non-white,No,All others,All others,All others,Rural,Small Cities/Rural,3.0,Northwest,West,Extremely Low Density Rural,Rural,Rural,Very downscale,87413.0
4398854.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.58491778373718,Barack Obama,Tom Udall,Male,White,75 or over,Democrat,Moderate,"$50,000-$74,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Omit,Hillary Clinton,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Protestant,English,Before that,Only John McCain,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,2.0,South/East,West,Extremely Low Density Rural,Rural,Rural,Upscale,88310.0
4398843.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.4723619222641,Barack Obama,Tom Udall,Male,Hispanic/Latino,50-59,Something else,Moderate,"$50,000-$74,999",Some college or associate degree,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,Hillary Clinton,Both of them,Somewhat disapprove,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Both of them,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Non-white,No,All others,All others,All others,Suburbs,Suburbs,1.0,Albuquerque Area,West,Suburb,60s Suburbs,Urban Perimeter,Very downscale,87105.0
4398839.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.811694324016571,Barack Obama,Tom Udall,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,Barack Obama,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Protestant,English,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,John McCain does not,Barack Obama does,Democrats for Obama,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,No,All others,All others,White Protestant non evangelical,Suburbs,Suburbs,3.0,Northwest,West,Extremely Low Density Rural,,High-Growth Suburban Perimeter,Upscale,87508.0
4398837.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.860596835613251,Barack Obama,Tom Udall,Male,White,75 or over,Democrat,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,Deported to the country they came from,Did not care who won,Only Barack Obama,Strongly disapprove,The economy,Poor,Not too worried,No,Can bring about needed change,Not a factor at all,Other Christian,English,Sometime in September,Only John McCain,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Democrats who did not care who won,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,High Density Urban,Urban,Urban Core,Downscale,87108.0
4398836.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.11213338375092,Barack Obama,Tom Udall,Female,Hispanic/Latino,50-59,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,Yes,Strongly disapprove,,Continue George W. Bush's policies,Only Barack Obama,Omit,Hillary Clinton,Only Barack Obama,Omit,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Only John McCain,Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Omit,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Hispanic/Latino,,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Non-white,No,All others,All others,,"Cities 50,000-500,000","Cities over 50,000",1.0,Albuquerque Area,West,High Density Urban,Urban,Urban Core,Very upscale,87109.0
4398833.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.77076530456543,Barack Obama,Tom Udall,Female,White,75 or over,Democrat,Moderate,,Did not complete high school,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Offered a chance to apply for legal status,Hillary Clinton,Only Barack Obama,Strongly disapprove,The war in Iraq,Poor,Very worried,No,Can bring about needed change,Not a factor at all,None,English,Sometime in September,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,Democrats for Clinton,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,None,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,None,,All others,All others,All others,Rural,Small Cities/Rural,3.0,Northwest,West,Extremely Low Density Rural,Rural,Rural,Downscale,87740.0
4398827.0, New Mexico,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.553073346614838,Barack Obama,Tom Udall,Female,Hispanic/Latino,65-74,Democrat,Conservative,"$75,000-$99,999",Some college or associate degree,Yes,Strongly disapprove,No,Continue George W. Bush's policies,Neither of them,Offered a chance to apply for legal status,Hillary Clinton,Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,English,Before that,Only John McCain,Disapprove,Non black female,Latino women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,John McCain does not,Barack Obama does not,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,White,All others,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Non-white,No,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,South/East,West,Extremely Low Density Rural,Rural,Rural,Upscale,88201.0
