ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIA08,SENIA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,ETHANOL,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ETHANOL2,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHITEREL,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4389420.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.34568583965302,Barack Obama,Tom Harkin,Female,White,50-59,Democrat,Liberal,,College graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Somewhat support,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Jewish,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,,,,,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Jewish,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Jewish,,All others,All others,All others,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50265.0
4389419.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.28478050231934,Barack Obama,Tom Harkin,Female,White,60-64,Democrat,Moderate,"$15,000-$29,999",High school graduate,No,Strongly approve,Yes,Continue George W. Bush's policies,Only Barack Obama,Somewhat support,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Protestant,Before that,Only Barack Obama,Approve,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Support,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did,Protestant/Other Christian,Yes,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Rural,Small Cities/Rural,4.0,Central,Midwest,Extremely Low Density Rural,Rural,Rural,Upscale,50126.0
4389409.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.43222224712372,Barack Obama,Tom Harkin,Male,,,Independent,Liberal,,,,Somewhat approve,No,Take the country in a different direction,Only Barack Obama,Somewhat support,"Yes, for John McCain",Only John McCain,Somewhat disapprove,Health care,Excellent,Somewhat worried,No,Can bring about needed change,Not a factor at all,Catholic,Before that,Neither of them,Approve,,,,,,,,,,,,,,Support,,,,John McCain does not,Barack Obama does,John McCain did,Barack Obama did not,,,,,John McCain is,Barack Obama is not,Disapprove,Excellent/Good,Worried,Independent/Something else,,,,,,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,,,All others,All others,,"Cities 10,000-50,000",Small Cities/Rural,4.0,Central,Midwest,Low Density Rural,Rural,Rural,Downscale,50501.0
4389408.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.880129396915436,Barack Obama,Tom Harkin,Female,White,75 or over,Democrat,Liberal,,High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Somewhat support,"Yes, for Barack Obama",Both of them,Somewhat disapprove,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Catholic,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,,,,,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Catholic,,All others,All others,All others,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,80s Suburbs,Urban Perimeter,Very upscale,50021.0
4389406.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.34207034111023,Barack Obama,Tom Harkin,Female,White,25-29,Independent,Moderate,"$75,000-$99,999",College graduate,No,Somewhat disapprove,Yes,Continue George W. Bush's policies,Both of them,Somewhat support,"Yes, for Barack Obama",Only Barack Obama,Somewhat disapprove,The economy,Poor,Very worried,No,Shares my values,One of several important factors,Protestant,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Support,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Protestant/Other Christian,No,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,White Protestant evangelical,Suburbs,Suburbs,4.0,Central,Midwest,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,50263.0
4389404.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.79424774646759,Barack Obama,Tom Harkin,Female,White,50-59,Democrat,Liberal,"$200,000 or more",College graduate,No,Strongly disapprove,,Take the country in a different direction,Only Barack Obama,Somewhat oppose,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,None,Sometime in September,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Not important,Not a factor,None,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,None,No,All others,All others,,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50265.0
4389399.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.79424774646759,Barack Obama,Tom Harkin,Female,White,50-59,Democrat,Moderate,"Under $15,000",Did not complete high school,No,Strongly disapprove,No,Continue George W. Bush's policies,Neither of them,Strongly support,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The economy,Poor,Somewhat worried,No,Cares about people like me,Not a factor at all,Catholic,Earlier in October,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did not,Catholic,Yes,All others,All others,All others,"Cities 10,000-50,000",Small Cities/Rural,4.0,Central,Midwest,Low Density Rural,Rural,Rural,Upscale,50036.0
4389395.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.76025879383087,Barack Obama,Tom Harkin,Female,White,75 or over,Republican,Conservative,"$50,000-$74,999",High school graduate,No,Strongly approve,No,Continue George W. Bush's policies,Only Barack Obama,Omit,"Yes, for John McCain",Only Barack Obama,Strongly approve,The war in Iraq,Poor,Very worried,No,Omit,One of several important factors,None,Before that,Only John McCain,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Omit,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Important,Factor,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,None,No,All others,All others,All others,"Cities 50,000-500,000","Cities over 50,000",4.0,Central,Midwest,Suburb,Urban,Urban Core,Very upscale,50010.0
4389392.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.306107759475708,Barack Obama,Tom Harkin,Female,White,65-74,Democrat,Liberal,"Under $15,000",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Somewhat support,"No, I was not contacted",Only Barack Obama,Strongly disapprove,Omit,Poor,Very worried,No,Shares my values,Not a factor at all,Protestant,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,Protestant/Other Christian,Yes,All others,All others,White Protestant non evangelical,"Cities 10,000-50,000",Small Cities/Rural,4.0,Central,Midwest,Low Density Rural,Rural,Rural,Upscale,50036.0
4389391.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.306107759475708,Barack Obama,Tom Harkin,Female,White,65-74,Independent,,"$15,000-$29,999",High school graduate,No,Strongly disapprove,No,Take the country in a different direction,Only Barack Obama,Somewhat oppose,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,Omit,Both of them,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Oppose,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Omit,Omit,Omit,John McCain did,Barack Obama did,Catholic,Yes,All others,All others,All others,Rural,Small Cities/Rural,3.0,Central,Midwest,Low Density Rural,Rural,Rural,Very downscale,50163.0
4389390.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.306107759475708,Barack Obama,Tom Harkin,Female,White,65-74,Democrat,Liberal,"$75,000-$99,999",High school graduate,No,Strongly disapprove,No,Continue George W. Bush's policies,Only Barack Obama,Somewhat support,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,Omit,Omit,None,Before that,Only John McCain,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Support,No college degree,High school graduate or less,White no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Omit,Omit,None,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,None,No,All others,All others,All others,Suburbs,Suburbs,3.0,Central,Midwest,Suburb,70s Suburbs,Urban Perimeter,Very upscale,50009.0
4389385.0, Iowa,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.897123873233795,Barack Obama,Tom Harkin,Female,White,50-59,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,Strongly disapprove,No,Continue George W. Bush's policies,Both of them,Somewhat support,"Yes, for both Obama and McCain",Both of them,Somewhat disapprove,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Catholic,Sometime in September,Only John McCain,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Support,College graduate,More than High school graduate,White college degree,John McCain does,Barack Obama does,John McCain did,Barack Obama did,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,John McCain is,Barack Obama is,Disapprove,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did not,Catholic,No,All others,All others,All others,Rural,Small Cities/Rural,5.0,Central,Midwest,Extremely Low Density Rural,Rural,Rural,Very downscale,50213.0
