ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSRI08,SENRI08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ISSUE08,NECWORRY,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4423742.0,Rhode Island,33.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.35188162326813,Barack Obama,Jack Reed,Male,Hispanic/Latino,65-74,Democrat,Moderate,"Under $15,000",High school graduate,Yes,Strongly disapprove,Health care,Omit,,Earlier in October,Disapprove,Non black male,Latino men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Omit,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Sometime last week or earlier,Earlier in October,In the last month or before that,Non-white,No,Suburbs,Suburbs,2.0,Rural/Rest of State,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2852.0
4423668.0,Rhode Island,33.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.35188162326813,Barack Obama,Jack Reed,Male,Hispanic/Latino,65-74,Democrat,Liberal,"Under $15,000",,Yes,Strongly disapprove,Omit,Very worried,Catholic,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,,Suburbs,Suburbs,2.0,Rural/Rest of State,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2852.0
4411592.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.772799909114838,Barack Obama,Jack Reed,Male,Hispanic/Latino,50-59,Democrat,Moderate,"$15,000-$29,999",Did not complete high school,,Strongly disapprove,The economy,Somewhat worried,Catholic,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4411847.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.673492848873138,Barack Obama,Jack Reed,Female,Hispanic/Latino,45-49,Democrat,,,High school graduate,Yes,,,Not too worried,,Sometime in September,,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Not worried,Democrat,Non black Democrat,Latino Democrats,All others,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4411805.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.772799909114838,Barack Obama,Jack Reed,Male,Hispanic/Latino,45-49,Republican,,,High school graduate,Yes,,,Very worried,,Before that,,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,All others,Hispanic/Latino,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4411633.0,Rhode Island,12.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.995595455169678,Barack Obama,Jack Reed,Male,Hispanic/Latino,40-44,Democrat,,,Did not complete high school,Yes,,,Very worried,,Before that,,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2910.0
4411419.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.735737800598145,Barack Obama,Jack Reed,Female,Hispanic/Latino,40-44,Democrat,Conservative,"$15,000-$29,999",High school graduate,Yes,Strongly disapprove,The economy,Very worried,Catholic,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4410892.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.772799909114838,Barack Obama,Jack Reed,Male,Hispanic/Latino,40-44,Democrat,,,College graduate,Yes,,,Somewhat worried,,Before that,,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,,,,,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4415437.0,Rhode Island,5.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.735737800598145,Barack Obama,Jack Reed,Female,Hispanic/Latino,30-39,Republican,Liberal,"$30,000-$49,999",Did not complete high school,Yes,Strongly disapprove,The economy,Very worried,None,Just today,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Republican,Non black non Democrat,All Republicans,All others,Hispanic/Latino,None,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Non-white,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2863.0
4419796.0,Rhode Island,30.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.81555712223053,Barack Obama,Jack Reed,Female,Hispanic/Latino,30-39,Democrat,Liberal,"$200,000 or more",Postgraduate study,Yes,,The war in Iraq,,,Before that,,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Sometime last week or earlier,Before that,In the last month or before that,,No,Suburbs,Suburbs,2.0,Rural/Rest of State,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2882.0
4412386.0,Rhode Island,12.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.947848498821259,Barack Obama,Jack Reed,Female,Hispanic/Latino,30-39,Democrat,,,College graduate,Yes,,,Very worried,,Before that,,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,,,,,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2910.0
4411889.0,Rhode Island,47.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.735737800598145,Barack Obama,Jack Reed,Female,Hispanic/Latino,30-39,Democrat,Moderate,"$15,000-$29,999",Some college or associate degree,Yes,Strongly disapprove,The economy,Very worried,Other Christian,Earlier in October,Disapprove,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,Urban,Urban Core,Downscale,2908.0
4411004.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.958716213703156,Barack Obama,Jack Reed,Female,Hispanic/Latino,18-24,Democrat,Moderate,"Under $15,000",High school graduate,Yes,Strongly disapprove,Terrorism,Very worried,Protestant,Just today,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Protestant/Other Christian,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4410946.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02789855003357,Barack Obama,Jack Reed,Male,Hispanic/Latino,25-29,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,Yes,Somewhat disapprove,The economy,Somewhat worried,Catholic,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Black,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4415610.0,Rhode Island,5.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.958716213703156,Barack Obama,Jack Reed,Female,Hispanic/Latino,25-29,Democrat,Moderate,"$30,000-$49,999",High school graduate,Yes,Strongly disapprove,The economy,Not too worried,Other Christian,Sometime in September,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2863.0
4415609.0,Rhode Island,5.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.958716213703156,Barack Obama,Jack Reed,Female,Hispanic/Latino,25-29,Democrat,Moderate,"$30,000-$49,999",High school graduate,Yes,Strongly disapprove,The economy,Not too worried,Other Christian,Sometime in September,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2863.0
4412630.0,Rhode Island,5.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00701057910919,Barack Obama,Jack Reed,Male,Hispanic/Latino,18-24,Democrat,Liberal,"$15,000-$29,999",High school graduate,Yes,Strongly disapprove,Health care,Very worried,None,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,None,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,Suburbs,Suburbs,1.0,Providence and Other Industrial Towns,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,2863.0
4411766.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.958716213703156,Barack Obama,Jack Reed,Female,Hispanic/Latino,25-29,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,Yes,Somewhat disapprove,The economy,Very worried,Something else,Before that,Disapprove,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,Something else,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4412532.0,Rhode Island,62.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.54314184188843,Barack Obama,Jack Reed,Male,Black,60-64,Democrat,Moderate,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,The economy,Very worried,Catholic,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,Suburb,Urban,Urban Core,Upscale,2886.0
4412300.0,Rhode Island,12.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.55229413509369,Barack Obama,Jack Reed,Female,Black,65-74,Democrat,,,Some college or associate degree,No,,,Very worried,,Sometime last week,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2910.0
4411481.0,Rhode Island,51.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.788829684257507,Barack Obama,Jack Reed,Male,Black,50-59,Democrat,Moderate,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,The economy,Very worried,Something else,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,Something else,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Providence and Other Industrial Towns,East,High Density Urban,Urban,Urban Core,Downscale,2905.0
4413421.0,Rhode Island,12.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.967509269714355,Barack Obama,Jack Reed,Female,Black,50-59,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,The economy,Very worried,Other Christian,Sometime in September,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2910.0
4411722.0,Rhode Island,12.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.967509269714355,Barack Obama,Jack Reed,Female,Black,45-49,Democrat,,,High school graduate,No,,,Very worried,,Sometime in September,,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2910.0
4411835.0,Rhode Island,12.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01624655723572,Barack Obama,Jack Reed,Male,Black,50-59,Democrat,Moderate,"$100,000-$149,999",College graduate,No,Strongly disapprove,The economy,Very worried,Catholic,Before that,Disapprove,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",2.0,Warwick and Middle Class Suburbs,East,High Density Urban,Urban,Urban Core,Downscale,2910.0
