ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSAL08,SENAL08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4414020.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.934024274349213,Barack Obama,Vivian Figures,Female,Black,50-59,Democrat,Conservative,"$50,000-$74,999",College graduate,No,Strongly disapprove,Yes,Health care,Not at all worried,Before that,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414083.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.885418653488159,Barack Obama,Vivian Figures,Male,Hispanic/Latino,18-24,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,Yes,Strongly disapprove,No,Energy policy,Somewhat worried,Before that,Disapprove,Non black male,Latino men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414141.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.885418653488159,Barack Obama,Vivian Figures,Male,Black,18-24,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Somewhat disapprove,No,The economy,Somewhat worried,In the last three days,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414204.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.443233400583267,Barack Obama,Vivian Figures,Male,White,18-24,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414283.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.885418653488159,Barack Obama,Vivian Figures,Male,Black,18-24,Democrat,Liberal,"Under $15,000",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414354.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.929484069347382,John McCain,Jeff Sessions,Male,White,18-24,Republican,Moderate,"$200,000 or more",Some college or associate degree,No,Somewhat disapprove,No,The economy,Somewhat worried,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414499.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.854574799537659,John McCain,Jeff Sessions,Female,Hispanic/Latino,18-24,Republican,Moderate,"Under $15,000",Some college or associate degree,Yes,Strongly approve,Yes,Health care,Very worried,Sometime in September,Approve,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Republican,Non black non Democrat,All Republicans,All others,,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414576.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.929484069347382,John McCain,Jeff Sessions,Male,White,18-24,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Yes,The economy,Somewhat worried,Before that,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414666.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.913326323032379,John McCain,Jeff Sessions,Female,White,18-24,Republican,Conservative,"$100,000-$149,999",High school graduate,No,Somewhat disapprove,No,The economy,Somewhat worried,Before that,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414729.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.929484069347382,John McCain,Jeff Sessions,Male,White,18-24,Republican,Moderate,"$30,000-$49,999",College graduate,No,Strongly approve,Yes,The economy,Somewhat worried,Before that,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414825.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.626996099948883,Barack Obama,Jeff Sessions,Male,White,75 or over,Democrat,,,Some college or associate degree,No,,,,Very worried,Sometime last week,,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,,,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414888.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.880026936531067,Barack Obama,Jeff Sessions,Male,Black,18-24,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Yes,The economy,Somewhat worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414977.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.880026936531067,Barack Obama,Jeff Sessions,Male,Black,18-24,Something else,Moderate,"$100,000-$149,999",,No,Strongly disapprove,Yes,The economy,Somewhat worried,Sometime in September,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4414978.0,Alabama,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.880026936531067,Barack Obama,Jeff Sessions,Male,Black,18-24,Something else,Moderate,"$100,000-$149,999",,No,Strongly disapprove,Yes,The economy,Somewhat worried,Sometime in September,Disapprove,Black male,Black men,Non white male,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Black 18-29,Black 18-29,Black 18-29,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Worried,Independent/Something else,Black non Democrat,Black Independents,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436482.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.736663401126862,John McCain,Did not vote,Female,White,18-24,Republican,Conservative,"$100,000-$149,999",Some college or associate degree,No,Somewhat approve,Yes,The economy,Very worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436546.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.43592756986618,Barack Obama,Did not vote,Male,White,18-24,Democrat,Liberal,"$200,000 or more",High school graduate,No,Strongly disapprove,No,The war in Iraq,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436593.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.431564897298813,Barack Obama,Jeff Sessions,Male,White,18-24,Independent,,,High school graduate,No,,,,Somewhat worried,Before that,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,,,,,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436668.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.929484069347382,John McCain,Jeff Sessions,Male,White,18-24,Republican,Moderate,"$200,000 or more",College graduate,No,Somewhat disapprove,No,Health care,Very worried,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436737.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.913326323032379,John McCain,Jeff Sessions,Female,White,18-24,Something else,Moderate,"$75,000-$99,999",High school graduate,No,Somewhat approve,Yes,The economy,Very worried,Earlier in October,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436799.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.929484069347382,John McCain,Jeff Sessions,Male,White,18-24,Republican,Moderate,"$100,000-$149,999",Postgraduate study,No,Somewhat approve,Yes,The economy,Somewhat worried,Sometime last week,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436897.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.913326323032379,John McCain,Jeff Sessions,Female,White,25-29,Republican,Conservative,"$15,000-$29,999",Postgraduate study,No,Strongly approve,Yes,Health care,Very worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
4436961.0,Alabama,77.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.929484069347382,John McCain,Jeff Sessions,Male,White,18-24,Republican,Conservative,"$150,000-$199,999",Some college or associate degree,No,Strongly approve,Yes,The economy,Very worried,Before that,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",7.0,North central,South,Suburb,Urban,Urban Core,Very downscale,35401.0
