ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOK08,SENOK08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4420468.0,Oklahoma,21.0,National questionnaire,Version 3,Call 1,Not complete,Election day exit poll,0.977313458919525,John McCain,,Female,White,65-74,Republican,,,Did not complete high school,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,Suburbs,Suburbs,3.0,Tulsa area,South,Suburb,70s Suburbs,Urban Perimeter,Downscale,74066.0
4422189.0,Oklahoma,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09370923042297,John McCain,,Male,White,60-64,Independent,Moderate,"$75,000-$99,999",Some college or associate degree,No,Somewhat approve,Yes,Terrorism,Very worried,Before that,Approve,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,74053.0
4421897.0,Oklahoma,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.732616126537323,John McCain,,Female,White,30-39,Republican,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Health care,Somewhat worried,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,74053.0
4418974.0,Oklahoma,11.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.46536946296692,John McCain,,Male,Hispanic/Latino,50-59,Republican,,,High school graduate,Yes,,,,Very worried,Before that,,Non black male,Latino men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Republican,Non black non Democrat,All Republicans,All others,Hispanic/Latino,,Sometime last week or earlier,Before that,In the last month or before that,,,Suburbs,Suburbs,4.0,Oklahoma City area,South,Suburb,70s Suburbs,Urban Perimeter,Upscale,73160.0
4422882.0,Oklahoma,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.702714323997498,John McCain,,Female,White,18-24,Republican,Conservative,"$75,000-$99,999",High school graduate,No,Strongly approve,Yes,The economy,Very worried,Before that,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,74053.0
4422621.0,Oklahoma,48.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.391905337572098,Barack Obama,Did not vote,Female,Black,30-39,Democrat,Moderate,"Under $15,000",High school graduate,,,,,,,,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,No,,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73135.0
4422027.0,Oklahoma,80.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.842451214790344,Barack Obama,Did not vote,Male,White,30-39,Republican,Moderate,"$100,000-$149,999",Postgraduate study,No,Somewhat disapprove,No,The economy,Somewhat worried,Earlier in October,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,74429.0
4421808.0,Oklahoma,43.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.858051240444183,Barack Obama,Did not vote,Male,White,18-24,Republican,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,No,The economy,Very worried,In the last three days,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Yes,All others,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73131.0
4418686.0,Oklahoma,64.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.539990544319153,Barack Obama,Andrew Rice,Female,White,30-39,Independent,Liberal,"$30,000-$49,999",High school graduate,No,Strongly disapprove,No,The economy,Somewhat worried,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Tulsa area,South,Suburb,Urban,Urban Core,Very downscale,74110.0
4421001.0,Oklahoma,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.531280994415283,Barack Obama,Andrew Rice,Female,White,45-49,Republican,Liberal,"$50,000-$74,999",Some college or associate degree,No,Somewhat approve,Yes,The war in Iraq,Somewhat worried,In the last three days,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,74053.0
4413998.0,Oklahoma,37.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.10286223888397,Barack Obama,Andrew Rice,Male,Other,40-44,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black male,All other races,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,All other,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,American Indian,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,East,South,Low Density Rural,Rural,Rural,Upscale,74403.0
4423291.0,Oklahoma,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.50759589672089,Barack Obama,Andrew Rice,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",High school graduate,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,2.0,East,South,Extremely Low Density Rural,Rural,Rural,Downscale,74501.0
4420951.0,Oklahoma,27.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3858140707016,Barack Obama,Andrew Rice,Female,Other,18-24,Democrat,Liberal,"$15,000-$29,999",High school graduate,No,Strongly disapprove,Yes,Energy policy,Somewhat worried,Just today,Disapprove,Non black female,All other races,Non white female,Non white,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,All other,Other,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,American Indian,All others,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,Rural,Small Cities/Rural,3.0,West,South,Low Density Rural,Rural,Rural,Upscale,73750.0
4421511.0,Oklahoma,43.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.948542594909668,Barack Obama,Andrew Rice,Female,White,18-24,Democrat,Liberal,"$100,000-$149,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Somewhat worried,Before that,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73131.0
4413900.0,Oklahoma,37.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.887320995330811,Barack Obama,Andrew Rice,Male,Black,40-44,Democrat,Liberal,"$50,000-$74,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,East,South,Low Density Rural,Rural,Rural,Upscale,74403.0
4420886.0,Oklahoma,48.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.500994861125946,Barack Obama,Andrew Rice,Female,Black,30-39,Democrat,Moderate,"$50,000-$74,999",College graduate,No,,Yes,The economy,,Sometime in September,,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73135.0
4423208.0,Oklahoma,48.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.500994861125946,Barack Obama,Andrew Rice,Female,Hispanic/Latino,30-39,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,Yes,,,,,,,Non black female,Latino women,Non white female,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,Democrat,Non black Democrat,Latino Democrats,All others,Black,,,,,No,,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73135.0
4423184.0,Oklahoma,53.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.29368543624878,Barack Obama,Andrew Rice,,Black,60-64,Democrat,,,High school graduate,No,,,,Somewhat worried,Before that,,,,,Non white,45-65,60+,45+,60+,50-64,18-64,Black 60+,Black 60+,Black 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,,Sometime last week or earlier,Before that,In the last month or before that,,,"Cities 10,000-50,000",Small Cities/Rural,2.0,East,South,Extremely Low Density Rural,Rural,Rural,Downscale,74501.0
4420762.0,Oklahoma,75.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.539990544319153,Barack Obama,Andrew Rice,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,No,Health care,Very worried,Sometime last week,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,All others,Suburbs,Suburbs,1.0,Tulsa area,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,74033.0
4423075.0,Oklahoma,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03730881214142,Barack Obama,Andrew Rice,Female,,50-59,Democrat,Moderate,"$100,000-$149,999",College graduate,No,Strongly disapprove,No,The economy,Very worried,Earlier in October,Disapprove,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,College graduate,More than High school graduate,,100k or more,50k or more,100 thousand or more,,Worried,Democrat,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,"Cities 10,000-50,000",Small Cities/Rural,2.0,East,South,Extremely Low Density Rural,Rural,Rural,Downscale,74501.0
4424718.0,Oklahoma,53.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.50759589672089,Barack Obama,Andrew Rice,Female,White,75 or over,Democrat,Conservative,"$30,000-$49,999",High school graduate,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,"Cities 10,000-50,000",Small Cities/Rural,2.0,East,South,Extremely Low Density Rural,Rural,Rural,Downscale,74501.0
4423066.0,Oklahoma,48.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.646770536899567,Barack Obama,Andrew Rice,Female,Black,65-74,Democrat,Conservative,,Some college or associate degree,No,,,,,,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,,,,,,,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73135.0
4420714.0,Oklahoma,48.0,National questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.57935094833374,Barack Obama,Andrew Rice,Male,Black,50-59,Democrat,,,Some college or associate degree,No,,No,,,Sometime in September,,Black male,Black men,Non white male,Non white,45-65,30-59,45+,45-59,50-64,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,"Cities over 500,000","Cities over 50,000",5.0,Oklahoma City area,South,Suburb,Urban,Urban Core,Very upscale,73135.0
4418343.0,Oklahoma,64.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.539990544319153,Barack Obama,Andrew Rice,Female,White,50-59,Democrat,Liberal,"$100,000-$149,999",Postgraduate study,No,Strongly disapprove,Yes,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",1.0,Tulsa area,South,Suburb,Urban,Urban Core,Very downscale,74110.0
4422978.0,Oklahoma,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.614373922348022,Barack Obama,Andrew Rice,Male,White,40-44,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,No,The war in Iraq,Not too worried,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,1.0,Tulsa area,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Upscale,74053.0
4419592.0,Oklahoma,21.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.548990368843079,Barack Obama,Andrew Rice,Female,White,30-39,Independent,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,The economy,Very worried,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Suburbs,Suburbs,3.0,Tulsa area,South,Suburb,70s Suburbs,Urban Perimeter,Downscale,74066.0
4422975.0,Oklahoma,69.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,0.700838804244995,Barack Obama,Andrew Rice,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",,No,,No,,,Before that,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,,All others,"Cities 50,000-500,000","Cities over 50,000",1.0,Tulsa area,South,Suburb,Urban,Urban Core,Downscale,74108.0
