ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSHI08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,FAVOBAM,ISSUE08,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,FAVOBAM2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEHI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4440374.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.953004896640778,Barack Obama,Female,White,18-24,Independent,Liberal,"$15,000-$29,999",College graduate,No,Strongly disapprove,No,Strongly favorable,Omit,Somewhat worried,No,Omit,One of several important factors,Just today,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Important,Factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440177.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0777028799057,Barack Obama,Male,White,45-49,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,Somewhat favorable,Energy policy,Very worried,No,Can bring about needed change,One of several important factors,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Favorable,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440112.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02499842643738,Barack Obama,Female,White,30-39,Independent,Liberal,"Under $15,000",College graduate,No,Strongly disapprove,No,Somewhat favorable,The war in Iraq,Not too worried,No,Can bring about needed change,A minor factor,Earlier in October,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4441220.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.881892263889313,Barack Obama,Male,,50-59,Democrat,Liberal,"$15,000-$29,999",Some college or associate degree,No,Strongly disapprove,,Strongly favorable,Energy policy,Very worried,No,Shares my values,The single most important factor,Before that,Disapprove,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,Favorable,No college degree,More than High school graduate,,Less than 100k,Less than 50k,Less than 50 thousand,,Worried,Democrat,,,,,,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,,,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440040.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02499842643738,Barack Obama,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Strongly favorable,The economy,Somewhat worried,No,Shares my values,The single most important factor,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440994.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00200748443604,Barack Obama,Male,White,25-29,Independent,Liberal,,College graduate,No,Strongly disapprove,No,Strongly favorable,Omit,Not too worried,No,Omit,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Favorable,College graduate,More than High school graduate,White college degree,,,,,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440320.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.17387759685516,John McCain,Male,Hispanic/Latino,30-39,Republican,Conservative,"$30,000-$49,999",High school graduate,Yes,Somewhat approve,Yes,Somewhat unfavorable,The war in Iraq,Not too worried,Yes,Omit,Not a factor at all,Before that,Approve,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,Latino 30-44,Latino 30-44,Unfavorable,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not worried,Republican,Non black non Democrat,All Republicans,All others,Other,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440238.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09142708778381,John McCain,Male,White,18-24,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Somewhat approve,Yes,Strongly unfavorable,Energy policy,Not too worried,No,Shares my values,Not a factor at all,Before that,Approve,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Unfavorable,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4440764.0,Hawaii,35.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.20343089103699,Other,Female,White,40-44,Something else,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,Somewhat favorable,Health care,Somewhat worried,No,Shares my values,Not a factor at all,Just today,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,Rural,Small Cities/Rural,2.0,Neighboring Islands,West,Extremely Low Density Rural,Rural,Rural,Downscale,96754.0
4438414.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01674830913544,Barack Obama,Female,White,25-29,Democrat,Liberal,"$15,000-$29,999",Postgraduate study,No,Strongly disapprove,No,Strongly favorable,The economy,Somewhat worried,No,Can bring about needed change,One of several important factors,Sometime in September,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4439506.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14978694915771,Barack Obama,Male,White,30-39,Independent,Moderate,"$200,000 or more",Postgraduate study,No,Strongly disapprove,No,Strongly favorable,The economy,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Favorable,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4439432.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01674830913544,Barack Obama,Female,White,25-29,Something else,Moderate,"Under $15,000",Some college or associate degree,No,Strongly disapprove,No,Strongly favorable,The economy,Somewhat worried,No,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Favorable,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4439289.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0935572385788,Barack Obama,Female,Asian,50-59,Independent,Moderate,"$50,000-$74,999",Postgraduate study,No,Omit,No,Strongly favorable,Energy policy,Very worried,No,Can bring about needed change,One of several important factors,Before that,Omit,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,Favorable,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Asian,All others,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4438139.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36006760597229,Barack Obama,Male,White,60-64,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,No,Strongly favorable,The war in Iraq,Very worried,No,Shares my values,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4439167.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01674830913544,Barack Obama,Female,White,25-29,Republican,Liberal,"$50,000-$74,999",Postgraduate study,No,Somewhat approve,No,Strongly favorable,The war in Iraq,Somewhat worried,No,Can bring about needed change,Not a factor at all,Sometime last week,Approve,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Favorable,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4439028.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14978694915771,Barack Obama,Male,Other,30-39,Independent,Liberal,"$75,000-$99,999",Postgraduate study,No,Strongly disapprove,No,Strongly favorable,Energy policy,Somewhat worried,No,Cares about people like me,The single most important factor,Just today,Disapprove,Non black male,All other races,Non white male,Non white,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,All other,Other,Favorable,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Native Hawaiian,All others,Important,Factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4438965.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01674830913544,Barack Obama,Female,Other,25-29,Independent,Moderate,"$30,000-$49,999",High school graduate,No,Somewhat disapprove,No,Strongly favorable,The economy,Very worried,No,Can bring about needed change,One of several important factors,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,All other,Other,Favorable,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Independent/Something else,Non black non Democrat,All other,All others,Native Hawaiian,All others,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4438814.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.14978694915771,Barack Obama,Male,White,45-49,Democrat,,,College graduate,No,,No,,,Very worried,,Shares my values,,Before that,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,,College graduate,More than High school graduate,White college degree,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4438666.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0935572385788,Barack Obama,Female,Other,50-59,Democrat,Conservative,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,No,Strongly favorable,The war in Iraq,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,Favorable,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Native Hawaiian,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4438585.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.36006760597229,Barack Obama,Male,White,60-64,Republican,Conservative,"$100,000-$149,999",Postgraduate study,No,Somewhat disapprove,No,Somewhat favorable,The economy,Somewhat worried,No,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Favorable,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
4438508.0,Hawaii,34.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0935572385788,Barack Obama,Female,Other,40-44,Democrat,Moderate,"Under $15,000",High school graduate,No,Strongly disapprove,No,Strongly favorable,The war in Iraq,Somewhat worried,No,Cares about people like me,One of several important factors,Sometime in September,Disapprove,Non black female,All other races,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,All other,Other,Favorable,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,All other,All others,Native Hawaiian,All others,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,All others,Suburbs,Suburbs,2.0,Honolulu Couty,West,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,96734.0
