ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSKY08,SENKY08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BAILOUT,BRNAGAIN,HILLPSPRT,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BAILOUT2,EDUCCOLL,EDUCHS,EDUCWHITE,HILLDEM,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4449022.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.856625914573669,Barack Obama,Bruce Lunsford,Male,White,30-39,Democrat,Liberal,"$50,000-$74,999",High school graduate,No,Somewhat disapprove,Somewhat support,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4426359.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.739433586597443,Barack Obama,Bruce Lunsford,Female,White,50-59,Democrat,,,Postgraduate study,No,,,No,,,,Very worried,,Can bring about needed change,,Sometime in September,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,College graduate,More than High school graduate,White college degree,,,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427738.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Not complete,Election day exit poll,0.853624045848846,Barack Obama,Bruce Lunsford,Female,White,75 or over,Democrat,,,Some college or associate degree,No,,,Yes,,,,Very worried,,Can bring about needed change,,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,More than High school graduate,White no college degree,,,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4448679.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.856625914573669,Barack Obama,Bruce Lunsford,Male,White,30-39,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Somewhat oppose,No,Barack Obama,The economy,Poor,Very worried,No,Can bring about needed change,One of several important factors,Before that,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427669.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.780071437358856,Barack Obama,Bruce Lunsford,Female,White,18-24,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Somewhat oppose,Yes,Hillary Clinton,Omit,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Oppose,No college degree,More than High school graduate,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4448580.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.903704404830933,Barack Obama,Bruce Lunsford,Male,White,18-24,Republican,Conservative,"$15,000-$29,999",High school graduate,No,Somewhat disapprove,Somewhat oppose,No,Barack Obama,The economy,Poor,Somewhat worried,Yes,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Oppose,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4448530.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.739433586597443,Barack Obama,Bruce Lunsford,Female,White,45-49,Republican,Moderate,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,Strongly oppose,Yes,Barack Obama,The war in Iraq,Good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,Oppose,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427515.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.856625914573669,Barack Obama,Bruce Lunsford,Male,White,40-44,Democrat,Moderate,"$50,000-$74,999",Some college or associate degree,No,Somewhat disapprove,Somewhat support,No,Did not care who won,The economy,Not so good,Somewhat worried,No,Has the right experience,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,More than High school graduate,White no college degree,Democrats who did not care who won,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4404075.0,Kentucky,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.780071437358856,Barack Obama,Bruce Lunsford,Female,White,18-24,Independent,Moderate,"Under $15,000",High school graduate,No,Strongly disapprove,Strongly oppose,No,Barack Obama,The economy,Poor,Very worried,Yes,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Oppose,No college degree,High school graduate or less,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4449265.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.988914370536804,Barack Obama,Bruce Lunsford,Male,White,65-74,Democrat,Moderate,"$50,000-$74,999",College graduate,No,Strongly disapprove,Somewhat oppose,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,Oppose,College graduate,More than High school graduate,White college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4448359.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.853624045848846,Barack Obama,Bruce Lunsford,Female,White,60-64,Democrat,,"$200,000 or more",High school graduate,No,Strongly disapprove,Strongly oppose,Yes,Another candidate,The economy,Poor,Very worried,No,Cares about people like me,One of several important factors,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,Oppose,No college degree,High school graduate or less,White no college degree,Democrats for another candidate,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427349.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.739433586597443,Barack Obama,Bruce Lunsford,Female,White,40-44,Democrat,Moderate,"Under $15,000",High school graduate,No,Strongly disapprove,Somewhat support,Yes,Barack Obama,Health care,Not so good,Very worried,No,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,White 30-44,White 30-44,Support,No college degree,High school graduate or less,White no college degree,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4403753.0,Kentucky,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.903704404830933,Barack Obama,Bruce Lunsford,Male,White,25-29,Republican,Moderate,"$30,000-$49,999",Postgraduate study,No,Strongly disapprove,Somewhat oppose,No,Did not care who won,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Earlier in October,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Oppose,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4448914.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Not complete,Election day exit poll,0.853624045848846,Barack Obama,Bruce Lunsford,Female,White,75 or over,Democrat,,,High school graduate,,,,Yes,,,,Somewhat worried,,Can bring about needed change,,Before that,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,,No college degree,High school graduate or less,White no college degree,,,,,,,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,,,Sometime last week or earlier,Before that,In the last month or before that,,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4426171.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.903704404830933,Barack Obama,Bruce Lunsford,Male,White,18-24,Democrat,Liberal,"$75,000-$99,999",Some college or associate degree,No,Somewhat disapprove,Somewhat support,Yes,Barack Obama,The economy,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Before that,Disapprove,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Support,No college degree,More than High school graduate,White no college degree,Democrats for Obama,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4403460.0,Kentucky,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.739433586597443,Barack Obama,Bruce Lunsford,Female,White,30-39,Republican,Moderate,"$15,000-$29,999",Some college or associate degree,No,Somewhat disapprove,Somewhat oppose,Yes,Barack Obama,The economy,Not so good,Very worried,No,Cares about people like me,One of several important factors,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Important,Factor,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4403345.0,Kentucky,100.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.780071437358856,Barack Obama,Bruce Lunsford,Female,White,25-29,Republican,Moderate,"$15,000-$29,999",College graduate,No,Strongly disapprove,Somewhat support,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,Support,College graduate,More than High school graduate,White college degree,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427224.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.661021709442139,Barack Obama,Bruce Lunsford,Female,,50-59,Something else,Moderate,"Under $15,000",High school graduate,No,Strongly disapprove,Strongly oppose,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Omit,Not a factor at all,Sometime last week,Disapprove,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,Oppose,No college degree,High school graduate or less,,Non Democrats,Less than 100k,Less than 50k,Less than 50 thousand,,Not so good/Poor,Worried,Independent/Something else,,,,,,Not important,Not a factor,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427818.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.739433586597443,Barack Obama,Bruce Lunsford,Female,White,30-39,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,Somewhat oppose,Yes,Hillary Clinton,Omit,Poor,Somewhat worried,Yes,Can bring about needed change,Not a factor at all,Sometime in September,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,No college degree,More than High school graduate,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,Yes,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4426121.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.739433586597443,Barack Obama,Bruce Lunsford,Female,White,30-39,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,No,Somewhat disapprove,Somewhat oppose,Yes,Hillary Clinton,The economy,Poor,Very worried,No,Can bring about needed change,A minor factor,Before that,Disapprove,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,Oppose,College graduate,More than High school graduate,White college degree,Democrats for Clinton,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Not important,Factor,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4448729.0,Kentucky,100.0,State questionnaire,Version 1,Call 3,Complete,Election day exit poll,0.780071437358856,Barack Obama,Bruce Lunsford,Female,White,18-24,Democrat,Moderate,"Under $15,000",High school graduate,No,Strongly disapprove,Somewhat support,No,Hillary Clinton,The war in Iraq,Poor,Very worried,No,Can bring about needed change,A minor factor,Just today,Disapprove,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Support,No college degree,High school graduate or less,White no college degree,Democrats for Clinton,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Yes,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
4427436.0,Kentucky,100.0,State questionnaire,Version 1,Call 2,Complete,Election day exit poll,0.903704404830933,Barack Obama,Bruce Lunsford,Male,White,18-24,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,Omit,Somewhat support,No,Barack Obama,The war in Iraq,Not so good,Somewhat worried,No,Can bring about needed change,Not a factor at all,Before that,Omit,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,Support,No college degree,More than High school graduate,White no college degree,Democrats for Obama,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,5.0,South-central,South,Low Density Rural,Rural,Rural,Very downscale,40769.0
