ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNJ08,SENNJ08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,ECONHARDSHIP,ISSUE08,NEC,NECWORRY,NEWVOTER,QLT08,RACEISS4,RELIGN8,TIME08,UNION4,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ECONHARDSHIP2,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,UNIONHH,UNIONMEM,UNIONVOT,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400435.0,New Jersey,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,30-39,Independent,Conservative,"$75,000-$99,999",College graduate,,,,The economy,Not so good,,No,Shares my values,Not a factor at all,,Before that,,,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,7.0,Northern Cities,East,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7901.0
4400434.0,New Jersey,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Independent,Moderate,,Postgraduate study,,,,Terrorism,Not so good,,No,Has the right experience,Not a factor at all,,Before that,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,,College graduate,More than High school graduate,White college degree,,,,,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,Suburbs,Suburbs,9.0,Northern Cities,East,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,7631.0
4400433.0,New Jersey,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,18-24,Something else,Moderate,,High school graduate,,,,The economy,Poor,,No,Has the right experience,Not a factor at all,,Before that,,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,18-24,18-64,Non black 18-29,White 18-29,White 18-29,,No college degree,High school graduate or less,White no college degree,,,,,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,,Suburbs,Suburbs,9.0,Northern Cities,East,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,7631.0
4406466.0,New Jersey,38.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.57309985160828,Barack Obama,,Female,Black,40-44,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,Strongly disapprove,A moderate hardship,The economy,Poor,Not too worried,No,Omit,The single most important factor,Other Christian,Sometime in September,No one does,Disapprove,Black female,Black women,Non white female,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,A hardship,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,No,No,No,Non-white,No,Suburbs,Suburbs,10.0,Northern Cities,East,Extremely High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,7111.0
4408730.0,New Jersey,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.535177648067474,Barack Obama,,Female,Asian,50-59,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Strongly disapprove,A severe hardship,The economy,Poor,Very worried,,Can bring about needed change,One of several important factors,Other Christian,In the last three days,No one does,Disapprove,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,A hardship,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Not so good/Poor,Worried,Democrat,Non black Democrat,All other,All others,Asian,Important,Factor,Protestant/Other Christian,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,No,No,No,Non-white,No,Suburbs,Suburbs,12.0,Central,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0
4408623.0,New Jersey,31.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,0.551808059215546,Barack Obama,,Female,White,30-39,Democrat,Conservative,"$75,000-$99,999",High school graduate,No,,,,,,,,,Other Christian,Sometime in September,No one does,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,Protestant/Other Christian,Sometime last week or earlier,Sometime in September,In the last month or before that,No,No,No,Protestant/Other Christian,No,"Cities 10,000-50,000",Small Cities/Rural,2.0,South,East,Suburb,Rural,Rural,Very downscale,8332.0
4408385.0,New Jersey,108.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.710609912872314,Barack Obama,,Male,Black,40-44,Democrat,,,High school graduate,No,,,,,Not too worried,Yes,Can bring about needed change,,,Sometime last week,,,Black male,Black men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Black 30-44,Black 30-44,Black 30-44,,No college degree,High school graduate or less,Non white no college degree,,,,,,Not worried,Democrat,Black Democrat,Black Democrats,All others,Black,,,,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,,,,,,Suburbs,Suburbs,8.0,Bergen/Passaic Counties,East,Extremely High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,7514.0
4406096.0,New Jersey,101.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.691993236541748,Barack Obama,,Female,White,65-74,,Moderate,"$15,000-$29,999",High school graduate,No,Strongly disapprove,A moderate hardship,The economy,Poor,Very worried,No,Cares about people like me,One of several important factors,Catholic,Sometime in September,No one does,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,A hardship,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,,,,,White,Important,Factor,Catholic,Sometime last week or earlier,Sometime in September,In the last month or before that,No,No,No,Catholic,Yes,Suburbs,Suburbs,3.0,South,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0
4408205.0,New Jersey,95.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.641493856906891,Barack Obama,,Male,White,45-49,Independent,Moderate,"$100,000-$149,999",College graduate,No,Strongly disapprove,A moderate hardship,The economy,Poor,Very worried,No,Cares about people like me,Not a factor at all,Something else,Before that,No one does,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,A hardship,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,Something else,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Something else,No,Suburbs,Suburbs,11.0,Northwest,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,7866.0
4405099.0,New Jersey,94.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.948323965072632,Barack Obama,,Female,Asian,60-64,Democrat,Liberal,"$150,000-$199,999",Postgraduate study,No,Strongly disapprove,No hardship at all,The economy,Not so good,Somewhat worried,No,Shares my values,Not a factor at all,Protestant,Before that,No one does,Disapprove,Non black female,All other races,Non white female,Non white,45-65,60+,45+,60+,50-64,18-64,Non black 60+,All other,Other,No hardship at all,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Not so good/Poor,Worried,Democrat,Non black Democrat,All other,All others,Asian,Not important,Not a factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Non-white,No,Suburbs,Suburbs,11.0,Northwest,East,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,7869.0
4406953.0,New Jersey,57.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.38060593605042,John McCain,,Male,White,30-39,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Omit,A moderate hardship,Omit,Not so good,Very worried,No,Omit,One of several important factors,Catholic,Before that,No one does,Omit,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A hardship,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,Important,Factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Catholic,No,Suburbs,Suburbs,9.0,Northern Cities,East,Suburb,60s Suburbs,Urban Perimeter,Upscale,7094.0
4406951.0,New Jersey,57.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.38060593605042,John McCain,,Male,White,30-39,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,No,Omit,A moderate hardship,Omit,Not so good,Very worried,No,Omit,One of several important factors,Catholic,Before that,No one does,Omit,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A hardship,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,Important,Factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Catholic,No,Suburbs,Suburbs,9.0,Northern Cities,East,Suburb,60s Suburbs,Urban Perimeter,Upscale,7094.0
4406220.0,New Jersey,57.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.25965893268585,John McCain,,Female,White,45-49,Democrat,Liberal,"$50,000-$74,999",College graduate,No,Somewhat approve,A severe hardship,The economy,Poor,Very worried,No,Shares my values,Not a factor at all,Catholic,Before that,No one does,Approve,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,A hardship,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Catholic,No,Suburbs,Suburbs,9.0,Northern Cities,East,Suburb,60s Suburbs,Urban Perimeter,Upscale,7094.0
4403779.0,New Jersey,48.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.571192145347595,John McCain,,Female,White,30-39,Something else,Conservative,"Under $15,000",Some college or associate degree,No,Strongly approve,A severe hardship,Terrorism,Not so good,Very worried,No,Has the right experience,The single most important factor,Protestant,Before that,"Yes, someone else does",Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A hardship,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Important,Factor,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Yes,"Member in household, but not voter",No,Protestant/Other Christian,Yes,Suburbs,Suburbs,1.0,South,East,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,8080.0
4405567.0,New Jersey,94.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.742048561573029,John McCain,,Female,White,30-39,Republican,Conservative,"$150,000-$199,999",College graduate,No,Somewhat approve,A moderate hardship,The economy,Not so good,Somewhat worried,No,Omit,Not a factor at all,Catholic,Before that,No one does,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A hardship,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Not a factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,No,No,No,Catholic,No,Suburbs,Suburbs,11.0,Northwest,East,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,7869.0
4405289.0,New Jersey,102.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.555265724658966,John McCain,,Female,White,30-39,Independent,Conservative,"$15,000-$29,999",College graduate,No,Somewhat approve,A moderate hardship,The economy,Not so good,Not too worried,No,Omit,Not a factor at all,Catholic,Sometime last week,No one does,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,A hardship,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Not worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,No,No,No,Catholic,No,Suburbs,Suburbs,4.0,South,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8759.0
4406214.0,New Jersey,101.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.493185251951218,Other,,Female,Hispanic/Latino,25-29,Independent,Moderate,"$200,000 or more",Postgraduate study,Yes,Strongly approve,A severe hardship,The economy,Poor,Very worried,No,Omit,The single most important factor,Catholic,In the last three days,"Yes, I do",Approve,Non black female,Latino women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,Latino 18-29,Latino 18-29,A hardship,College graduate,More than High school graduate,Non white college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,Latino Independents,All others,Other,Important,Factor,Catholic,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,Yes,I am,Yes,Non-white,No,Suburbs,Suburbs,3.0,South,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,8753.0
4410470.0,New Jersey,31.0,National questionnaire,Version 3,Call 1,Complete,Election day exit poll,0.501405000686646,,Did not vote,Male,White,25-29,Democrat,Moderate,"$30,000-$49,999",Some college or associate degree,No,,,,,,,,,,,,,Non black male,White men,White male,White male,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,,,,Yes,"Cities 10,000-50,000",Small Cities/Rural,2.0,South,East,Suburb,Rural,Rural,Very downscale,8332.0
4406896.0,New Jersey,51.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.679677963256836,Barack Obama,Did not vote,Female,White,30-39,Independent,Moderate,"$100,000-$149,999",Postgraduate study,No,,,The economy,Not so good,,No,Can bring about needed change,Not a factor at all,,Before that,,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,,,,No,Suburbs,Suburbs,13.0,Northern Cities,East,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Upscale,7030.0
4406622.0,New Jersey,102.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.53642213344574,Barack Obama,Did not vote,Female,White,50-59,Independent,Conservative,"$75,000-$99,999",High school graduate,No,Somewhat disapprove,A moderate hardship,Omit,Poor,Very worried,No,Can bring about needed change,Not a factor at all,Catholic,Sometime last week,"Yes, someone else does",Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,A hardship,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,Catholic,Sometime last week or earlier,Earlier in October,Today/In the last three days/Sometime last week,Yes,"Member in household, but not voter",No,Catholic,No,Suburbs,Suburbs,4.0,South,East,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very downscale,8759.0
4408916.0,New Jersey,31.0,National questionnaire,Version 4,Call 1,Complete,Election day exit poll,0.501405000686646,Barack Obama,Did not vote,Female,White,25-29,Democrat,Liberal,"Under $15,000",Postgraduate study,No,,,,,,,,,Other Christian,Before that,"Yes, I do",,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,Protestant/Other Christian,Sometime last week or earlier,Before that,In the last month or before that,Yes,I am,Yes,Protestant/Other Christian,No,"Cities 10,000-50,000",Small Cities/Rural,2.0,South,East,Suburb,Rural,Rural,Very downscale,8332.0
4408808.0,New Jersey,37.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.817102491855621,Barack Obama,Did not vote,Female,Hispanic/Latino,50-59,Democrat,Liberal,"$50,000-$74,999",College graduate,Yes,Strongly disapprove,A moderate hardship,The economy,Poor,Very worried,Yes,Can bring about needed change,One of several important factors,Catholic,Before that,"Yes, I do",Disapprove,Non black female,Latino women,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,Latino 45-59,Latino 45-54,A hardship,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and non white,Not so good/Poor,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Black,Important,Factor,Catholic,Sometime last week or earlier,Before that,In the last month or before that,Yes,I am,Yes,Non-white,No,"Cities 50,000-500,000","Cities over 50,000",13.0,Northern Cities,East,High Density Urban,Urban,Urban Core,Very downscale,7105.0
