ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESPA04,SENPA04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,GUNOWNER,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECPA,UNFR04G,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNFRBUSH,UNFRKERY,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1487434.0,Pennsylvania,131.0,National,1.0,Call 1,Complete,0.917822062969208,Kerry,Hoeffel,Female,White,65-74,Democrat,Liberal,No,"Under $15,000",Worse today,Catholic,Once a week,High school graduate,No one does,,No,Before that,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,No one in household is union member,Voter is not union member,All others,White,Philly suburbs,Suburbs,Suburbs,13.0,19031.0
1536041.0,Pennsylvania,94.0,State,1.0,Call 3,Complete,0.43261182308197,Kerry,Hoeffel,Female,White,18-24,Democrat,Liberal,Yes,"$15,000-$29,999",About the same,Catholic,A few times a month,High school graduate,"Yes, someone else does",No,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only George W. Bush,Very badly,Good,Only George W. Bush did,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only George W. Bush did/Neither candidate did,Someone in household is union member,Voter is not union member,All others,White,Central/Northern Tier,"City: 10,000 to 49,999",Small cities and Rural,9.0,15701.0
1536040.0,Pennsylvania,16.0,State,1.0,Call 3,Complete,0.749183058738709,Kerry,Hoeffel,Female,Black,45-49,Democrat,Moderate,No,"$30,000-$49,999",About the same,Protestant,More than once a week,High school graduate,"Yes, someone else does",Yes,Yes,Before that,For your candidate,Iraq,Cares about people like me,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,Both candidates did,Non-white female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Weekly,Protestants/Weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is not union member,Married women,Black,Pittsburg area/West,"City: 50,000 to 500,000","City over 50,000",14.0,15214.0
1526317.0,Pennsylvania,154.0,State,1.0,Call 3,Complete,0.48664128780365,Kerry,Did not vote,Male,Black,25-29,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Other Christian,Once a week,Some college/associate degree,"Yes, I do and someone else does",No,Yes,Before that,For your candidate,Moral values,Omit,Somewhat approve,Somewhat disapprove,Omit,Only John Kerry,Only John Kerry,Somewhat badly,Good,Both candidates did,Non-white male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is union member,All others,Black,Philadelphia,"City over 500,000","City over 50,000",1.0,19139.0
1531175.0,Pennsylvania,61.0,State,1.0,Call 3,Complete,0.668234288692474,Kerry,Specter,Male,White,25-29,Independent,Conservative,No,"Under $15,000",About the same,Protestant,A few times a year,High school graduate,"Yes, I do",Yes,Yes,During the last month,For your candidate,Moral values,Has clear stands on the issues,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,Only George W. Bush did,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Occasionally,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only George W. Bush did/Neither candidate did,Someone in household is union member,Voter is union member,All others,White,Central/Northern Tier,Rural,Small cities and Rural,5.0,15848.0
1506869.0,Pennsylvania,131.0,National,3.0,Call 2,Complete,0.702415585517883,Kerry,Hoeffel,Male,White,25-29,Republican,Liberal,,"$150,000-$199,999",,Catholic,Once a week,,,Yes,No,,For your candidate,,,,,,,,,,Neither candidate did,White male,18-29,25-29,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,,,,,,,,,,,Only John Kerry did/Neither candidate did,Only George W. Bush did/Neither candidate did,,,All others,White,Philly suburbs,Suburbs,Suburbs,13.0,19031.0
1521437.0,Pennsylvania,144.0,State,1.0,Call 2,Complete,0.601493418216705,Kerry,Hoeffel,Male,White,50-59,Independent,Liberal,No,"$15,000-$29,999",Worse today,None,Never,Postgraduate study,"Yes, someone else does",No,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Both candidates did,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is not union member,All others,White,Philadelphia,"City over 500,000","City over 50,000",2.0,19143.0
1527168.0,Pennsylvania,171.0,State,1.0,Call 3,Complete,0.754506647586823,Kerry,Specter,Female,White,25-29,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Catholic,A few times a year,Some college/associate degree,"Yes, someone else does",No,No,Just today,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat badly,Good,Both candidates did,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is not union member,All others,White,Central/Northern Tier,Suburbs,Suburbs,19.0,17368.0
1505116.0,Pennsylvania,61.0,State,1.0,Call 2,Complete,0.873158574104309,Kerry,Specter,Female,White,60-64,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Catholic,Never,High school graduate,"Yes, someone else does",No,Yes,Sometime last week,For your candidate,Health care,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,Both candidates did,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Never,Catholics/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is not union member,Married women,White,Central/Northern Tier,Rural,Small cities and Rural,5.0,15848.0
1526290.0,Pennsylvania,156.0,National,2.0,Call 3,Complete,1.21162343025208,Kerry,Specter,Female,Black,45-49,Democrat,Moderate,No,"$75,000-$99,999",About the same,Other Christian,More than once a week,Postgraduate study,"Yes, someone else does",,Yes,Before that,,Education,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,Non-white female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Weekly,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,Someone in household is union member,Voter is not union member,Married women,Black,Philadelphia,"City over 500,000","City over 50,000",2.0,19124.0
1526289.0,Pennsylvania,45.0,State,1.0,Call 3,Complete,0.815245866775513,Kerry,Specter,Male,White,18-24,Democrat,Liberal,Yes,"$30,000-$49,999",Better today,Protestant,Once a week,High school graduate,"Yes, I do and someone else does",Yes,No,In the last three days,For your candidate,Health care,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,Only John Kerry,Both of them,Very well,Good,Only John Kerry did,White male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only John Kerry did/Neither candidate did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is union member,All others,White,Central/Northern Tier,Suburbs,Suburbs,3.0,16033.0
1484740.0,Pennsylvania,144.0,State,1.0,Call 1,Complete,0.601493418216705,Kerry,Hoeffel,Male,White,40-44,Independent,Liberal,No,"$75,000-$99,999",About the same,Jewish,Never,Postgraduate study,"Yes, someone else does",No,Yes,Before that,Against his opponent,Terrorism,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Not so good,Only George W. Bush did,White male,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Only George W. Bush did/Both candidates did,Only George W. Bush did/Neither candidate did,Someone in household is union member,Voter is not union member,All others,White,Philadelphia,"City over 500,000","City over 50,000",2.0,19143.0
1526286.0,Pennsylvania,122.0,State,1.0,Call 3,Complete,0.740270614624023,Kerry,Specter,Female,White,18-24,Democrat,Liberal,Yes,"$100,000-$149,999",About the same,Other Christian,Once a week,Did not complete high school,No one does,Yes,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,Both candidates did,White female,18-29,18-24,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,All others,White,Central/Northern Tier,"City: 10,000 to 49,999",Small cities and Rural,10.0,17701.0
1477671.0,Pennsylvania,140.0,State,1.0,Call 1,Complete,1.39675080776215,Kerry,Hoeffel,Male,White,18-24,,,,,Omit,,Omit,,,,,Before that,Against his opponent,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Omit,Safer from terrorism,Omit,Omit,Omit,Not so good,Neither candidate did,White male,18-29,18-24,18-64,,,,,,All others,Omit,Omit,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Omit,Omit,Omit,Omit,Only John Kerry did/Neither candidate did,Only George W. Bush did/Neither candidate did,,,All others,White,Philadelphia,"City over 500,000","City over 50,000",1.0,19147.0
