ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESIA04,SENIA04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,EDUC,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECIA,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466614.0,Iowa,,National,1.0,,Complete,Phone survey,1.44585812091827,Kerry,Small,Female,White,25-29,Democrat,Liberal,No,"Under $15,000",Worse today,None,More than once a week,Yes,College graduate,No,,,Economy/Jobs,Cares about people like me,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,White evangelicals,Weekly,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,East,"City: 50,000 to 500,000","City over 50,000",,52001.0
1467100.0,Iowa,,National,2.0,,Complete,Phone survey,2.31516170501709,Kerry,Small,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",About the same,Something else,More than once a week,No,College graduate,Yes,,,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Somewhat badly,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,Weekly,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52240.0
1467101.0,Iowa,,National,2.0,,Complete,Phone survey,1.11267852783203,Kerry,Small,Female,White,65-74,Democrat,Moderate,Yes,"$15,000-$29,999",Worse today,Catholic,Once a week,No,Did not complete high school,Yes,,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,East,Suburbs,Suburbs,,52073.0
1467102.0,Iowa,,National,2.0,,Complete,Phone survey,2.37815284729004,Bush,Grassley,Female,White,65-74,Republican,Moderate,No,"$50,000-$74,999",About the same,Protestant,A few times a month,No,High school graduate,Yes,,,Taxes,Is a strong leader,Somewhat approve,Strongly disapprove,Less safe from terrorism,,,Somewhat badly,,,White female,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,East,Rural,Small cities and Rural,,52060.0
1467103.0,Iowa,,National,2.0,,Complete,Phone survey,1.58489370346069,Kerry,Small,Male,White,60-64,Independent,Moderate,No,"$50,000-$74,999",Better today,Protestant,Once a week,Yes,Some college/associate degree,Yes,,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat approve,Omit,,,Somewhat well,,,White male,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,Central,"City: 10,000 to 49,999",Small cities and Rural,,50036.0
1467104.0,Iowa,,National,2.0,,Complete,Phone survey,1.4078893661499,Kerry,Grassley,Female,White,75 or over,Democrat,Moderate,No,,About the same,Other Christian,Once a week,No,High school graduate,Yes,,,Iraq,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,Central,Suburbs,Suburbs,,50063.0
1467105.0,Iowa,,National,2.0,,Complete,Phone survey,2.37815284729004,Bush,Grassley,Female,White,75 or over,Republican,,No,,About the same,Protestant,Once a week,No,Some college/associate degree,Yes,,,Moral values,Is honest and trustworthy,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,White female,60 or over,65 or over,65 or over,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestants/Weekly,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52403.0
1467106.0,Iowa,,National,2.0,,Complete,Phone survey,1.11267852783203,Kerry,Small,Female,White,75 or over,Democrat,Conservative,No,,About the same,Other Christian,A few times a month,Yes,High school graduate,Yes,,,Moral values,Cares about people like me,Somewhat approve,Somewhat approve,Less safe from terrorism,,,Somewhat well,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,50701.0
1467107.0,Iowa,,National,2.0,,Complete,Phone survey,1.58529424667358,Bush,Grassley,Female,White,60-64,Republican,Moderate,No,"$200,000 or more",Better today,Protestant,A few times a month,Yes,College graduate,No,,,Iraq,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Safer from terrorism,,,Omit,,,White female,60 or over,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,College graduate,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Omit,,,,,All others,White,East,Suburbs,Suburbs,,52228.0
1467108.0,Iowa,,National,2.0,,Complete,Phone survey,2.81705689430237,Bush,Grassley,Female,White,50-59,Republican,Conservative,No,"$50,000-$74,999",Worse today,Protestant,A few times a month,Yes,High school graduate,Yes,,,Economy/Jobs,Has strong religious faith,Somewhat approve,Strongly disapprove,Safer from terrorism,,,Somewhat badly,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,Protestants/Non-weekly,All others,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,West,"City: 50,000 to 500,000","City over 50,000",,51501.0
1467109.0,Iowa,,National,2.0,,Complete,Phone survey,0.703944683074951,Kerry,Grassley,Female,White,75 or over,Democrat,Conservative,No,"Under $15,000",About the same,Catholic,Once a week,Yes,High school graduate,No,,,Health care,Cares about people like me,Strongly disapprove,Strongly disapprove,Omit,,,Somewhat badly,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Weekly,Catholics/Weekly,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,East,Rural,Small cities and Rural,,52146.0
1467110.0,Iowa,,National,2.0,,Complete,Phone survey,0.556339263916016,Kerry,Small,Female,White,75 or over,Democrat,Conservative,No,,About the same,None,Never,Yes,Did not complete high school,No,,,Health care,Will bring about needed change,Somewhat approve,Somewhat disapprove,Less safe from terrorism,,,Omit,,,White female,60 or over,65 or over,65 or over,Democrat,,,None,White None,All others,White evangelicals,Never,All others,All others,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Omit,,,,,All others,White,Central,"City: 50,000 to 500,000","City over 50,000",,50315.0
1467111.0,Iowa,,National,2.0,,Complete,Phone survey,2.31516170501709,Kerry,Small,Female,White,30-39,Democrat,Liberal,No,"$75,000-$99,999",Better today,None,Never,No,College graduate,Yes,,,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,All others,Never,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52001.0
1467112.0,Iowa,,National,2.0,,Complete,Phone survey,0.572544455528259,Nader,Grassley,Female,Hispanic/Latino,40-44,Independent,Conservative,No,,About the same,Catholic,A few times a year,No,Postgraduate study,Yes,,,Economy/Jobs,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,Non-white female,30-44,40-49,18-64,Independent,,,Catholic,All others,All others,All others,Occasionally,Catholics/Non-weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,Hispanic/Latino,East,Suburbs,Suburbs,,52213.0
1467113.0,Iowa,,National,2.0,,Complete,Phone survey,1.7844489812851,Kerry,Small,Male,White,40-44,Democrat,Moderate,No,"Under $15,000",Worse today,None,A few times a year,No,High school graduate,No,,,Health care,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat badly,,,White male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Occasionally,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,All others,White,West,"City: 10,000 to 49,999",Small cities and Rural,,50401.0
1467114.0,Iowa,,National,2.0,,Complete,Phone survey,1.44585812091827,Kerry,Small,Female,White,25-29,Democrat,Liberal,No,"Under $15,000",Worse today,None,More than once a week,Yes,College graduate,No,,,Economy/Jobs,Cares about people like me,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,White evangelicals,Weekly,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,East,"City: 50,000 to 500,000","City over 50,000",,52001.0
1467600.0,Iowa,,National,3.0,,Complete,Phone survey,2.31516170501709,Kerry,Small,Female,White,50-59,Democrat,Liberal,,"$50,000-$74,999",,Something else,More than once a week,No,,Yes,,For your candidate,,,,,,,,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,Weekly,All others,All others,,,,,,,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52240.0
1467601.0,Iowa,,National,3.0,,Complete,Phone survey,1.11267852783203,Kerry,Small,Female,White,65-74,Democrat,Moderate,,"$15,000-$29,999",,Catholic,Once a week,No,,Yes,,For your candidate,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,,,,,,,,,,,Married women,White,East,Suburbs,Suburbs,,52073.0
1467602.0,Iowa,,National,3.0,,Complete,Phone survey,2.37815284729004,Bush,Grassley,Female,White,65-74,Republican,Moderate,,"$50,000-$74,999",,Protestant,A few times a month,No,,Yes,,Against his opponent,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,,,,,,,,,,,Married women,White,East,Rural,Small cities and Rural,,52060.0
1467603.0,Iowa,,National,3.0,,Complete,Phone survey,1.58489370346069,Kerry,Small,Male,White,60-64,Independent,Moderate,,"$50,000-$74,999",,Protestant,Once a week,Yes,,Yes,,For your candidate,,,,,,,,,,,White male,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,,,,,,,,,,,All others,White,Central,"City: 10,000 to 49,999",Small cities and Rural,,50036.0
1467604.0,Iowa,,National,3.0,,Complete,Phone survey,1.4078893661499,Kerry,Grassley,Female,White,75 or over,Democrat,Moderate,,,,Other Christian,Once a week,No,,Yes,,Against his opponent,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,All others,All others,,,,,,,,,,,Married women,White,Central,Suburbs,Suburbs,,50063.0
1467605.0,Iowa,,National,3.0,,Complete,Phone survey,2.37815284729004,Bush,Grassley,Female,White,75 or over,Republican,,,,,Protestant,Once a week,No,,Yes,,For your candidate,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestants/Weekly,All others,,,,,,,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52403.0
1467606.0,Iowa,,National,3.0,,Complete,Phone survey,1.11267852783203,Kerry,Small,Female,White,75 or over,Democrat,Conservative,,,,Other Christian,A few times a month,Yes,,Yes,,For your candidate,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,All others,All others,,,,,,,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,50701.0
1467607.0,Iowa,,National,3.0,,Complete,Phone survey,1.58529424667358,Bush,Grassley,Female,White,60-64,Republican,Moderate,,"$200,000 or more",,Protestant,A few times a month,Yes,,No,,For your candidate,,,,,,,,,,,White female,60 or over,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,,,,,,,,,,,All others,White,East,Suburbs,Suburbs,,52228.0
1467608.0,Iowa,,National,3.0,,Complete,Phone survey,2.81705689430237,Bush,Grassley,Female,White,50-59,Republican,Conservative,,"$50,000-$74,999",,Protestant,A few times a month,Yes,,Yes,,Against his opponent,,,,,,,,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,Protestants/Non-weekly,All others,,,,,,,,,,,Married women,White,West,"City: 50,000 to 500,000","City over 50,000",,51501.0
1467609.0,Iowa,,National,3.0,,Complete,Phone survey,0.703944683074951,Kerry,Grassley,Female,White,75 or over,Democrat,Conservative,,"Under $15,000",,Catholic,Once a week,Yes,,No,,Against his opponent,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Weekly,Catholics/Weekly,All others,,,,,,,,,,,All others,White,East,Rural,Small cities and Rural,,52146.0
1467610.0,Iowa,,National,3.0,,Complete,Phone survey,0.556339263916016,Kerry,Small,Female,White,75 or over,Democrat,Conservative,,,,None,Never,Yes,,No,,For your candidate,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,,,None,White None,All others,White evangelicals,Never,All others,All others,,,,,,,,,,,All others,White,Central,"City: 50,000 to 500,000","City over 50,000",,50315.0
1467611.0,Iowa,,National,3.0,,Complete,Phone survey,2.31516170501709,Kerry,Small,Female,White,30-39,Democrat,Liberal,,"$75,000-$99,999",,None,Never,No,,Yes,,For your candidate,,,,,,,,,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,All others,Never,All others,All others,,,,,,,,,,,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52001.0
1467612.0,Iowa,,National,3.0,,Complete,Phone survey,0.572544455528259,Nader,Grassley,Female,Hispanic/Latino,40-44,Independent,Conservative,,,,Catholic,A few times a year,No,,Yes,,Omit,,,,,,,,,,,Non-white female,30-44,40-49,18-64,Independent,,,Catholic,All others,All others,All others,Occasionally,Catholics/Non-weekly,All others,,,,,,,,,,,Married women,Hispanic/Latino,East,Suburbs,Suburbs,,52213.0
1467613.0,Iowa,,National,3.0,,Complete,Phone survey,1.7844489812851,Kerry,Small,Male,White,40-44,Democrat,Moderate,,"Under $15,000",,None,A few times a year,No,,No,,For your candidate,,,,,,,,,,,White male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Occasionally,All others,All others,,,,,,,,,,,All others,White,West,"City: 10,000 to 49,999",Small cities and Rural,,50401.0
1467614.0,Iowa,,National,3.0,,Complete,Phone survey,1.44585812091827,Kerry,Small,Female,White,25-29,Democrat,Liberal,,"Under $15,000",,None,More than once a week,Yes,,No,,Against his opponent,,,,,,,,,,,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,White evangelicals,Weekly,All others,All others,,,,,,,,,,,All others,White,East,"City: 50,000 to 500,000","City over 50,000",,52001.0
1468100.0,Iowa,,National,4.0,,Complete,Phone survey,2.31516170501709,Kerry,Small,Female,White,50-59,Democrat,Liberal,,"$50,000-$74,999",,,,,College graduate,Yes,,,,,,,,Omit,Only John Kerry,,About the same,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",,,,,,,,College graduate,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Omit,Omit,Married women,White,East,"City: 50,000 to 500,000","City over 50,000",,52240.0
1468101.0,Iowa,,National,4.0,,Complete,Phone survey,1.11267852783203,Kerry,Small,Female,White,65-74,Democrat,Moderate,,"$15,000-$29,999",,,,,Did not complete high school,Yes,,,,,,,,Only John Kerry,Only John Kerry,,Worse today,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",,,,,,,,No degree,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,East,Suburbs,Suburbs,,52073.0
