ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESWV04,GOVWV04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,UNION4,GUNOWNER,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECWV,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1508346.0,West Virginia,67.0,State,1.0,Call 2,Complete,0.730905055999756,Bush,Manchin,Male,White,18-24,Republican,Moderate,No,"$200,000 or more",Better today,Other Christian,No,College graduate,No one does,Yes,No,Before that,For your candidate,Iraq,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat badly,Good,White male,18-29,18-24,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Southwest,Rural,Small cities and Rural,3.0,25832.0
1506877.0,West Virginia,8.0,State,1.0,Call 2,Complete,1.23357439041138,Kerry,Manchin,Male,White,75 or over,Democrat,Liberal,No,"$50,000-$74,999",About the same,Jewish,No,Some college/associate degree,No one does,No,Yes,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Both of them,Somewhat badly,Not so good,White male,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Charleston/Huntingon,"City: 10,000 to 49,999",Small cities and Rural,3.0,25701.0
1482569.0,West Virginia,69.0,State,1.0,Call 1,Complete,0.77166759967804,Kerry,Manchin,Male,White,25-29,Independent,Moderate,No,"$30,000-$49,999",About the same,None,No,College graduate,No one does,No,No,During the last month,For your candidate,Economy/Jobs,Is intelligent,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Neither of them,Somewhat badly,Poor,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,2.0,26241.0
1486836.0,West Virginia,6.0,State,1.0,Call 1,Complete,1.188636302948,Bush,Manchin,Male,White,65-74,Republican,Conservative,No,"$50,000-$74,999",Better today,Protestant,Yes,Some college/associate degree,No one does,Yes,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Not so good,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Charleston/Huntingon,"City: 10,000 to 49,999",Small cities and Rural,3.0,25701.0
1482563.0,West Virginia,3.0,State,1.0,Call 1,Complete,0.839590966701508,Bush,Warner,Female,White,30-39,Republican,Conservative,No,"$100,000-$149,999",Better today,Catholic,No,High school graduate,No one does,Yes,Yes,Before that,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,White female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Appalachian Highlands,Suburbs,Suburbs,2.0,25420.0
1484763.0,West Virginia,19.0,State,1.0,Call 1,Complete,0.791888535022736,Bush,Manchin,Female,White,25-29,Democrat,Liberal,No,"$30,000-$49,999",Better today,Catholic,Yes,Some college/associate degree,"Yes, someone else does",Yes,No,During the last month,Against his opponent,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Not so good,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,2.0,26836.0
1487422.0,West Virginia,19.0,State,1.0,Call 1,Complete,0.791220486164093,Bush,Manchin,Male,White,50-59,Independent,Moderate,No,"$30,000-$49,999",Better today,Protestant,Yes,Some college/associate degree,No one does,Yes,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,2.0,26836.0
1506865.0,West Virginia,77.0,State,1.0,Call 2,Complete,1.22967171669006,Kerry,Manchin,Male,White,25-29,Democrat,Moderate,No,"$30,000-$49,999",Worse today,Protestant,No,College graduate,"Yes, I do",Yes,Yes,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,White male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Charleston/Huntingon,Rural,Small cities and Rural,2.0,26143.0
1506862.0,West Virginia,22.0,State,1.0,Call 2,Complete,0.841673851013184,Kerry,Manchin,Female,White,30-39,Something Else,Moderate,No,"$30,000-$49,999",About the same,Catholic,No,Postgraduate study,"Yes, I do",No,No,Before that,Against his opponent,Education,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Monongahla River Valley,Rural,Small cities and Rural,1.0,26431.0
1506861.0,West Virginia,48.0,State,1.0,Call 2,Complete,0.64170378446579,Kerry,Manchin,Male,White,50-59,Democrat,Liberal,No,,About the same,Something else,Yes,High school graduate,No one does,Yes,Yes,Before that,For your candidate,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,White male,45-59,50-64,18-64,Democrat,,,Something else,White Something else,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,3.0,25971.0
1487408.0,West Virginia,22.0,State,1.0,Call 1,Complete,1.12849104404449,Kerry,Manchin,Female,White,65-74,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,Yes,Did not complete high school,"Yes, I do",No,Yes,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,Married women,White,Monongahla River Valley,Rural,Small cities and Rural,1.0,26431.0
1527170.0,West Virginia,59.0,State,1.0,Call 3,Complete,3.86295557022095,Bush,Warner,Female,White,60-64,Republican,Conservative,No,"$30,000-$49,999",About the same,Other Christian,Yes,High school graduate,No one does,Yes,Yes,Just today,For your candidate,Omit,Has strong religious faith,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Omit,Somewhat badly,Good,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Omit,Omit,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Appalachian Highlands,Rural,Small cities and Rural,3.0,24915.0
1482544.0,West Virginia,25.0,State,1.0,Call 1,Complete,0.974292516708374,Bush,Manchin,Female,White,50-59,Democrat,,No,,Worse today,Protestant,Yes,High school graduate,No one does,Yes,Yes,In the last three days,For your candidate,Moral values,Has clear stands on the issues,Somewhat disapprove,Somewhat approve,Omit,Neither of them,Only John Kerry,Somewhat badly,Poor,White female,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Ohio River Region,Rural,Small cities and Rural,2.0,26164.0
1487404.0,West Virginia,16.0,State,1.0,Call 1,Complete,0.779900729656219,Bush,Manchin,Female,White,50-59,Democrat,Moderate,No,"$30,000-$49,999",Worse today,Protestant,Yes,Some college/associate degree,"Yes, I do",Yes,Yes,Just today,For your candidate,Moral values,Will bring about needed change,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,Married women,White,Appalachian Highlands,Rural,Small cities and Rural,3.0,25962.0
1523416.0,West Virginia,69.0,State,1.0,Call 3,Complete,0.761363089084625,Bush,Manchin,Male,White,45-49,Republican,Moderate,No,"$100,000-$149,999",Better today,Protestant,Yes,Postgraduate study,No one does,Yes,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Both of them,Both of them,Very well,Good,White male,45-59,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,2.0,26241.0
1506842.0,West Virginia,35.0,State,1.0,Call 2,Complete,3.65094447135925,Bush,,Female,White,60-64,,,No,,Omit,Protestant,Yes,High school graduate,No one does,,,Before that,For your candidate,Omit,Omit,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Omit,Omit,White female,60 or over,50-64,18-64,,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Omit,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Monongahla River Valley,Rural,Small cities and Rural,2.0,26542.0
1487395.0,West Virginia,58.0,State,1.0,Call 1,Complete,1.06084477901459,Bush,Manchin,Male,White,65-74,Democrat,Moderate,No,"$15,000-$29,999",About the same,Protestant,No,High school graduate,No one does,Yes,Yes,Just today,Against his opponent,Moral values,Will bring about needed change,Somewhat approve,Somewhat disapprove,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,Good,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Very/Somewhat well,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,2.0,26802.0
1484734.0,West Virginia,22.0,State,1.0,Call 1,Complete,0.849768936634064,Bush,Warner,Female,White,50-59,Republican,Moderate,No,"$100,000-$149,999",Better today,Catholic,No,Postgraduate study,No one does,Yes,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Good,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Monongahla River Valley,Rural,Small cities and Rural,1.0,26431.0
1487391.0,West Virginia,33.0,State,1.0,Call 1,Complete,0.800356388092041,Kerry,Manchin,Female,White,60-64,Democrat,Liberal,No,"$50,000-$74,999",About the same,Catholic,No,College graduate,No one does,No,No,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,White female,60 or over,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Charleston/Huntingon,"City: 50,000 to 500,000","City over 50,000",2.0,25302.0
1487390.0,West Virginia,18.0,State,1.0,Call 1,Complete,0.823128402233124,Bush,Warner,Female,White,40-44,Republican,Conservative,No,"$50,000-$74,999",Better today,Other Christian,Yes,High school graduate,No one does,Yes,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Appalachian Highlands,Rural,Small cities and Rural,2.0,26704.0
1506830.0,West Virginia,54.0,State,1.0,Call 2,Complete,0.526015758514404,Kerry,Manchin,Female,White,50-59,Democrat,Moderate,No,"$30,000-$49,999",About the same,Other Christian,Yes,High school graduate,No one does,Yes,Yes,Before that,For your candidate,Economy/Jobs,Is a strong leader,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat well,Good,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Southwest,Rural,Small cities and Rural,3.0,26651.0
1482524.0,West Virginia,5.0,State,1.0,Call 1,Complete,0.868652641773224,Bush,Warner,Female,White,40-44,Democrat,Conservative,No,"$15,000-$29,999",Better today,Other Christian,Yes,High school graduate,No one does,Yes,Yes,During the last month,For your candidate,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Not so good,White female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Monongahla River Valley,Rural,Small cities and Rural,2.0,26639.0
