ID,STANUM,QTYPE,VERSION,TELEPOLL,WGT,PRESOR04,SENOR04,MEAS33OR,MEAS36OR,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,UNION4,MARRIED,LATINO,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECOR,COUNTACC,ENVIRON,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,ZIPCODE
1465123.0,Oregon,State,1.0,Phone survey,1.08190822601318,Kerry,Wyden,No,No,Male,White,45-49,Independent,Moderate,No,"$100,000-$149,999",About the same,None,No,College graduate,No one is,Yes,No,Omit,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Somewhat confident,Protecting the environment,White male,45-59,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,,,
1465124.0,Oregon,State,1.0,Phone survey,1.10083794593811,Bush,King,No,Yes,Female,White,30-39,Republican,Liberal,No,"$50,000-$74,999",About the same,Other Christian,Yes,Some college/associate degree,No one is,Yes,No,Against his opponent,Terrorism,Is honest and trustworthy,Strongly approve,Strongly approve,Less safe from terrorism,Only George W. Bush,Neither of them,Somewhat well,Not so good,Very confident,Keeping jobs in your state,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Suburbs and capital,Suburbs,Suburbs,97013.0
1465125.0,Oregon,State,1.0,Phone survey,1.82985782623291,Bush,King,No,Yes,Male,Other,40-44,Democrat,Conservative,No,"$15,000-$29,999",About the same,None,Yes,Some college/associate degree,No one is,No,,For your candidate,Iraq,Has strong religious faith,Somewhat disapprove,Strongly approve,Less safe from terrorism,Only George W. Bush,Neither of them,Somewhat well,Not so good,Very confident,Protecting the environment,Non-white male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,Other,South and East,Rural,Small cities and Rural,97458.0
1465126.0,Oregon,State,1.0,Phone survey,1.08190822601318,Kerry,Wyden,Yes,No,Male,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",About the same,Something else,No,College graduate,No one is,No,No,Omit,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Poor,Very confident,Keeping jobs in your state,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,Suburbs,Suburbs,97002.0
1465127.0,Oregon,State,1.0,Phone survey,1.24251937866211,,King,No,Yes,Male,Other,65-74,Something Else,Moderate,No,"$30,000-$49,999",Worse today,Protestant,No,High school graduate,No one is,Yes,No,Omit,Omit,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,Somewhat confident,Keeping jobs in your state,Non-white male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,Other,South and East,Rural,Small cities and Rural,97466.0
1465128.0,Oregon,State,1.0,Phone survey,0.963663101196289,Bush,Wyden,Yes,Yes,Male,White,25-29,Republican,Conservative,No,"$75,000-$99,999",Better today,Protestant,Yes,College graduate,No one is,No,No,For your candidate,Moral values,Will bring about needed change,Somewhat approve,Somewhat disapprove,Safer from terrorism,Both of them,Both of them,Very well,Not so good,Very confident,Protecting the environment,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,Somewhat/Strongly disapprove,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,Suburbs,Suburbs,97229.0
1465129.0,Oregon,State,1.0,Phone survey,1.05295014381409,Kerry,Wyden,Yes,No,Female,White,40-44,Independent,Moderate,No,"$200,000 or more",Worse today,Protestant,No,College graduate,"Yes, I am",No,No,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Poor,Somewhat confident,Keeping jobs in your state,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Northwest Pacific Coast,"City: 10,000 to 49,999",Small cities and Rural,97333.0
1465130.0,Oregon,State,1.0,Phone survey,1.04194486141205,Bush,King,Yes,Yes,Male,White,75 or over,Republican,Moderate,No,"$150,000-$199,999",Better today,Protestant,No,Some college/associate degree,No one is,Yes,No,For your candidate,Iraq,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,Not so good,Somewhat confident,Keeping jobs in your state,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Northwest Pacific Coast,Rural,Small cities and Rural,97394.0
1465131.0,Oregon,State,1.0,Phone survey,1.0254819393158,Bush,Wyden,Yes,Yes,Female,White,65-74,Independent,Conservative,No,"$15,000-$29,999",About the same,Protestant,Yes,Some college/associate degree,No one is,Yes,No,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,Poor,Somewhat confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,South and East,"City: 50,000 to 500,000","City over 50,000",97501.0
1465132.0,Oregon,State,1.0,Phone survey,1.09460687637329,Bush,King,No,Yes,Female,White,65-74,Republican,Moderate,No,"$30,000-$49,999",About the same,Catholic,,College graduate,No one is,Yes,No,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Poor,Somewhat confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Suburbs and capital,Suburbs,Suburbs,97127.0
1465133.0,Oregon,State,1.0,Phone survey,1.08403396606445,Bush,King,No,Yes,Female,White,75 or over,Republican,Conservative,No,"$15,000-$29,999",About the same,Protestant,Yes,High school graduate,No one is,Yes,No,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Somewhat disapprove,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Very confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Somewhat/Strongly disapprove,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Northwest Pacific Coast,,,97322.0
1465134.0,Oregon,State,1.0,Phone survey,0.547303438186646,Bush,King,No,Yes,Female,White,75 or over,Republican,Liberal,No,"Under $15,000",Better today,Protestant,Yes,Some college/associate degree,No one is,No,,For your candidate,Health care,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Safer from terrorism,Both of them,Both of them,Somewhat well,Poor,Very confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,"City: 50,000 to 500,000","City over 50,000",97304.0
1465135.0,Oregon,State,1.0,Phone survey,0.199337601661682,Other,King,No,Yes,Female,Other,45-49,Something Else,,No,"$15,000-$29,999",Worse today,Other Christian,Yes,High school graduate,No one is,Yes,No,Omit,Moral values,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Poor,Not very confident,Protecting the environment,Non-white female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Not very/Not at all confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,Other,Multnomah county,"City over 500,000","City over 50,000",97211.0
1465136.0,Oregon,State,1.0,Phone survey,0.535728991031647,Kerry,Wyden,Yes,No,Male,White,40-44,Independent,Liberal,No,"$15,000-$29,999",Worse today,None,No,Some college/associate degree,"Yes, I am",No,No,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,Very confident,Protecting the environment,White male,30-44,40-49,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Northwest Pacific Coast,"City: 50,000 to 500,000","City over 50,000",97403.0
1465137.0,Oregon,State,1.0,Phone survey,1.09020483493805,Bush,King,No,Yes,Female,White,30-39,Republican,Conservative,No,"$30,000-$49,999",About the same,Protestant,Yes,College graduate,No one is,Yes,No,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,Omit,Only George W. Bush,Omit,Not so good,Very confident,Keeping jobs in your state,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,Strongly/Somewhat approve,Omit,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Omit,Omit,No one in household is union member,Voter is not union member,Married women,White,Northwest Pacific Coast,"City: 10,000 to 49,999",Small cities and Rural,97321.0
1465138.0,Oregon,State,1.0,Phone survey,0.526475071907043,Kerry,Wyden,Yes,No,Female,Hispanic/Latino,60-64,Democrat,Moderate,No,"$30,000-$49,999",Worse today,Protestant,No,College graduate,No one is,Yes,,For your candidate,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Somewhat confident,Protecting the environment,Non-white female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,Hispanic/Latino,Northwest Pacific Coast,"City: 10,000 to 49,999",Small cities and Rural,97330.0
1465139.0,Oregon,State,1.0,Phone survey,0.743144929409027,Other,Other,Yes,No,Male,White,30-39,Something Else,Moderate,No,,About the same,None,No,College graduate,No one is,Yes,No,Omit,Iraq,Is honest and trustworthy,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Good,Very confident,Protecting the environment,White male,30-44,30-39,18-64,Independent,,,None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,South and East,"City: 10,000 to 49,999",Small cities and Rural,97526.0
1465140.0,Oregon,State,1.0,Phone survey,1.05295014381409,Kerry,Wyden,No,No,Female,White,50-59,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Protestant,No,High school graduate,No one is,Yes,No,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Not so good,Very confident,Protecting the environment,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Northwest Pacific Coast,Suburbs,Suburbs,97463.0
1465141.0,Oregon,State,1.0,Phone survey,1.0161544084549,Kerry,Wyden,No,No,Male,White,75 or over,Democrat,Liberal,No,"$50,000-$74,999",About the same,Protestant,No,High school graduate,No one is,Yes,No,Against his opponent,Omit,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Very confident,Omit,White male,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,Suburbs,Suburbs,97305.0
1465142.0,Oregon,State,1.0,Phone survey,1.77197110652924,Bush,Wyden,No,Yes,Male,White,18-24,Independent,Conservative,No,"$50,000-$74,999",About the same,None,No,Some college/associate degree,"Yes, someone else is",No,No,For your candidate,Moral values,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,Good,Very confident,Keeping jobs in your state,White male,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,No degree,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,South and East,"City: 10,000 to 49,999",Small cities and Rural,97601.0
1465143.0,Oregon,State,1.0,Phone survey,0.421013921499252,Bush,King,No,Yes,Female,White,18-24,Republican,Conservative,No,"$50,000-$74,999",About the same,Protestant,Yes,College graduate,"Yes, I am",Yes,No,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Omit,Only George W. Bush,Only George W. Bush,Omit,Not so good,Somewhat confident,Keeping jobs in your state,White female,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,Strongly/Somewhat approve,Omit,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,Married women,White,Northwest Pacific Coast,"City: 50,000 to 500,000","City over 50,000",97405.0
1465144.0,Oregon,State,1.0,Phone survey,0.526053607463837,Bush,King,Yes,No,Male,White,75 or over,Republican,Conservative,No,"$30,000-$49,999",About the same,None,No,Did not complete high school,No one is,Yes,No,For your candidate,Economy/Jobs,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,Only George W. Bush,Somewhat well,Poor,Very confident,Keeping jobs in your state,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",None,White None,All others,All others,No degree,Strongly/Somewhat approve,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Suburbs and capital,Suburbs,Suburbs,97385.0
