ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESAK04,SENAK04,HOUAK04,BM2AK,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,VETVOTER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,FMURKOW,LISAMURK,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACEAK,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1489527.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Kerry,Murkowski,,Yes,Female,White,25-29,,,,Better today,,,During the last month,For your candidate,Education,Has strong religious faith,Somewhat approve,Somewhat disapprove,Omit,Disapprove,Omit,White female,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489569.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Kerry,Murkowski,,Yes,Female,White,40-44,,,,Better today,,,Before that,For your candidate,Education,Is honest and trustworthy,Somewhat approve,Strongly disapprove,Omit,Omit,Omit,White female,30-44,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489595.0,Alaska,13.0,State,1.0,Call 1,Complete,0.423589199781418,Kerry,Murkowski,Young,Yes,Female,White,40-44,,,,Better today,,,Before that,Against his opponent,Education,Is a strong leader,Somewhat approve,Somewhat disapprove,Omit,Disapprove,Omit,White female,30-44,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489678.0,Alaska,13.0,State,1.0,Call 1,Complete,0.423589199781418,Kerry,Murkowski,Young,Yes,Female,Black,40-44,,,,Better today,,,Before that,Against his opponent,Education,Is a strong leader,Somewhat approve,Somewhat approve,Omit,Omit,Omit,Non-white female,30-44,40-49,18-64,,,,,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Omit,Omit,Black,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489721.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Kerry,Knowles,,Yes,Male,White,40-44,,,,About the same,,,Before that,Against his opponent,Education,Is a strong leader,Strongly approve,Strongly disapprove,Omit,Approve,Omit,White male,30-44,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489760.0,Alaska,13.0,State,1.0,Call 1,Complete,0.264117658138275,Kerry,Murkowski,,Yes,Male,Black,40-44,,,,Better today,,,Before that,Against his opponent,Education,Is intelligent,Somewhat disapprove,Somewhat disapprove,Omit,Omit,Omit,Non-white male,30-44,40-49,18-64,,,,,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,Black,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489806.0,Alaska,13.0,State,1.0,Call 1,Complete,1.54083943367004,Nader,Knowles,Young,No,Male,White,30-39,,,,About the same,,,During the last month,Against his opponent,Education,Has strong religious faith,Somewhat approve,Strongly disapprove,Omit,Omit,Omit,White male,30-44,30-39,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489918.0,Alaska,13.0,State,1.0,Call 1,Complete,1.07705771923065,Bush,,Young,No,Male,White,45-49,,,,Worse today,,,Before that,For your candidate,Taxes,Cares about people like me,Strongly approve,Omit,Omit,Approve,Omit,White male,45-59,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1489971.0,Alaska,13.0,State,1.0,Call 1,Complete,0.30612650513649,Bush,,,No,Male,White,25-29,,,,Better today,,,In the last three days,Against his opponent,Education,Has strong religious faith,Somewhat approve,Omit,Omit,Approve,Omit,White male,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Omit,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1490039.0,Alaska,13.0,State,1.0,Call 1,Complete,0.399088889360428,Bush,,Other,No,Female,White,25-29,,,,About the same,,,In the last three days,For your candidate,Education,Has strong religious faith,Somewhat approve,Strongly disapprove,Omit,Omit,Omit,White female,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1490105.0,Alaska,13.0,State,1.0,Call 1,Complete,0.30612650513649,Bush,,,No,Male,Black,18-24,,,,Better today,,,Before that,For your candidate,Education,Cares about people like me,Somewhat disapprove,Strongly approve,Omit,Omit,Omit,Non-white male,18-29,18-24,18-64,,,,,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Omit,Omit,Black,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1490188.0,Alaska,13.0,State,1.0,Call 1,Complete,0.358003258705139,Bush,,Other,No,Female,White,30-39,,,,Worse today,,,Before that,Against his opponent,Education,Has strong religious faith,Somewhat disapprove,Somewhat approve,Omit,Approve,Omit,White female,30-44,30-39,18-64,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1490240.0,Alaska,13.0,State,1.0,Call 1,Complete,0.30612650513649,Bush,,,No,Male,White,25-29,,,,Better today,,,In the last three days,For your candidate,Education,Has strong religious faith,Somewhat approve,Strongly disapprove,Omit,Approve,Omit,White male,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1490296.0,Alaska,13.0,State,1.0,Call 1,Complete,0.774931609630585,Bush,Knowles,Other,No,Female,White,25-29,,,,Better today,,,Sometime last week,For your candidate,Education,Is honest and trustworthy,Somewhat approve,Somewhat approve,Omit,Disapprove,Omit,White female,18-29,25-29,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Omit,Omit,White,Anchorage-Fairbanks Corridor,Rural,Small cities and Rural,1.0,99645.0
1494057.0,Alaska,10.0,State,1.0,Call 1,Complete,0.937881171703339,Bush,Knowles,Young,No,Female,Other,40-44,Republican,Conservative,"$50,000-$74,999",About the same,Catholic,No,Before that,For your candidate,Education,Will bring about needed change,Strongly approve,Strongly approve,Only George W. Bush,Disapprove,Inappropriate,Non-white female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Alaska native,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494166.0,Alaska,10.0,State,1.0,Call 1,Complete,0.906011700630188,Kerry,Knowles,Higgins,No,Male,White,30-39,Republican,Moderate,"$50,000-$74,999",Better today,Other Christian,No,Before that,Against his opponent,Terrorism,Is intelligent,Strongly disapprove,Strongly disapprove,Neither of them,Disapprove,Inappropriate,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494285.0,Alaska,10.0,State,1.0,Call 1,Complete,0.856335639953613,Kerry,Knowles,Higgins,Yes,Male,White,40-44,Republican,Moderate,"$30,000-$49,999",Worse today,None,Yes,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Disapprove,Inappropriate,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494418.0,Alaska,10.0,State,1.0,Call 1,Complete,0.934609115123749,Kerry,Knowles,Young,Yes,Female,White,45-49,Democrat,Moderate,"$100,000-$149,999",About the same,Protestant,No,Before that,For your candidate,Iraq,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Only John Kerry,Disapprove,Inappropriate,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494538.0,Alaska,10.0,State,1.0,Call 1,Complete,1.21885168552399,Bush,Murkowski,Young,Yes,Male,White,30-39,Republican,Moderate,"$75,000-$99,999",Better today,Catholic,No,During the last month,Against his opponent,Economy/Jobs,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,Disapprove,Inappropriate,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494635.0,Alaska,10.0,State,1.0,Call 1,Not complete,1.28955733776093,Bush,Murkowski,Young,No,Male,White,45-49,,,,,,,Before that,Omit,Terrorism,Has clear stands on the issues,Strongly approve,,,,,White male,45-59,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494750.0,Alaska,10.0,State,1.0,Call 1,Complete,1.57279181480408,Bush,Murkowski,Young,No,Female,,65-74,Republican,Conservative,"$30,000-$49,999",Better today,Catholic,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Approve,Appropriate,,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494853.0,Alaska,10.0,State,1.0,Call 1,Not complete,0.567873120307922,Other,,Young,No,Male,White,75 or over,,,,,,,Before that,Against his opponent,Omit,Omit,Strongly disapprove,,,,,White male,60 or over,65 or over,65 or over,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1494954.0,Alaska,10.0,State,1.0,Call 1,Complete,0.851102590560913,Bush,,Young,Yes,Female,White,30-39,Republican,Conservative,"$50,000-$74,999",Better today,Catholic,No,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Omit,Omit,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99701.0
1496396.0,Alaska,38.0,State,1.0,Call 1,Complete,1.62497448921204,Bush,Other,Young,No,Male,White,25-29,Independent,Moderate,"$75,000-$99,999",About the same,Protestant,No,During the last month,For your candidate,Economy/Jobs,Is a strong leader,Somewhat approve,Strongly approve,Both of them,Disapprove,Inappropriate,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1496502.0,Alaska,38.0,State,1.0,Call 1,Complete,0.426915764808655,,,,No,Female,White,50-59,Independent,Conservative,,Worse today,Other Christian,No,Before that,Against his opponent,Moral values,Omit,Omit,Strongly disapprove,Omit,Disapprove,Inappropriate,White female,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1496603.0,Alaska,38.0,State,1.0,Call 1,Complete,0.981184899806976,Bush,Murkowski,Young,No,Male,White,30-39,Independent,Conservative,"$100,000-$149,999",Better today,Mormon/LDS,No,Before that,For your candidate,Omit,Has strong religious faith,Strongly approve,Strongly approve,Only George W. Bush,Approve,Appropriate,White male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1496701.0,Alaska,38.0,State,1.0,Call 1,Complete,0.954938471317291,Bush,Murkowski,Young,No,Female,White,45-49,Republican,Moderate,"$75,000-$99,999",Better today,None,No,Before that,For your candidate,Moral values,Cares about people like me,Omit,Somewhat approve,Only George W. Bush,Disapprove,Inappropriate,White female,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",None,White None,All others,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1496804.0,Alaska,38.0,State,1.0,Call 1,Complete,0.981184899806976,Bush,Murkowski,Young,No,Male,White,50-59,Republican,Conservative,"$50,000-$74,999",Better today,Other Christian,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Only George W. Bush,Disapprove,Appropriate,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1496922.0,Alaska,38.0,State,1.0,Call 1,Not complete,0.981184899806976,Bush,Murkowski,Young,No,Male,White,50-59,,,,,,,Before that,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,,,,,White male,45-59,50-64,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497043.0,Alaska,38.0,State,1.0,Call 1,Complete,0.954938471317291,Bush,Murkowski,Young,No,Female,White,40-44,Republican,Moderate,"$100,000-$149,999",About the same,Protestant,No,Before that,For your candidate,Economy/Jobs,Is a strong leader,Somewhat approve,Somewhat approve,Both of them,Approve,Appropriate,White female,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497152.0,Alaska,38.0,State,1.0,Call 1,Complete,0.954938471317291,Bush,Murkowski,Young,No,Female,White,40-44,Republican,Moderate,"$100,000-$149,999",Better today,Protestant,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Only George W. Bush,Approve,Appropriate,White female,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497277.0,Alaska,38.0,State,1.0,Call 1,Complete,0.981184899806976,Bush,Murkowski,Young,No,Male,White,45-49,Independent,Conservative,"$100,000-$149,999",About the same,Catholic,No,Before that,For your candidate,Economy/Jobs,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,Disapprove,Inappropriate,White male,45-59,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497414.0,Alaska,38.0,State,1.0,Call 1,Complete,0.954938471317291,Bush,Murkowski,Young,No,Female,White,50-59,Independent,Conservative,"$150,000-$199,999",About the same,Mormon/LDS,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,Strongly approve,Only George W. Bush,Disapprove,Inappropriate,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497573.0,Alaska,38.0,State,1.0,Call 1,Complete,0.981184899806976,Bush,Murkowski,Young,No,Male,,30-39,Republican,Conservative,"$50,000-$74,999",About the same,Catholic,No,Before that,For your candidate,Omit,Omit,Strongly approve,Strongly approve,Only George W. Bush,Disapprove,Appropriate,,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497719.0,Alaska,38.0,State,1.0,Call 1,Complete,0.444649994373322,,Knowles,,No,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",About the same,Something else,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Disapprove,Inappropriate,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1497887.0,Alaska,38.0,State,1.0,Call 1,Complete,0.713605225086212,Bush,Knowles,Young,No,Female,Other,30-39,Republican,Conservative,"$100,000-$149,999",Better today,Other Christian,No,Sometime last week,For your candidate,Education,Is a strong leader,Somewhat approve,Somewhat approve,Only George W. Bush,Disapprove,Inappropriate,Non-white female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Alaska native,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1498055.0,Alaska,38.0,State,1.0,Call 1,Complete,0.773046314716339,Kerry,Knowles,Young,No,Male,White,45-49,Independent,Moderate,"$50,000-$74,999",Worse today,Other Christian,No,During the last month,Against his opponent,Education,Is intelligent,Somewhat disapprove,Somewhat approve,Both of them,Disapprove,Inappropriate,White male,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
1498574.0,Alaska,38.0,State,1.0,Call 1,Complete,0.774959743022919,Kerry,,,,Female,Other,,,Moderate,"$30,000-$49,999",Omit,,No,Omit,Omit,Omit,Is honest and trustworthy,Omit,Somewhat approve,Only George W. Bush,Approve,Inappropriate,Non-white female,,,,,"Under $50,000","Under $100,000",,All others,All others,Omit,Omit,Omit,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Alaska native,Juneau/Fairbanks/Rural,Rural,Small cities and Rural,1.0,99685.0
