ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESAL04,SENAL04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1492341.0,Alabama,18.0,State,1.0,Call 1,0.418034344911575,Kerry,Sowell,Male,White,40-44,Democrat,Liberal,"$100,000-$149,999",About the same,Protestant,No,Sometime last week,Against his opponent,Strongly disapprove,Somewhat approve,White male,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1482412.0,Alabama,94.0,State,1.0,Call 1,0.721314191818237,Kerry,Sowell,Male,White,50-59,Democrat,Conservative,"$30,000-$49,999",About the same,Other Christian,Yes,Before that,For your candidate,Somewhat disapprove,Somewhat disapprove,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Black belt,Rural,Small cities and Rural,7.0,35470.0
1508883.0,Alabama,68.0,National,2.0,Call 2,1.40030157566071,Bush,Shelby,Male,White,25-29,Republican,Conservative,"$15,000-$29,999",Better today,Protestant,Yes,Before that,,Strongly approve,Strongly approve,White male,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,North,"City: 50,000 to 500,000","City over 50,000",5.0,35805.0
1481290.0,Alabama,51.0,State,1.0,Call 1,0.841489493846893,Kerry,Sowell,Female,Black,25-29,Democrat,Moderate,"$15,000-$29,999",About the same,Other Christian,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1490129.0,Alabama,1.0,State,1.0,Call 1,0.497121930122375,Kerry,Sowell,Male,White,50-59,Independent,Liberal,"$30,000-$49,999",Worse today,Protestant,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,South,Suburbs,Suburbs,1.0,36530.0
1508879.0,Alabama,18.0,State,1.0,Call 2,0.593356609344482,Bush,Shelby,Female,White,50-59,Republican,Conservative,"$100,000-$149,999",About the same,Protestant,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1484611.0,Alabama,32.0,State,1.0,Call 1,1.22548747062683,Kerry,Sowell,Male,Black,50-59,Democrat,Moderate,"$30,000-$49,999",Worse today,None,No,Before that,For your candidate,Somewhat disapprove,Strongly disapprove,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,North central,Suburbs,Suburbs,2.0,36092.0
1486641.0,Alabama,32.0,State,1.0,Call 1,1.02383100986481,Bush,Shelby,Female,White,30-39,Democrat,Moderate,"$30,000-$49,999",Better today,Protestant,Yes,Just today,For your candidate,Somewhat approve,Somewhat approve,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,North central,Suburbs,Suburbs,2.0,36092.0
1489849.0,Alabama,18.0,State,1.0,Call 1,0.652413249015808,Bush,Shelby,Male,White,25-29,Republican,,,Omit,Mormon/LDS,Yes,Just today,For your candidate,Strongly approve,Strongly approve,White male,18-29,25-29,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1526522.0,Alabama,68.0,National,1.0,Call 3,1.52438676357269,Kerry,Sowell,Male,Black,30-39,Democrat,Liberal,"$15,000-$29,999",Worse today,Other Christian,No,Before that,,Strongly disapprove,Somewhat disapprove,Non-white male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,North,"City: 50,000 to 500,000","City over 50,000",5.0,35805.0
1508873.0,Alabama,1.0,State,1.0,Call 2,0.705613255500793,Bush,Shelby,Female,White,50-59,,Moderate,"$30,000-$49,999",Better today,Other Christian,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White female,45-59,50-64,18-64,,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,Suburbs,Suburbs,1.0,36530.0
1483502.0,Alabama,6.0,State,1.0,Call 1,1.55091726779938,Bush,Shelby,Female,White,,,Conservative,,Omit,,,Omit,Omit,Strongly approve,Strongly approve,White female,,,,,,,,,All others,All others,Strongly/Somewhat approve,Omit,Omit,Strongly/Somewhat approve,White,North central,Suburbs,Suburbs,4.0,35031.0
1528724.0,Alabama,38.0,State,1.0,Call 3,1.20059859752655,Bush,Shelby,Male,White,45-49,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,No,Before that,For your candidate,Somewhat approve,Somewhat disapprove,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Jefferson county,Suburbs,Suburbs,7.0,35022.0
1491981.0,Alabama,18.0,State,1.0,Call 1,0.593356609344482,Bush,Shelby,Female,White,50-59,Republican,Conservative,"$75,000-$99,999",About the same,Protestant,Yes,Before that,For your candidate,Somewhat approve,Somewhat approve,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1516588.0,Alabama,28.0,State,1.0,Call 2,0.806274116039276,Kerry,,Female,White,45-49,Democrat,Liberal,"$15,000-$29,999",Worse today,None,No,In the last three days,For your candidate,Somewhat approve,Somewhat approve,White female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,North,Rural,Small cities and Rural,4.0,35962.0
1490115.0,Alabama,1.0,State,1.0,Call 1,0.497121930122375,Kerry,Sowell,Male,White,50-59,Independent,Conservative,"$50,000-$74,999",About the same,Catholic,No,In the last three days,Against his opponent,Strongly disapprove,Strongly disapprove,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,South,Suburbs,Suburbs,1.0,36530.0
1508865.0,Alabama,10.0,National,4.0,Call 3,1.04430770874023,Bush,Shelby,Female,White,45-49,Democrat,Conservative,"Under $15,000",,,,Before that,,,,White female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,White,North central,"City: 10,000 to 49,999",Small cities and Rural,3.0,36201.0
1509304.0,Alabama,44.0,State,1.0,Call 2,1.5329065322876,Kerry,,Female,Black,50-59,,Moderate,"Under $15,000",About the same,Other Christian,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,Non-white female,45-59,50-64,18-64,,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,Suburbs,Suburbs,6.0,35172.0
1509966.0,Alabama,44.0,State,1.0,Call 2,1.29240584373474,Bush,Shelby,Female,White,25-29,Republican,Moderate,"$30,000-$49,999",Better today,Something else,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Something else,White Something else,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Jefferson county,Suburbs,Suburbs,6.0,35172.0
1490906.0,Alabama,18.0,State,1.0,Call 1,0.813467144966125,Bush,,Male,White,75 or over,Republican,Conservative,"$15,000-$29,999",Better today,Catholic,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1480181.0,Alabama,80.0,State,1.0,Call 1,0.767873287200928,Bush,Shelby,Female,White,30-39,Republican,Moderate,"$75,000-$99,999",Better today,Other Christian,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Black belt,"City: 50,000 to 500,000","City over 50,000",2.0,36109.0
1526506.0,Alabama,51.0,State,1.0,Call 3,1.04816973209381,Kerry,Sowell,Female,Black,60-64,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1505548.0,Alabama,6.0,State,1.0,Call 2,1.19049608707428,Kerry,Did not vote,Male,White,,Democrat,Moderate,,Omit,,,Before that,Against his opponent,Omit,Omit,White male,,,,Democrat,,,,,All others,All others,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,White,North central,Suburbs,Suburbs,4.0,35031.0
1490103.0,Alabama,1.0,State,1.0,Call 1,0.497121930122375,Kerry,Sowell,Male,White,45-49,Democrat,Moderate,"$100,000-$149,999",About the same,Protestant,Yes,Before that,Against his opponent,Strongly disapprove,Somewhat approve,White male,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,Suburbs,Suburbs,1.0,36530.0
1508010.0,Alabama,18.0,State,1.0,Call 2,0.627585649490356,Bush,Shelby,Male,White,50-59,Independent,Conservative,"$75,000-$99,999",Better today,Protestant,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1526191.0,Alabama,51.0,State,1.0,Call 3,0.809466660022736,Kerry,Sowell,Female,Black,45-49,Democrat,Moderate,"$30,000-$49,999",Worse today,Something else,,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",7.0,35208.0
1509954.0,Alabama,1.0,State,1.0,Call 2,0.966399312019348,Bush,Shelby,Male,White,65-74,Republican,Moderate,"$50,000-$74,999",Better today,Protestant,Yes,Before that,For your candidate,Somewhat approve,Somewhat approve,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,Suburbs,Suburbs,1.0,36530.0
1528704.0,Alabama,99.0,National,4.0,Call 3,1.16022109985352,Kerry,Sowell,Male,Black,18-24,Something Else,Moderate,"$15,000-$29,999",,,,Before that,,,,Non-white male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Black,North central,Suburbs,Suburbs,3.0,36078.0
1524291.0,Alabama,80.0,State,1.0,Call 3,0.844299495220184,Bush,Shelby,Male,White,25-29,Republican,Moderate,"$50,000-$74,999",Better today,Other Christian,No,Just today,For your candidate,Somewhat approve,Somewhat approve,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,Black belt,"City: 50,000 to 500,000","City over 50,000",2.0,36109.0
1492303.0,Alabama,18.0,State,1.0,Call 1,0.812653958797455,Bush,Shelby,Male,White,60-64,Republican,Conservative,,Better today,Protestant,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White male,60 or over,50-64,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1490096.0,Alabama,18.0,State,1.0,Call 1,0.617447257041931,Bush,,Female,White,25-29,Democrat,Conservative,,Omit,Mormon/LDS,Yes,Just today,For your candidate,Strongly approve,Strongly approve,White female,18-29,25-29,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1480307.0,Alabama,80.0,State,1.0,Call 1,1.05166983604431,Bush,Shelby,Male,White,60-64,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,Yes,Before that,For your candidate,Somewhat approve,Somewhat approve,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Black belt,"City: 50,000 to 500,000","City over 50,000",2.0,36109.0
1507737.0,Alabama,1.0,State,1.0,Call 2,0.705613255500793,Bush,Shelby,Female,White,30-39,Republican,Conservative,"$30,000-$49,999",Better today,Other Christian,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,Suburbs,Suburbs,1.0,36530.0
1509942.0,Alabama,68.0,National,1.0,Call 2,1.16183233261108,Kerry,Sowell,Male,White,75 or over,Democrat,Moderate,"$30,000-$49,999",Worse today,Protestant,Yes,Before that,,Strongly disapprove,Strongly disapprove,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,North,"City: 50,000 to 500,000","City over 50,000",5.0,35805.0
1481263.0,Alabama,94.0,State,1.0,Call 1,1.15864837169647,Kerry,Sowell,Female,Black,40-44,Democrat,Moderate,"$30,000-$49,999",Worse today,Other Christian,Yes,Before that,Against his opponent,Somewhat disapprove,Somewhat disapprove,Non-white female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Black belt,Rural,Small cities and Rural,7.0,35470.0
1505748.0,Alabama,6.0,State,1.0,Call 2,0.668858230113983,Kerry,Sowell,Female,White,45-49,Something Else,Liberal,"$15,000-$29,999",About the same,Jewish,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Jewish,White Jewish,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,North central,Suburbs,Suburbs,4.0,35031.0
1509938.0,Alabama,18.0,State,1.0,Call 2,0.627585649490356,Bush,Shelby,Male,White,45-49,Republican,Conservative,"$100,000-$149,999",Better today,Other Christian,Yes,Before that,For your candidate,Strongly approve,Strongly approve,White male,45-59,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,36330.0
1526920.0,Alabama,99.0,National,3.0,Call 3,1.05519759654999,Kerry,Sowell,Female,Black,30-39,Democrat,Liberal,"$15,000-$29,999",,Other Christian,Yes,,For your candidate,,,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,,,,,Black,North central,Suburbs,Suburbs,3.0,36078.0
1526480.0,Alabama,28.0,State,1.0,Call 3,1.11096560955048,Bush,Shelby,Female,White,40-44,Republican,Moderate,"$30,000-$49,999",Better today,Protestant,Yes,Sometime last week,Against his opponent,Somewhat approve,Strongly disapprove,White female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,North,Rural,Small cities and Rural,4.0,35962.0
1525376.0,Alabama,68.0,National,3.0,Call 3,1.64910101890564,Bush,Shelby,Female,White,60-64,Independent,Moderate,"$50,000-$74,999",,Protestant,No,,For your candidate,,,White female,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,,,,,White,North,"City: 50,000 to 500,000","City over 50,000",5.0,35805.0
1525374.0,Alabama,1.0,State,1.0,Call 3,0.705613255500793,Bush,Shelby,Female,Other,30-39,Republican,Conservative,"$30,000-$49,999",About the same,Something else,No,Before that,For your candidate,Strongly approve,Somewhat approve,Non-white female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Something else,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Other,South,Suburbs,Suburbs,1.0,36530.0
1506622.0,Alabama,1.0,State,1.0,Call 2,0.954151809215546,Kerry,Shelby,Female,,75 or over,Independent,Conservative,"Under $15,000",About the same,Protestant,Yes,During the last month,For your candidate,Strongly disapprove,Strongly disapprove,,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,South,Suburbs,Suburbs,1.0,36530.0
1526475.0,Alabama,99.0,National,3.0,Call 3,1.05519759654999,Kerry,Sowell,Female,Black,30-39,Democrat,Conservative,"Under $15,000",,None,No,,For your candidate,,,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,All others,,,,,Black,North central,Suburbs,Suburbs,3.0,36078.0
