ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESKS04,SENKS04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1483513.0,Kansas,42.0,State,1.0,Call 1,0.926275491714478,Bush,Jones,Male,White,45-49,Republican,Moderate,"$100,000-$149,999",Worse today,None,No,No,During the last month,Against his opponent,Somewhat approve,Somewhat approve,White male,45-59,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",None,White None,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,Suburbs,Suburbs,4.0,67215.0
1483512.0,Kansas,45.0,State,1.0,Call 1,0.9542116522789,Kerry,Jones,Male,White,25-29,Democrat,Moderate,"$30,000-$49,999",Worse today,Other Christian,No,No,Before that,For your candidate,Strongly disapprove,Somewhat disapprove,White male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1481305.0,Kansas,24.0,State,1.0,Call 1,1.08961594104767,Kerry,Jones,Male,White,40-44,Independent,Moderate,"$50,000-$74,999",Worse today,Other Christian,No,,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Topeka/Kansas City area,Suburbs,Suburbs,2.0,66086.0
1485314.0,Kansas,12.0,State,1.0,Call 1,1.11637151241302,Kerry,Brownback,Male,Other,40-44,Republican,Moderate,"$50,000-$74,999",Worse today,Catholic,Yes,No,Before that,Against his opponent,Somewhat disapprove,Somewhat disapprove,Non-white male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Other,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67846.0
1511083.0,Kansas,33.0,State,1.0,Call 2,0.747036039829254,Bush,Brownback,Male,White,30-39,Independent,Moderate,"$15,000-$29,999",About the same,None,No,,During the last month,Against his opponent,Somewhat approve,Strongly approve,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,"City: 10,000 to 49,999",Small cities and Rural,1.0,67502.0
1509979.0,Kansas,45.0,State,1.0,Call 2,0.841502487659454,Kerry,Brownback,Female,Hispanic/Latino,25-29,Independent,Liberal,"Under $15,000",Better today,Catholic,No,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Catholic,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Hispanic/Latino,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1483505.0,Kansas,12.0,State,1.0,Call 1,0.978081941604614,Kerry,Jones,Female,White,75 or over,Democrat,Moderate,"Under $15,000",About the same,Protestant,Yes,,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67846.0
1511079.0,Kansas,35.0,State,1.0,Call 2,0.989429354667664,Bush,Brownback,Female,White,75 or over,Republican,Conservative,"$30,000-$49,999",Worse today,Protestant,Yes,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67401.0
1485709.0,Kansas,46.0,National,2.0,Call 1,0.886053681373596,Kerry,Jones,Male,White,25-29,Democrat,Liberal,"$75,000-$99,999",About the same,None,No,No,Before that,,Strongly disapprove,Strongly disapprove,White male,18-29,25-29,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1510167.0,Kansas,45.0,State,1.0,Call 2,0.9542116522789,Kerry,Jones,Male,White,18-24,Something Else,,"$15,000-$29,999",About the same,None,No,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1486809.0,Kansas,29.0,National,3.0,Call 1,1.99157512187958,Bush,Brownback,Male,White,30-39,Independent,Moderate,"$15,000-$29,999",,Other Christian,Yes,No,,For your candidate,,,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,,,,,White,Rural counties,Rural,Small cities and Rural,1.0,67420.0
1508867.0,Kansas,39.0,State,1.0,Call 2,0.693712174892426,Bush,Brownback,Male,White,18-24,Democrat,Liberal,"$30,000-$49,999",About the same,Protestant,No,No,Before that,Against his opponent,Somewhat approve,Somewhat approve,White male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,"City: 50,000 to 500,000","City over 50,000",4.0,67218.0
1512175.0,Kansas,46.0,National,3.0,Call 2,0.72261369228363,Bush,Brownback,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",,Protestant,Yes,No,,For your candidate,,,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,,,,,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1484599.0,Kansas,46.0,National,4.0,Call 1,0.800013601779938,Bush,Brownback,Male,White,75 or over,,,,,,,No,Before that,,,,White male,60 or over,65 or over,65 or over,,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1512172.0,Kansas,20.0,National,4.0,Call 2,0.844412088394165,Bush,Brownback,Male,White,18-24,,,,,,,No,Sometime last week,,,,White male,18-29,18-24,18-64,,,,,,,,,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66227.0
1532024.0,Kansas,39.0,State,1.0,Call 3,1.04563462734222,Kerry,Brownback,Female,White,30-39,Democrat,Moderate,"$30,000-$49,999",Worse today,Other Christian,No,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Wichita area,"City: 50,000 to 500,000","City over 50,000",4.0,67218.0
1536434.0,Kansas,46.0,National,3.0,Call 3,0.886053681373596,Kerry,Jones,Male,White,25-29,Independent,Moderate,"$50,000-$74,999",,Protestant,No,No,,For your candidate,,,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,,,,,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1534225.0,Kansas,12.0,State,1.0,Call 3,0.788839221000671,Kerry,Jones,Female,Hispanic/Latino,25-29,Democrat,Moderate,"$15,000-$29,999",Better today,,Yes,Yes,Just today,For your candidate,Somewhat disapprove,Somewhat disapprove,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",,All others,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Hispanic/Latino,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67846.0
1509958.0,Kansas,20.0,National,1.0,Call 2,0.788160562515259,Bush,Brownback,Female,White,25-29,Republican,Moderate,"$75,000-$99,999",Better today,Other Christian,No,No,In the last three days,,Somewhat approve,Somewhat approve,White female,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66227.0
1484588.0,Kansas,33.0,State,1.0,Call 1,0.771956741809845,Bush,Brownback,Female,White,60-64,Republican,Conservative,"$100,000-$149,999",About the same,Catholic,No,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,60 or over,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,"City: 10,000 to 49,999",Small cities and Rural,1.0,67502.0
1483484.0,Kansas,39.0,State,1.0,Call 1,0.690146684646606,Kerry,Jones,Female,White,18-24,Something Else,Moderate,"$75,000-$99,999",About the same,Protestant,No,No,Before that,Against his opponent,Strongly approve,Strongly disapprove,White female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Wichita area,"City: 50,000 to 500,000","City over 50,000",4.0,67218.0
1484584.0,Kansas,16.0,State,1.0,Call 1,1.02000224590302,Bush,Brownback,Female,White,40-44,Independent,Conservative,"$200,000 or more",Better today,Catholic,No,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66207.0
1485545.0,Kansas,3.0,State,1.0,Call 1,0.868454992771149,Bush,Brownback,Male,Black,30-39,Independent,Moderate,"$50,000-$74,999",Better today,Other Christian,No,No,Before that,For your candidate,Strongly approve,Somewhat disapprove,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Black,Wichita area,Suburbs,Suburbs,4.0,67133.0
1511053.0,Kansas,42.0,State,1.0,Call 2,2.00041079521179,Kerry,Brownback,Male,White,65-74,Independent,Moderate,"$50,000-$74,999",Worse today,Protestant,Yes,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Wichita area,Suburbs,Suburbs,4.0,67215.0
1488990.0,Kansas,25.0,National,2.0,Call 1,1.94952535629272,Kerry,Jones,Female,White,30-39,Democrat,Moderate,"Under $15,000",About the same,Other Christian,No,No,During the last month,,Somewhat disapprove,Somewhat disapprove,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Kansas City suburbs/Southeast,Rural,Small cities and Rural,2.0,66075.0
1485680.0,Kansas,33.0,State,1.0,Call 1,0.697271287441254,Bush,Brownback,Female,White,40-44,Republican,Conservative,"$30,000-$49,999",Worse today,Catholic,No,No,During the last month,For your candidate,Somewhat approve,Somewhat disapprove,White female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Wichita area,"City: 10,000 to 49,999",Small cities and Rural,1.0,67502.0
1534211.0,Kansas,19.0,State,1.0,Call 3,1.11763679981232,Bush,Brownback,Male,White,30-39,Republican,Moderate,"$50,000-$74,999",Better today,Catholic,No,No,Just today,Against his opponent,Somewhat approve,Somewhat approve,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66218.0
1484572.0,Kansas,39.0,State,1.0,Call 1,0.725162148475647,Bush,Brownback,Female,White,45-49,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,Yes,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,"City: 50,000 to 500,000","City over 50,000",4.0,67218.0
1486775.0,Kansas,46.0,National,1.0,Call 1,0.926223635673523,Kerry,Jones,Female,Hispanic/Latino,50-59,Democrat,Moderate,"Under $15,000",Worse today,Catholic,No,Yes,Before that,,Strongly disapprove,Somewhat disapprove,Non-white female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Hispanic/Latino,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1513244.0,Kansas,29.0,National,2.0,Call 2,1.86940288543701,Bush,Jones,Male,White,60-64,Democrat,Conservative,"$75,000-$99,999",Worse today,Catholic,No,No,In the last three days,,Somewhat approve,Somewhat disapprove,White male,60 or over,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,White,Rural counties,Rural,Small cities and Rural,1.0,67420.0
1536406.0,Kansas,3.0,State,1.0,Call 3,0.990928590297699,Kerry,Jones,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",Worse today,Other Christian,Yes,No,Before that,For your candidate,Somewhat disapprove,Somewhat approve,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,Suburbs,Suburbs,4.0,67133.0
1509933.0,Kansas,33.0,State,1.0,Call 2,3.01843881607056,Bush,Other,Male,White,60-64,Independent,Conservative,"Under $15,000",Worse today,Other Christian,Yes,No,Before that,Against his opponent,Strongly approve,Somewhat approve,White male,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,"City: 10,000 to 49,999",Small cities and Rural,1.0,67502.0
1484563.0,Kansas,20.0,National,3.0,Call 1,0.945692658424377,Bush,Brownback,Male,White,30-39,Republican,Conservative,"$100,000-$149,999",,Protestant,No,No,,For your candidate,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,,,,,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66227.0
1485525.0,Kansas,35.0,State,1.0,Call 1,0.957488000392914,Bush,Brownback,Male,White,40-44,Republican,Conservative,"$30,000-$49,999",About the same,Protestant,No,,Before that,For your candidate,Strongly approve,Strongly approve,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67401.0
1481252.0,Kansas,24.0,State,1.0,Call 1,1.08961594104767,Kerry,Jones,Male,White,30-39,Democrat,Moderate,"$30,000-$49,999",Worse today,Other Christian,No,No,Before that,Omit,Strongly disapprove,Strongly disapprove,White male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Topeka/Kansas City area,Suburbs,Suburbs,2.0,66086.0
1509929.0,Kansas,16.0,State,1.0,Call 2,1.09280037879944,Bush,Brownback,Male,White,50-59,Republican,Conservative,"$150,000-$199,999",Better today,Protestant,No,No,Before that,For your candidate,Strongly approve,Somewhat approve,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66207.0
1485661.0,Kansas,35.0,State,1.0,Call 1,0.662590682506561,Kerry,Jones,Female,White,45-49,Independent,Liberal,"$50,000-$74,999",About the same,Protestant,No,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67401.0
1483451.0,Kansas,42.0,State,1.0,Call 1,1.19258534908295,Kerry,Jones,Male,White,25-29,Independent,Liberal,"$30,000-$49,999",About the same,Other Christian,No,No,During the last month,For your candidate,Somewhat disapprove,Somewhat disapprove,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Wichita area,Suburbs,Suburbs,4.0,67215.0
1482344.0,Kansas,24.0,State,1.0,Call 1,1.01702988147736,Kerry,Jones,Female,Hispanic/Latino,30-39,Democrat,Moderate,"$100,000-$149,999",About the same,None,No,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",None,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Hispanic/Latino,Topeka/Kansas City area,Suburbs,Suburbs,2.0,66086.0
