ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESOK04,SENOK04,QST711OK,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,EXTOKSEN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,CARSEXTR,COBUEXTR,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1530429.0,Oklahoma,71.0,National,2.0,Call 3,Complete,1.26719582080841,Bush,Other,Yes,Female,Other,40-44,Independent,Moderate,"$75,000-$99,999",Better today,Catholic,No,No,Before that,,Moral values,Omit,Somewhat approve,Somewhat disapprove,Less safe from terrorism,,,Non-white female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,,American Indian,West,Suburbs,Suburbs,5.0,74852.0
1488434.0,Oklahoma,61.0,State,1.0,Call 1,Complete,0.881864428520203,Kerry,Carson,No,Male,Black,40-44,Democrat,Liberal,"Under $15,000",About the same,None,No,No,Just today,For your candidate,Taxes,Will bring about needed change,Strongly approve,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Both are too extreme,Non-white male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Carson/Both too extreme,Coburn/Both too extreme,Black,Oklahoma City area,Suburbs,Suburbs,5.0,73084.0
1508430.0,Oklahoma,9.0,State,1.0,Call 2,Complete,1.38564276695251,Kerry,Carson,Yes,Female,White,75 or over,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Yes,No,Just today,For your candidate,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Neither is too extreme,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Coburn/Neither too extreme,Carson/Neither too extreme,White,East,Rural,Small cities and Rural,2.0,74727.0
1528093.0,Oklahoma,46.0,State,1.0,Call 3,Not complete,0.969961166381836,Kerry,Carson,Yes,Female,Black,25-29,,,,,,,No,Before that,For your candidate,Terrorism,Will bring about needed change,Strongly disapprove,,,,,Non-white female,18-29,25-29,18-64,,,,,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,Black,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73013.0
1486097.0,Oklahoma,61.0,State,1.0,Call 1,Complete,0.838728547096252,Kerry,Carson,No,Female,Black,25-29,Independent,Moderate,"$50,000-$74,999",About the same,Other Christian,No,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Neither is too extreme,Non-white female,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Coburn/Neither too extreme,Carson/Neither too extreme,Black,Oklahoma City area,Suburbs,Suburbs,5.0,73084.0
1530423.0,Oklahoma,61.0,State,1.0,Call 3,Complete,0.881864428520203,Kerry,Carson,No,Male,Hispanic/Latino,50-59,Democrat,Liberal,"$30,000-$49,999",Better today,None,Yes,Yes,Before that,For your candidate,Education,Has strong religious faith,Strongly disapprove,Somewhat approve,Less safe from terrorism,Only John Kerry,Tom Coburn is too extreme,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Kerry/Neither,Only Kerry/Both,Coburn/Neither too extreme,Coburn/Both too extreme,Black,Oklahoma City area,Suburbs,Suburbs,5.0,73084.0
1481429.0,Oklahoma,46.0,State,1.0,Call 1,Complete,1.05837714672089,Bush,Coburn,Yes,Male,White,18-24,Republican,Conservative,"$100,000-$149,999",About the same,Other Christian,No,No,Before that,For your candidate,Education,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Neither is too extreme,White male,18-29,18-24,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Coburn/Neither too extreme,Carson/Neither too extreme,White,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73013.0
1530420.0,Oklahoma,20.0,State,1.0,Call 3,Complete,0.930155098438263,Bush,Coburn,Yes,Male,White,40-44,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,Yes,No,Before that,For your candidate,Economy/Jobs,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither is too extreme,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Coburn/Neither too extreme,Carson/Neither too extreme,White,West,Rural,Small cities and Rural,3.0,73096.0
1506644.0,Oklahoma,72.0,State,1.0,Call 2,Complete,0.885331034660339,Bush,Coburn,Yes,Female,,18-24,Republican,Moderate,"Under $15,000",About the same,Protestant,Yes,No,Before that,For your candidate,Moral values,Will bring about needed change,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Neither is too extreme,,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Coburn/Neither too extreme,Carson/Neither too extreme,,Tulsa area,Suburbs,Suburbs,2.0,74017.0
1507085.0,Oklahoma,54.0,State,1.0,Call 2,Not complete,0.849834561347961,Bush,,No,Female,White,40-44,,,,,,,No,During the last month,Against his opponent,Terrorism,Has strong religious faith,Somewhat disapprove,,,,,White female,30-44,40-49,18-64,,,,,,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,White,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73127.0
1483754.0,Oklahoma,72.0,State,1.0,Call 1,Complete,0.638102233409882,Bush,Coburn,No,Female,White,45-49,Independent,Moderate,"$50,000-$74,999",Worse today,None,No,No,Before that,Against his opponent,Taxes,Has clear stands on the issues,Somewhat approve,Strongly disapprove,Omit,Both of them,Omit,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,Omit,Omit,White,Tulsa area,Suburbs,Suburbs,2.0,74017.0
1532745.0,Oklahoma,14.0,National,4.0,Call 3,Complete,0.927954196929932,Bush,Carson,Yes,Male,White,18-24,Republican,Moderate,"$50,000-$74,999",,,,No,Before that,,,,,,,Only George W. Bush,,White male,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,,,White,West,"City: 50,000 to 500,000","City over 50,000",4.0,73505.0
1530409.0,Oklahoma,86.0,State,1.0,Call 3,Complete,1.12149083614349,Bush,Coburn,Yes,Female,White,50-59,Republican,Conservative,"$100,000-$149,999",Better today,Protestant,No,No,Before that,For your candidate,Taxes,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both are too extreme,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Coburn/Both too extreme,White,Tulsa area,"City: 50,000 to 500,000","City over 50,000",1.0,74135.0
1507077.0,Oklahoma,85.0,State,1.0,Call 2,Not complete,1.63551163673401,Kerry,Carson,Yes,Male,Black,18-24,,,,,,,,Just today,For your candidate,Taxes,Cares about people like me,Strongly approve,,,,,Non-white male,18-29,18-24,18-64,,,,,All others,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,,,Black,Tulsa area,"City: 50,000 to 500,000","City over 50,000",1.0,74135.0
1530405.0,Oklahoma,85.0,State,1.0,Call 3,Complete,0.905126452445984,Kerry,Carson,No,Male,White,30-39,Democrat,Moderate,"$30,000-$49,999",Worse today,Other Christian,Yes,No,Before that,For your candidate,Terrorism,Has strong religious faith,Strongly approve,Strongly disapprove,Less safe from terrorism,Neither of them,Both are too extreme,White male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Carson/Both too extreme,Coburn/Both too extreme,White,Tulsa area,"City: 50,000 to 500,000","City over 50,000",1.0,74135.0
1488410.0,Oklahoma,49.0,State,1.0,Call 1,Complete,0.874650299549103,Bush,Coburn,No,Female,Other,45-49,Something Else,Moderate,"$30,000-$49,999",About the same,Protestant,Yes,,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Both are too extreme,Non-white female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Coburn/Both too extreme,American Indian,Oklahoma City area,Suburbs,Suburbs,4.0,73110.0
1486076.0,Oklahoma,98.0,State,1.0,Call 1,Complete,0.922586143016815,Bush,Coburn,Yes,Female,White,60-64,Republican,Moderate,"$50,000-$74,999",Better today,Protestant,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Brad Carson is too extreme,White female,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Carson/Neither too extreme,White,Tulsa area,"City: 10,000 to 49,999",Small cities and Rural,1.0,74003.0
1483741.0,Oklahoma,91.0,State,1.0,Call 1,Complete,2.88734984397888,Bush,Coburn,Yes,Male,White,50-59,Republican,Moderate,"$100,000-$149,999",Better today,Protestant,Yes,No,During the last month,For your candidate,Omit,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Both are too extreme,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Coburn/Both too extreme,White,Tulsa area,"City: 50,000 to 500,000","City over 50,000",1.0,74133.0
1483738.0,Oklahoma,58.0,State,1.0,Call 1,Complete,0.719125986099243,Kerry,Carson,No,Male,White,50-59,Democrat,Liberal,"$30,000-$49,999",Worse today,None,No,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Both are too extreme,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Carson/Both too extreme,Coburn/Both too extreme,White,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73132.0
1486444.0,Oklahoma,37.0,National,2.0,Call 1,Complete,0.880300164222717,Bush,Carson,Yes,Male,White,45-49,Democrat,Moderate,"$75,000-$99,999",About the same,Protestant,No,No,Before that,,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,,,White male,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,,White,West,Rural,Small cities and Rural,3.0,73768.0
1530392.0,Oklahoma,50.0,State,1.0,Call 3,Complete,1.04248976707458,Bush,Coburn,Yes,Male,White,50-59,Republican,Conservative,"$75,000-$99,999",About the same,Catholic,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,Brad Carson is too extreme,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Carson/Neither too extreme,White,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73120.0
1530391.0,Oklahoma,60.0,State,1.0,Call 3,Complete,0.493652403354645,Bush,Coburn,Yes,Female,White,40-44,Republican,Conservative,"$50,000-$74,999",About the same,Protestant,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Neither is too extreme,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Coburn/Neither too extreme,Carson/Neither too extreme,White,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73142.0
1483729.0,Oklahoma,37.0,National,1.0,Call 1,Complete,0.897147297859192,Bush,Coburn,Yes,Male,White,25-29,Republican,Conservative,"$30,000-$49,999",About the same,Other Christian,Yes,No,Before that,,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,White male,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,,White,West,Rural,Small cities and Rural,3.0,73768.0
1509391.0,Oklahoma,60.0,State,1.0,Call 2,Complete,0.493652403354645,Bush,Coburn,Yes,Female,White,30-39,Republican,Conservative,"$75,000-$99,999",Better today,Protestant,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Neither is too extreme,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Coburn/Neither too extreme,Carson/Neither too extreme,White,Oklahoma City area,"City over 500,000","City over 50,000",5.0,73142.0
1506614.0,Oklahoma,66.0,State,1.0,Call 2,Complete,0.799011290073395,Kerry,Carson,No,Female,White,30-39,Democrat,Moderate,"Under $15,000",Worse today,Other Christian,Yes,No,Before that,For your candidate,Iraq,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Tom Coburn is too extreme,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Coburn/Neither too extreme,Coburn/Both too extreme,White,Tulsa area,Rural,Small cities and Rural,3.0,74020.0
1483725.0,Oklahoma,79.0,State,1.0,Call 1,Complete,1.24552345275879,Bush,Coburn,Yes,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",About the same,Other Christian,Yes,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Brad Carson is too extreme,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Carson/Neither too extreme,White,Tulsa area,"City: 50,000 to 500,000","City over 50,000",1.0,74115.0
1502085.0,Oklahoma,98.0,State,1.0,Call 1,Complete,0.60181587934494,Kerry,Carson,,Female,White,18-24,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,Yes,No,Before that,Against his opponent,Moral values,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Tom Coburn is too extreme,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Coburn/Neither too extreme,Coburn/Both too extreme,White,Tulsa area,"City: 10,000 to 49,999",Small cities and Rural,1.0,74003.0
1530381.0,Oklahoma,66.0,State,1.0,Call 3,Complete,1.32903265953064,Kerry,Carson,Yes,Male,White,18-24,Democrat,Moderate,"$50,000-$74,999",Better today,Other Christian,Yes,,Just today,Against his opponent,Economy/Jobs,Is intelligent,Somewhat disapprove,Strongly approve,Safer from terrorism,Both of them,Neither is too extreme,White male,18-29,18-24,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,Coburn/Neither too extreme,Carson/Neither too extreme,White,Tulsa area,Rural,Small cities and Rural,3.0,74020.0
1483720.0,Oklahoma,20.0,State,1.0,Call 1,Complete,0.853949844837189,Bush,Coburn,Yes,Female,White,50-59,Republican,Conservative,"$75,000-$99,999",Better today,Protestant,Yes,No,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Brad Carson is too extreme,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Carson/Both too extreme,Carson/Neither too extreme,White,West,Rural,Small cities and Rural,3.0,73096.0
1507049.0,Oklahoma,17.0,State,1.0,Call 2,Complete,0.913165092468262,Bush,,,Female,White,25-29,Republican,,"$15,000-$29,999",Worse today,Other Christian,Yes,,Before that,For your candidate,Moral values,Has strong religious faith,Omit,Omit,Omit,Omit,Omit,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Omit,Omit,Omit,White,West,Rural,Small cities and Rural,3.0,73601.0
