ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESNV04,SENNV04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,MARRIED,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECNV,MOVETONV,YUCCAMTN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1467140.0,Nevada,,National,2.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,White,75 or over,Democrat,Moderate,No,,About the same,Other Christian,High school graduate,No one does,Yes,No,,,Health care,Has strong religious faith,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,Married women,White,Clark County,Suburbs,Suburbs,,89103.0
1467141.0,Nevada,,National,2.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Female,White,50-59,Republican,Conservative,No,"$30,000-$49,999",About the same,Catholic,Some college/associate degree,No one does,No,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",,89123.0
1467142.0,Nevada,,National,2.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Female,White,50-59,,Liberal,No,"$100,000-$149,999",Worse today,Protestant,College graduate,No one does,Yes,No,,,Education,Omit,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,Omit,,,,White female,45-59,50-64,18-64,,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Omit,,,,,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1467143.0,Nevada,,National,2.0,,Complete,Phone survey,2.18253946304321,Bush,Reid,Female,White,50-59,Democrat,Moderate,No,,Better today,Protestant,College graduate,No one does,No,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Very well,,,,White female,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89101.0
1467144.0,Nevada,,National,2.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Male,White,50-59,Independent,Moderate,No,"$100,000-$149,999",About the same,Catholic,Postgraduate study,No one does,Yes,No,,,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89108.0
1467145.0,Nevada,,National,2.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Male,White,50-59,Republican,Moderate,No,"$150,000-$199,999",About the same,Protestant,Postgraduate study,No one does,Yes,No,,,Terrorism,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,No one in household is union member,Voter is not union member,All others,White,Rural Counties,"City: 10,000 to 49,999",Small cities and Rural,,89410.0
1467146.0,Nevada,,National,2.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,40-44,Something Else,Moderate,Yes,,About the same,None,College graduate,No one does,No,No,,,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,30-44,40-49,18-64,Independent,,,None,White None,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,,89103.0
1467147.0,Nevada,,National,2.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,Hispanic/Latino,65-74,Democrat,Conservative,No,"Under $15,000",Worse today,Other Christian,Some college/associate degree,No one does,No,Yes,,,Moral values,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Somewhat badly,,,,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,No one in household is union member,Voter is not union member,All others,Other,Clark County,"City over 500,000","City over 50,000",,89110.0
1467639.0,Nevada,,National,3.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,50-59,Independent,Moderate,,"$30,000-$49,999",,Catholic,,,No,No,,Against his opponent,,,,,,,,,,,,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,,,,,,,,,,,,,All others,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1467640.0,Nevada,,National,3.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,White,75 or over,Democrat,Moderate,,,,Other Christian,,,Yes,No,,Against his opponent,,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,,,,,,,,,,,,,Married women,White,Clark County,Suburbs,Suburbs,,89103.0
1467641.0,Nevada,,National,3.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Female,White,50-59,Republican,Conservative,,"$30,000-$49,999",,Catholic,,,No,No,,Against his opponent,,,,,,,,,,,,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,,,,,,,,,,,,,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",,89123.0
1467642.0,Nevada,,National,3.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Female,White,50-59,,Liberal,,"$100,000-$149,999",,Protestant,,,Yes,No,,Omit,,,,,,,,,,,,White female,45-59,50-64,18-64,,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,,,,,,,,,,,,,Married women,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1467643.0,Nevada,,National,3.0,,Complete,Phone survey,2.18253946304321,Bush,Reid,Female,White,50-59,Democrat,Moderate,,,,Protestant,,,No,No,,Omit,,,,,,,,,,,,White female,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,,,,,,,,,,,,,All others,White,Clark County,"City over 500,000","City over 50,000",,89101.0
1467644.0,Nevada,,National,3.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Male,White,50-59,Independent,Moderate,,"$100,000-$149,999",,Catholic,,,Yes,No,,For your candidate,,,,,,,,,,,,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,,,,,,,,,,,,,All others,White,Clark County,"City over 500,000","City over 50,000",,89108.0
1467645.0,Nevada,,National,3.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Male,White,50-59,Republican,Moderate,,"$150,000-$199,999",,Protestant,,,Yes,No,,For your candidate,,,,,,,,,,,,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,,,,,,,,,,,,,All others,White,Rural Counties,"City: 10,000 to 49,999",Small cities and Rural,,89410.0
1467646.0,Nevada,,National,3.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,40-44,Something Else,Moderate,,,,None,,,No,No,,Against his opponent,,,,,,,,,,,,White male,30-44,40-49,18-64,Independent,,,None,White None,All others,,,,,,,,,,,,,All others,White,Clark County,Suburbs,Suburbs,,89103.0
1467647.0,Nevada,,National,3.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,Hispanic/Latino,65-74,Democrat,Conservative,,"Under $15,000",,Other Christian,,,No,Yes,,Against his opponent,,,,,,,,,,,,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,,,,,,,,,,,,,All others,Other,Clark County,"City over 500,000","City over 50,000",,89110.0
1468139.0,Nevada,,National,4.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,50-59,Independent,Moderate,,"$30,000-$49,999",,,High school graduate,"Yes, I do",No,No,,,,,,,,Only George W. Bush,Only John Kerry,,,,,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",,,,No degree,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1468140.0,Nevada,,National,4.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,White,75 or over,Democrat,Moderate,,,,,High school graduate,No one does,Yes,No,,,,,,,,Only John Kerry,Only John Kerry,,,,,White female,60 or over,65 or over,65 or over,Democrat,,,,,,No degree,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Clark County,Suburbs,Suburbs,,89103.0
1468141.0,Nevada,,National,4.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Female,White,50-59,Republican,Conservative,,"$30,000-$49,999",,,Some college/associate degree,No one does,No,No,,,,,,,,Only George W. Bush,Only George W. Bush,,,,,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",,,,No degree,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,"City: 50,000 to 500,000","City over 50,000",,89123.0
1468142.0,Nevada,,National,4.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Female,White,50-59,,Liberal,,"$100,000-$149,999",,,College graduate,No one does,Yes,No,,,,,,,,Only John Kerry,Omit,,,,,White female,45-59,50-64,18-64,,"$50,000 or more","$100,000 or more",,,,College graduate,,,,,,Omit,Omit,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",,89107.0
1468143.0,Nevada,,National,4.0,,Complete,Phone survey,2.18253946304321,Bush,Reid,Female,White,50-59,Democrat,Moderate,,,,,College graduate,No one does,No,No,,,,,,,,Only George W. Bush,Only George W. Bush,,,,,White female,45-59,50-64,18-64,Democrat,,,,,,College graduate,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89101.0
1468144.0,Nevada,,National,4.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Male,White,50-59,Independent,Moderate,,"$100,000-$149,999",,,Postgraduate study,No one does,Yes,No,,,,,,,,Only George W. Bush,Only George W. Bush,,,,,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",,,,College graduate,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89108.0
1468145.0,Nevada,,National,4.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Male,White,50-59,Republican,Moderate,,"$150,000-$199,999",,,Postgraduate study,No one does,Yes,No,,,,,,,,Only George W. Bush,Only George W. Bush,,,,,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",,,,College graduate,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Rural Counties,"City: 10,000 to 49,999",Small cities and Rural,,89410.0
1468146.0,Nevada,,National,4.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,40-44,Something Else,Moderate,,,,,College graduate,No one does,No,No,,,,,,,,Only John Kerry,Only John Kerry,,,,,White male,30-44,40-49,18-64,Independent,,,,,,College graduate,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,Suburbs,Suburbs,,89103.0
1468147.0,Nevada,,National,4.0,,Complete,Phone survey,1.22842562198639,Kerry,Reid,Female,Hispanic/Latino,65-74,Democrat,Conservative,,"Under $15,000",,,Some college/associate degree,No one does,No,Yes,,,,,,,,Omit,Only John Kerry,,,,,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",,,,No degree,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Omit,Omit,No one in household is union member,Voter is not union member,All others,Other,Clark County,"City over 500,000","City over 50,000",,89110.0
1471117.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Male,,30-39,Republican,Conservative,Yes,"$200,000 or more",Better today,Catholic,College graduate,No one does,Yes,No,,Against his opponent,Terrorism,Has clear stands on the issues,Somewhat approve,Strongly approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,I moved to NV more than 10 years ago,Very important,,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,,Clark County,"City over 500,000","City over 50,000",,89130.0
1471118.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Female,White,50-59,Republican,Conservative,No,"$50,000-$74,999",About the same,Protestant,High school graduate,No one does,Yes,No,,For your candidate,Taxes,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,Not so good,I moved to NV 5-10 years ago,Not too important,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",,89131.0
1471119.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Female,Black,50-59,Democrat,Conservative,No,"$30,000-$49,999",About the same,None,High school graduate,"Yes, I do",Yes,No,,For your candidate,Terrorism,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Omit,Only John Kerry,Very badly,Not so good,I moved to NV more than 10 years ago,Very important,Non-white female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Omit,Omit,Someone in household is union member,Voter is union member,Married women,Black,Clark County,"City over 500,000","City over 50,000",,89108.0
1471120.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Female,Other,40-44,Democrat,Liberal,No,"$75,000-$99,999",About the same,Catholic,College graduate,"Yes, someone else does",Yes,No,,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I moved to NV more than 10 years ago,Very important,Non-white female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,Married women,Other,Clark County,"City over 500,000","City over 50,000",,89130.0
1471121.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Kerry,,Female,Hispanic/Latino,18-24,Democrat,Liberal,Yes,"Under $15,000",Worse today,Catholic,Some college/associate degree,No one does,No,Yes,,Against his opponent,Health care,Has strong religious faith,Strongly disapprove,Strongly disapprove,Safer from terrorism,Neither of them,Neither of them,Very badly,Not so good,I moved to NV 5-10 years ago,Very important,Non-white female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,Hispanic/Latino,Clark County,"City over 500,000","City over 50,000",,89117.0
1471122.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Bush,Reid,Male,White,40-44,Republican,Conservative,Yes,"Under $15,000",Better today,Other Christian,High school graduate,"Yes, I do and someone else does",No,No,,Omit,Moral values,Is honest and trustworthy,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,Good,I moved to NV more than 10 years ago,Very important,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89101.0
1471123.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Kerry,Reid,Male,White,30-39,Something Else,Moderate,No,"Under $15,000",About the same,None,Some college/associate degree,No one does,Yes,No,,For your candidate,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Both of them,Very badly,Good,I was born in NV,Not too important,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89130.0
1471124.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Male,White,50-59,Republican,Conservative,No,"$75,000-$99,999",Better today,Jewish,College graduate,No one does,Yes,No,,For your candidate,Terrorism,Has clear stands on the issues,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,I moved to NV 5-10 years ago,Not at all important,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Jewish,White Jewish,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Clark County,"City over 500,000","City over 50,000",,89134.0
1471125.0,Nevada,,State,1.0,,Complete,Phone survey,2.48048663139343,Bush,Ziser,Female,White,40-44,Republican,Conservative,No,"$50,000-$74,999",About the same,Other Christian,College graduate,No one does,Yes,No,,Against his opponent,Moral values,Has clear stands on the issues,Strongly approve,Strongly approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,I moved to NV 5-10 years ago,Not too important,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Clark County,"City over 500,000","City over 50,000",,89130.0
