ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESVA04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,ATTEND,VETVOTER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,TERRWORR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,BUSH,TIME3D,TIMEWK,IRAQ2,TERWORR2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1497756.0,Virginia,4.0,State,1.0,Call 2,Complete,1.33791124820709,Bush,Female,White,75 or over,Independent,Conservative,,About the same,Protestant,A few times a month,Yes,Before that,Against his opponent,Taxes,Is a strong leader,Strongly approve,Somewhat disapprove,Only George W. Bush,Very worried,White female,60 or over,65 or over,65 or over,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Occasionally,Protestants/Non-weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,North,"City: 50,000 to 500,000","City over 50,000",8.0,22209.0
1472090.0,Virginia,107.0,State,1.0,Call 1,Complete,1.29569494724274,Bush,Female,White,30-39,Democrat,Conservative,"$30,000-$49,999",About the same,Catholic,More than once a week,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,Not too worried,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Not too/Not at all worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23456.0
1500085.0,Virginia,59.0,State,1.0,Call 2,Complete,1.18793988227844,Bush,Female,White,75 or over,Independent,Conservative,"$30,000-$49,999",About the same,Protestant,More than once a week,No,Before that,For your candidate,Omit,Has clear stands on the issues,Somewhat approve,Strongly approve,Both of them,Somewhat worried,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Kerry/Both,White,East/Richmond,Rural,Small cities and Rural,4.0,23824.0
1521081.0,Virginia,107.0,State,1.0,Call 3,Complete,1.38895452022552,Bush,Male,White,40-44,Something Else,Conservative,"$150,000-$199,999",Better today,Protestant,More than once a week,No,Before that,For your candidate,Terrorism,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Only George W. Bush,Somewhat worried,White male,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23456.0
1500083.0,Virginia,33.0,National,2.0,Call 2,Complete,1.17559206485748,Kerry,Male,Other,18-24,Democrat,Moderate,"$100,000-$149,999",About the same,None,Never,No,Before that,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,,,Non-white male,18-29,18-24,18-64,Democrat,"$50,000 or more","$100,000 or more",None,All others,All others,Never,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Other,North,Suburbs,Suburbs,10.0,20121.0
1521079.0,Virginia,25.0,State,1.0,Call 3,Complete,0.538185179233551,Kerry,Female,White,30-39,Democrat,Liberal,"$75,000-$99,999",About the same,None,Never,No,Before that,Against his opponent,Iraq,Is intelligent,Somewhat disapprove,Somewhat disapprove,Neither of them,Not too worried,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Never,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,Only Kerry/Neither,Only Bush/Neither,White,North,Suburbs,Suburbs,10.0,20170.0
1523411.0,Virginia,33.0,National,3.0,Call 3,Complete,1.65784657001495,Bush,Female,White,60-64,Republican,Conservative,"$75,000-$99,999",,Protestant,Never,,,For your candidate,,,,,,,White female,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Never,Protestants/Non-weekly,,,,,,,,White,North,Suburbs,Suburbs,10.0,20121.0
1521077.0,Virginia,69.0,State,1.0,Call 3,Complete,1.15136742591858,Bush,Female,White,18-24,Something Else,,"$15,000-$29,999",Better today,Other Christian,Once a week,No,Just today,For your candidate,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Only George W. Bush,Somewhat worried,White female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,West/Shenandoah,Rural,Small cities and Rural,6.0,22821.0
1521076.0,Virginia,76.0,State,1.0,Call 3,Complete,1.08068823814392,Bush,Female,White,30-39,Something Else,Conservative,"$30,000-$49,999",About the same,Other Christian,More than once a week,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,Strongly approve,Only George W. Bush,Not at all worried,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Not too/Not at all worried,Only Bush/Both,Only Bush/Neither,White,West/Shenandoah,Rural,Small cities and Rural,9.0,24637.0
1497584.0,Virginia,90.0,State,1.0,Call 2,Complete,0.996533334255219,Kerry,Female,White,50-59,Democrat,Liberal,"$15,000-$29,999",About the same,Other Christian,Once a week,No,Before that,For your candidate,Iraq,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Only John Kerry,Very worried,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,White,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23661.0
1521074.0,Virginia,98.0,National,2.0,Call 3,Complete,1.36402034759521,Kerry,Female,Black,25-29,Democrat,Liberal,"$15,000-$29,999",About the same,Other Christian,A few times a year,No,Before that,,Moral values,Will bring about needed change,Strongly disapprove,Somewhat disapprove,,,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Black,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
1472080.0,Virginia,60.0,State,1.0,Call 1,Complete,1.40783095359802,Kerry,Female,White,60-64,Democrat,Liberal,"$30,000-$49,999",About the same,Protestant,Once a week,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly approve,Only John Kerry,Very worried,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,White,West/Shenandoah,Rural,Small cities and Rural,7.0,22850.0
1472697.0,Virginia,59.0,State,1.0,Call 1,Complete,0.862994611263275,Kerry,Female,Black,65-74,Democrat,Moderate,"Under $15,000",Worse today,Protestant,Once a week,No,Before that,For your candidate,Health care,Cares about people like me,Strongly approve,Strongly disapprove,Only John Kerry,Very worried,Non-white female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Weekly,Protestants/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,Black,East/Richmond,Rural,Small cities and Rural,4.0,23824.0
1532736.0,Virginia,51.0,National,4.0,Call 3,Complete,0.761705756187439,Kerry,Male,Black,45-49,Democrat,Conservative,"$75,000-$99,999",,,,,Before that,,,,,,Only John Kerry,Very worried,Non-white male,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,Black,East/Richmond,Suburbs,Suburbs,3.0,23231.0
1472077.0,Virginia,76.0,State,1.0,Call 1,Complete,1.08068823814392,Bush,Female,White,50-59,Republican,Conservative,"$75,000-$99,999",Better today,Protestant,Once a week,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Only George W. Bush,Very worried,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,West/Shenandoah,Rural,Small cities and Rural,9.0,24637.0
1521067.0,Virginia,97.0,State,1.0,Call 3,Complete,0.794157564640045,Kerry,Female,Black,30-39,Democrat,Moderate,"$15,000-$29,999",About the same,None,A few times a month,No,In the last three days,For your candidate,Education,Has strong religious faith,Somewhat disapprove,Strongly disapprove,Both of them,Very worried,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,Occasionally,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Bush/Both,Only Kerry/Both,Black,East/Richmond,Suburbs,Suburbs,4.0,23803.0
1521066.0,Virginia,60.0,State,1.0,Call 3,Complete,1.26964795589447,Kerry,Male,White,18-24,Democrat,Moderate,"$15,000-$29,999",Worse today,Other Christian,A few times a year,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Both of them,Somewhat worried,White male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Bush/Both,Only Kerry/Both,White,West/Shenandoah,Rural,Small cities and Rural,7.0,22850.0
1530397.0,Virginia,51.0,National,1.0,Call 3,Complete,0.710561990737915,Kerry,Female,Black,50-59,Independent,Liberal,"$100,000-$149,999",Worse today,Muslim,More than once a week,No,Before that,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,,,Non-white female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,All others,All others,Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Black,East/Richmond,Suburbs,Suburbs,3.0,23231.0
1472071.0,Virginia,69.0,State,1.0,Call 1,Complete,1.01951718330383,Bush,Female,White,50-59,Independent,Conservative,"$30,000-$49,999",About the same,Protestant,More than once a week,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,Somewhat worried,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,West/Shenandoah,Rural,Small cities and Rural,6.0,22821.0
1499616.0,Virginia,98.0,National,2.0,Call 2,Complete,1.36402034759521,Kerry,Female,Black,18-24,Democrat,Liberal,"Under $15,000",Worse today,Other Christian,Once a week,No,Before that,,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,Non-white female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Black,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23701.0
1523395.0,Virginia,106.0,State,1.0,Call 3,Complete,1.7715095281601,Bush,Female,White,60-64,Republican,Liberal,"$30,000-$49,999",Worse today,Protestant,A few times a year,No,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Very worried,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23452.0
1502397.0,Virginia,26.0,State,1.0,Call 2,Complete,0.965664863586426,Kerry,Male,White,18-24,Democrat,Liberal,"$30,000-$49,999",Better today,Other Christian,A few times a year,No,Before that,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Somewhat worried,White male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,White,North,Suburbs,Suburbs,10.0,22182.0
1472066.0,Virginia,72.0,State,1.0,Call 1,Complete,1.29796946048737,Bush,Male,White,25-29,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,A few times a year,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Strongly approve,Somewhat approve,Only George W. Bush,Somewhat worried,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Occasionally,Protestants/Non-weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,East/Richmond,Suburbs,Suburbs,1.0,22408.0
1521057.0,Virginia,19.0,National,3.0,Call 3,Complete,1.10616970062256,Bush,Female,White,25-29,Republican,Conservative,"$75,000-$99,999",,Protestant,More than once a week,,,For your candidate,,,,,,,White female,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,,,,,,,,White,North,"City: 50,000 to 500,000","City over 50,000",11.0,22203.0
1497725.0,Virginia,11.0,National,1.0,Call 2,Complete,0.500328660011292,Kerry,Male,Black,18-24,Democrat,Moderate,"$30,000-$49,999",Worse today,,More than once a week,No,Before that,,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,Non-white male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",,All others,All others,Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Black,East/Richmond,"City: 50,000 to 500,000","City over 50,000",5.0,24501.0
1523384.0,Virginia,11.0,National,2.0,Call 3,Complete,0.609849095344543,Bush,Male,White,30-39,Republican,Conservative,"Under $15,000",Better today,None,A few times a month,No,Before that,,Economy/Jobs,Has clear stands on the issues,Strongly approve,Strongly approve,,,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",None,White None,All others,Occasionally,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,White,East/Richmond,"City: 50,000 to 500,000","City over 50,000",5.0,24501.0
1497560.0,Virginia,64.0,National,4.0,Call 2,Complete,1.06157159805298,Kerry,Female,Black,30-39,Something Else,Moderate,"$100,000-$149,999",,,,,Before that,,,,,,Only John Kerry,Very worried,Non-white female,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,Black,North,Suburbs,Suburbs,1.0,22191.0
1472053.0,Virginia,19.0,National,4.0,Call 1,Complete,1.10616970062256,Bush,Female,White,25-29,Republican,Conservative,"$15,000-$29,999",,,,,Before that,,,,,,Only George W. Bush,Very worried,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,North,"City: 50,000 to 500,000","City over 50,000",11.0,22203.0
