ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESMO04,SENMO04,GOVMO04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,UNION4,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECMO,ISS04MO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1526332.0,Missouri,83.0,State,1.0,Call 3,Complete,1.1679859161377,Kerry,Farmer,McCaskill,Male,White,18-24,Independent,Moderate,No,"$75,000-$99,999",About the same,Catholic,No,Postgraduate study,No one does,No,During the last month,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Neither of them,Somewhat badly,Omit,Omit,White male,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,3.0,63130.0
1480067.0,Missouri,37.0,State,1.0,Call 1,Complete,1.13745629787445,Kerry,Farmer,McCaskill,Male,White,65-74,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Protestant,Yes,Postgraduate study,No one does,Yes,Before that,For your candidate,Taxes,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,Economy/Jobs,White male,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,North/Southeast,Rural,Small cities and Rural,3.0,63621.0
1502024.0,Missouri,28.0,State,1.0,Call 2,Complete,0.781362056732178,Kerry,Farmer,Blunt,Female,White,50-59,Democrat,Moderate,No,,Worse today,Other Christian,Yes,Some college/associate degree,"Yes, someone else does",Yes,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat approve,Safer from terrorism,Both of them,Only John Kerry,Somewhat badly,Not so good,Economy/Jobs,White female,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is not union member,Married women,White,Kansas City area,Rural,Small cities and Rural,6.0,64429.0
1502023.0,Missouri,100.0,State,1.0,Call 2,Complete,0.918307423591614,Kerry,Bond,Blunt,Male,White,30-39,Something Else,Moderate,No,"$30,000-$49,999",Worse today,Catholic,No,College graduate,No one does,No,During the last month,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Safer from terrorism,Neither of them,Only John Kerry,Very badly,Not so good,Economy/Jobs,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,3.0,63129.0
1531188.0,Missouri,26.0,State,1.0,Call 3,Complete,1.12164521217346,Kerry,Bond,McCaskill,Female,White,50-59,Independent,Liberal,No,"$30,000-$49,999",Worse today,Something else,No,Some college/associate degree,No one does,No,Sometime last week,For your candidate,Omit,Omit,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Omit,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Kansas City area,"City: 50,000 to 500,000","City over 50,000",6.0,64118.0
1477716.0,Missouri,53.0,State,1.0,Call 1,Complete,1.09013938903809,Bush,Bond,McCaskill,Female,White,30-39,Democrat,Conservative,No,"$50,000-$74,999",Worse today,Mormon/LDS,No,Postgraduate study,No one does,Yes,Just today,Against his opponent,Education,Is intelligent,Somewhat disapprove,Strongly disapprove,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat badly,Not so good,Education,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,North/Southeast,Rural,Small cities and Rural,4.0,64040.0
1477715.0,Missouri,47.0,State,1.0,Call 1,Complete,1.15745782852173,Kerry,Farmer,McCaskill,Female,White,40-44,Democrat,,No,"$50,000-$74,999",Worse today,Other Christian,Yes,High school graduate,No one does,Yes,Before that,For your candidate,Health care,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,Same-sex marriage,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Kansas City area,Suburbs,Suburbs,5.0,64030.0
1527195.0,Missouri,108.0,State,1.0,Call 3,Complete,1.19116914272308,Kerry,Farmer,McCaskill,Female,Black,40-44,Democrat,Moderate,No,"Under $15,000",Worse today,None,No,Did not complete high school,No one does,No,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,Same-sex marriage,Non-white female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",None,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,Black,St. Louis city,"City: 50,000 to 500,000","City over 50,000",1.0,63112.0
1502014.0,Missouri,35.0,National,4.0,Call 2,Complete,0.675085961818695,Kerry,Bond,Blunt,Male,White,75 or over,Something Else,Conservative,,"Under $15,000",,,,Some college/associate degree,No one does,No,During the last month,,,,,,,Only John Kerry,Only John Kerry,,,,White male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",,,,,No degree,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Southwest,"City: 50,000 to 500,000","City over 50,000",7.0,65804.0
1528793.0,Missouri,29.0,State,1.0,Call 3,Complete,0.680872619152069,Bush,Farmer,McCaskill,Male,White,50-59,Independent,Moderate,No,"$100,000-$149,999",Better today,Protestant,No,College graduate,"Yes, someone else does",Yes,In the last three days,Against his opponent,Iraq,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Less safe from terrorism,Only George W. Bush,Both of them,Somewhat badly,Good,Education,White male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Southwest,"City: 10,000 to 49,999",Small cities and Rural,4.0,65109.0
1477707.0,Missouri,23.0,State,1.0,Call 1,Complete,0.984749972820282,Bush,Bond,Blunt,Male,White,45-49,Republican,Conservative,No,"$30,000-$49,999",About the same,Other Christian,Yes,Some college/associate degree,No one does,Yes,During the last month,For your candidate,Economy/Jobs,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Economy/Jobs,White male,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Southwest,Suburbs,Suburbs,7.0,65631.0
1502011.0,Missouri,15.0,State,1.0,Call 2,Complete,1.8878082036972,Bush,Bond,Blunt,Male,White,60-64,Republican,Conservative,No,"$75,000-$99,999",Better today,Protestant,Yes,Some college/associate degree,No one does,Yes,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Omit,Omit,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Southwest,Rural,Small cities and Rural,4.0,65020.0
1487425.0,Missouri,31.0,State,1.0,Call 1,Complete,0.82020378112793,Kerry,Farmer,McCaskill,Male,White,50-59,Independent,Moderate,No,"$75,000-$99,999",About the same,None,No,Some college/associate degree,No one does,Yes,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Excellent,Education,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,North/Southeast,Rural,Small cities and Rural,6.0,65068.0
1482560.0,Missouri,44.0,National,4.0,Call 1,Complete,0.413524687290192,Kerry,Farmer,McCaskill,Male,Black,50-59,Independent,Moderate,,"$100,000-$149,999",,,,High school graduate,"Yes, I do",No,Before that,,,,,,,Only John Kerry,Only John Kerry,,,,Non-white male,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",,,,,No degree,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,Black,Kansas City area,"City: 50,000 to 500,000","City over 50,000",5.0,64130.0
1531169.0,Missouri,39.0,State,1.0,Call 3,Complete,0.551984667778015,Did not vote,Did not vote,Did not vote,Female,White,30-39,Something Else,Liberal,No,"Under $15,000",Worse today,Something else,No,College graduate,No one does,Yes,Before that,For your candidate,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Poor,Same-sex marriage,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
1477697.0,Missouri,73.0,State,1.0,Call 1,Complete,2.23724627494812,Bush,Bond,Blunt,Male,White,60-64,Something Else,Moderate,No,"$30,000-$49,999",About the same,None,No,High school graduate,No one does,Yes,Before that,For your candidate,Economy/Jobs,Cares about people like me,Somewhat approve,Somewhat approve,Omit,Only George W. Bush,Only George W. Bush,Somewhat badly,Good,Economy/Jobs,White male,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,North/Southeast,Rural,Small cities and Rural,9.0,63462.0
1502001.0,Missouri,77.0,State,1.0,Call 2,Complete,0.89845073223114,Kerry,Farmer,McCaskill,Male,White,18-24,Democrat,Moderate,No,"$75,000-$99,999",Better today,Something else,No,High school graduate,"Yes, I do",No,Before that,Against his opponent,Economy/Jobs,Is a strong leader,Strongly disapprove,Somewhat approve,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,Taxes,White male,18-29,18-24,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,2.0,63376.0
1477693.0,Missouri,26.0,State,1.0,Call 1,Complete,0.8141770362854,Bush,Bond,Blunt,Male,White,30-39,Republican,Conservative,No,"$30,000-$49,999",About the same,Other Christian,Yes,Postgraduate study,No one does,Yes,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Health care,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Kansas City area,"City: 50,000 to 500,000","City over 50,000",6.0,64118.0
1501997.0,Missouri,48.0,National,3.0,Call 2,Complete,0.780382692813873,Bush,Did not vote,Blunt,Female,White,18-24,Republican,Moderate,,"$30,000-$49,999",,Other Christian,No,,,Yes,,For your candidate,,,,,,,,,,,White female,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,,,,,,,,,,,,,Married women,White,Southwest,Suburbs,Suburbs,7.0,64834.0
1501996.0,Missouri,63.0,State,1.0,Call 2,Complete,1.43921136856079,Kerry,Farmer,McCaskill,,,60-64,Democrat,Moderate,No,"Under $15,000",Worse today,Protestant,Yes,Did not complete high school,"Yes, I do",Yes,Before that,For your candidate,Health care,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,Health care,,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,,Southwest,Rural,Small cities and Rural,9.0,65035.0
1492272.0,Missouri,35.0,National,3.0,Call 2,Complete,0.53557962179184,Bush,Bond,Blunt,Male,White,25-29,Republican,Moderate,,"$50,000-$74,999",,Protestant,Yes,,,No,,For your candidate,,,,,,,,,,,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,,,,,,,,,,,,,All others,White,Southwest,"City: 50,000 to 500,000","City over 50,000",7.0,65804.0
1531157.0,Missouri,94.0,State,1.0,Call 3,Complete,0.82570618391037,Bush,Bond,Blunt,Male,White,45-49,Independent,Moderate,No,"$100,000-$149,999",Better today,Protestant,No,High school graduate,"Yes, I do",No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Not so good,Economy/Jobs,White male,45-59,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,2.0,63026.0
1477684.0,Missouri,66.0,State,1.0,Call 1,Complete,0.836607813835144,Kerry,Farmer,McCaskill,Male,White,50-59,Democrat,Moderate,No,"$30,000-$49,999",Worse today,Catholic,No,Some college/associate degree,No one does,Yes,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,Omit,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,North/Southeast,Rural,Small cities and Rural,9.0,63353.0
1484745.0,Missouri,77.0,State,1.0,Call 1,Complete,0.930315673351288,Bush,Bond,Blunt,Male,White,18-24,Republican,Moderate,Yes,"$75,000-$99,999",About the same,None,No,High school graduate,No one does,No,During the last month,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,Somewhat disapprove,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Education,White male,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",None,White None,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,St. Louis suburbs,Suburbs,Suburbs,2.0,63376.0
